Index Title,Zevachim
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Zevachim 2a:1,"<sup>i</sup> <b>J</b>EDES O<small>PFER, DAS AUF EINEN ANDEREN</small> N<small>AMEN</small><sup>1</sup><i class=""footnote"">fn1,Als Opfer anderer Art; cf. Lev. 1,1ff.</i> <small>GESCHLACHTET WORDEN IST, IST TAUGLICH</small><sup>2</sup><i class=""footnote"">fn2,Die weitere Herrichtung desselben (Blutsprengen, Aufräucherung der Opferteile usw.) muß nach gesetzlicher Vorschrift erfolgen.</i>, <small>NUR HAT DER</small> E<small>IGENTÜMER SICH DAMIT SEINER</small> P<small>FLICHT</small><sup>3</sup><i class=""footnote"">fn3,Das Opfer darzubringen, zu dem er verpflichtet ist.</i> <small>NICHT ENTLEDIGT, AUSGENOMMEN SIND DAS</small> P<small>ESAḤOPFER UND DAS</small> S<small>ÜNDOPFER</small><sup>4</sup><i class=""footnote"">fn4,Diese sind, wenn sie auf einen anderen Namen geschlachtet worden sind, völlig untauglich.</i>; <small>DAS</small> P<small>ESAḤOPFER ZU SEINER</small> Z<small>EIT</small><sup>5</sup><i class=""footnote"">fn5,Am Nachmittag des 14. Nisan; wird es zu einer anderen Zeit dargebracht, so gilt es überhaupt nicht als Pesaḥopfer, sondern als Heilsopfer.</i> <small>UND DAS</small> S<small>ÜNDOPFER ZU JEDER</small> Z<small>EIT.</small> R. E<small>LIE͑ZER SAGT, AUCH DAS</small> S<small>CHULDOPFER; DAS</small> P<small>ESAḤOPFER ZU SEINER</small> Z<small>EIT UND DAS</small> S<small>ÜND- UND DAS</small> S<small>CHULDOPFER ZU JEDER</small> Z<small>EIT.</small> R. E<small>LIE͑ZER SPRACH:</small> D<small>AS</small> S<small>ÜNDOPFER WIRD WEGEN EINER</small> S<small>ÜNDE DARGEBRACHT UND DAS</small> S<small>CHULDOPFER WIRD WEGEN EINER</small> S<small>ÜNDE DARGEBRACHT, WIE NUN DAS AUF EINEN ANDEREN</small> N<small>AMEN DARGEBRACHTE</small> S<small>ÜNDOPFER UNTAUGLICH IST, EBENSO IST AUCH DAS AUF EINEN ANDEREN</small> N<small>AMEN DARGEBRACHTE</small> S<small>CHULDOPFER UNTAUGLICH.</small> <sup>ii</sup> J<small>OSE B. ḤONI SAGT, WAS</small><sup>6</sup><i class=""footnote"">fn6,Jedes andere Opfer.</i> <small>AUF DEN</small> N<small>AMEN EINES</small> P<small>ESAḤOPFERS</small><sup>7</sup><i class=""footnote"">fn7,Am 14. Nisan, an dem dieses geschlachtet wird.</i> <small>UND AUF DEN</small> N<small>AMEN EINES</small> S<small>ÜNDOPFERS GESCHLACHTET WORDEN IST, IST UNTAUGLICH</small><sup>8</sup><i class=""footnote"">fn8,Da auch diese untauglich sind, wenn sie auf den Namen eines anderen Opfers geschlachtet worden sind.</i>. Š<small>IMO͑N, DER</small> B<small>RUDER DES</small> A͑<small>ZARJA, SAGT, WAS AUF DEN</small> N<small>AMEN EINES HÖHER</small>[<small>HEILIGEN</small> O<small>PFERS</small>] <small>GESCHLACHTET WORDEN IST, IST TAUGLICH, UND WAS AUF DEN</small> N<small>AMEN EINES MINDER</small>[<small>HEILIGEN</small>] <small>GESCHLACHTET WORDEN IST, IST UNTAUGLICH.</small> Z<small>UM</small> B<small>EISPIEL : HAT MAN</small> H<small>OCHHEILIGES</small><sup>9</sup><i class=""footnote"">fn9,Brandopfer, Sündopfer u. Schuldopfer.</i> <small>AUF DEN</small> N<small>AMEN VON</small> M<small>INDERHEILIGEM</small><sup>10</sup><i class=""footnote"">fn10,Heilsopfer u. Dankopfer, sowie die Erstgeburt, der Zehnt u. das Pesaḥopfer.</i><small>GESCHLACHTET, SO IST ES UNTAUGLICH, HAT MAN ABER</small> M<small>INDERHEILIGES AUF DEN</small> N<small>AMEN VON</small> H<small>OCHHEILIGEM GESCHLACHTET</small>, <small>SO IST ES TAUGLICH</small>. H<small>AT MAN DAS</small> E<small>RSTGEBORENE ODER DAS</small> Z<small>EHNTE</small><sup>11</sup><i class=""footnote"">fn11,Gf. Lev. 27,32.</i><small>AUF DEN</small> N<small>AMEN EINES</small> H<small>EILSOPFERS GESCHLACHTET, SO IST ES TAUGLICH; HAT MAN EIN</small> H<small>EILSOPFER AUF DEN</small> N<small>AMEN DES</small> E<small>RSTGEBORENEN ODER DES</small> Z<small>EHNTEN</small><sup>12</sup><i class=""footnote"">fn12,Diese stehen dem Heilsopfer nach hinsichtlich mancher Dienstverrichtungen bei der Opferung.</i><small>GESCHLACHTET, SO IST ES UNTAUGLICH</small><sup>13</sup><i class=""footnote"">fn13,Das Heilsopfer ist, obgleich es ebenfalls zu den minderheiligen Opfern gehört, heiliger als diese, da es bei der Darbringung mehr dienstliche Handlungen erfordert.</i>."
Zevachim 2a:2,"GEMARA. Weshalb heißt es : nur hat der Eigentümer sich damit seiner Pflicht nicht entledigt, es sollte doch heißen : und hat der Eigentümer sich damit seiner Pflicht nicht entledigt<sup>14</sup><i class=""footnote"">fn14,Im Text ist diese Fassung um ein Wort kürzer.</i>!? – Folgendes lehrt er uns: allerdings hat der Eigentümer sich damit seiner Pflicht nicht entledigt, wohl aber behalten sie ihre Heiligkeit, und man darf an ihnen nichts ändern<sup>15</sup><i class=""footnote"">fn15,Bei der Herrichtung; vgl. Anm. 2.</i>. Dies nach Raba, denn Raba sagte: Hat man ein Brandopfer auf einen anderen Namen geschlachtet, so darf man das Blut nicht auf einen anderen Namen sprengen. Wenn du willst, ist dies zu begründen, und wenn du willst, ist dies aus einem Schriftverse zu entnehmen. Wenn du willst, ist dies zu begründen : sollte man denn, weil man dabei abgeändert hat, fortfahren und auch weiterhin abändern!? Wenn du willst, ist dies aus einem Schriftverse zu entnehmen :<sup>16</sup><i class=""footnote"">fn16,Dt. 23,24.</i><i>den Ausspruch deiner Lippen sollst du halten und entsprechend handeln, wie du dem Herrn, deinem</i>"
Zevachim 2b:1,"<i>Gott, gelobt hast, die freiwillige Gabe &c.</i> Wieso eine freiwillige Gabe, es ist ja ein Gelübde? Vielmehr, bist du so verfahren, wie du gelobt hast, so ist es ein Gelübde, wenn aber nicht, sei es eine freiwillige Gabe, und auch bei einer freiwilligen Gabe darf nicht abgeändert werden."
Zevachim 2b:2,"Rabina sprach zu R. Papa : Schade, daß du gestern nicht im Lehrhause zu Be-Ḥermakh anwesend warst, denn Raba trug schöne Sachen vor, Widersprüche, die er auch erklärte. – Was sind es für schöne Sachen? – Wir haben gelernt: jedes Opfer, das auf einen anderen Namen geschlachtet worden ist &c. ; also nur wenn auf einen anderen Namen, wenn aber ohne Nennung<sup>17</sup><i class=""footnote"">fn17,Wenn der Schlachtende weder den richtigen Namen des Opfers noch einen falschen nennt.</i>, so hat der Eigentümer sich damit auch seiner Pflicht entledigt, wonach es ohne Nennung der Nennung des richtigen Namens gleicht, und dem widersprechend wird gelehrt: jeder Scheidebrief, der auf den Namen einer anderen Frau<sup>18</sup><i class=""footnote"">fn18,Die denselben Namen führt, wie die Frau, die geschieden werden soll.</i>geschrieben ist, ist ungültig, und ohne Nennung<sup>19</sup><i class=""footnote"">fn19,Wenn der Schreiber einen Scheidebrief auf einen bestimmten Namen, nicht aber für eine bestimmte Person geschrieben hat, der vielmehr für jede Person dieses Namens Verwendung finden soll.</i>ist er ebenfalls ungültig!? Er erklärte es auch: Opfer sind, wenn nichts genannt wird, dafür bestimmt, wofür sie zu nennen sind, während eine Frau, solange sie nicht ausdrücklich genannt ist, nicht zur Scheidung bestimmt ist. – Woher, daß Opfer ohne Nennung tauglich sind; wollte man sagen, weil gelehrt wird: jedes Opfer, das auf einen anderen Namen geschlachtet worden ist &c. und nicht : das nicht auf seinen Namen geschlachtet worden ist, so wird ja auch vom Scheidebriefe gelehrt: jeder Scheidebrief, der auf den Namen einer anderen Frau geschrieben worden ist, ist ungültig, und nicht: der nicht auf den Namen der Frau geschrieben worden ist, ist ungültig!? Wollte man sagen, aus folgender Lehre: auf seinen Namen und einen anderen Namen, zum Beispiel als Pesaḥopfer und als Heilsopfer; also nur dann, wenn er gesagt hat: als Pesaḥopfer und als Friedensopfer, wenn aber als Pesaḥopfer und als eines ohne Nennung, so ist es tauglich, wonach es ohne Nennung der Nennung des richtigen Namens gleicht, so ist es vielleicht hierbei anders, denn wir sagen, wenn jemand etwas tut, tue er dies auf Grund der ersten Beschlußfassung<sup>20</sup><i class=""footnote"">fn20,Und da er zuerst den richtigen Namen genannt hat, so ist es gültig, nicht aber, wenn er gar keinen Namen genannt hat.</i>!? Wollte man sagen, dies sei aus dem Schlußsatz zu entnehmen: auf einen anderen Namen und seinen Namen: als Heilsopfer und als Pesaḥopfer<sup>21</sup><i class=""footnote"">fn21,In diesem Fall folgt die richtige Benennung nachher.</i>; also nur dann, wenn er gesagt hat: als Heilsopfer und als Pesaḥopfer, wonach es tauglich ist, wenn eines ohne Nennung und als Pesaḥopfer, so ist es vielleicht hierbei anders, weil wir sagen, der Schluß zeuge für den Anfang<sup>22</sup><i class=""footnote"">fn22,Daß er von vornherein ein Pesaḥopfer darbringen wollte; anders aber ist es, wenn er den richtigen Namen überhaupt nicht nennt.</i>!? Oder auch: da er den Fall lehrt, wenn eines auf seinen Namen und ohne Namen, so lehrt er auch den Fall, wenn eines ohne Namen und auf seinen Namen. Vielmehr, dies ist aus folgendem zu entnehmen. Unter sechs Nennungen wird das Opfer dargebracht: auf den Namen des Opfers, auf den Namen des Opfernden, auf den Namen Gottes, als Feueropfer<sup>23</sup><i class=""footnote"">fn23,Die Opferteile müssen wirklich verbrannt u. nicht etwa nur angesengt werden.</i>, als duftend<sup>24</sup><i class=""footnote"">fn24,Sie müssen roh auf den Altar gelegt u. auf diesem verbrannt werden.</i>und als angenehm<sup>25</sup><i class=""footnote"">fn25,Für Gott; diese Bezeichnung wird bei der Darbringung des Opfers gebraucht; cf. Lev. 1,9uö.</i>; das Sündopfer und das Schuldopfer auch unter Nennung der Sünde<sup>26</sup><i class=""footnote"">fn26,Derentwegen es dargebracht wird.</i>. R. Jose sagt, auch wenn jemand an eine dieser Nennungen im Herzen nicht gedacht hat, sei es tauglich, denn dies ist eine gerichtliche Bestimmung. Das Gericht hat bestimmt, daß man den Namen nicht nenne, damit man nicht veranlaßt werde, einen anderen Namen zu nennen. Wieso könnte nun, wenn man sagen wollte, ohne Nennung sei es untauglich, das Gericht eine Bestimmung treffen, die es untauglich macht!? – Woher, daß ein Scheidebrief ohne Nennung<sup>27</sup><i class=""footnote"">fn27,Wenn er nicht direkt für die betreffende Person geschrieben worden ist.</i>ungültig ist: wollte man sagen, aus der Lehre, daß, wenn jemand über die Straße geht und Schreiber vorlesen hört: N. aus der Ortschaft N. ließ sich von der Frau N. scheiden, und spricht: dies ist mein Name und der Name meiner Frau, dieser Scheidebrief für ihn ungültig<sup>28</sup><i class=""footnote"">fn28,Er kann den als Muster diktierten Scheidebrief, obgleich die Namen übereinstimmen, nicht für sich benutzen, da er nicht von vornherein für ihn geschrieben worden ist.</i>sei, so ist dies vielleicht nach R. Papa zu erklären, denn R. Papa sagte, hier werde von dem Fall gesprochen, wenn es zur Übung der Schreiber erfolgt, und er somit überhaupt nicht zum Zweck der Scheidung geschrieben worden ist. Wollte man sagen, aus folgendem;"
Zevachim 3a:1,"noch mehr : wenn jemand [einen Scheidebrief] geschrieben hat, um sich von seiner Frau scheiden zu lassen, und davon abgekommen ist, und jemand aus derselben Stadt ihn trifft und zu ihm spricht: dein Name gleicht meinem und der Name deiner Frau gleicht dem meiner Frau, so ist dieser für ihn<sup>29</sup><i class=""footnote"">fn29,Den anderen, da er nicht für ihn geschrieben worden ist.</i>zur Scheidung ungültig, so ist es vielleicht auch da anders, weil er für diesen die Scheidung ausschließt<sup>30</sup><i class=""footnote"">fn30,Dieser Scheidebrief ist nicht für eine unbestimmte Person, sondern für eine andere Person geschrieben worden, wodurch jede weitere Person ausgeschlossen wird.</i>. Wollte man sagen, aus folgendem; noch mehr: wenn jemand zwei Frauen gleichen Namens hat, und er einen [Scheidebrief] geschrieben hat, um sich von der größeren scheiden zu lassen, so darf er sich damit nicht von der kleineren scheiden lassen, so ist es vielleicht auch da anders, weil er für diese die Scheidung ausschließt<sup>31</sup><i class=""footnote"">fn31,Der Scheidebrief ist für die andere geschrieben u. nicht allgemein.</i>. Wollte man sagen, aus folgendem; noch mehr: wenn jemand zu einem Schreiber gesagt hat, daß er ihm [einen Scheidebrief] schreibe, er wolle sich von einer<sup>32</sup><i class=""footnote"">fn32,Seiner beiden Frauen gleichen Namens.</i>nach Belieben scheiden lassen, so ist er zur Scheidung ungültig, so ist es vielleicht auch da anders, weil es keine fiktive Feststellung<sup>33</sup><i class=""footnote"">fn33,Für welche Frau der Scheidebrief später verwendet werden soll, u. dieser ist nur für eine der beiden gültig; anders aber ist es, wenn ein Scheidebrief überhaupt nicht für eine bestimmte Person geschrieben worden ist.</i>gibt. – Vielmehr, dies ist aus folgendem zu entnehmen: wenn jemand Formulare von Scheidebriefen schreibt, so muß er Raum für [die Namen] des Mannes, der Frau und der Zeugen und für das Datum frei<sup>34</sup><i class=""footnote"">fn34,Die nachher bei ihrer Benutzung auszufüllen sind.</i>assen, und hierzu sagte R. Jehuda im Namen Šemuéls, er müsse auch Raum lassen für [die Formel] : du bist von nun ab jedermann erlaubt<sup>35</sup><i class=""footnote"">fn35,Diese Formel bildet den Hauptbestandteil des Scheidebriefes u. er darf nicht allgemein, sondern nur für die betreffende Person geschrieben werden.</i>."
Zevachim 3a:2,"Ferner wies er noch auf einen Widerspruch hin : Kann denn R. Jehuda im Namen Rabhs gesagt haben, ein Sündopfer, das man auf den Namen eines Brandopfers geschlachtet hat, sei untauglich, und das man als Profanes geschlachtet hat, sei<sup>36</sup><i class=""footnote"">fn36,Als Brandopfer.</i>tauglich, wonach nur das untauglich macht, was zur selben Klasse<sup>37</sup><i class=""footnote"">fn37,Wenn ein Opfer auf den Namen eines anderen Opfers geschlachtet worden ist.</i>gehört, nicht aber das, was nicht zur selben Klasse gehört, ich will auf einen Widerspruch hinweisen: Jeder Scheidebrief, der auf den Namen einer anderen Frau geschrieben ist, ist ungültig, und sogar wenn er auf den Namen einer Nichtjüdin<sup>38</sup><i class=""footnote"">fn38,Ein solches gehört nicht zur selben Klasse, da bei dieser die Scheidung keine Geltung hat.</i>geschrieben ist, ist er ungültig!? Er erklärte es auch: läßt man bei einem Scheidebrief [den Namen der] Nichtjüdin fort, so ist er ohne Nennung, und einer ohne Nennung ist ungültig, läßt man beim Opfer [die Nennung] des Profanen fort, so ist es ohne Nennung, und eines ohne Nennung ist tauglich."
