siman,seif,responsa,text
1,1,"(ש""ך סק""ב) היינו במשוחררים. לפ""ז יקשה (דלמא) [דלימא] הש""ס דנקט דיעבד משום דעבדי' מיירי אף באינן משוחררי' ועיין:"," @88(סי' א' ש""ך סק""ב) @11היינו במשוחררים. @33לפ""ז יקשה (דלמא) [דלימא] הש""ס דנקט דיעבד משום דעבדי' מיירי אף באינן משוחררי' ועיין: "
1,1,"(ט""ז סק""ב) ולי נראה. הב""י תמה רק דמה אירי' משוחררים אפי' אין משוחררים נמי:","@22(ט""ז סק""ב) @11ולי נראה. @33הב""י תמה רק דמה אירי' משוחררים אפי' אין משוחררים נמי: "
1,1,"(ש""ך סק""ד) ולא אמרי' וכו'. ק""ל דא""כ אחר שראינו שקלקל לא יהיה רשאי למסור לו לשחוט וזה לא מצינו וצ""ע:","@22(ש""ך סק""ד) @11ולא אמרי' וכו'. @33ק""ל דא""כ אחר שראינו שקלקל לא יהיה רשאי למסור לו לשחוט וזה לא מצינו וצ""ע: "
1,1,"[בא""ד מדפוס ברלין:",
1,1,"טעמא לא ידענא דאם נימא כיון דקלקל הוי ריעותא, ואזדא הרוב, א""כ נימא דכל מה ששחט עוד בלא אחר""א דאסור, ולא מצינו חידוש דין זה]",
1,1,"(ש""ך סק""ה) ז""ל הב""ח וכו'. נ""ל דיצא להראב""ן כן בכדי ליישב קושית תוס' על רבינא מהברייתא דמצא תרנגולת ולזה כתב דרבינא מודה דבליתיה קמן ולא מצינו למרדף בתריה דמותר ואולם לפי""ז יקשה בהא דאמרינן כולה כרבינא ל""א להך לישנא וכו' מנ""ל להגמרא דאינהו ס""ל לקולא ברוב מצויין אצל שחיטה מומחים ומוחזקים. דלמא בהיפוך דס""ל דל""א דרוב מצויים מומחים ולא מוחזקים ואם כן הכל מה אתי לרבויי ולתוס' ניחא כיון דלת""ק דמיקל במצא גדייו ע""כ דס""ל לתרי רובא אלא דרבינא ס""ל כאידך תנא דאוסר וא""כ י""ל דהתנא דאוסר לא ס""ל לחד רוב אבל מה""ת לומר במומחים ומוחזקים לאסור אף דהוי רוב ופליג את""ק בתרתי מש""ה אמרי' דאינך ס""ל להקל וכת""ק אבל להראב""ן קשה דלמא דכולהו ס""ל דלכתחלה וכן דיעבד במצינן למרדף אבתריה צריך לידע שהוא מומחה ומוחזק וי""ל:","@22(ש""ך סק""ה) @11ז""ל הב""ח וכו'. @33נ""ל דיצא להראב""ן כן בכדי ליישב קושית תוס' על רבינא מהברייתא דמצא תרנגולת ולזה כתב דרבינא מודה דבליתי' קמן ולא מצינו למרדף בתריה דמותר ואולם לפ""ז יקשה בהא דאמרי' כולה כרבינא ל""א להך לישנא וכו' מנ""ל להגמרא דאינהו ס""ל לקולא ברוב מצויי' אצל שחיטה מומחי' ומוחזקים. דלמא בהיפוך דס""ל דל""א דרוב מצויים מומחים ולא מוחזקים ואם כן הכל מה אתי לרבויי ולתוס' ניחא כיון דלת""ק דמיקל במצא גדייו ע""כ דס""ל לתרי דובא אלא דרבינא ס""ל כאידך תנא דאוסר וא""כ י""ל דהתנא דאוסר לא ס""ל לחד רוב אבל מה""ת לומר במומחים ומוחזקים לאסור אף דהוי רוב ופליג את""ק בתרתי מש""ה אמרי' דאינך ס""ל להקל וכת""ק אבל להראב""ן קשה דלמא דכולהו ס""ל דלכתחלה וכן דיעבד במצינן למרדף אבתריה צריך לידע שהוא מומחה ומוחזק וי""ל: @44ונראה@55 עוד דבא לתרץ קושית תוס' הנ""ל ולזה מחלק דשם אינו לפנינו וא""א לברורי משא""כ הכא דמצינן למרדף אבתריה ואף דגם לרבינא בדיעבד ולא מצינן למרדף אבתריה מותר א""כ אמאי אין נותנים לו לשחוט על סמך הבדיקה שלאח""כ ואי דרבינא פליג בזה עם אינך אמוראי דס""ל לרבינא דאף היכי דאי משתלי אח""כ דשרי. מ""מ אין נותנים ע""ס. ואינך אמוראי ס""ל דנותנים ע""ס א""כ הו""ל להש""ס לומר כלהו כרבינא ל""א דס""ל דמותר ליתן ע""ס וצריך לדחוק דתליא בזה דלרבינא דלא אלים הרוב כ""כ ולא שרי' רק בדיעבד ממש בלא מצינן למרדף אבתריה מש""ה הדין נותן דאין נותנים לו לכתחלה ע""ס הבדיק' שלאח""כ אבל אינך אמוראי סברי רוב מצויים ואלים הרוב דל""צ למטרה למרדף אבתריה. מש""ה ראוי ליתן לכתחלה ע""ס הבדיקה שלאח""כ: @44אמנם@55 לפ""ז קשה אהא דאמרי' כלהו כרבינא ל""א רוב מצויים דמנ""ל להש""ס דלמא ס""ל דל""א רוב מומחים ולא רוב מוחזקים ואסור לשחוט רק בידוע שהוא מומחה ומוחזק בשלמא בלא דברי הראב""ן י""ל דפליגי רק על חד ואמרי דס""ל דל""א רוב מומחים או דל""א רוב מוחזקים אבל לומד דפליגי בתרתי לענין רובא דמומחים ורובא דמוחזקים מה""ת ומש""ה לא הומ""ל דס""ל להאמוראי דבעי' מומחה ומוחזק גם י""ל כיון דבאמת דהי' לה בסוגיא דהתם דפליגי רק במצאן באשפה א""כ כלהו ס""ל דמצאן שחוטים מותרים דאמרי' רוב מומחי' ומוחזקים מש""ה מוקמי' טעמא דאמוראי בהכי דסלקא לפי ההלכה אבל במצינן למרדף י""ל דלא סמכי' לא על רוב מומחים ולא על רובא דמוחזקים. וא""כ מנ""ל להש""ס דאינך אמוראי פליגי לקולא עם רבינא דלמא בהיפוך דפליגי לחומרא דלא ישחוט אא""כ בידוע שהוא מומחה ומוחזק וצ""ע: "
1,1,"ונראה עוד דבא לתרץ קושית תוס' הנ""ל ולזה מחלק דשם אינו לפנינו וא""א לברורי משא""כ הכא דמצינן למרדף אבתריה (ומצאתי אח""כ מפורש כן בראב""ן) ואף דגם לרבינא בדיעבד ולא מצינן למרדף אבתריה מותר א""כ אמאי אין נותנים לו לשחוט על סמך הבדיקה שלאח""כ ואי דרבינא פליג בזה עם אינך אמוראי דס""ל לרבינא דאף היכי דאי משתלי אח""כ דשרי. מ""מ אין נותנים ע""ס. ואינך אמוראי ס""ל דנותנים ע""ס א""כ הו""ל להש""ס לומר כלהו כרבינא ל""א דס""ל דמותר ליתן ע""ס וצריך לדחוק דתליא בזה דלרבינא דלא אלים הרוב כ""כ ולא שרי' רק בדיעבד ממש בלא מצינן למרדף אבתריה מש""ה הדין נותן דאין נותנים לו לכתחלה ע""ס הבדיקה שלאח""כ אבל אינך אמוראי סברי רוב מצויים ואלים הרוב דל""צ למטרח למרדף אבתריה מש""ה ראוי ליתן לכתחלה ע""ס הבדיקה שלאח""כ:",
1,1,"אמנם לפ""ז ק""ל אהא דאמרינן כולהו כרבינא ל""א רוב מצויים דמנ""ל להש""ס דלמא ס""ל דל""א רוב מומחים ולא רוב מוחזקים ואסור לשחוט רק בידוע שהוא מומחה ומוחזק בשלמא בלא דברי הראב""ן י""ל דפליגי רק על חד ואמרי דס""ל דל""א רוב מומחים או דל""א רוב מוחזקים (בדפוס ברלין הגי' כך:",
1,1,"בשלמא בלא דברי הראב""ן י""ל עפ""י תירוצם של תוס' על קושייתם הנ""ל, דהא מייתי תנאי בתר הכי, א""כ י""ל כיון דעכ""פ לת""ק מוכח דאמרי' רוב מומחי' ורוב מוחזקי', ומאינך תנאי דפליגי לא מוכח דפליגי רק על חד ואסרי דס""ל דל""א רוב מומחי', או דל""א רוב מוחזקי'), אבל לומר דפליגי בתרתי לענין רובא דמומחים ורובא דמוחזקים מה""ת ומש""ה לא הומ""ל דס""ל להאמוראי דבעי' מומחה ומוחזק גם י""ל כיון דבאמת דחי' לה בסוגיא דהתם דפליגי רק במצאן באשפה א""כ כולהו ס""ל דמצאן שחוטים מותרים דאמרי' רוב מומחים ומוחזקים מש""ה מוקמינן טעמא דאמוראי בהכי דסלקא לפי ההלכה (אבל לשטת הראב""ן הנ""ל שפיר קשה כנ""ל דממה דמתירין באבדו גדייו היינו דהוי כלא מצינן למרדף אבתריה), אבל במצינן למרדף י""ל דלא סמכינן לא על רוב מומחים ולא על רובא דמוחזקים. וא""כ מנ""ל להש""ס דאינך אמוראי פליגי לקולא עם רבינא דלמא בהיפוך דפליגי לחומרא דלא ישחוט אא""כ בידוע שהוא מומחה ומוחזק וצ""ע:",
1,1,"(בהג""ה) וי""א דאין לסמוך. קשה לי הא כיון דס""ד להעטור דלא בעי' שנדע בבירור דאינו מתעלף דמלישנא דלעלפוי' לא חיישי' משמע דליכא חשש כלל א""כ ממילא לל""ב דס""ל לרבינא מוחזקים אע""פ שאין מומחין בודאי הדין כן לדידן דכל בסתם שוחט לכתחילה דהרי אפי' רבינא (דמיקל) (דמחמיר) ס""ל דלענין מומחין סומכין לכתחילה על הרוב. אלא דס""ל דבעינן מוחזקים ובזה הא קיי""ל כאינך אמוראי דלעלפוי' לא חיישינן כלל. [אמה""ל עי' בדברי רבינו לקמן סעי' ג']:","@22(בהג""ה) @11וי""א דאין לסמוך. @33קשה לי הא כיון דס""ד להעטור דלא בעי' שנדע בבירור דאינו מתעלף דמלישנא דלעלפוי' לא חיישי' משמע דליכא חשש כלל א""כ ממילא לל""ב דס""ל לרבינא מוחזקים אע""פ שאין מומחין בודאי הדין כן לדידן דכל בסתם שוחט לכתחילה דהרי אפי' רבינא (דמיקל) (דמחמיר) ס""ל דלענין מומחין סומכין לכתחילה על הרוב. אלא דס""ל דבעינן מוחזקים ובזה הא קיי""ל כאינך אמוראי דלעלפוי' לא חיישינן כלל. [אמה""ל עי' בדברי רבינו לקמן סעי' ג']: "
