Ref,Text
Genesis 2:7,"God יהוה formed the Human<sup>*</sup><i class='footnote'><b>the Human </b>I.e., the progenitor of the species and the point of origin for human society. Heb. <i>ha-’adam</i>; trad. “man.” In the eyes of ancient Israel, the typical initiator of a lineage was male, and so the first human being would also have been imagined as male. See further the Dictionary under <i>’adam</i>.</i> from the soil’s humus,<sup>*</sup><i class='footnote'><b>soil’s humus </b>Heb. <i>‘afar min ha-’adamah</i>, rendered to emulate the wordplay with Heb. <i>ha-’adam</i> “the Human”; more precisely, “loose dirt from the soil.” NJPS “dust of the earth.”</i> blowing into his nostrils the breath of life: the Human became a living being."
Genesis 2:12,"(The gold of that land is good; bdellium is there, and lapis lazuli.<sup>*</sup><i class='footnote'><b>lapis lazuli </b>Others “onyx”; meaning of Heb. <i>shoham</i> uncertain.</i> )"
Genesis 2:21,"So God יהוה cast a deep sleep upon the Human; and, while he slept, [God] took one of his sides<sup>*</sup><i class='footnote'><b>sides </b>Heb. <i>ṣela‘ot</i>, trad. “ribs.” Cf. 1 Kings 6.34; Exod. 25.12; 26.20, 26–27, 35; 30.4.</i> and closed up the flesh at that site."
Genesis 2:23,"Then the Human said,<br/>“This one at last<br/>Is bone of my bones<br/>And flesh of my flesh.<br/>This one shall be called Woman,<sup>*</sup><i class='footnote'><b>Woman </b>Heb. <i>’ishshah</i>; so trad. More precisely in context, “a (female) member of the human species.” See next note and the Dictionary under <i>’ish</i>.</i> <br/>For from a Human<sup>*</sup><i class='footnote'><b>a Human </b>More precisely, “the (formerly lone) member of the human species.” NJPS “man”; trad. “Man.” See the Dictionary under <i>’ish</i>.</i> was she taken.”"
Genesis 2:24,"Hence a man<sup>*</sup><i class='footnote'><b>man </b>So trad.; Heb. <i>’ish</i>. Contrast the previous verse.</i> leaves his father and mother and clings to his wife,<sup>*</sup><i class='footnote'><b>wife </b>So trad.; Heb. <i>’ishshah</i> (with possessive suffix). Cf. the previous note and contrast the previous verse.</i> so that they become one flesh."
Genesis 2:25,"The two of them were naked,<sup>*</sup><i class='footnote'><b>naked </b>Heb. <i>‘arummim</i>, play on <i>‘arum</i> “shrewd” in 3.1.</i> the Human<sup>*</sup><i class='footnote'><b>the Human </b>Heb. <i>ha-’adam</i>; trad. “the man.” See note at v. 7.</i> and his wife, yet they felt no shame."
Genesis 3:19,"By the sweat of your brow<br/>Shall you get bread to eat,<br/>Until you return to the ground—<br/>For from it you were taken.<br/>For dust<sup>*</sup><i class='footnote'><b>dust </b>Heb. <i>‘afar</i>. Cf. the second note at 2.7.</i> you are,<br/>And to dust you shall return.”"
Genesis 3:20,"The Human named his wife Eve,<sup>*</sup><i class='footnote'><b>Eve </b>Heb. <i>ḥawwaḥ</i>.</i> because she was the mother of all the living.<sup>*</sup><i class='footnote'><b>living </b>Heb. <i>ḥai</i>.</i> "
Genesis 4:1,"Now the Human knew<sup>*</sup><i class='footnote'><b>knew </b>Heb. <i>yada‘</i>, often in a sexual sense.</i> his wife Eve, and she conceived and bore Cain, saying, “I have gained<sup>*</sup><i class='footnote'><b>gained </b>Echoing the Heb. wordplay: <i>qanithi</i>, connected with “Cain”; lit. “created, acquired.”</i> a person<sup>*</sup><i class='footnote'><b>a person </b>Or “someone new.” Lit. “a participant whose involvement defines the depicted situation.” Unlike “man” in contemporary English, Heb. <i>’ish</i> can include infants in its denotative scope, as here and in Isa. 66.13. NJPS “male child”; trad. “man.” Cf. note at Num. 30.4 and see the Dictionary under <i>’ish</i>.</i> with the help of<sup>*</sup><i class='footnote'><b>with the help of </b>Or “as did”; precise force of Heb. <i>’et</i> uncertain.</i> יהוה.”"
Genesis 4:18,"To Enoch was born Irad, and Irad begot Mehujael, and Mehujael<sup>*</sup><i class='footnote'><b>Mehujael </b>Heb. <i>Meḥiya’el</i>.</i> begot Methusael, and Methusael begot Lamech."
Genesis 4:25,"Adam knew his wife again, and she bore a son and named him Seth, meaning, “God has provided me with<sup>*</sup><i class='footnote'><b>provided me with </b>Or “established for me”; Heb. <i>shath</i>, connected with “Seth.”</i> another offspring in place of Abel,” for Cain had killed him."
Genesis 5:2,"male and female were they created. And when they were created, [God] blessed them and called them Humankind.<sup>*</sup><i class='footnote'><b>Humankind </b>Heb. <i>’adam</i>; NJPS “Man,” trad. “Adam.”</i> —"
Genesis 5:29,"And he named him Noah, saying, “This one will provide us relief<sup>*</sup><i class='footnote'><b>relief </b>Connecting Noah with Heb. <i>niḥam</i> “to comfort”; cf. 9.20ff.</i> from our work and from the toil of our hands, out of the very soil which יהוה placed under a curse.”"
Genesis 6:14,"Make yourself an ark of <i>gopher</i> wood; make it an ark with compartments, and cover it inside and out with pitch."
Genesis 9:27,"May God enlarge<sup>*</sup><i class='footnote'><b>enlarge </b>Heb. <i>yapht</i>, play on Heb. <i>yepheth</i> “Japheth.”</i> Japheth,<br/>And let him dwell in the tents of Shem;<br/>And let Canaan be a slave to them.”"
Genesis 10:10,"The mainstays of his kingdom were Babylon, Erech, Accad, and Calneh<sup>*</sup><i class='footnote'><b>and Calneh </b>Heb. <i>we-khalneh</i>, better vocalized <i>we-khullanah</i> “all of them being.”</i> in the land of Shinar."
Genesis 10:25,"Two sons were born to Eber: the name of the first was Peleg, for in his days the earth was divided;<sup>*</sup><i class='footnote'><b>divided </b>Heb. <i>niphlegah</i>, play on “Peleg.”</i> and the name of his brother was Joktan."
Genesis 11:9,"That is why it was called Babel,<sup>*</sup><i class='footnote'><b>Babel </b>I.e., “Babylon.”</i> because there יהוה confounded<sup>*</sup><i class='footnote'><b>confounded </b>Heb. <i>balal</i> “confound,” play on “Babel.”</i> the speech of the whole earth; and from there יהוה scattered them over the face of the whole earth."
Genesis 12:11,"As he was about to enter Egypt, he said to his wife Sarai, “I<sup>*</sup><i class='footnote'><b>I </b>Or “You”; cf. the second-person feminine form <i>-ti</i> in Judg. 5.7; Jer. 2.20; Mic. 4.13, etc.</i> know what a beautiful woman you are."
Genesis 12:20,"And Pharaoh put agents<sup>*</sup><i class='footnote'><b>agents </b>Lit. “participants whose involvement defines the depicted situation”; trad. “men.” Cf. Josh. 10.18. See the Dictionary under <i>’ish</i>; Agent.</i> in charge of him, and they sent him off with his wife and all that he possessed."
Genesis 14:14,"When Abram heard that his kinsman’s [household] had been taken captive, he mustered his retainers,<sup>*</sup><i class='footnote'><b>retainers </b>Meaning of Heb. <i>ḥanikh</i> uncertain.</i> born into his household, numbering three hundred and eighteen, and went in pursuit as far as Dan."
Genesis 14:18,And King Melchizedek of Salem brought out bread and wine; he was a priest of God Most High.<sup>*</sup><i class='footnote'><b>God Most High </b>Heb. <i>El ‘Elyon</i>.</i> 
Genesis 15:2,"But Abram said, “O lord יהוה,<sup>*</sup><i class='footnote'><b>lord יהוה </b>Heb. <i>’adonai y-h-w-h</i>, traditionally read aloud as <i>’adonai ’elohim</i> (rather than <i>’adonai</i> twice). NJPS “Lord God.” See also the Dictionary under “male metaphors for God.”</i> what can You give me, seeing that I shall die childless, and the one in charge of my household is Dammesek Eliezer!”<sup>*</sup><i class='footnote'><b>and the one in charge of my household is Dammesek Eliezer </b>Meaning of Heb. uncertain.</i> "
Genesis 16:2,"And Sarai said to Abram, “Look, יהוה has kept me from bearing. Consort with my maid; perhaps I shall have a child<sup>*</sup><i class='footnote'><b>have a child </b>Lit. “be built up,” play on <i>ben</i> “child” and <i>banah</i> “build up.” See the Dictionary under <i>ben</i>.</i> through her.” And Abram heeded Sarai’s request."
Genesis 16:12,"He shall be a wild ass of a person;<sup>*</sup><i class='footnote'><b>person </b>Or perhaps “sire” (cf. Josh. 14.15, Gen. 2.22b–4.1, and Phoenician usage). Trad. “man.” See the Dictionary under <i>’adam</i>.</i> <br/>His hand against everyone,<br/>And everyone’s hand against him;<br/>He shall dwell alongside of all his kin.”"
Genesis 17:19,"God said, “Nevertheless, Sarah your wife shall bear you a son, and you shall name him Isaac;<sup>*</sup><i class='footnote'><b>Isaac </b>Heb. <i>Yiṣḥaq</i>, from <i>ṣaḥaq</i>, “laugh.”</i> and I will maintain My covenant with him as an everlasting covenant for his offspring to come."
