mishnah_tref,yerushalmi_french_text
Mishnah Shabbat 1:1,"L’interdit du transport au jour du Shabat se divise en 2 sections<sup>1</sup><i class=""footnote"">B. Chevouot 5a.</i>, qui à leur tour comprennent 4 défenses pour l’intérieur et autant à l’extérieur. Supposons p. ex. un pauvre placé au dehors et le maître de maison chez lui; si le pauvre tend la main à l’intérieur et remet (son panier) dans la main du maître, ou s’il en prend un objet et le porte au dehors, ce pauvre est punissable, non le maître. Si au contraire le maître tend la main du dehors et remet quelque chose dans celle du pauvre, ou s’il en prend un objet (le panier) et le porte à l’intérieur, le maître est punissable, non le pauvre. Si le pauvre tend la main à l’intérieur et que le maître de maison en tire quelque chose, ou si ce dernier y remet un objet que le pauvre porte au dehors, tous deux sont dispensés des peines. Si le maître de maison tend la main au dehors<sup>2</sup><i class=""footnote"">Shabat 92a.</i> et que le pauvre en retire un objet, ou si celui-ci lui remet (le panier) et que le maître le porte à l’intérieur, aucun d’eux n’est blâmable."
Mishnah Shabbat 1:2,"Peu avant l’heure de la prière des vêpres<sup>28</sup><i class=""footnote"">Voir t. 1, p. 71-74 et N.</i>, on ne devra pas s’asseoir devant le barbier, sans avoir récité l’Amida au préalable, ni entrer au bain, ni à la tannerie<sup>29</sup><i class=""footnote"">Selon Maïmonide, Bourseqi serait une localité célèbre par sa tannerie.</i>, ni se mettre à table, ni entrer en justice. Toutefois, si l’on a commencé l’une de ces opérations, on n’est pas tenu de les interrompre. On interrompt toute occupation (même religieuse) pour réciter le Shema à l’heure fixe, mais non pour la prière de l’Amida<sup>30</sup><i class=""footnote"">(Berakhot 3, 2), et (Bikurim 3, 3).</i>."
Mishnah Shabbat 1:3,"Près de la nuit du vendredi soir, le tailleur ne devra plus sortir muni de son aiguille, de crainte que, par oubli, il la porte encore la nuit, ni l’écrivain<sup>36</sup><i class=""footnote"">Cf. (Pea 2, 6)</i> (libellarius) avec sa plume calamo"". Il n’est pas permis, à la lumière de la lampe, d’examiner ses vêtements pour enlever les insectes, ni de lire<sup>37</sup><i class=""footnote"">De crainte de toucher à la lumière.</i>. En vérité, il a été établi légalement<sup>38</sup><i class=""footnote"">(Kilayim 2, 2).</i>: le maître d’école peut voir comment les enfants lisent, mais non lire lui-même; de même qu’un homme atteint de gonorrhée ne devra pas s’attabler avec une femme atteinte du même mal, afin d’éviter toute occasion de pécher."
Mishnah Shabbat 1:4,"Ces dernières règles sont de celles qui ont été énoncées (sans discussion) dans la chambre supérieure de Hanania b. Hiskia b. Gorion, lorsque les savants vinrent lui rendre visite. Ce jour là, on procéda au vote pour prendre une décision sur les opinions émises; l’école de Shammaï obtint la majorité sur celle de Hillel, et 18 ordres divers<sup>50</sup><i class=""footnote"">On les énumère tous ci-après.</i> furent prononcés ce jour-là selon la 1re école."
Mishnah Shabbat 1:5,"L’école de Shammaï dit: on ne doit pas (la veille du Shabat) faire tremper des ingrédients pour l’encore, ou des épices, ou des vesces de fourrage, à moins que leur trempage puisse encore s’effectuer le même jour; selon Hillel, c’est permis."
Mishnah Shabbat 1:6,"Shammaï dit: il n’est pas permis de mettre au four (le vendredi) des touffes de lin<sup>73</sup><i class=""footnote"">Le comment. Traduit par le mot roman: arestes.</i>, à moins qu’il reste encore assez de temps pour qu’elles s’évaporent et sèchent le même jour; ni la laine dans la marmite, si elle ne peut pas le même jour aspirer la couleur; mais Hillel le permet. Selon Shammaï, on ne doit pas en ce jour tendre des pièges et filets aux bêtes sauvages, aux oiseaux, ni aux poissons, à moins qu’il puissent encore être pris avant la nuit. Hillel le permet."
Mishnah Shabbat 1:7,"Shammaï dit: on ne doit rien vendre au païen, ni l’aider à charger, ni lui mettre des fardeaux sur le dos, qu’il transporterait pendant le Shabat, à moins qu’il reste assez de temps pour qu’il arrive avec sa charge dans une localité voisine. Hillel le permet en tous cas."
Mishnah Shabbat 1:8,"Shammaï dit: on ne doit pas en ce jour donner des peaux à un tanneur païen, ni du linge à un blanchisseur païen<sup>85</sup><i class=""footnote"">""Maïmonide le compare à l'arabe (adjectif formé régulièrement de la racine qaçar), que Freytag traduit: """" tundendo lavandoque dealbavit (vestem) fullonum more """". Ce serait donc plutôt foulon qu'il faut traduire ici.""</i>, à moins qu’il reste assez de temps pour achever une telle opération le même jour. Pour ces deux travaux, Hillel autorise de les donner à faire, aussi longtemps que brille le soleil."
Mishnah Shabbat 1:9,R. Simon b. Gamliel dit: chez mon père c’était l’usage de mettre au blanchisseur le linge blanc trois jours avant le Shabat. Les 2 écoles s’accordent à permettre de charger les presses à huile de poutres et le cuvier avec des cylindres de compression peu avant le Shabat (bien que l’opération s’achèvera en ce jour).
Mishnah Shabbat 1:10,"On ne mettra pas à rôtir de la viande, ou de l’oignon, ou un œuf, à moins que la cuisson puisse s’achever le jour. On ne mettra pas de pain au jour vers le crépuscule, ni de gâteau<sup>86</sup><i class=""footnote"">Le comment. Qorban ' Eda traduit: foncada (fouasse).</i> sur les charbons, à moins qu’une légère croûte<sup>87</sup><i class=""footnote"">Ibid., croste (en roman, nous dit M. Darmesteter).</i> puisse encore être formée le jour sur toute la surface. Selon R. Eliézer, il suffit que la partie inférieure ait durci."
