mishnah_tref,talmud_tref,french_text,hebrew_text
Mishnah Berakhot 1:1,Jerusalem Talmud Berakhot 1:1:1,"A partir de quel moment récite-t-on la prière de shema<sup>1</sup><i class=""footnote"">""C'est la principale formule de la liturgie juive, qui a été ainsi désignée d'après le mot par lequel elle commence: Schema', écoute Israël, etc. """" Elle se compose de six versets du Deutéronome (Dt 6, 4-9) que l'ont doit réciter soir et matin.""</i> du soir? Depuis l’instant auquel les cohanim rentrent au Temple pour manger de la terouma (oblation)<sup>2</sup><i class=""footnote"">""Lorsqu'un Cohen, officiant du temple, était devenu impur, il ne pouvait manger des saintetés pendant toute la journée; au coucher du soleil, il allait prendre un bain de purification, puis il pouvait manger les oblations qui faisaient partie de ses revenus. voyez (Lv 22, 7).""</i>, jusqu’à la fin de la première veille<sup>3</sup><i class=""footnote"">On suppose la nuit partagée en trois ou quatre veilles, de quatre ou trois heures chacune. L'Eglise a conservé la dénomination de vigiles (pour ses offices) d'après cette même division. La nuit, quelle que soit sa longueur, est divisée en douze heures, variables selon la saison, car ce sont moins des heures que des fractions de la nuit plus ou moins longues: la 1ère heure = 6 heures du soir à 7 h., et ainsi de suite.</i>. C’est l’avis de R. Eliézer; les (autres) sages<sup>4</sup><i class=""footnote"">Ou la plupart des docteurs, c'est-à-dire la majorité de l'assemblée.</i> disent jusqu’à minuit, et R. Gamliel dit: jusqu’au lever de l’aurore<sup>5</sup><i class=""footnote"">Selon le commentaire de Maïmonide, l'aurore précède d'une heure 1/5 le lever du soleil. Il attribue le phénomène optique aux vapeurs qui s'élèvent sans cesse de la terre et rapprochent ainsi par réfraction la lumière du disque solaire. Il fixe la hauteur des nuages, qu'il donne pour celle de l'atmosphère, à 51 milles talmudiques, qui sont de 18' chacun selon les uns, et de 24' selon les autres.</i>. Voici un fait (à l’appui de cet avis): Ses fils, revenant (après minuit) d’un festin, potatio, lui dirent: Nous n’avons pas encore récité le shema. Il leur répondit: si l’aurore n’est pas encore levée, vous devez réciter ladite prière. Non seulement pour ce sujet, mais pour tout ce que les sages ont limité par l’heure de minuit, il est permis légalement de l’accomplir jusqu’à l’aurore. La combustion des graisses ou de membres de certains sacrifices, ainsi que la consommation de tout ce qui a la journée complète pour limite, peut également être accomplie jusqu’à l’aurore. Pourquoi alors dit-on jusqu’à minuit? Pour éloigner l’homme du péché (par une limite anticipée).","מאימתי קורין את שמע בערבין משעה שהכהנים נכנסין לוכל בתרומתן עד סוף האשמורת הראשונה דברי ר""א. וחכמים אומרים עד חצות. ר""ג אומר עד שיעלה עמוד השחר. מעשה ובאו בניו מבית המשתה ואמרו לו לא קרינו את שמע אמר להן אם לא עלה עמוד השחר חייבין אתם לקרות. ולא זו בלבד אמרו אלא כל שאמרו חכמים עד חצות מצותן עד שיעלה עמוד השחר. הקטר חלבים ואיברים מצותן עד שיעלה עמוד השחר. כל הנאכלים ליום אחד מצותן עד שיעלה עמוד השחר. אם כן למה אמרו חכמים עד חצות כדי להרחיק את האדם מן העבירה:"
Mishnah Berakhot 1:2,Jerusalem Talmud Berakhot 1:2:1,"A partir de quel moment lit-on le shema du matin? Lorsqu’on peut distinguer le bleu d’avec le blanc, ou, selon R. Eliézer, le bleu du vert (ce qui est plus difficile). On termine cette prière, lorsque le soleil rayonne, ou jusqu’à la troisième heure (9 heures), selon R. Josué<sup>62</sup><i class=""footnote"">Pour la division des heures, voir p. 1, n. 3.</i>, car c’est l’usage des princes de se lever à cette heure<sup>63</sup><i class=""footnote"">""Or, selon les termes bibliques, chacun devra être alors """" levé """".""</i>. La lecture faite après cette heure n’est cependant pas sans valeur; elle équivaut à une lecture ordinaire d’un passage de la Tora","מאימתי קורין את שמע בשחרית משיכיר בין תכלת ללבן ר""א אומר בין תכלת לכרתן. עד הנץ החמה ור' יהושע אומר עד שלש שעות שכן דרך בני מלכים לעמוד בשלש שעות הקורא מיכן ואילך לא הפסיד כאדם שהוא קורא בתורה:"
Mishnah Berakhot 1:3,Jerusalem Talmud Berakhot 1:3:1,"L’école de Shammaï dit: Le soir, chacun doit se coucher pour faire cette lecture, et le matin se tenir pour cela debout, car il est écrit (Dt 6, 7): en te couchant et en te levant. L’école d’Hillel dit: Chacun lit à volonté, quelle que soit sa position, puisqu’il est dit (ibid): En parcourant la route<sup>73</sup><i class=""footnote"">Or, la marche ne permet de rester debout, et encore moins d'être couché.</i>. Pourquoi est-il dit alors: En te couchant et en te levant? Cela signifie: Au moment où les hommes se couchent et lorsqu’ils se lèvent.","בש""א בערב כל אדם יטו ויקרו ובבוקר יעמדו שנאמר (דברים ו) בשכבך ובקומך וב""ה אומרים כל אדם קורין כדרכן שנאמר (שם) [בשבתך בביתך] ובלכתך בדרך א""כ למה נאמר בשכבך ובקומך אלא בשעה שבני אדם שוכבין ובשעה שבני אדם עומדים:"
Mishnah Berakhot 1:3,Jerusalem Talmud Berakhot 1:4:1,"Je me suis trouvé en route, dit R. Tarphon; et, m’étant penché pour faire la lecture, selon l’avis de Shammaï, j’ai couru le danger d’être pris par les brigands (ne les ayant pas vus à temps): tu mériterais d’être en danger, lui fut-il répondu, pour n’avoir pas suivi l’opinion de Hillel.","א""ר טרפון אני הייתי בא בדרך והטיתי לקרות כדברי ב""ש וסיכנתי בעצמי מפני הלסטים אמרו לו כדי היית לחוב בעצמך שעברת על דברי ב""ה: "
Mishnah Berakhot 1:4,Jerusalem Talmud Berakhot 1:5:1,"Le matin, on dit deux bénédictions avant le shema et une après cette prière; le soir, il est précédé et suivi de deux bénédictions, dont l’une est longue et l’autre courte: dès qu’une prière longue est ordonnée, il n’est pas permis d’en dire une courte, ni de faire l’inverse; lorsqu’on doit la terminer par la formule de clôture (sois loué, Eternel, etc.), il n’est pas permis de supprimer cette formule, et vice versa.",בשחר מברך שתים לפניה ואחת לאחריה ובערב מברך שתים לפניה ושתים לאחריה אחת ארוכה ואחת קצרה מקום שאמרו להאריך אינו רשאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום שלא לחתום אינו רשאי לחתום:
Mishnah Berakhot 1:5,Jerusalem Talmud Berakhot 1:6:1,"On rappelle dans la prière du soir la sortie d’Egypte R. Eléazar ben-Azariâ dit<sup>105</sup><i class=""footnote"">""Cf. Sifri, section Reéh, ch. 130 fin.; Mekhilta, section Bô, ch. 16.""</i>: Je suis presque un septuagénaire, et je n’ai pu parvenir à faire réciter au soir la section contenant la Sortie d’Egypte, que lorsque Ben-Zoma l’eut déduite de ces paroles (Dt 16, 2): Souviens-toi de l’instant où tu es sorti du pays d’Egypte, tous les jours de ta vie. Les jours de ta vie représentent le jour (en général); l’addition du mot tous indique aussi les nuits. Selon les Sages, les jours de ta vie représentent la vie actuelle, et le mot tous comprend les jours du Messie.",מזכירין יציאת מצרים בלילות אמר להן ר' אלעזר בן עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר (דברים טז) למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך העולם הבא להביא את ימות המשיח:
Mishnah Berakhot 2:1,Jerusalem Talmud Berakhot 2:1:1,"Si quelqu’un étudie le passage du shema dans le Pentateuque et qu’arrive l’instant de la récitation, il suffira d’y appliquer son attention (à titre de culte); au cas contraire, cette lecture ne suffit pas. Entre les chapitres, l’on peut le premier saluer les personnes qu’il faut honorer et l’on peut répondre aux saluts; au milieu d’un chapitre, on ne doit saluer ni répondre qu’en cas de crainte ou de danger<sup>113</sup><i class=""footnote"">L'interruption de la prière, à moins d'être inévitable ou indispensable, constitue une irrévérence envers Dieu, que le sentiment du respect explique aisément et il ne faut pas oublier, d'autre part, combien les Orientaux attachent de l'importance aux saluts, et quels dangers les Juifs couraient au milieu des Romains.</i>. C’est l’avis de R. Meir. R. Juda dit: Si l’on est au milieu, on adresse le salut en cas de danger, et, pour faire honneur à quelqu’un, l’on répond seulement; mais entre les chapitres, on salue pour faire honneur et l’on répond à tout le monde.",היה קורא בתורה והגיע זמן המקרא אם כיון לבו יצא ואם לאו לא יצא. ובפרקים שואל מפני הכבוד ומשיב. ובאמצע שואל מפני היראה ומשיב דברי ר' מאיר. ור' יהודה אומר באמצע שואל מפני היראה ומשיב מפני הכבוד. ובפרקים שואל מפני הכבוד ומשיב שלום לכל אדם:
Mishnah Berakhot 2:1-2,Jerusalem Talmud Berakhot 2:2:1,"Voici ce qu’on appelle les intervalles des chapitres: entre la première et la seconde bénédiction, entre la seconde et le shema, entre chacune des trois sections du shema, entre celui-ci et la bénédiction que le suit. R. Juda défend l’interruption entre la troisième section et la bénédiction qui suit.",ואלו הן בין הפרקים בין ברכה ראשונה לשנייה בין שנייה לשמע בין שמע לוהיה אם שמוע בין והיה אם שמוע לויאמר בין ויאמר לאמת ויציב. ר' יהודה אומר בין ויאמר לאמת ויציב לא יפסיק:
Mishnah Berakhot 2:2,Jerusalem Talmud Berakhot 2:3:1,"Pourquoi, demande R. Josué ben-Korha, les sections sont-elles ainsi disposées<sup>134</sup><i class=""footnote"">Pourquoi ne pas dire en dernier la section qui, dans la Bible, est postérieure? Et pourquoi dire celle des Nb après celles du Dt?</i>? Pour qu’on fasse d’abord profession de foi, puis acte d’adhésion aux préceptes de la loi. Le passage (des Nombres) qui forme la troisième section (quoique antérieur) est placé en dernier lieu, parce qu’il ne s’applique qu’au jour<sup>135</sup><i class=""footnote"">Il renferme le précepte de porter et de voir les tsitsith (franges).</i>, tandis que la seconde n’a pas de limite.","א""ר יהושע בן קרחה למה קדמה שמע לוהיה אם שמוע כדי שיקבל עליו מלכות שמים תחילה ואחר כך יקבל עליו עול מצות והיה אם שמוע לויאמר שוהיה אם שמוע נוהג ביום ובלילה ויאמר אינו נוהג אלא ביום:"
Mishnah Berakhot 2:3,Jerusalem Talmud Berakhot 2:4:1,"Si quelqu’un récite le shema tellement bas qu’il ne s’entende pas lui-même<sup>157</sup><i class=""footnote"">Cf. Sifri à (Dt 6, 4).</i>, il a pourtant accompli le devoir; selon R. Yossé, cela ne suffit pas. S’il récite incorrectement, il n’est pas tenu de recommencer, selon R. Yossé; mais il le faut, selon R. Juda. Celui qui récite à rebours n’est pas dispensé d’une nouvelle lecture, et celui qui se trompe dans sa récitation doit reprendre à partir de l’endroit où il s’est trompé.",הקורא את שמע ולא השמיע לאזנו יצא. רבי יוסי אומר לא יצא. קרא ולא דיקדק באותיותיה ר' יוסי אומר יצא. ר' יהודה אומר לא יצא. הקורא למפרע לא יצא. קרא וטעה יחזור למקום שטעה:
