Perek:Comment, Off-by, Comment Text
1:5, -1,  ""@45{$}(ד)@46 ואמר ר' יהושע בן לוי. דבר זה וכו' כצ"ל (ע"א י"ט:) כל המאמר. ובכאן חסר קצת: 
""1:6, -1,  ""@45{$}(ה)@46 דכתיב אדם כי יקריב. חסר וכצ"ל נשנית באהל מועד דכתיב מאהל מועד אדם כי יקריב וכו': 
""1:7, -1,  ""@45{$}(ו)@46 בערבות מואב דכתיב לפלא נדר (במדבר ט"ו) ושם נאמר אח"כ בערבות מואב עיין (סוטה ל"ז) בפירש"י. כללות נאמרו בסיני ע"ש וצ"ע: 
""1:8, -1,  ""@45{$}(ז)@46 לפיכך נקראו הלוים וכו'. בר"ר פ' ס"ח ויק"ר ש"א ע"ש: 
""1:9, -1,  ""@45{$}(ח)@46 ששה שמות וכו'. (מגילה י"ג.) ויק"ר פ"א ע"ש: 
""1:10, -1,  ""@45{$}(ט)@46 ר' שמואל ב"ר אמי. בויק"ר הגירסא ר' ישמעאל ב"ר אמי: 
""1:11, -1,  ""@45{$}(י)@46 שביתר את העגל. קאי על אהרן שויתר לו הקב"ה מעשה העגל: 
""1:12, -1,  ""@45{$}(יא)@46 כאשר צוה ה' וכו'. י"ח פעמים עיין ויק"ר שם י"ח צוויים כתיב בפרשת משכן כנגד י"ח מוליות שבשדרה וכנגדן קבעו י"ח אזכרות שבמזמור הבו לה' בני אלים: 
""1:13, -1,  ""@45{$}(יב)@46 שמא תאמר וכו' באברהם וכו'. אינו מובן וכנראה חסר. עיין ויק"ר שם ויקרא אל משה ולא כאברהם באברהם כתיב ויקרא מלאך ה' אל אברהם המלאך קורא והדבור מלמד ברם הכא אמר הקב"ה אני הקורא ואני המדבר וזה שסיים ויקרא וידבר שהקב"ה קרא לו והוא עצמו היה המדבר: 
""1:14, -1,  ""@45{$}(יג)@46 ואין אור אלא תורה. עיין בר"ר פ"ג ה' פעמים כתיב אור כנגד חמשה חומשי תורה. וכ"ה בתנחומא כאן: 
""1:15, -1,  ""@45{$}(יד)@46 לא היה שם גדול ממשה. בויק"ר אז דברת בחזון זה משה וכו' תדע שמכולן לא קרא הדבור אלא למשה ובכאן קיצר הדורש. ועיין (יומא יד.) לחלוק כבוד למשה: 
""1:16, -1,  ""@45{$}(טו)@46 מכאן לא יכנס וכו'. בויק"ר מכאן אמרו כל ת"ח שאין בו דעה כו' צא ולמד ק"ו ממשה אב החכמה וכו'. 
""1:17, -2,  ""@45{$}(טו)@46 וזה אחד מי"ג מדות. ת"כ כה"ע ועיין (ב"ק כ"ה) תוס' ד"ה ק"ו ע"ש: 
""1:18, -2,  ""@45{$}(טז)@46@46 ק"ו לשכינה י"ד כו'. מיותר וכצ"ל ודבר זה נאמר בתורה שנוי בנביאים כו' ואביה ירוק ירק בפניה ק"ו לשכינה: 
""1:19, -2,  ""@45{$}(יז)@46 נידון נקרא דבר שבא לידון הימנו. זהו דברי המחבר לפרש מלת נידון וכן הרבה בספר הזה כי הוא מעתיק דברי הת"כ ומפרשו וזכרהו כי הוא כלל גדול בדברי המחבר הזה: 
""1:20, -5,  ""@45{$}(יה)@46 נאמר בש"ש אם לא שלח ידו וכו' ונאמר בש"ח אם לא שלח ידו מה בש"ש פטר את היורשים כן בש"ח. ובש"ש וכו' כצ"ל וכ"ה (שבועות מ"ז): 
""1:21, -2,  ""@45{$}(יט)@46 לנוחת אדם לבדו. פי' דבין משכב ובין מושב מיוחדים הם שינוח אדם עליהם ואינם עשויים להניח עליהם דבר זולת אדם: 
""1:22, -2,  ""@45{$}(כ)@46 כל שהוא ט"ס וכצ"ל אף כלים עשוי לנוחת אדם: 
""1:23, -2,  ""@45{$}(כא)@46 לסבלון אחר. פי' למשא אחרת עם האדם ואינו כמו מו"מ: 
