Perek:Comment, Off-by, Comment Text
2:26, 60,  ""@45{$}(פו)@46 ונותנו לכהן. קאי על הקרא האשם המושב לה' לכהן קנאו השם ונותנו לכהן: 
""2:51, -1,  ""@45{$}(נ)@46 להביא אשת הסריס. היינו סריס חמה שמותר לקיימה או שנעשה אח"כ סריס כשנשאה: 
""2:52, -1,  ""@45{$}(נא)@46 וכי יש אשה מזנה תחת בעלה. היינו שבעלה רואה כשהיא מזנה: 
""2:53, -1,  ""@45{$}(נב)@46 מכאן אתה דן. מסיפא דקרא בשבועת האלה: 
""2:54, -1,  ""@45{$}(נג)@46 תנן התם במדה כו'. (סוטה ח':): 
""2:55, -1,  ""@45{$}(נד)@46 בצילצול. היא חגורה: 
""2:56, -1,  ""@45{$}(נה)@46 זה בטנו וירכו של בועל. מיתורא דקרא דריש: 
""2:57, -1,  ""@45{$}(נו)@46 אמר רבא מגלת סוטה וכו' כצ"ל: 
""2:58, -1,  ""@45{$}(נז)@46 תנן התם בא לו. (סוטה י"ז.): 
""2:59, -1,  ""@45{$}(נח)@46 דברי ר"י כצ"ל וכה"ש במשנה: 
""2:60, -1,  ""@45{$}(נט)@46 אלא על המגלה שכתב בספר כצ"ל. 
""2:61, -1,  ""@45{$}(ס)@46 שאם פרסה נדה כו'. שהרי הכהן לא יכול ליקח מידה שלא תטמאנו ונם המנחה נטמאת ע"כ לא היתה שותה עד שתטהר: 
""2:62, -1,  ""@45{$}(סא)@46 לימד על מנחת סוטה וכו' והניף את המנחה לימד על מנחת סוטה שטעונה הנפה והגשה כצ"ל. 
""2:63, -1,  ""@45{$}(סב)@46 אמרו מעשה בב' אהיות. תנחומא וכן ברבה: 
""2:64, -1,  ""@45{$}(סג)@46 מצוה לדורות. היינו נוב וגבעון שילה ובית עולמים: 
""2:65, -1,  ""@45{$}(סד)@46 אשר תשטה. חסר. ובספרי להביא אשת חרש ואשת שיעמום ושהלך בעלה למדה"י שב"ד מקנאים לה לא להשקותה אלא לפוסלן מכתובתן: 
""2:66, -1,  ""@45{$}(סה)@46 להוציא הארוסה. דריש מקרא מבלעדי אישך שקדמה שכיבת הבעל לבועל: 
""2:67, -1,  ""@45{$}(סו)@46 כיון שקינא. אף לר"י שסובר לעיל וקינא רשות אעפ"כ אחר שקינא לה חובה להשקותה: 
""2:68, -1,  ""@45{$}(סז)@46 אם עשה נקה. היינו שיעשה דווקא כסדר האמור בפרשה זו. ודורש זה מן ועשה לה הכהן את כל התורה הזאת כסדר דווקא: 
""2:69, -1,  ""@45{$}(סח)@46 ובידו כח לעשות כפי שידו מגעת וכו' כצ"ל: 
""2:70, -1,  ""@45{$}(סט)@46 מלמד שהכנענים וכו'. ישראל למעוטי כנענים: 
""2:71, -1,  ""@45{$}(ע)@46 להיות נוהג לדורות. הכוונה לדורות בנוב וגבעון שילה ובית עולמים. ובזמן הזה אם נדר בנזירות הרי הוא נזיר עולם וחייב לעלות לא"י לנהוג שם נזירות עד שימות או עד שיבנה בית המקדש שיכול להקריב קרבנותיו: 
""2:72, -1,  ""@45{$}(עא)@46 מה בין נדר לנזירות שאם נדר יום כצ"ל: 
""2:73, -1,  ""@45{$}(עב)@46 מכאן אמרו במס'. (נדה מ"ה): 
""2:74, -1,  ""@45{$}(עג)@46 ולא שנדר בקרבן. אם נדר בקרבן אינו נזיר דכתיב לנדור נדר להזיר עד שידור בנדרו של נזיר: 
""2:75, -1,  ""@45{$}(עד)@46 להזיר עצמו וכו'. ט"ס וכצ"ל נדר נזיר את עצמו הוא מזיר ואינו מזיר את אתרים. 
""2:76, -1,  ""@45{$}(עה)@46 אמר שמעון הצדיק. (נדרים ד'): 
""2:77, -1,  ""@45{$}(עו)@46 שאין עונשין מן הדין. כי אם על משרת ענבים חייב ענבים עצמן לא כל שכן: 
""2:78, -1,  ""@45{$}(עז)@46 כל ימי נדר נזרו תער לא יעבור על ראשו הרי הכתוב מוצאו וכו' כצ"ל: 
""2:79, -1,  ""@45{$}(עח)@46 לעשות המגלח כמתגלח כצ"ל. פי' לוקה: 
""2:80, -1,  ""@45{$}(עט)@46 שאם אמר הריני נזיר וגילח בתוך ל' יכול יצא כצ"ל: 
""2:81, -1,  ""@45{$}(פ)@46 כל ימי הזירו. ט"ס וצ"ל כל ימי נזרו קודש הוא לה' להביא נזיר עולם כצ"ל למה נאמר לפי שהוא אומר עד מלאת הימים אין לי אלא שיש הפסק לנזירתו (היינו סתם נזיר שמנלח ליום ל') נזיר עולם מנין (שאינו מגלח רק לפרקים אם הכביד שערו) ת"ל כל ימי נזרו להביא נזיר עולם כצ"ל. 
""2:82, -1,  ""@45{$}(פא)@46 וכתיב כל ימי הזירו לה' על נפש מת לא יבוא כצ"ל: 
""2:83, -1,  ""@45{$}(פב)@46 אפילו בנפש בהמה. כדכתיב מכה נפש בהמה (נזיר מ"ח.) ע"ש: 
""2:84, -1,  ""@45{$}(פג)@46 ק"ו לאמו. שהיא וודאית: 
""2:85, -1,  ""@45{$}(פד)@46 מה אמו האמורה להלן בכ"ג במותם אינו מטמא אבל מטמא הוא לזיבתן אף אמו האמור בנזיר במותם אינו מטמא אבל מטמא הוא לנגעים ולזיבתן כצ"ל: 
""2:86, -1,  ""@45{$}(פה)@46 שאין הקטנים נזירין. ובנזיר שם וברבה ליתא דרשה זו ואם יהיה הפירוש שאין האב יכול להדיר בנו בנזיר קשה הלא האב מדיר בנו קטן בנזיר (נזיר כ"ח): 
""2:87, -1,  ""@45{$}(פו)@46 זו קדושת הגוף. שלא יטמא למתים. אף שמגלח אם הכביד שערו: 
""2:88, -1,  ""@45{$}(פז)@46 להוציא את הספק. היינו טומאת התהום אינו סותר בנזיר (נזיר ס"ג.): 
""2:89, -2,  ""@45{$}(פז)@46 פתע להביא את האונס. ובספרי הגי' פתע זה שוגג פתאום זה אונס: 
""2:90, -2,  ""@45{$}(פח)@46 במס' (כריתות ט') כצ"ל: 
""2:91, -2,  ""@45{$}(פט)@46 ומהו עליו. היינו כי ימות מת עליו וכו': 
""2:92, -2,  ""@45{$}(צ)@46 תנן התם על אלו טומאות וכו'. (נזיר פ"ז משנה ח'): 
""2:93, -2,  ""@45{$}(צא)@46 מת כל דהו. אפילו עצם כשעורה. 
""2:94, -2,  ""@45{$}(צב)@46 במי שהיה טהור ונטמא הכתוב מדבר. אבל לא בעת שנדר בנזיר והוא בבית הקברות זה אין טעון גלוח (נזיר י"ח) ואינו מגלח את כל בשרו. דה"א ללמוד ממצורע שמגלח כל שערו. 
""2:95, -2,  ""@45{$}(צג)@46 מכאן אמרו תגלחת הטומאה. פי' כיון דצריך לגלח בשביעי ולהביא קרבנותיו בשמיני מכאן אמרו וכו' ואם הביא ואח"כ גילח לא יצא: 
""2:96, -2,  ""@45{$}(צד)@46 שלא יביא תורים וכו'. פי' מה שמביא א' לחטאת וא' לעולה לא יביא תור לחטאת ויונה לעולה או להיפך אלא או כולם תורים או כולם בני יונה י 
