Perek:Comment, Off-by, Comment Text
1:38, -1,  ""@45{$}(לז)@46 שגופים. כמו סגופים. לענות נפש תרגום לסגפא נפשי': 
""1:39, -1,  ""@45{$}(לח)@46 מעמידין אותם בקלון כצ"ל. ופי' בבתי זנות: 
""1:40, -1,  ""@45{$}(לט)@46 ענקים. המחבר דהכא יפרש בני ענקים שהיו כ"כ גבורים שהיו מתגאין בגבורתם וכמו הקרא לכן ענקתמו גאוה: 
""1:41, -1,  ""@45{$}(מ)@46 ואומר אליכם לא תעלו ולא תלחמו. כל הפסקא בטעות וכן צ"ל ואומר אליכם לא תערצון ולא תראון מהם מפני מה שה' אלהיכם הוא ההולך עמכם וכו' (הוא הקרא השני) כצ"ל: 
""1:42, -1,  ""@45{$}(מא)@46 מי שעשה לכם בראשונים. הוא מצרים.כן יעשה באחרונים היינו בארץ כנען: 
""1:43, -1,  ""@45{$}(מב)@46 ואנכי תרגלתי לאפרים קחם על זרועותי. כמו הכא נשאך ה': 
""1:44, -1,  ""@45{$}(מג)@46 ת"ל הדור הרע הזה. היינו הגדולים שהיו במנין בני כ' שנה. אבל הקטנים יבואו לא"י: 
""1:45, 9,  ""@45{$}(ימד)@46 ותהינו לשון הין וכו'. עיין ראב"ע שני פירושים או לשון ה"ן היינו שאמרו אח"כ נעלה דוקא. או ותהינו לשון הין במידה. ויהיה הכוונה שמדדו עצמם לעלות בהר: 
""1:46, -1,  ""@45{$}(מה)@46 שכיבד את אביו. דורש רב לכם סוב את ההר הזה אין הרים אלא אבות וכ"ה בדברים רבה: 
""1:47, -1,  ""@45{$}(מו)@46 שלא יהיו מתגרים וכו'. היינו שלא ימרדו במלכיות. וכ"ה בהדיא בתנחומא וברבה מסיים ולא זו בלבד אלא אתה צו לראשי הדורות שינהגו בו כבוד: 
""1:48, -1,  ""@45{$}(מז)@46 עוברים אתם ולא יושבים. שאסור להם לישב בארץ בני עשו. ומה שמסיים שהפורענות עתידה לבוא אולי כוונתו על הגלות שבא אח"כ שהגלו ונתיישבו בין האומות: 
""1:49, -1,  ""@45{$}(מח)@46 שהם מלוחין ויבשים. הוא ט"ס. רק מחמת שהם מלוחים נאכלין מחמת מלחם עיין (ע"ז ל"ח:) בתוס' ד"ה דגים קטנים וכ"ה לקמן בדברי המחבר: 
""1:50, -1,  ""@45{$}(מט)@46 ואם עשה בהם ישראל שום מעשה. (ע"ז שם). ואתי ישראל וחתה בה חתויי והיינו שהיפך הגחלים ע"ש: 
""1:51, -1,  ""@45{$}(נ)@46 אע"פ שהתירו רבינו הקדוש. (ע"ז ל"ה:) רבי ובית דינו התירו השמן. וע"ש בפרש"י דלא גרסינן רבי רק ר' יהודה נשיאה והוא נכדו של רבי וע"ש בתוס' ד"ה אשר לא יתגאל: 
""1:52, -1,  ""@45{$}(נא)@46 כך לא התגריתי. ע"כ כתיב הלשון ונעבור שלא עכבו שם: 
""1:53, -1,  ""@45{$}(נב)@46 הוא שאמר רחב"א וכו'. (ב"ק ל"ח:): 
""1:54, -1,  ""@45{$}(נג)@46 מכאן אמרו כשם שעמדה חמה וכו'. (תענית כ.): 
""1:55, -1,  ""@45{$}(נד)@46 שהיתה קדומה. ויהיה הפירוש ממדבר קדמות כמו *מדבר קדמות למד משה ממלחמת פרעה: 
""1:56, -1,  ""@45{$}(נה)@46 מכאן אמרו עוג וכו'. מסיפא דקרא כי בידך נתתי אותו: 
""1:57, -1,  ""@45{$}(נו)@46 הם פלטין שלו. וכן הוא בתרגום שתרגם תרכונה. ובתרגום ירושלמי במגילת אסתר קורא לפלטין תרכונה: 
""1:58, -1,  ""@45{$}(נז)@46 צידונים יקראו לחרמון שריון. והאמורי יקראו לו שני"ר וכתיב שיאון וחרמון הרי ארבעה שמות: 
