1:8, ""@45{$}(ה)@46 משל למלך. המשל הזה מובא בסנהדרין ל"ט רע"ב. ועיין בפירש"י שם. 
""1:26, ""@45{$}(כה)@46 מכאן סמכו רבותינו. עיין תמורה ג' ע"ב. 
""1:27, ""@45{$}(כו)@46 אמר רב יצחק. מובא בילקוט בא רמז קפ"ז בשם התנחומא. ולא נמצא בתנחומא לפנינו. רק הוא בתנחומא כתב יד הנמצא גנוז ברומי בוואטיקאן. ובדוגמאות אשר נשלח אלי מהתחלת התנחומא הזה נמצא המאמר הזה. וכן פתח רש"י את פירושו עה"ת במאמר הזה. ועיין בנחל קדומים להגאון חיד"א ז"ל. ובלקוטים דף קפ"ב בזרע אברהם לידידי הרב החכם הגדול מהר"א בערלינר נ"י. 
""1:28, ""@45{$}(כז)@46 לא היה צריך לכתוב. בתנחומא כ"י וברש"י וילקוט הגי' להתחיל. 
""1:29, ""@45{$}(כה)@46 לא אמר ראשית. עיין בפירש"י על התורה. 
""1:30, ""@45{$}(כט)@46 וכן דרש ר' הושעיה רבה. כוונתו למדרש ב"ר פ"א במאמר ד"א אמון. ויען כי התחלתו ר' הושעיה רבה פתח נקרא מדרש דר' הושעיה רבה. ובקיצור "מדרש רבה". שהוא במקום מדרש דר' הושעיה רבה. 
""1:31, ""@45{$}(ל)@46 בדפתראיות ופינקיות. תקנתי בפנים שצ"ל ובפנקסאות. עיין ב"ר שם. ופי' דפטראות בל"י @500 יריעות של קלף (פערגא). ופי' פנקסאות ג"כ בל"י @500 לוחות לכתוב ולצייר עליהם (טאבעללא)). 
""1:32, ""@45{$}(לא)@46 ד"א למה בתחלה לשון ראשית יי צ"ל למה לא נאמר "בתחלה" אלא לשון "בראשית" והמאמר הזה מובא בילקוט בראשית רמז ב'. אר"י ב"ר שלום מקדם ומתחלה אין כתיב כאן אלא בראשית. בזכות ישראל שנקרא ראשית כו'. ומצוין שם "ב"ר" אולם לא מצאתי המאמר בב"ר והציון ב"ר מוסב על משל למה"ד. והמאמר הוא בתנחומא כ"י. ונמצא בדוגמאות אשר בידי מהתנחומא הגנוז בוואטיקאן ברומי. והציון תנחומא בילקוט שם במאמר שלפניו מוסב גם על זה. ובילקוט ירמיה רמז רס"ד רשם לנכון המאמר הזה בשם התנחומא. ובפירש"י עה"ת מובא ג"כ בראשית ברא דרשוה רבותינו בשביל התורה שנקראת ראשית דרכו. ובשביל ישראל שנקראו ראשית תבואתה. והעיר ע"ז הרב החכם מהר"א בערלינר בלקוטים שלא נמצא בב"ר. אולם מאשר הבאתי תראה כי דברי רש"י נובעים מהתנחומא כ"י. 
""1:33, ""@45{$}(לב)@46 תבואתה כתיב יי הסיום הזה ליתא בילקוט שם. רק מובא בילקוט ירמיה רמז רס"ד בשם תנחומא. ונמצא באמת בתנחומא כתב יד. וז"ל תבואתה כתוב. ולמה הוא קורין תבואתו. שאין אוכלים אלא מן התבואה. אבל הקרן קיימת לעוה"ב ע"כ. ולפנינו הקרי והכתיב תבאתה. רק כתוב בה"א בסוף והתי"ו נקוד בחולם. *תבואנה*. ובמסורה נמנה ב' אשר כתיב ה"א בסוף. וזה אחד. והשני יחזקאל מ"ח י"ב. והרד"ק בירמיה שם. כתב תבואתה כתוב בה"א במקום וי"ו. וראיתי במדרש חסר ויתיר צד ל"ט הביא וז"ל קדש ישראל לה' ראשית תבואתה. בה"א כתיב שהן אוכלין פירות בעוה"ז. והקרן קיימת לעוה"ב. והרב המו"ל הוא ידידי הרב החכם מהר"א בערלינר הציג סימן השאלה. להורות שלא מצא מקור המאמר ' והעירותי בהשחר שנה רביעית חוברות ששית צד שנ"ב. שמובא בילקוט ירמיה רמז רס"ד בשם התנחומא. ועיין גם בזהר האזינו דף רצ"ז. 
""1:34, ""@45{$}(לג)@46 ד"א בזכות התורה. מובא בילקוט ישעיה רמז של"ז בשם תנחומא. והוא ג"כ בתנחומא כ"י. ונמצא בדוגמאות אשר בידי. וכן הביא רש"י עה"ת בשביל התורה שנקראת ראשית. ובמדרש ב"ר פ"א. ובחזית בפ' ראשו כתם פז. איתא העולם ומלואו לא נברא אלא בזכות התורה. שנא' ה' בחכמה (בתורה שהיא החכמה) יסד ארץ. ועיין רמב"ן עה"ת בפ' בראשית שכתב ורמז לספירה הנקראת חכמה שבה יסוד כל הענין. שנא' ה' בחכמה יסד ארץ. 
""1:35, ""@45{$}(לד)@46 כי התורה נקראת ראשית שנא' ה' קנני ראשית דרכו. בב"ר שם התורה נבראת קודם בריאת העולם. שנא' ה' קנני ראשית דרכו. ובחזית בפ' ראשו כתם פז. ראשו זה התורה. שנא' ה' קנני וגו'. ועיין ברמב"ן עה"ת שם. 
""1:36, ""@45{$}(לה)@46 ד"א לכך התחיל בב'. עיין ב"ר פ"א. ותנחומא בראשית. ובא"ב דר"ע (בית המדרש ח"ג צד י"ט) למה נברא בב' להודיעך שהן שני עולמות העוה"ז והעוה"ב. ועיין ירושלמי חגיגה פ"ב ה"א דף ע"ז ע"ג. ר"א בשם ר"י בשתי אותיות נבראו שתי עולמות. ועיין מס' היכלות (בית המדרש ח"ב צד מ"ו). 
""1:37, ""@45{$}(לו)@46 פרוזדור. מלה יונית @500 מקום לפני פתח הבית ואולם השער (פארהאף). 
""1:38, ""@45{$}(לז)@46 דתנן. אבות פ"ד מט"ז. ועיין בפי' הרמב"ם ז"ל. 
""1:39, ""@45{$}(לח)@46 הוא לבדו. עיין ב"ר פ"א נוטה שמים לבדי וגו' מאתי מי אתי כתיב מי היה שותף עמי בברייתו של עולם כו'. אלא הוא לבדו ברא את העולם ע"ש. 
""1:40, ""@45{$}(לט)@46 את עשית. כ"ה ע"פ הכתיב. והקרי אתה. 
""1:41, ""@45{$}(מ)@46 ושמי השמים. בקרא שמי השמים בלי וי"ו. 
""1:42, ""@45{$}(מא)@46 במאמר. ב"ר פ"ג ופ"י. קה"ר פ"ה. שו"ט מזמור ס"ב. 
""1:43, ""@45{$}(מב)@46 לשון אל. וכ"כ רבינו מנחם בן סרוק במחברת מנחם שרש אל. ועיין ברמב"ן עה"ת אלהים בעל הכחות כולם. כי המלה עיקרה אל שהיא כח וכו'. 
""1:44, ""@45{$}(מג)@46 כי במשפט העמידו. עיין ב"ר סוף פי"ב שברא את עולמו במדת הדין ובמדת הרחמים. ועיין פסיקתא רבתי פ"מ פסקא בחודש השביעי אות ב'. ועיין רש"י עה"ת בראשית א' שכ' הקדים מדה"ר ושתפה למדה"ד. היינו דכתיב ביום עשות ה' אלהים ארץ ושמים. ועיין גם שבת פ"ח ע"א תנאי התנה הקדוש ברוך הוא עם מעשה בראשית כו'. 
""1:45, ""@45{$}(מד)@46 כי לשון אלהים לא יבא רק על משפט. עי' ב"ר שם פי"ב ופע"ג ארשב"נ בכ"מ שנא' ה' מדת רחמים. אלהים הוא מדה"ד. 
""1:46, ""@45{$}(מה)@46 והיינו דאמר ר' חזקיהו. שבת פ' חת ע"א. ע"ז ג' ע"א. וצ"ל דאמר חזקיה. 
""1:47, ""@45{$}(מו)@46 הרי לפי שבקש הקדוש ברוך הוא. כוון למאמר חז"ל ערכין י"ז ע"א. דאר"י משום רשב"י מאי דכתיב בראשית ממלכת יהויקים ע"ש. 
""1:48, ""@45{$}(מז)@46 ר"ע היה דורש. ב"ר פ"א. ילקוט בראשית רמז ג'. וחגיגה י"ב ע"א. 
""1:49, ""@45{$}(מח)@46 והיינו דאמר ר"י אמר רב. חגיגה י"ב ע"א. פדר"א פ"ג. וע"ש בבאור הרד"ל. וכן בזהר שמות דף י"ח ע"ב אר"א עשרה דברים כו'. 
""1:50, ""@45{$}(מט)@46 מדת יום ומדת לילה דכתיב ויקרא אלהים לאור יום. בגמ' שם ובפדר"א מייתי קרא ויהי ערב ויהי בוקר יום אחד. וע"ש בבאור הרד"ל אות ל"ב. 
""1:51, ""@45{$}(נ)@46 כדתנן בעשרה מאמרות. אבות פ"ה מ"א. ר"ה ל"ב ע"א. מגלה כ"א ע"ב. ב"ר פי"ז. ילקוט בראשית רמז א'. 
""1:52, ""@45{$}(נא)@46 ואלו הן בראשית ברא מאמר אחד. ע"פ מאמרם בגמרא שם בראשית נמי מאמר הוא. דכתיב בדבר ה' שמים נעשו. וכן בב"ר שם נקט נמי בראשית. אולם בפדר"א פ"ג לא חשיב ליה וחשב תחתיו ויאמר אלהים הנה נתתי לכם. גם במקום פרו ורבו שלפנינו חושב במדרש ב"ר ורוח אלהים מרחפת (וכדמפרש ר"י שם מאמר ניתן לרוח בפ"ע) ומנחם ב"ר יוסי מוציא ורוח אלהים מרחפת. ומביא ויאמר ה' אלהים לא טוב היות אדם לבדו. ועיין בבאור הרד"ל בפדר"א שם. שמבאר טעם כל השנויים. והביא ג"כ בשם הגר"א ז"ל בפירושו לאבות טעם על מאן דלא חשיב פרו ורבו משום דלברכה כתיב. ר"ל ואין בו בריאה חדשה. והיינו דכתיב ויאמר להם אלהים. לא ויאמר אלהים כבשאר המאמרות. וענין עשרה מאמרות כבר פרשוהו המחקרים בספריהם. איש איש כפי דרכו. ובמדרש תדשא סי' ה'  (בית המדרש ח"ג צד קס"ח) הביא כנגד עשרה מאמרות ברך הקדוש ברוך הוא לאדם הראשון כו' ע"ש. 
""1:53, ""@45{$}(נב)@46 דאמר רב זוטרא. חגיגה י"ב ע"א. 
""1:54, ""@45{$}(נג)@46 וכנגדן נתן לישראל עשרת הדברות. בפסיקתא רבתי פכ"א פסקא עשר דברים אות ד' איתא עשרת הדברות כנגד עשרה מאמרות נאמרו שבהם נברא העולם כו'. ועיין מה שהביא רבינו טובי' בחלק ב'  (פסיקתא זוטרתא ואתחנן דף ס"ח ע"ב) עשרת הדברים ניתנין כנגד עשרה מאמרות אנכי כנגד יהי אור כו'. ועיין ילקוט ראובני בראשית פ' ויאמר אלהים יהי אור. מה שהביא בשם הזהר ויקרא. עשרה מאמרות במעשה בראשית נגד עשרת הדברות במתן תורה. ועיין בפי' הרוו"ה בפיוט אנכי ראש לדברות במעריב ליל שני של שבועות. 
""1:55, ""@45{$}(נד)@46 ולכפר עליהן ביום העשור. עיין פסיקתא רבתי פ"מ פיסקא בחדש השביעי אות ה'. 
""1:56, ""@45{$}(נה)@46 ולתת כופר י' גירות. כי עשרים גרה השקל. וכופר חצי שקל הוא י' גירות. 
""1:57, ""@45{$}(נו)@46 ונח מצא חן לפניו בדור עשירי. אבות פ"ה מ"ב י' דורות מאדם עד נח. י' דורות מנח עד אברהם. ועיין בית הבחירה בפירושו על פרקי אבות שם. 
""1:58, ""@45{$}(נז)@46 אשר התחיל במעשרות. בפסיקתא פסקא עשר תעשר (דף צ"ח ע"א). ומובא בילקוט לך רמז ע"ד. אברהם הפריש תרומה גדולה. דכתיב הרימותי ידי אל ה'. ואין הרמה אלא תרומה. כמד"א והרמותם ממנו תרומת ה'. וע"ש בהערה מ"ח הבאתי דברי הפסיקתא רבתי פכ"ה אות ג' אברהם הפריש מעשר ראשון. דכתיב ויתן לו מעשר מכל. 
""1:59, ""@45{$}(נח)@46 יצחק למה מדד מאה שערים. ב"ר פס"ד מפני מה מדד מפני המעשרות. וכן נשנה במדרש במ"ר פי"ב. ופסיקתא פסקא עשר תעשר (צ"ח ע"א). יצחק הפריש מעשר שני ויזרע יצחק בארץ ההיא וימצא בשנה ההיא מאה שעריס כו'. ולמה מדדן בשביל לעשרן. וע"ש בהערה מ"ח. 
""1:60, ""@45{$}(נט)@46 יעקב עשר אעשרנו לך. בפסיקתא שם יעקב הפריש מעשר ראשון. הה"ד עשר אעשרנו לך: 
""1:61, ""@45{$}(ס)@46 וכן כל ישראל מעשר דגן ותירוש ויצהר. צ"ל מעשר דגנך תירושך ויצהרך (דברים י"ד כ"ג) : 
""1:62, ""@45{$}(סא)@46 ונתן לישראל ז' עממים משבעים אומות. היינו חלק עשירית: עיין ב"ר ספמ"ד. ירושלמי שביעית פ"ו מ"א דף ל"ו ע"ב: 
""1:63, ""@45{$}(סב)@46 אמר ריב"ח. חגיגה י"ב ע"א: 
""1:64, ""@45{$}(סג)@46 שהכל רצין אליה. עי' רד"ק שרש ארץ שכתב וז"ל וי"א כי שרש ארץ רץ והאל"ף נוספת ולפי שהגלגל רץ עליה וסובב אותה תמיד נקראת כן. ועי' ב"ר פי"ג ארץ שתקופת ניסן מריצה את הפירות (ובב"ר פ"ה סי' ח' ארץ שרצתה לעשות רצון קונה). 
""1:65, ""@45{$}(סד)@46 ת"ר בש"א. חגיגה שם. תמיד ל"ב ע"א. ירושלמי חגיגה פ"ב ה"א דף ע"ז ע"ג. ב"ר פ"א. ויק"ר פל"ו. כדר"א ריש פי"ח. מדרש שמואל פ"ה. ובריש מכילתא: 
""1:66, ""@45{$}(סה)@46 שרפרף. פי' ספסל קטן. ובירושלמי ומדרש נאמר במקומו אפיפורין. ויש לתקן שצ"ל אפיפודין בדל"ת. כי המלה יונית @500: 
""1:67, ""@45{$}(סו)@46 ר' תנחומא. בב"ר פ"א. ובירושלמי חגיגה פ"ב ה"א. הוא בשם ר' יוחנן ור' תנחומא אמר טעמא לדברי ר' יוחנן: 
""1:68, ""@45{$}(סז)@46 וכה"א לפניס הארץ יסדת. בירושלמי ובמדרש ב"ר שם ובוי"ר שם. אמר ר' יהודה בר אלעאי אף דין קרא מסייע לב"ה לפנים הארץ יסדת ואח"כ ומעשה ידך שמים. ובמדרש שמואל אף דין קרא מסייע לב"ש. יש לתקן שצ"ל מסייע לב"ה. ועי' בפדר"א שהביא בעיקר פלוגתייהו ראי' לב"ה ממקרא הזה. במקום שלפנינו ובגמרא חגיגה שם מובא ממקרא ביום עשות ה' ארץ ושמים. וע"ש בביאור הרד"ל: 
""1:69, ""@45{$}(סח)@46 תנא תוהו זו קו ירוק. חגיגה י"ב ע"א: 
""1:70, ""@45{$}(סט)@46 פי' תכלת ירוק. הוספת המחבר לפרש קו ירוק: 
""1:71, ""@45{$}(ע)@46 מפולמות. פי' בריאים לחים וחזקים ערוך ערך מפלם. והמוספי הוסיף תרגום אבן חשך וצלמות. מפלמין דמתמן נפק חושך עכ"ל. יש לתקן בדבריו אבן אפל וצלמות. והוא באיוב כ"ח ג'. ועיין מלה זו בערוך ערך פלם. כי המ"ם אינה מיסוד: 
""1:72, ""@45{$}(עא)@46 ולמה הזכיר אלהים ברוח כו'. סיים על המאמר הזה וכן אמר ר' שבתי דונולו נב"ע. גם רש"י ערובין נ"ו ע"א הביאו. וז"ל ור' שבתי דטלו [צ"ל דנולו] הרופא זצ"ל פירשו היטב בס' חכמוני שלו ע"כ: וכן גם המאמר והארץ יוצא מן המים אם יתחממו המים בכלי זכוכית כו'. מובא ברש"י ביצה ל"ג ע"א על לשון המשנה אין מוציאין את האור מן המים. נותנין בחמה כשהשמש חם מאד והזכוכית מוציאה שלהבת ומביאין נעורת ומגיעין בזכוכית והיא בוערת. וסיים כך שמעתי בפיוט יוצר שיסד אחד מגאוני לומברדיא עכ"ל. והלשון מגומגם. וברור שנפל טעות וצ"ל כמו שכתוב או כמו שמצאתי בפי' יצירה שיסד אחד מגאוני לומברדיא וכמו שהתעורר ידידי הרב החכם מהרש"ז (כ"ח ח"ח צד ק"א). והוא המאמר שהביא רבינו טוביה ז"ל בשם ר' שבתי ז"ל. גם מצאתי באמת זה בהקדמת פירושו לס' יצירה אשר הוציא לאור ידידי הרב החכם הכולל מהר"א יעללינעק (לייפציג שנת תרי"ד) הנקרא בשם "פירוש נעשה אדם בצלמנו להרופא ר' שבתי ב"ר אברהם דונולו ז"ל" צד ט"ו ע"ש. וכן העתיק ידידי הרב החכם הישיש רב"ג מתוך כ"י אשר באוצר הספרים בפאריז ומובא בכ"ח שם. גם מה שהביא רבינו טוביה ז"ל כי אם יפית אדם בכפו תתרטב כפו כו'. הוא לפנינו בהקדמת ספרו שם צד ט"ו ע"ש. גם מצאתי בס' רזיאל הגדול (דף ס' ע"ב) מובא ג"כ כל המאמר הזה המתחיל נזכר אלהים ברוח יותר מן כל כי מלחלוחית הרוח בא מים ומכח מים בא אש ויש להם דוגמת בעולם אם יפיח אדם בכפות נתרטב. וידוע אם נתחממו מים בכלי זכוכית נקוה כו'. לקח בעל הרזיאל כל המאמר הזה מס' לקח טוב שלפנינו. והעתיק כלשונו ממש. גם הסיום "זהו סברת הדעת". לקוח מדברי רבינו טובי' שכתב ואלו הן דברים של דעת. ובס' רזיאל שם יש לתקן במקום יוכל להדליק בוערת. צ"ל נעורת. והמלות "במדינות שאוירם חם" הוא הוספה מבעל הרזיאל. או יש לומר שלקח זאת מגוף הספר של ר' שבתי דונולו. כי בעל הרזיאל משתמש בספרו של ר"ש דונולו ומזכירו בשם בדף י"ז ע"ב. וז"ל ובספר שבתי שמפרש ברית [צ"ל ברייתא] השמואל [צ"ל דשמואל] הרקיע הזה עשוי ככיפה דומה לאהל. והוא המאמר שהביא ר' יוסף קרא בשם ר' שבתי דונולו (כ"ח ח"ז צד ס"א) וז"ל מצאתי בס' ר' שבתי שמפרש בו ברייתא דשמואל הרקיע הזה עשוי כקובה דומה לאהל וכו'. וכן בס' רזיאל דף י"ב במאמר המתחיל הן לה' אלהיך השמים. ואדם שלא יאמין לזה שאין ברא אבן ממים יקח נחושת קלל ויעשה אבן מנחושת ויקח מים צלולים וירתיח על הארץ וכל מה שיחסרו המים יוסיף עוד מים עליהם וישבר כלי הנחושת וימצא בה אבן כו'. הוא לקוח ג"כ מהקדמת ר"ש דונולו צד ט"ו. ומזה תוכל לתקן הלשון בס' רזיאל. כי הלשון שם משובש קצת. גם מה שסיים ברזיאל שם וכן באדם ובהמה תמצא אבנים דקות כו'. הוא שם בהקדמתו צד ט"ז. ועי' עוד אודותיו במבוא אשר שמתי בראש הספר. סי' ט' אות ל"א: 
""1:73, ""@45{$}(עב)@46 קומקום. מלה יונית. ומורגל בלשון חז"ל ובתרגומים ע' ערוך: 
""1:74, ""@45{$}(עג)@46 כך השיב ר' גמליאל. ב"ר פ"א פילסופוס שאל את ר"ג כו' : 
""1:75, ""@45{$}(עד)@46 מלשון מפרחת. וכן לפורחות (יחזקאל י"ג כ"ג) ענינו עופפות. והוא מלשון ארמית תרגם יעופף יפרח. ומורגל בתלמוד עורבא פרח מפריחי. יונים. פורחין באויר: 
""1:76, ""@45{$}(עה)@46 ולמה יצא בלשון מרחפת ולא אמר מפרחת. במדרש ב"ר פ"ב ילקוט בראשית רמז ד'. ורוח אלהים מנשבת אין כתיב כאן. אלא מרחפת. כעוף הזה שהוא מרפרף בכנפיו וכנפיו נוגעות ואינן נוגעות. ועיין ירושלמי חגיגה פ"ב ה"א (דף ע"ז ריש ע"ב) מסתכל הייתי במעשה בראשית ואין בין מים העליונים למים התחתונים אלא כמלא פותח טפח. נאמר כאן רחוף. ונאמר להלן כנשר יעיר קנו על גוזליו ירחף. מה רחוף שנאמר להלן נוגע ואינו נוגע אף ריחוף שנאמר כאן נוגע ואינו נוגע ע"כ. ועיין חגיגה ט"ו ע"א כיונה זו שמרחפת על בניה ואינה נוגעת ועיין ברש"י עה"ת: 
""1:77, ""@45{$}(עו)@46 משל למלך שבנה היכל. עי' ב"ר ריש פ"ג. מובא גם בילקוט רמז ד'. ותהלים רמז תתע"ח. ועי במדרש שמ"ר ריש פ"נ. ותנחומא פ' ויקהל בפ' ויעש בצלאל. וכן מובא בס' רזיאל דף י' ע"ב. לא שצריך לאורה כו'. כאדם שבונה בית סגור כו' : 
""1:78, ""@45{$}(עז)@46 וי"א האור הזה מן המים כו'. מובא גם בס' רזיאל דף י' ע"ב ויהי אור. האור נברא מן המים שבהרבה מקומות נקרא המים אור. שנאמר יפיץ ענן אורו. על כפים כסה אור. כמו עין מאיר ובו מעין מים. כמד"א כלו בדמעות עיני עכ"ל. 
