Index Title,Moed Katan
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Moed Katan 2a:1,"<b>M</b>AN <small>DARF DAS</small> R<small>IESELFELD</small>$fn1 <small>AM</small> H<small>ALBFESTE UND IM</small> S<small>IEBENTJAHRE</small> <sup>i</sup> <small>BEWÄSSERN</small>, <small>SOWOHL AUS EINER ERSTMALIG TÄTIGEN</small>$fn2 Q<small>UELLE ALS AUCH AUS EINER NICHT ERSTMALIG TÄTIGEN</small> Q<small>UELLE; MAN DARF ABER NICHT BEGIESSEN MIT</small> R<small>EGEN- ODER</small> Z<small>UGBRUNNENWASSER, AUCH DARF MAN KEINE</small> K<small>REISFURCHEN UM DIE</small> W<small>EINSTÖCKE MACHEN</small>. R. E<small>LEA͑ZAR B.</small> A͑<small>ZARJA</small> <sup>ii</sup> <small>SAGT, MAN DÜRFE AM</small> H<small>ALBFESTE UND IM</small> S<small>IEBENTJAHRE KEINEN</small> W<small>ASSERGRABEN NEU ERRICHTEN; DIE</small> W<small>EISEN SAGEN, MAN DÜRFE IM</small> S<small>IEBENTJAHRE EINEN</small> W<small>ASSERGRABEN NEU ERRICHTEN UND AM</small> H<small>ALBFESTE VERFALLENE AUSBESSERN</small>. M<small>AN DARF BESCHÄDIGTE</small> W<small>ASSER</small>[<small>BEHÄLTER</small>] <small>AUF ÖFFENTLICHEN</small> P<small>LÄTZEN AUSBAGGERN</small>. F<small>ERNER DARF MAN</small> W<small>EGE</small>, S<small>TADTPLÄTZE UND</small> T<small>AUCHBÄDER AUSBESSERN, ALLE ÖFFENTLICHEN</small> A<small>RBEITEN VERRICHTEN</small>, G<small>RÄBER BEZEICHNEN UND WEGEN DER</small> M<small>ISCHFRUCHT STREIFEN</small>$fn3."
Moed Katan 2a:2,"GEMARA. Wenn dies schon von einer erstmalig tätigen Quelle gilt, bei der zu berücksichtigen ist, [das Bett] könne zusammenfallen, wozu braucht dies von einer nicht erstmalig tätigen Quelle gelehrt zu werden, bei der das Zusammenfallen nicht zu berücksichtigen istl? – Ich will dir sagen, dies ist nötig; würde er es nur von einer erstmalig tätigen Quelle gelehrt haben, so könnte man glauben, nur aus einer solchen sei es bei einem Rieselfelde erlaubt und bei einem feuchten verboten, weil [das Bett] zusammenfallen kann, aus einer nicht erstmalig tätigen Quelle aber, wo das Zusammenfallen nicht zu berücksichtigen ist, sei es auch bei einem feuchten Felde$fn4erlaubt, so lehrt er uns, daß sowohl aus einer erstmalig tätigen Quelle als auch aus einer nicht erstmalig tätigen Quelle, dies nur bei einem Rieselfelde erlaubt ist, nicht aber bei einem feuchten. – Woher ist es erwiesen, daß š a 1 a ḥ$fn5 ‘dürr’ heißt? – Es heißt: $fn6<i>als du erschöpft und müde warst</i>, was wir übersetzen: als du <i>mešalhe</i> und müde warst. – Woher ist es erwiesen, daß (bet-ha) baa͑l$fn5 ‘niederlassen’$fn7 heißt? – Es heißt :$fn8<i>wie ein Jüngling einer Jungfrau beiwohnt [jiba͑l]</i>, was wir übersetzen wie ein Jüngling sich mit einer Jungfrau niederläßt, so werden sich deine Kinder in dir niederlassen. – Wer lehrt, es sei nur des Schadens wegen [erlaubt], nicht aber des Gewinnes wegen, und auch wenn des Schadens wegen, sei die mühevolle Arbeit verboten? R. Hona erwiderte: Es ist R. Elie͑zer b. Ja͑qob, denn wir haben gelernt: R. Elie͑zer b. Ja͑qob sagt, man dürfe [am Festtage] das Wasser von einem Baume zum anderen leiten, nur nicht das ganze Feld bewässern$fn9. – Vielleicht sagt R. Elie͑zer dies, nur des Gewinnes wegen nicht, sagte er dies etwa auch von der mühevollen Arbeit des Schadens!? Vielmehr, erwiderte R. Papa, es ist R. Jehuda, denn es wird gelehrt: Man darf aus einer erstmalig tätigen Quelle sogar ein feuchtes Feld bewässern – so R. Meír: R. Jehuda sagt, man dürfe nur das Rieselfeld bewässern, das verdorben worden ist. R. Elea͑zar b. A͑zarja sagt, nicht so und nicht so. Noch mehr sagte R. Jehuda: Man darf am Halbfeste keinen Wassergraben leiten und seinen Garten oder sein zerstörtes [Feld] bewässern. Was heißt ‘zerstört’: wollte man sagen, wirklich zerstört, wozu bewässert man es!? Vielmehr ist mit Abajje zu erklären, wenn seine bisherige Quelle zerstört worden ist, und es jetzt eine andere$fn10hat. R. Elea͑zar b. A͑zarja sagt, nicht so und nicht so, einerlei, ob dessen [bisherige] Quelle zerstört worden ist oder nicht, aus einer erstmalig tätigen Quelle ist es verboten. – Wieso, vielleicht sagt R. Jehuda, bei einem Rieselfelde wohl und bei einem feuchten nicht, nur"
Moed Katan 2b:1,"von einer erstmalig tätigen Quelle, weil [dessen Bett] zusammenfallen kann, bei einer nicht erstmalig tätigen Quelle aber, bei der das Zusammenfallen nicht zu berücksichtigen ist, ist es auch bei einem feuchten Felde [erlaubt]!? – Wem willst du demnach diese Lehre addizieren!? Vielmehr ist es nach R. Jehuda, einerlei ob aus einer erstmalig tätigen Quelle oder einer nicht erstmalig tätigen, nur bei einem Rieselfelde [erlaubt] und bei einem feuchten nicht, und nur deshalb lehrt er es von einer erstmalig tätigen Quelle, um dir die weitgehendste Ansicht R. Meírs hervorzuheben, daß es sogar aus einer erstmalig tätigen Quelle auch bei einem feuchten Felde erlaubt sei."
Moed Katan 2b:2,"Es wurde gelehrt: Wegen welcher [Hauptarbeit$fn11] ist derjenige zu warnen$fn12, der am Šabbath jätet oder Pflanzen bewässert? – Rabba sagt, wegen Pflügens, und R. Joseph sagt, wegen Säens. Rabba sprach: Meine Ansicht ist einleuchtender; die Tätigkeit des Pflügens besteht darin, daß man die Erde lockert, und auch dieser lockert die Erde. R. Joseph sprach: Meine Ansicht ist einleuchtender; die Tätigkeit des Säens besteht darin, daß man Früchte wachsen macht, und auch dieser macht Früchte wachsen. Abajje sprach zu Rabba: Gegen dich ist ein Einwand zu erheben und gegen R. Joseph ist ein Einwand zu erheben. Gegen dich ist ein Einwand zu erheben: nur wegen Pflügens und nicht auch wegen Säens!? Gegen R. Joseph ist ein Einwand zu erheben: nur wegen Säens und nicht auch wegen Pflügens!? Wolltest du sagen, wenn es zwei [Tätigkeiten] sind, sei man nur wegen einer schuldig, so sagte ja R. Kahana, daß, wenn jemand [einen Baum] beschneidet und des Holzes bedarf, er zweimal schuldig sei, einmal wegen Pflanzens und einmal wegen Mähens!? – Das ist ein Einwand. R. Joseph wandte gegen Rabba ein: Wer Mischpflanzen jätet oder [mit Erde] bedeckt, erhält Geißelhiebe; R. A͑qiba sagt, auch wer sie stehen läßt. Einleuchtend ist dies nun nach meiner Ansicht, es gehöre zum Säen, denn das Säen von Mischsaat ist verboten; aber ist denn, nach deiner Ansicht, es gehöre zum Pflügen, bei der Mischsaat das Pflügen verboten!? Dieser erwiderte: Wegen des Stehenlassens. – Wenn er aber im Schlußsatze lehrt: R. A͑qiba sagt, auch wer sie stehen läßt, so erfolgt es ja nach dem ersten Tanna nicht wegen Stehenlassens!? – Die ganze Lehre ist von R. A͑qiba und dies ist eine Begründung: wer Mischpflanzen jätet oder mit Erde bedeckt, erhält Geißelhiebe wegen des Stehenlassens, denn R. A͑qiba sagt, auch wer sie stehen$fn13läßt. – Was ist der Grund R. A͑qibas? – Es wird gelehrt:$fn14<i>Du sollst dein Feld nicht mit Gemischtem besäen</i>; ich weiß dies nur vom Säen, woher vom Stehenlassen? Es heißt: <i>Gemischtes auf deinem Felde sollst du nicht [haben]</i>$fn15.– Wir haben gelernt: Man darf das Rieselfeld am Halbfeste und im Siebentjahre bewässern. Allerdings am Halbfeste, weil nur die Mühe zu berücksichtigen wäre, und des Schadens wegen haben es die Rabbanan erlaubt, wieso aber im Siebentjahre, ist denn sowohl nach demjenigen, der wegen Säens sagt, als auch nach demjenigen, der wegen Pflügens sagt, das Säen oder das Pflügen im Siebentjahre erlaubt!? Abajje erwiderte: Im Siebentjahre in der Jetztzeit, und zwar nach Rabbi, denn es wird gelehrt: Rabbi sagte:$fn16<i>Folgende Bewandtnis hat es mit dem Erlasse: erlassen &amp;c.</i>; die Schrift spricht von zwei Erlassungen, von der Erlassung des Bodens und von der Erlassung der Geldforderungen. Zu einer Zeit, wo die Erlassung des Bodens gilt, gilt auch die Erlassung von Geldforderungen, und zur Zeit, wo die Erlassung des Bodens nicht gilt, gilt auch nicht die Erlassung von Geldforderungen. Raba erwiderte: Du kannst auch sagen, nach den Rabbanan, denn der Allbarmherzige hat nur die Hauptarbeiten verboten,"
Moed Katan 3a:1,"die Abzweigungen$fn17aber hat der Allbarmherzige nicht verboten. Es heißt nämlich:$fn18<i>aber das siebente Jahr soll für das Land eine Zeit unbedingter Ruhe sein; du darfst dein Feld nicht besäen &amp;c</i>.; merke, das Beschneiden ist ja im Säen und das Winzern im Mähen einbegriffen, weshalb nennt sie der Allbarmherzige besonders? Um zu sagen, daß man nur wegen dieser Abzweigungen schuldig sei, wegen anderer aber ist man nicht schuldig. – Etwa nicht, es wird ja gelehrt: <i>Du darfst dein Feld nicht besäen, und deinen Weinberg darfst du nicht beschneiden</i>; ich weiß dies vom Säen und vom Beschneiden, woher dies vom Jäten, Graben und Entblättern? Es heißt: <i>dein Feld</i>$fn19<i>nicht, deinen Weinberg</i>$fn19<i>nicht,</i> keinerlei Arbeit auf dem Felde, keinerlei Arbeit im Weinberg. Woher, daß das Ausschneiden, Beschneiden und Abkratzen der Bäume verboten ist? Es heißt: <i>dein Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. Woher, daß das Düngen, Entblättern$fn20, Beerden$fn21und Ausräuchern der Bäume verboten ist? Es heißt: <i>dein Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. Man könnte glauben, man dürfe auch nicht Olivenbäume umgraben, Weinstöcke behacken, Gräben mit Wasser füllen und Kreisfurchen um die Weinstöcke ziehen, so heißt es: <i>du darfst dein Feld nicht besäen und deinen Weinberg sollst du nicht beschneiden</i>;das Säen war ja einbegriffen, weshalb wurde es besonders hervorgehoben? Um anderes damit zu vergleichen und dir zu sagen: wie das Säen sich dadurch auszeichnet, daß es eine Arbeit für Feld und Weinberg ist, ebenso alles andere, was eine Arbeit für Feld und Weinberg ist$fn22. – Nur rabbanitisch, und der Schriftvers ist nichts weiter als eine Anlehnung. – Ist denn das Umgraben im Siebentjahre erlaubt, es heißt ja:$fn23<i>im siebenten Jahre sollst du es unbestellt und brach lassen</i>; unbestellt, nicht umgraben, und brach, nicht entsteinigen!? R. U͑qaba b. Ḥama erwiderte: Es gibt zweierlei Umgrabungen; die eine, um die Bäume zu kräftigen, und die andere, um Ritzen zu füllen. Die Bäume zu kräftigen ist verboten, die Ritzen zu füllen ist erlaubt."
Moed Katan 3a:2,"Es wurde gelehrt: Über das Pflügen im Siebentjahre [streiten] R. Joḥanan und R. Elea͑zar; einer sagt, er erhalte Geißelhiebe, und einer sagt, er erhalte keine Geißelhiebe. Es ist anzunehmen, daß sie über [eine Lehre] des R. Abin im Namen R. Ilea͑s streiten, denn R. Abin sagte im Namen R. Ilea͑s: Überall, wo das Gebot generalisiert$fn24und das Verbot spezialisiert, ist [die Regel] vom Generellen$fn25und Speziellen nicht anzuwenden. Nach dem er Geißelhiebe erhält, hält nichts von der Lehre R. Abins im Namen R. Ilea͑s, und nach dem er keine Geißelhiebe erhält, hält wohl von der Lehre R. Abins. – Nein, keiner hält von der Lehre R. Abins im Namen R. Ilea͑s; nach dem er Geißelhiebe erhält, stimmt dies ja, und derjenige, nach dem er keine Geißelhiebe erhält, kann dir erwidern: merke, das Beschneiden ist ja im Säen und das Winzern im Mähen einbegriffen, weshalb nennt sie der Allbarmherzige besonders? Um zu sagen, daß man nur wegen dieser Abzweigungen schuldig sei, nicht aber ist man wegen anderer schuldig. – Etwa nicht, es wird ja gelehrt: <i>Dein Feld sollst du nicht besäen und deinen Weinberg sollst du nicht beschneiden</i>; ich weiß dies vom Säen und vom Beschneiden, woher dies vom Jäten, Graben und Entblättern? Es heißt: <i>dein Feld nicht</i>$fn19, <i>deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. Woher, daß das Ausschneiden, Beschneiden und Abkratzen der Bäume verboten ist? Es heißt: dein <i>Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. [Woher, daß das Düngen, Entblättern und Ausräuchern der Bäume verboten ist? Es heißt: <i>dein Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg.] Man könnte glauben, man dürfe auch nicht Olivenbäume umgraben, Weinstöcke behacken, Gräben mit Wasser füllen und Kreisfurchen um die Weinstöcke ziehen, so heißt es: <i>du darfst dein Feld nicht besäen</i>; das Säen war ja einbegriffen, weshalb wurde es besonders hervorgehoben? Um anderes damit zu vergleichen und dir zu sagen: wie das Säen sich dadurch auszeichnet, daß es eine Arbeit für Feld und Weinberg ist, ebenso alles andere, was eine Arbeit für Feld und Weinberg ist!? – Nur rabbanitisch, und der Schriftvers ist nichts weiter als eine Anlehnung."
