Index Title,Keritot
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Keritot 2a:1,"<sup>i</sup> <b>S</b>ECHSUNDDREISSIG <small>MIT DER</small> A<small>USROTTUNG</small>$fn1 [<small>BELEGTE</small> V<small>ERGEHEN</small>] <small>GIBT ES IN DER</small> T<small>ORA</small>$fn2. W<small>ER SEINER</small> M<small>UTTER, DER</small> F<small>RAU SEINES</small> V<small>ATERS ODER SEINER</small> S<small>CHWIEGERTOCHTER BEIWOHNT, WER EINEN</small> M<small>ANN ODER EIN</small> V<small>IEH BESCHLÄFT, ODER WENN EIN</small> W<small>EIB SICH VON EINEM</small> V<small>IEH BESCHLAFEN LÄSST, WER EINER</small> F<small>RAU UND IHRER</small> T<small>OCHTER</small>$fn3, <small>EINER</small> E<small>HEFRAU, SEINER</small> S<small>CHWESTER, DER</small> S<small>CHWESTER SEINES</small> V<small>ATERS, DER</small> S<small>CHWESTER SEINER</small> M<small>UTTER, DER</small> S<small>CHWESTER SEINER</small> F<small>RAU, DER</small> F<small>RAU SEINES</small> B<small>RUDERS, DER</small> F<small>RAU DES</small> B<small>RUDERS SEINES</small> V<small>ATERS, DER</small> F<small>RAU DES</small> B<small>RUDERS SEINER</small> M<small>UTTER ODER EINER</small> M<small>ENSTRUIERENDEN BEIWOHNT, WER</small> G<small>OTT LÄSTERT</small>, G<small>ÖTZEN DIENT, VON SEINEM</small> S<small>AMEN DEM</small> M<small>OLEKH</small>$fn4 <small>HINGIBT</small>, T<small>OTE BESCHWÖRT, DEN</small> Š<small>ABBATH ENTWEIHT, UNREIN</small> G<small>EHEILIGTES ISST ODER UNREIN DAS</small> H<small>EILIGTUM BETRITT, WER</small> T<small>ALG</small>, B<small>LUT</small>, Ü<small>BRIGGEBLIEBENES ODER</small> V<small>ERWERFLICHES ISST, WER AUSSERHALB</small>$fn5 <small>SCHLACHTET UND DARBRINGT, WER</small> G<small>ESÄUERTES AM</small> P<small>ESAḤFESTE ISST, WER AM</small> V<small>ERSÖHNUNGSTAGE ISST ODER EINE</small> A<small>RBEIT VERRICHTET, WER DAS</small> S<small>ALBÖL</small>$fn6 <small>MENGT</small>$fn7, <small>DAS</small> R<small>ÄUCHERWERK</small>$fn6 <small>MENGT, ODER SICH MIT DEM</small> S<small>ALBÖL SCHMIERT, WER DAS</small> G<small>EBOT DES</small> P<small>ESAḤOPFERS UND DER</small> B<small>ESCHNEIDUNG</small> [<small>ÜBERTRITT</small>]. W<small>EGEN DIESER MACHT MAN SICH BEI</small> V<small>ORSÄTZLICHKEIT DER</small> A<small>USROTTUNG SCHULDIG, BEI</small> U<small>NVORSÄTZLICHKEIT IST EIN</small> S<small>ÜNDOPFER DARZUBRINGEN, UND IST MAN SICH DESSEN NICHT SICHER BEWUSST, EIN</small> S<small>CHWEBE-</small>S<small>CHULDOPFER, AUSGENOMMEN IST DIE</small> V<small>ERUNREINIGUNG DES</small> H<small>EILIGTUMES UND DES</small> G<small>EHEILIGTEN, WEGEN WELCHER EIN AUFUND ABSTEIGENDES</small>$fn8 O<small>PFER DARZUBRINGEN IST</small> – <small>SO</small> R. M<small>EÍR; DIE</small> W<small>EISEN SAGEN, AUCH DER</small> G<small>OTTESLÄSTERER, DENN ES HEISST</small> $fn9<i>ein Gesetz Sei euch für den, der aus Versehen etwas tut</i>, <small>AUSGENOMMEN DER</small> G<small>OTTESLÄSTERER, DER KEINE</small> T<small>ÄTIGKEIT AUSÜBT</small>."
Keritot 2a:2,"GEMARA. Wozu ist die Zahl$fn10nötig? R. Joḥanan erwiderte: Daß man,"
Keritot 2b:1,"wenn man sie alle bei einem Entfallen begangen hat, wegen jedes besonders schuldig ist. – Ferner haben wir gelernt: Die Hauptarbeiten$fn11 sind vierzig weniger eine. Wozu ist die Zahl nötig? – Daß man, wenn man sie alle bei einem Entfallen verrichtet hat, wegen jeder besonders schuldig ist. – Ferner haben wir gelernt: Vier sind es, denen die Sühne$fn12 noch fehlt. Wozu ist die Zahl nötig? – Dies schließt die Ansicht des R. Elie͑zer b. Ja͑qob aus, welcher sagt, es seien fünf. Es wird nämlich gelehrt: R. Elie͑zer b. Ja͑qob sagt, ein Proselyt, dem die Sühne noch fehlt, erst$fn13 wenn für ihn das Blut$fn14gesprengl worden ist. Deshalb lehrt er vier. – Ferner haben wir gelernt: Vier bringen [ein Opfer] dar bei Vorsätzlichkeit wie bei Unvorsätzlichkeit. Wozu ist die Zahl nötig? – Dies schließt die Ansicht R. Šimo͑ns aus, denn es wird gelehrt: R. Šimo͑n sagt, beim Schwure wegen eines Depositums gebe es bei Vorsatz keine Sühne. Daher lehrt er vier. – Ferner haben wir gelernt: Fünf bringen ein Opfer wegen mehrerer Sünden dar. Wozu ist die Zahl nötig? – Weil er weiter lehren will: wenn ein Naziräer sich wiederholt verunreinigt hat. Dies kommt in dem Falle vor, wenn er sich am siebenten [Tage] verunreinigt und sich abermals am siebenten verunreinigt hat, und zwar nach R. Jose b. R. Jehuda, welcher sagt, das Nazirat der Reinheit beginne schon am siebenten$fn15, denn in welchem Falle kann dies vorkommen nach Rabbi, nach dem das Nazirat der Reinheit erst am achten beginnt: hat er sich am siebenten verunreinigt und sich abermals am siebenten verunreinigt, so ist es ja zusammen nur eine lange Verunreinigung, und hat er sich am achten verunreinigt und sich abermals am achten verunreinigt, so müßte er ja, da die Zeit, in der das Opfer darzubringen$fn16war, vorüber ist, wegen jeder [Verunreinigung] besonders schuldig sein. Vielmehr ist hieraus zu entnehmen, daß hier die Ansicht des R. Jose b. R. Jehuda vertreten ist.– Was ist dies für ein Streit zwischen Rabbi und R. Jose b. R. Jehuda? – Es wird gelehrt:$fn17<i>Und er heilige sein Haupt an diesem Tage</i>, am Tage der Darbringung seines Opfers – so Rabbi. R. Jose b. R. Jehuda sagt, am Tage seiner Haarschur. – Ferner haben wir gelernt: Fünf haben ein aufund absteigendes Opfer darzubringen. Wozu ist die Zahl nötig!? – Da er im Schlußsatze lehren will: gleich ihnen auch der Fürst, daher lehrt er fünf. Dies schließt die Ansicht R. Elie͑zers aus, welcher sagt, der Fürst bringe einen Ziegenbock dar. – Ferner haben wir gelernt: Es gibt vier Hauplarten$fn18von Schädigungen. Wozu ist die Zahl nötig? – Dies schließt [die Lehre] R. Oša͑jas aus, welcher sagt, es gebe dreizehn Hauptarten von Schädigungen. – Wozu ist die Zahl nötig [in der Lehre] R. Oša͑jas? – Dies schließt [die Lehre] R. Ḥijas aus, welcher sagt, es gebe vierundzwanzig Hauptarten von Schädigungen. – Wozu ist die Zahl nötig [in die Lehre] R. Ḥijas? – Dies schließt die Denuntiation$fn19und die Verwerflichmachung$fn20aus."
Keritot 2b:2,"Der Meister sagte: Daß man, wenn man sie alle bei einem Entfallen begangen hat, wegen jeder besonders schuldig ist. Allerdings kannst du nicht sagen, man sei gänzlich frei, denn es heißt:$fn21<i>denn wer etwas von diesen Gräueln tut, soll ausgerottet werden</i>, aber vielleicht ist man, wenn man eines begangen hat, einmal schuldig, und wenn man bei einem Entfallen alle begangen hat, ebenfalls nur einmal schuldig!? R. Joḥanan erwiderte: Deshalb ist die Ausrottung wegen [der Beiwohnung] seiner Schwesler$fn22zur Teilung hervorgehoben worden. R. Bebaj b. Abaj je wandte ein: Vielleicht ist man wegen seiner Schwester, die die Schrift besonders hervorgehoben hat, besonders schuldig, und wegen aller anderen zusammen, da es bei einem Entfallen erfolgt ist, nur einmal schuldig!? – Hält denn R. Bebaj b. Abajje nichts von der folgenden Lehre!? Wenn etwas in der Gesamtheit einbegriffen war, und um etwas zu lehren aus der Gesamtheit herausgegriffen wurde, so bezieht sich die Lehre nicht nur auf dieses allein, sondern auf die ganze Gesamtheit. Zum Beispiel:$fn23<i>Die Person, die Fleisch &amp;c. ißt</i>; das Heilsopfer war ja in der Gesamtheit der Opfer$fn24einbegriffen, weshalb ist es herausgegriffen worden? Um [alles] mit diesem zu vergleichen: wie das Heilsopfer Heiliges für den Altar ist, und man ist dessentwegen schuldig, ebenso ist man wegen jedes anderen für den Altar Geheiligten schuldig, ausgenommen ist das für den Tempelreparaturfonds Geheiligte. – R. Bebaj kann dir erwidern: Eben hieraus. Du sagst ja da, ausgenommen sei das für den Tempelreparaturfonds Geheiligte, ebenso auch hierbei: wie eine Schwester sich dadurch auszeichnet, daß sie inzestuös ist und es für sie bei Lebzeiten des sie verboten machenden kein Erlaubtwerden$fn25gibt, ebenso alles andere, wofür es bei Lebzeiten des verboten machenden kein Erlaubtwerden gibt, ausgenommen die Ehefrau, bei der es bei Lebzeiten des sie verboten machenden ein Erlaubtwerderr$fn26gibt. R. Jona, manche sagen, R. Ḥona, Sohn des R. Jehošua͑, erwiderte: Die Schrift sagt: <i>denn jeder, der etwas von diesen Gräueln tut &amp;c</i>.; alle Inzestuösen werden mit der Schwester verglichen: wie man wegen einer Schwester besonders schuldig ist, ebenso ist man wegen aller anderen besonders schuldig. – R. Jiçḥaq sagte ja aber, alle Fälle der Ausrottung$fn27waren in der Allgemeinheit einbegriffen, und die Ausrottung wegen einer Schwester wurde deshalb herausgegriffen, daß dies mit der Ausrottung und nicht mit der Geißelung bestraft werde; woher entnimmt er nun die Teilung!? – Er entnimmt dies aus [den Worten]:$fn28<i>du sollst einem Weibe während ihrer Sonderungsunreinheit nicht nahen</i>; dies$fn29ist teilend, wegen jedes Weibes besonders. – Sollten es auch die Rabbanan entnehmen aus [den Worten]: <i>einem Weibe während ihrer Sonderungsunreinheit</i>!<i>?</i> Dem ist auch so. – Worauf deutet nun die Herausgreifung der Ausrottung wegen seiner Schwester!? – Dies ist zur Teilung erforderlich; wegen seiner Schwester, wegen der Schwester seines Vaters und wegen der Schwester seiner Mutter$fn30. – Wozu sind diese zur Teilung erforderlich, es sind ja verschiedene Namen$fn31und verschiedene Körper$fn32!? – Sage vielmehr: zur Teilung, wegen seiner Schwester, die die Schwester seines Vaters und die Schwester seiner Mutter$fn33ist. – Woher entnimmt dies R. Jiçḥaq!? – Er entnimmt dies aus [dem Worte] <i>Schwester</i> im Schlusse der Schriftstelle, denn es heißt: $fn34<i>die Scham seiner Schwester hat er entblößt</i>. – Wofür verwenden die Rabbanan [das Wort] <i>Schwester</i> im Schlusse der Schriftstelle!? – Dieses"
Keritot 3a:1,"ist nötig wegen einer Schwester, die die Tochter seines Vaters und die Tochter seiner Mutter ist, und dies besagt, daß man nicht eine Bestrafung durch einen Schluß$fn35folgere. – Und R. Jiçḥaq!? – Er ist der Ansicht, man folgere eine Bestrafung durch einen Schluß. Wenn du aber willst, sage ich: er folgert die Bestrafung vom Verbote$fn36."
Keritot 3a:2,"R. Elea͑zar sagte im Namen R. Hoša͑jas: Wenn du irgendwo zwei Verbote und eine Ausrottung findest, so sind sie hinsichtlich des Sündopfers zu teilen$fn37. – Was ist dies? – Wenn jemand das Salböl mengt und sich damit salbt. Es heißt:$fn38<i>auf keines Menschen Leib darf es gegossen werden und in seinem Verhältnisse</i>$fn39<i>&amp;c</i>. Die Ausrottung einmal, denn es heißt:$fn40<i>wer dergleichen mischt, wer davon auf einen Gemeinen tut, werde ausgerottet aus seinen Stammesgenossen</i>. – Wozu braucht, wenn die Verbote zu teilen sind, der Allbarmherzige die Ausrottung wegen seiner Schwester$fn41zu schreiben!? – Nach den Rabbanan ist dies nötig, um zu lehren, daß man nicht eine Bestrafung durch einen Schluß folgere, und nach R. Jiçḥaq ist daraus zu entnehmen, daß man schuldig sei wegen einer Schwester, die die Schwester seines Vaters und die Schwester seiner Mutter ist$fn35. – Und die Rabbanan!? – Sie entnehmen es aus [dem Worte] <i>Schwester</i> im ersteren [Schriftverse]. – Und R. Jiçḥaq!? – Er ist der Ansicht, im vorangehenden gehört [das Wort] <i>Schwester</i> zur Konstruktion des Schriftverses, und die Teilung entnimmt er aus [dem Worte] <i>Schwester</i> im letzteren Schriftverse, daß [die Verbote] zu teilen sind in dem Falle, wenn es eine Schwester ist, die die Schwester seines Vaters und die Schwester seiner Mutter ist. R. Naḥman b. Jiçḥaq sagte: Auch wir haben demgemäß gelernt: Wer das Öl mengt, wer das Räucherwerk mengt, und wer sich mit dem Salböl salbt. Wozu lehrt er in der Mitte vom Mengen des Räucherwerkes? Wahrscheinlich lehrt er uns folgendes: wie [das Mengen] des Räucherwerkes ein gesondertes Verbot ist und man dieserhalb der Ausrottung besonders schuldig ist, ebenso ist man wegen des Mengens des Öls und des Salbens, da sie gesonderte Verbote sind, auch besonders schuldig. Wolltest du sagen, weil er von den Mengungen nebeneinander lehren will, so sollte er doch umgekehrt lehren: wer das Räucherwerk mengt, wer das Salböl mengt und wer sich mit dem Salböl schmiert. Wenn er aber [die Fälle] vom Öl teilt, so lehrt er uns damit, daß sie hinsichtlich der Sündopfer zu teilen sind. Schließe hieraus."
