Index Title,Nazir
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Nazir 2a:1,"<sup>i</sup> <b>A</b>LLE U<small>MSCHREIBUNGEN VON</small> N<small>AZIR</small>$fn1 <small>GELTEN WIE</small> N<small>AZIR</small>. S<small>AGTE JEMAND: ICH WILL SEIN</small>$fn2, <small>SO IST ER</small> N<small>AZIR</small>; [<small>SAGTE ER</small>:] <small>ICH WILL SCHÖN</small>$fn3 <small>SEIN, SO IST ER</small> N<small>AZIR</small>; [<small>SAGTE ER</small>:] N<small>AZIQ</small>, N<small>AZIḤ</small>, P<small>AZIḤ</small>$fn4, <small>SO IST ER</small> N<small>AZIR</small>. [S<small>AGTE JEMAND</small>:] <small>ICH WILL SO</small>$fn5 <small>SEIN, ODER: ICH WILL</small> [<small>DAS</small> H<small>AAR</small>] <small>KRÄUSELN LASSEN, ODER: ICH WILL</small> [<small>DAS</small> H<small>AAR</small>] <small>PFLEGEN</small>$fn6, <small>ODER: ICH NEHME AUF MICH, DAS</small> H<small>AAR HINWACHSEN ZU LASSEN, SO IST ER</small> N<small>AZIR</small>. [S<small>AGTE JEMAND</small>:] <small>ICH NEHME AUF MICH</small> [<small>DIE</small> D<small>ARBRINGUNG</small>] <small>VON</small> V<small>ÖGELN</small>$fn7, <small>SO IST ER, WIE</small> R. M<small>EÍR SAGT</small>, N<small>AZIR, UND WIE DIE</small> W<small>EISEN SAGEN, KEIN</small> N<small>AZIR</small>."
Nazir 2a:2,"GEMARA. Merke, der Autor befindet sich ja bei der Sektion von den Frauen$fn8, wieso lehrt er da [das Gesetz] vom Nazir!? – Der Autor bezieht sich auf folgenden Schriftvers: $fn9<i>wenn sie aber keinen Gefallen in seinen Augen findet, weil er etwas Widerwärtiges an ihr entdeckt</i>. Er lehrt folgendes: der Wein ist es, der zur Sünde veranlaßt, und er lehrt, wer eine Ehebruchsverdächtigte bei ihrer Entartung sieht, gelobe sich den Wein ab$fn10. – Er beginnt mit den Umschreibungen und nennt die Ansätze$fn11!? Raba, nach anderen Kadi, erwiderte: [Die Mišna] ist lückenhaft und muß wie folgt lauten: alle Umschreibungen von Nazir gelten wie Nazir und die Ansätze des Nazirgelübdes gelten wie das Nazirgelübde. Folgendes sind Ansätze: wenn jemand sagt: ich will sein, so ist er Nazir. – Sollte er doch zuerst die Umschreibungen$fn13aufzählen!? – Der Autor erklärt zuerst das, womit er$fn14aufhört. So haben wir auch gelernt: Was man als Brennstoff$fn15verwenden darf und was man nicht als Brennstoff verwenden darf. Aufgezählt aber werden zuerst [diejenigen Dinge], die man nicht als Brennstoff verwenden darf. Worin man warmstellen$fn16Marf und worin man nicht warmstellen darf? Aufgezählt aber wird zuerst das, worin man nicht warmstellen darf. Womit eine Frau ausgehen$fn17 darf und womit sie nicht ausgehen darf. Aufgezählt aber wird zuerst das, womit sie nicht ausgehen darf. – Wir haben ja aber gelernt: Womit man ein Vieh austreiben$fn18darf und womit man es nicht austreiben darf, und er zählt zuerst auf, womit man ein Kamel austreiben darf!? Manche [Verwandte] beerben und vererben, beerben und vererben nicht, vererben und beerben nicht, beerben nicht und vererben nicht, und er zählt zuerst diejenigen auf, die beerben und vererben!? – Vielmehr, tatsächlich nennt er einmal das eine und einmal das andere [zuerst]; bei einem Verbote, das sich auf die Person selbst bezieht, nennt er das Verbotene zuerst, bei einem Vieh, wobei das Verbot durch das Vieh erfolgt, nennt er das Erlaubte zuerst, und bei der Beerbung nennt er das Grundgesetz"
Nazir 2b:1,"der Erbschaft$fn19zuerst. – Demnach$fn20sollte er auch hierbei die Umschreibungen zuerst nennen!? – Vielmehr aus folgendem Grunde: [die Gültigkeit] der Ansätze wird durch eine Schriftauslegung gefolgert, und diese ist ihm lieb. – Sollte er damit auch eingangs beginnen!? – Der Autor beginnt mit dem, was hauptsächlich zum Opfer [verpflichtet$fn21], bei der Erklärung aber nennt er die Ansätze zuerst."
Nazir 2b:2,"S<small>AGTE JEMAND: ICH WILL SEIN, SO IST ER</small> N<small>AZIR</small>. Vielleicht meinte er: ich will im Fasten verweilen$fn22!? Šemuél erwiderte: Wenn ein Nazir an ihm vorüberging$fn23. – Es wäre anzunehmen, daß Šemuél der Ansicht ist, Ansätze, die nichts$fn24beweisen, gelten nicht als Ansätze$fn25? – Ich will dir sagen, wenn ein Nazir an ihm vorüberging, so ist eine andere Absicht nicht zu vermuten$fn26, wenn aber ein Nazir nicht vorüberging, sagen wir, er meinte vielleicht: ich will im Fasten verweilen$fn27. – Vielleicht meinte er, er wolle ihn seiner Opfer entheben$fn28!? – Wenn er im Herzen [das Richtige] gedacht hat. – Wozu braucht dies demnach gelehrt zu werden!? – Man könnte glauben, Mund und Herz müssen übereinstimmen, so lehrt er uns."
Nazir 2b:3,"I<small>CH WILL SCHÖN SEIN, SO IST ER</small> N<small>AZIR</small>. Vielleicht meinte er: ich will mich schön zeigen in der Ausübung der Gebote!? Es wird nämlich gelehrt:$fn29<i>Dieser ist mein Gott, ich will ihn verherrlichen</i>; ich will ihn verherrlichen$fn30bei der Ausübung der Gebote: ich will ihm [zu Ehren] eine schöne Festhütte$fn31, einen schönen Feststrauß$fn32, schöne Çiçith$fn33machen, eine schöne Torarolle schreiben und sie in schöne Seide hüllen. Šemuél erwiderte: Wenn er sich an das Haar faßte und sprach: ich will schön$fn34sein. – Dies$fn35ist ja eine Übertretung, und das soll schön heißen!? – Freilich: selbst nach R. Elea͑zar ha Qappar, welcher sagt, ein"
Nazir 3a:1,"Nazir sei ein Sünder, gilt dies nur von einem unreinen Nazir, weil er, da [die verstrichene Zeit]$fn36hinfällig ist, denn der Allbarmherzige sagt: $fn37<i>und die früheren Tage sind hinfällig</i>, das Nazirat übertreten könnte, ein reiner Nazir aber ist kein Sünder."
Nazir 3a:2,"I<small>CH WILL SO SEIN</small>. Er hat ja, selbst wenn er sich an das Haar faßte, nicht ‘dadurch’$fn38gesagt!? Šemuél erwiderte: Wenn ein Nazir an ihm vorüberging."
Nazir 3a:3,"I<small>CH WILL KRÄUSELN LASSEN</small>. Woher, daß darunter das Kräuseln des Haares zu verstehen ist? – So sprach einst eine Magd im Hause Rabbis zu einem: wie lange noch wirst du dein Haar kräuseln? – Vielleicht die Tora$fn39, denn es heißt:$fn40<i>kräusle sie und sie wird dich erheben</i>!? Šemuél erwiderte: Hierbei ebenfalls, wenn er sich an das Haar faßte."
Nazir 3a:4,"I<small>CH WILL PFLEGEN</small>. Woher, daß unter Pflegen das des Haares zu verstehen ist? – Wie wir gelernt haben: R. Jehuda sagt, Kalk, um den Haarwuchs$fn41zu entfernen$fn42, und Rabh erklärte, an der Unterschläfe. – Vielleicht die Pflege von Armen, wie es heißt:$fn43<i>und Joseph verpflegte seinen Vater und seine Brüder</i>!? Šemuél erwiderte: Hierbei ebenfalls, wenn er sich an das Haar faßte."
