Index Title,Temurah
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Temurah 2a:1,"<sup>i,1</sup> <b>J</b>EDER <small>KANN UMTAUSCHEN</small>$fn1, <small>SOWOHL</small> M<small>ÄNNER ALS AUCH</small> W<small>EIBER; NICHT ETWA, DASS MAN UMTAUSCHEN DARF, SONDERN DASS, WENN JEMAND UMGETAUSCHT HAT, DER</small> U<small>MTAUSCH GÜLTIG IST, UND ER ERHÄLT DIE VIERZIG</small> G<small>EISSELHIEBE</small>."
Temurah 2a:2,"GEMARA. Dies widerspricht sich ja selbst; zuerst heißt es: jeder kann umtauschen, von vornherein, nachher aber lehrt er: nicht etwa, daß man umlauschen darf, nur wenn es bereits geschehen ist!? – Nach deiner Auffassung: jeder kann umtauschen, von vornherein, brauchst du ja nicht einen Einwand aus der Mišna zu erheben, er ist ja aus der Schrift zu erheben, denn es heißt: $fn2<i>er darf es nicht auswechseln und er darf es nicht umtauschen</i>!? Vielmehr, erwiderte R. Jehuda, meint er es wie folgt: jeder kann durch den Umlausch erfassen lassen$fn3, sowohl Männer als auch Weiber; nicht etwa, daß man umtauschen darf, sondern daß, wenn jemand umgetauscht hat, der Umtausch gültig ist, und er erhält die vierzig Geißelhiebe."
Temurah 2a:3,"Was schließt [das Wort] ‘jeder’ ein? – Dies schließt den Erben ein, nicht wie R. Jehuda. Wir haben nämlich gelernt: Der Erbe kann stützen$fn4und der Erbe kann umtauschen – so R. Meír: R. Jehuda sagt, der Erbe könne nicht stützen und der Erbe könne nicht umtauschen. – Was ist der Grund des R. Jehuda? – Er folgert hinsichtlich des Beginnes der Heiligung$fn5 von der Beendigung der Heiligung$fn6: wie bei Beendigung der Heiligung der Erbe nicht stützen kann, ebenso kann bei Beginn der Heiligung der Erbe nicht umtauschen. – Woher dies vom Stützen selbst? – Es heißt dreimal$fn7 <i>sein Opfer</i>; einmal: sein Opfer, nicht aber das Opfer eines Nichtjuden, einmal: sein Opfer, nicht aber das Opfer seines Nächsten, und einmal: sein Opfer, nicht aber das Opfer seines Vaters. – Worauf deutet nach R. Meír, welcher sagt, der Erbe könne stützen, [das Wort] <i>sein Opfer</i>!? – Dies deutet auf die Einschließung aller Beteiligten$fn8 beim Stützen. – Und R. Jehuda!? – Er hält nichts von [der Einschließung] der Beteiligten beim Stützen. – Weshalb? – Weil ihr Opfer nicht bestimmt$fn9 ist. Wenn du aber willst, sage ich: tatsächlich hält er davon, nur folgert er es hinsichtlich des Opfers eines Nichtjuden und des Opfers seines Nächsten aus ein- und demselben Schriftworte, sodaß einer für [die Einschließung] der Beteiligten beim Stützen zurückbleibt. – Was ist der Grund R. Meírs, welcher sagt, der Erbe könne umtauschen!? – Er kann dir erwidern: <i>wenn aber umtauschen wird er umlauschen</i>, dies$fn10schließt den"
Temurah 2b:1,"Erben ein, und er folgert hinsichtlich der Beendigung der Heiligung vom Beginne der Heiligung: wie bei Beginn der Heiligung der Erbe umtauschen kann, ebenso kann bei Beendigung der Heiligung der Erbe stützen. – Wofür verwendet R. Jehuda [die Worte:] <i>wenn aber umtauschen wird er umtauschen</i>!? – Dies schließt das Weib ein. Wie gelehrt wird: Da nun der ganze Abschnitt die männliche Fassung gebraucht, wie es heißt: <i>er darf es nicht auswechseln und er darf es nicht umtauschen</i>, woher dies vom Weibe? Es heißt: <i>wenn aber umtauschen wird er umtauschen</i>, dies schließt das Weib ein. – Woher entnimmt dies R. Meír hinsichtlich des Weibes? – Er folgert dies aus [dem Worte] <i>(wenn) aber</i>$fn11. – Und R. Jehuda!? – Er verwendet das <i>(wenn) aber</i> nicht zur Schriftforschung. – Sowohl nach R. Meír als auch nach R. Jehuda nur aus dem Grunde, weil die Schrift das Weib einbegriffen hat, hätte die Schrift sie aber nicht einbegriffen, so würde man gesagt haben, sie sei wegen deg Umtauschens nicht zu geißeln, und [dem widersprechend] sagte ja R. Jehuda im Namen Rabhs, und ebenso wurde in der Schule R. Jišma͑éls gelehrt:$fn12<i>Wenn ein Mann oder ein Weib irgend eine Sünde der Menschen begeht</i>, die Schrift vergleicht das Weib mit dem Manne hinsichtlich aller Strafen der Tora!? – Dies ist nötig; man könnte glauben, dies gelte nur von einer Strafe, die bei einem einzelnen und bei einer Gemeinde gleich ist, hierbei aber, wo die Strafe nicht bei allen gleich ist, denn wir haben gelernt, eine Gemeinde und Gesellschafter können nicht umtauschen, sei auch ein Weib, wenn es dies getan hat, nicht zu geißeln, so lehrt er uns."
Temurah 2b:2,"Rami b. Ḥama fragte: Kann ein Minderjähriger umtauschen? – In welchem Falle: wollte man sagen, ein Minderjähriger, der das gelübdefähige Alter noch nicht erlangt hat, so ist dies ja nicht fraglich; wenn er nicht einmal heiligen$fn13kann, wie sollte er umtauschen können!? – Vielmehr, fraglich ist es ihm hinsichtlich eines Minderjährigen, der das gelübdefähige Alter erlangt hat. Der Meister sagte:$fn14<i>wenn jemand ein Gelübde ausspricht</i>, dies schließt das Gelübde dessen ein, der dem Mannesalter nahe ist, daß nämlich seine Heiligung güllig ist; kann er, da er heiligen kann, auch umtauschen, oder aber erfolgt, da er nicht strafbar$fn15ist, durch seinen Umtausch keine Erfassung$fn16? Und kann, wenn du entscheidest, ein Minderjähriger könne umtauschen, weil er später Strafbarkeit erlangt, ein Nichtjude umtauschen? Sagen wir, da er heiligen kann, (denn$fn17es wird gelehrt:$fn18<i>jemand</i>, wozu heißt es zweimal <i>jemand</i>$fn19? – dies schließt Nichtjuden ein, daß sie gleich den Jisraéliten Gelübde geloben und freiwillig spenden können,) könne er auch umtauschen, oder aber ist, da er zur Strafbarkeit nicht gelangt, wenn er umtauscht, [das Eingetauschte] nicht heilig? Raba sprach: Komm und höre: Es wird gelehrt: Von Opfertieren von Nichtjuden darf man nichts genießen, man begeht an ihnen keine Veruntreuung$fn20, man ist bei ihnen nicht schuldig wegen Verwerflichem$fn21, Übriggebliebenem$fn22und Unreinem, sie werden nicht umgetauscht, und sie$fn23bringen kein Gußopfer$fn24dar; ihre Opfer aber benöligen des Gußopfers – so R. Šimo͑n. R. Jose sprach: Ich finde, daß bei allen zu erschweren ist. Dies gilt nur vom Geheiligten für den Altar, am Geheiligten für den Tempelreparaturfonds aber begeht man eine Veruntreuung. Hier lehrt er also, daß sie nicht eintauschen können. – Und Rami b. Ḥama!? – Hinsichtlich des Falles, wenn ein Nichtjuden [ein Opfer] zur Sühne eines Nichtjuden geheiligt hat, ist es mir nicht fraglich, fraglich ist es mir nur hinsichtlich des Falles, wenn ein Nichtjude es zur Sühne eines Jisraéliten geheiligt hat: richten wir uns nach dem, der geheiligt hat, oder richten wir uns nach dem, der die Sühne erlangt? – Dies ist aus einer Lehre R. Abahus zu entscheiden, denn R. Abahu sagte im Namen R. Joḥanans: Der Heiligende füge das Fünftel$fn25hinzu und der Sühneerlangende kann es umtauschen; und wenn jemand von seinem [Getreide] die Hebe für einen anderen entrichtet, so gehört der Dank$fn26"
Temurah 3a:1,"ihm. Dieser erwiderte: Da, wo es von einem Jisraéliten kommt$fn27, richten wir uns nach dem, der die Sühne erlangt, denn es war von Anfang bis Ende in der Hand eines Jisraéliten, hierbei aber ist folgendes fraglich: muß es von Anfang bis Ende im Besitze dessen sein, der es umtauscht? – Dies bleibt unentschieden."
