Index Title,Yoma
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Yoma 2a:1,"<b>S</b><small>IEBEN</small> T<small>AGE VOR DEM</small> V<small>ERSÖHNUNGSTAGE</small><sup>1</sup><i class=""footnote"">fn1,Cf. Lev. 23,26ff.</i> <small>LASSE MAN DEN</small> H<small>OCHPRIESTER SICH AUS SEINEM</small> H<small>AUSE NACH DER</small> B<small>EAMTENKAMMER</small><sup>2</sup><i class=""footnote"">fn2,Oder Kammer der Beisitzer; eine der Tempelkammern, worüber Mid. V. 4.</i> <small>ZURÜCKZIEHEN</small>. F<small>ERNER HALTE MAN FÜR IHN NOCH EINEN ANDEREN</small> P<small>RIESTER IN</small> B<small>EREITSCHAFT, WEIL ER VON EINER</small> U<small>NTAUGLICHKEIT BETROFFEN WERDEN KANN</small>; R.J<small>EHUDA SAGT, MAN HALTE FÜR IHN AUCH EINE ANDERE</small> F<small>RAU IN</small> B<small>EREITSCHAFT, WEIL SEINE</small> F<small>RAU STERBEN KÖNNTE, UND ES HEISST</small>:<sup>3</sup><i class=""footnote"">fn3,Lev 16,11.</i><i>er soll Sühne schaffen sich und seinem Hause</i>, <small>UND UNTER</small> H<small>AUS IST DIE</small> F<small>RAU ZU VERSTEHEN</small>. M<small>AN ENTGEGNETE IHM</small>: D<small>EMNACH HAT DIE</small> S<small>ACHE KEIN</small> E<small>NDE</small><sup>4</sup><i class=""footnote"">fn4,Auch diese könnte sterben.</i>."
Yoma 2a:2,"GEMARA. Dort haben wir gelernt: Sieben Tage vor der Verbrennung der [roten] Kuh<sup>5</sup><i class=""footnote"">fn5,Cf. Num. 19,2ff.</i> lasse man den zur Verbrennung der Kuh bestimmten Priester sich aus seinem Hause nach der nordöstlichen Kammer vor der Bira<sup>6</sup><i class=""footnote"">fn6,Eigentlich Burg, oft Benennung des Tempels oder der Tempelhalle; Erklärung der engeren Bedeutung folgt weiter.</i> zurückziehen; diese nannte man Steinhauskammer. Man nannte sie deshalb Steinhauskammer, weil bei dieser<sup>7</sup><i class=""footnote"">fn7,Der roten Kuh.</i> alle Verrichtungen mit Mist-, Stein- und Tongeräten erfolgten. — Weshalb? — Da der am selben Tage Untergetauchte<sup>8</sup><i class=""footnote"">fn8,Der erst nach Sonnenuntergang völlige Reinheit erlangt.</i> zur Herrichtung der [roten] Kuh zulässig ist, wie wir gelernt haben, man machte den zur Verbrennung der roten Kuh bestimmten Priester unrein und ließ ihn untertauchen, als Kundgebung gegen die Saduzäer<sup>9</sup><i class=""footnote"">fn9,Wörtlich aus dem Herzen der S. zu bringen.</i>,welche sagten, dies dürfe nur durch einen erfolgen, der Sonnenuntergang abgewartet<sup>10</sup><i class=""footnote"">fn10,Dh. der völlig rein ist.</i>hat, so haben die Rabbanan dafür Mist-, Stein- und Tongeräte bestimmt, die für die Unreinheit nicht empfänglich sind, damit man diesen Dienst nicht mißachte. — Weshalb nordöstlich? — Diese ist ein Sündopfer, und das Sündopfer ist nördlich darzubringen, [dagegen] heißt es von dieser:<sup>11</sup><i class=""footnote"">fn11,Num. 9,4.</i><i>nach der Vorderseite</i><sup>12</sup><i class=""footnote"">fn12,Also östlich.</i><i>des Offenbarungszeltes</i>; daher haben die Rabbanan dafür eine Kammer nordöstlich bestimmt, damit man sich dies merke<sup>13</sup><i class=""footnote"">fn13,Bei dieser aufmerksamer sei als bei anderen Opfern.</i>. — Was heißt ‘Bira’? Rabba b.Bar Ḥana erklärte im Namen R. Joḥanans: Eine Stelle auf dem Tempelberge hieß Bira. Reš Laqiš erklärte: Der ganze Tempel hieß Bira, denn es heißt:<sup>14</sup><i class=""footnote"">fn14,iChr. 29,19.</i><i>die Bira [Tempel], die ich vorbereitet habe</i>."
Yoma 2a:3,"Woher dies? R. Minjomi b.Ḥilqija erwiderte im Namen des R. Maḥsija b.Idi im Namen R. Joḥanans: Die Schrift sagt:<sup>15</sup><i class=""footnote"">fn15,Lev. 8,34.</i><i>wie er an diesem Tage getan hat, so hat der Herr zu tun befohlen, um euch Sühne zu schaffen</i>; zu tun, das ist die Herrichtung der [roten] Kuh; Sühne zu schaffen, das ist der Dienst des Versöhnungstages<sup>16</sup><i class=""footnote"">fn16,Dieser Vers spricht von der Einsetzungswoche, während welcher die Priester 7 Tage ihre Wohnung verlassen u. am Eingange der Stiftshütte verweilen mußten.</i>. — Allerdings kann der ganze Schriftvers nicht auf die [Herrichtung der roten] Kuh bezogen werden, da es ja heißt, <i>um Sühne zu schaffen</i>, während die [rote] Kuh kein Sühnopfer ist, vielleicht aber spricht der ganze Schriftvers vom Versöhnungstage? — Ich will dir sagen, es ist aus [dem Worte] <i>befohlen</i> zu folgern, hierbei heißt es: <i>wie der Herr zu tun befohlen hat</i>, und dort<sup>17</sup><i class=""footnote"">fn17,Num. 19,2.</i>heißt es: <i>dies ist die Gesetzesbestimmung, die der Herr befohlen hat</i>; wie nun dort von der [roten] Kuh [gesprochen wird], ebenso hier von der [roten] Kuh, und wie hier von der Zurückziehung [des Hochpriesters], ebenso dort von der Zurückziehung [des Hochpriesters]."
Yoma 2b:1,"— Vielleicht aber aus [dem Worte] <i>befehlen</i>, das beim Versöhnungstage gebraucht wird, denn bei diesem heißt es:<sup>18</sup><i class=""footnote"">fn18,Lev. 16,34.</i><i>er tat, wie der Herr dem Moše befohlen hat</i>!? — Man folgere durch Vergleichung des vor der Handlung gebrauchten <i>befehlen</i> mit dem vor der Handlung gebrauchten <i>befehlen</i>, nicht aber folgere man durch Vergleichung des nach den Handlung gebrauchten <i>befehlen</i> mit dem vor der Handlung gebrauchten <i>befehlen</i>. — Vielleicht aber aus dem <i>befehlen</i>, das bei den Opfern gebraucht wird, denn es heißt:<sup>19</sup><i class=""footnote"">fn19,Ib. 7,38.</i><i>am Tage seines Befehlens an die Kinder Jisraél</i>!? — Man folgere durch Vergleichung von <i>befehlen</i> mit <i>befehlen</i>, nicht folgere man durch Vergleichung von <i>seines Befehlens</i> mit <i>befehlen</i>. — Welchen Unterschied gibt es denn dabei, in der Schule R. Jišmáéls lehrten sie ja: <i>Wenn der Priester wiederkommt, wenn der Priester hineingeht</i>, ‘kommen’ und ‘gehen’ sind dasselbe<sup>20</sup><i class=""footnote"">fn20,Hinsichtlich der Folgerung durch Wortanalogie.</i>!? — Dies nur, wenn kein gleiches [Wort] vorhanden ist, wenn aber ein gleiches vorhanden ist, folgere man vom gleichen. — «Sühne zu schaffen, das ist der Dienst des Versöhnungstages.» Vielleicht die Sühne durch [gewöhnliche] Opfer!? — Weiß man denn, welcher Priester herankommt, um ihn sich zurückziehen<sup>21</sup><i class=""footnote"">fn21,Der Dienst wurde durch Los bestimmt.</i>zu lassen!? — Weshalb sollte nicht die Zurückziehung für die ganze Priesterwache erforderlich sein!? — Man folgere durch Vergleichung einer Sache, für die eine Zeit festgesetzt ist, mit einer Sache, für die eine Zeit festgesetzt ist, ausgenommen die Opfer, die an jedem Tage vorhanden sind. — Vielleicht die der Feste!? — Man folgere durch Vergleichung einer Sache, die einmal im Jahre stattfindet, mit einer Sache, die einmal im Jahre stattfindet, ausge-nommen die Feste, die [mehr als] einmal im Jahre stattfinden. — Vielleicht ein Fest, und wenn du einwendest, man weiß nicht, welches von ihnen, so ist es entweder das Fest des Ungesäuerten, weil mit diesem die Schrift stets heginnt, oder das Hüttenfest, weil es an Geboten am reichhaltigsten<sup>22</sup><i class=""footnote"">fn22,An diesem haben mehrere Gebote Geltung: Feststrauß, Festpalme, Bachweide und die Prozession des Wassergießens.</i>ist!? — Vielmehr, man folgere durch Vergleichung der siebentägigen Zurückziehung für einen Tag mit der siebentägigen Zurückziehung für einen Tag, nicht aber folgere man durch Vergleichung der siebentägigen Zurückziehung für sieben Tage mit der siebentägigen Zurückziehung für einen Tag. — Vielleicht der achte [Tag des Hüttenfestes], wobei die siebentägige Zurückziehung für einen Tag erfolgt!? — Man folgere durch Vergleichung von dem, dem keine Heiligkeit vorangeht, mit dem, dem keine Heiligkeit vorangeht, nicht aber folgere man durch Vergleichung von dem, dem eine Heiligkeit<sup>23</sup><i class=""footnote"">fn23,Die ersten 7 Festtage sind ja ebenfalls geheiligt.</i>vorangeht, mit dem, dem keine Heiligkeit vorangeht. — Ist es denn nicht [das Entgegengesetzte durch einen Schluß] vom Leichteren auf das Schwere zu folgern: wenn bei dem, dem keine Heiligkeit vorangeht, eine Zurückziehung erforderlich ist, um wieviel mehr bei dem, dem eine Heiligkeit vorangeht!? — R.Mešaršeja erwiderte: Nein, es heißt: <i>an diesem</i>, nur gleich diesem. R.Asi erwiderte: Es ist ja nicht angängig, daß für das Hauptfest keine Zurückziehung, für seinen Anhang<sup>24</sup><i class=""footnote"">fn24,Der 8. Tag des Hüttenfestes ist nur eine angehängte Festversammlung; cf. Neh. 8,18.</i>aber eine Zurückziehung erforderlich sei. Und selbst nach demjenigen, welcher sagt, der achte [Tag] des Hüttenfestes sei ein Fest für sich, gilt dies ja nur hinsichtlich des Loses<sup>25</sup><i class=""footnote"">fn25,Welche Priesterwache das Opfer darzubringen hat.</i>, des Zeitsegens, des Festes<sup>26</sup><i class=""footnote"">fn26,Des Aufenthaltes in der Festhütte.</i>, des Opfers, des"
Yoma 3a:1,"Tempelgesanges und des Segens<sup>27</sup><i class=""footnote"">fn27,Im Gebete; nach einer anderen Erklärung pflegte man an diesem einen Segen für den König zu sprechen. Hinsichtlich der hier aufgezählten Dinge gleicht der 8. Tag nicht den übrigen Tagen des Hüttenfestes.</i>, hinsichtlich der Nachholung aber gilt er als Fortsetzung des ersten [Tages], denn wir haben gelernt, wer am ersten Tage des [Hütten]festes das Festopfer nicht dargebracht hat, muß es im Laufe des ganzes Festes darbringen, auch noch am letzten Tage des Festes. — Vielleicht das Wochenfest, bei dem die siebentägige Zurückziehung für einen Tag erfolgt!? R. Abba erwiderte: Man folgere durch Vergleichung [der Darbringung] eines Farren und eines Widders mit [der Darbringung] eines Farren und eines Widders, ausgenommen das Wochenfest, an dem zwei Widder dargebracht werden. — Einleuchtend ist dies nach demjenigen, der sagt, am Versöhnungstage werde ein Widder dargebracht, wie ist es aber nach demjenigen zu erklären, der zwei Widder sagt!? Es wird nämlich gelehrt: Rabbi sagt, es sei ein und derselbe Widder, von dem hier<sup>28</sup><i class=""footnote"">fn28,Beim Versöhnungstage, Lev. 16,5.</i>und von dem im Buche Numeri<sup>29</sup><i class=""footnote"">fn29,Num. 29,8.</i> gesprochen wird; R. Elea͑zar b. R. Šimo͑n sagt, es seien zwei verschiedene Widder, von dem hier und vom dem im Buche Numeri gesprochen wird. — Du kannst auch sagen, nach R. Elea͑zar b. R. Šimo͑n, denn von diesen<sup>30</sup><i class=""footnote"">fn30,Am Versöhnungstage.</i>ist einer Tagespflicht und einer Zusatzopfer, die des Wochenfestes aber sind beide Tagespflicht. — Vielleicht das Neujahrsfest, bei dem die siebentägige Zurückziehung für einen Tag erfolgt!? R. Abahu erwiderte: Man folgere durch Vergleichung [der Darbringung] seines<sup>31</sup><i class=""footnote"">fn31,Des Hochpriesters; der Farre der Einsetzung, von dem der Schriftvers Lev. 8,34 spricht u. ebenso der Farre des Versöhnungstags (cf. Lev. 16,3) sind beide Privatopfer des Unterpriesters.</i> Farren und Widders mit [der Darbringung] seines Farren und Widders, ausgenommen die des Wochenfestes und des Neujahrsfestes, die der Gemeinde sind. — Allerdings nach demjenigen, welcher erklärt:"
Yoma 3b:1,"<i>nimm dir</i>, von deinem, <i>mache dir</i>, von deinem, wie ist es aber nach demjenigen zu erklären, welcher sagt, von dem der Gemeinde!? Es wird nämlich gelehrt: <i>Nimm dir</i>: von deinem, <i>mache dir</i>: von deinem, <i>sie sollen dir nehmen</i>: von dem der Gemeinde — so R. Jošija; R. Jonathan erklärte: Ob <i>nimm dir</i> oder <i>sie sollen dir nehmen</i>, von dem der Gemeinde, und nur deshalb heißt es <i>nimm dir</i> — als ob man es sagen könnte — deines ist mir lieber ihres. Abba Ḥanan sagte im Namen R.Elie͑zers: Ein Schriftvers lautet:<sup>32</sup><i class=""footnote"">fn32,Dt. 10,1.</i><i>du sollst dir eine Holzlade machen</i>, und ein Schriftvers lautet:<sup>33</sup><i class=""footnote"">fn33,Ex. 25,10.</i><i>sie sollen eine Holzlade machen</i>; wie ist dies [in Übereinstimmung zu bringen]? Eines, wenn die Jisraéliten den Willen Gottes tun, und eines, wenn sie nicht den Willen Gottes tun. — Sie streiten nur über <i>nehmen</i> und <i>machen</i>, die anderweitig gebraucht werden, [beispielsweise]:<sup>34</sup><i class=""footnote"">fn34,Ib. 30,34.</i><i>nimm dir Spezereien</i>, und:<sup>35</sup><i class=""footnote"">fn35,Num. 10,2.</i><i>mache dir Trompeten aus Silber</i>, bei diesen aber ist es ausdrücklich erklärt, daß es von deinem sei. Merke, bei der Einsetzung heißt es ja bereits:<sup>36</sup><i class=""footnote"">fn36,Lev. 9,3.</i><i>zu den Kindern Jisraél sollst du also sprechen: Nehmet einen Ziegenbock zum Sündopfer</i>, und wenn es noch heißt:<sup>37</sup><i class=""footnote"">fn37,Ib. V. 2.</i><i>da sprach er zu Ahron: Nimm dir ein junges Rind zum Sündopfer</i>, so bedeutet dies: <i>dir</i> von deinem. Und beim Versöhnungstag heißt es ja bereits:<sup>38</sup><i class=""footnote"">fn38,Ib. 16,3.<br>39. Ib, V. 5.</i><i>damit komme Ahron in das Heiligtum, mit einem jungen Stier zum Sündopfer &c. und von der Gemeinde Jisraél soll er zwei Ziegenböcke zum Opfer nehmen</i>, und wenn es noch heißt:<sup>40</sup><i class=""footnote"">fn39,Ib. V. 6.</i><i>Ahron soll seinen Sündopfer-Farren darbringen</i>, so bedeutet dies ebenfalls: <i>sein</i>, von seinem. R. Aši erwiderte: Man folgere durch Vergleichung des Farren zum Sündopfer und des Widders zum Brandopfer mit dem Farren zum Sündopfer und dem Widder zum Brandopfer, ausgenommen die des Neujahrsfestes und des Wochenfestes, an denen beide Brandopfer sind. Rabina erwiderte: Man folgere durch Vergleichung des Dienstes durch den Hochpriester mit dem Dienste durch den Hochpriester, ausgenommen alle übrigen in den Einwendungen [genannten Tage], an denen der Dienst nicht durch den Hochpriester erfolgt. Manche lesen: Rabina erwiderte: Man folgere durch Vergleichung des ersten Tempeldienstes mit dem ersten Tempeldienste,<sup>41</sup><i class=""footnote"">fn40,Am Tage der Einsetzung.</i>ausgenommen jene, an denen er nicht der erste ist. — Was heißt erster: wollte man sagen, der erste für den Hochpriester, so ist dies ja identisch mit der ersten Lesart!? — Vielmehr, der erste im Dienstraume<sup>42</sup><i class=""footnote"">fn41,Am Versöhnungstage trat der Hochpriester das 1. Mal in das Allerheiligste, am Einsetzungstage das 1. Mal in das Heiligtum.</i>."
