Index Title,Chagigah
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Chagigah 2a:1,"<sup>i</sup> <b>J</b>EDER <small>IST ZUM</small> E<small>RSCHEINEN</small>$fn1 <small>VERPFLICHTET, AUSGENOMMEN EIN</small> T<small>AUBER, EIN</small> B<small>LÖDER, EIN</small> M<small>INDERJÄHRIGER, EIN</small> G<small>ESCHLECHTSLOSER, EIN</small> Z<small>WITTER,</small> F<small>RAUEN, UNBEFREITE</small> S<small>KLAVEN, EIN</small> L<small>AHMER, EIN</small> B<small>LINDER, EIN</small> K<small>RANKER, EIN</small> A<small>LTERSSCHWACHER, UND DER ZU</small> F<small>USS NICHT HINAUFZIEHEN KANN.</small> W<small>ELCHES</small> [K<small>IND</small>] <small>HEISST</small> [<small>DIESBEZÜGLICH</small>] <small>MINDERJÄHRIG?</small> D<small>AS AUF SEINES</small> V<small>ATERS</small> S<small>CHULTERN REITEND NICHT VON</small> J<small>ERUŠALEM AUF DEN</small> T<small>EMPELBERG HINAUF KANN – SO DIE</small> S<small>CHULE</small> Š<small>AMMAJS; DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, DAS NICHT SEINES</small> V<small>ATERS</small> H<small>AND HALTEN UND VON</small> J<small>ERUŠALEM AUF DEN</small> T<small>EMPELBERG HINAUF KANN, DENN ES HEISST:</small>$fn2<i>dreimal</i>$fn3 <sup>ii</sup>. D<small>IE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, DAS</small> B<small>ESUCHSOPFER ZWEI</small>$fn4 S<small>ILBER</small>[<small>MAA͑</small>] <small>UND DAS</small> F<small>ESTOPFER EINE</small> M<small>AA͑, UND DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, DAS</small> B<small>ESUCHSOPFER EINE</small> M<small>AA͑ UND DAS</small> F<small>ESTOPFER ZWEI</small> S<small>ILBER</small>[<small>MAA͑</small>]."
Chagigah 2a:2,"GEMARA. Wen schließt [das Wort] ‘jeder’ ein? – Dieses schließt den Halbsklaven ein. – Was aber schließt [das Wort] ‘jeder’ nach Rabina ein, welcher sagt, der Halbsklave sei vom Erscheinen frei? – Dies schließt den ein, der am ersten Tage lahm war und am zweiten nicht mehr. – Einleuchtend ist es nach demjenigen, welcher sagt, sie alle$fn5 seien ein Ersatz für einander, was aber schließt [das Wort] ‘jeder’ nach demjenigen ein, welcher sagt, sie seien alle ein Ersatz des ersten!? – Dies schließt den ein, der auf einem Auge blind ist, gegen die Ansicht des folgenden Tanna. Es wird nämlich gelehrt : Joḥanan b. Dahabaj sagte im Namen R. Jehudas: Wer auf einem Auge blind ist, ist vom Erscheinen frei, denn es heißt ‘sehen’ und ‘gesehen$fn6 werden’, wie das Sehen, so das Erscheinen: wie sehen mit beiden Augen, so auch erscheinen mit beiden Augen. Wenn du aber willst, sage ich: tatsächlich, wie wir zuerst erklärt haben, wenn du aber einen Einwand erhebst aus der Lehre Rabinas, so ist dies kein Einwand, denn eines gilt nach der ersten Lehre und eines gilt nach der zweiten Lehre. Es wird nämlich gelehrt: Wer zur Hälfte Sklave und zur Hälfte frei$fn7 ist, diene einen Tag seinem Herrn und einen Tag sich selbst – so die Schule Hillels. Die Schule Šammajs"
Chagigah 2b:1,"sprach: Ihr habt allerdings eine Vorsorge für seinen Herrn getroffen, nicht aber für ihn: eine Sklavin heiraten darf er nicht, eine Freie heiraten darf er nicht, und sollte er dies ganz unterlassen, so ist ja die Welt zur Fortpflanzung erschaffen worden, denn es heißt: $fn8<i>nicht zur Einöde hat er sie erschaffen, sondern daß sie bewohnt werde.</i> Als vorsorgende Institution zwinge man vielmehr seinen Herrn, ihn zum Freien zu machen, und dieser schreibe ihm einen Schuldschein über die Hälfte seines Wertes. Darauf trat die Schule Hillels zurück und lehrte wie die Schule Šammajs."
Chagigah 2b:2,"A<small>USGENOMMEN EIN</small> T<small>AUBER, EIN</small> B<small>LÖDER, EIN</small> M<small>INDERJÄHRIGER</small> &amp;<small>C</small>. Er lehrt vom Tauben gleichlautend wie vom Blöden und vom Minderjährigen: wie der Blöde und der Minderjährige keinen Verstand haben, ebenso auch ein Tauber, der keinen Verstand hat, somit lehrt er uns das, was wir gelernt haben: Der Taube, von dem die Weisen überall sprechen, [ist einer,] der weder hören noch sprechen kann. Der aber sprechen und nicht hören oder hören und nicht sprechen kann, ist verpflichtet. Wir lernen somit das, was die Rabbanan gelehrt haben: Der sprechen und nicht hören kann, heißt ein Tauber, der hören und nicht sprechen kann, heißt ein Stummer; beide gelten in jeder Hinsicht als vollsinnig. – Woher, daß, wer sprechen und nicht hören kann, Tauber heiße, und wer hören und nicht sprechen kann, Stummer heiße? – Es heißt: $fn9<i>ich aber gleich einem Tauben, höre nicht, und bin wie ein Stummer, der seinen Mund nicht auftut</i>. Wenn du aber willst, sage ich: wie es die Leute erklären : ihm sind die Worte genommen$fn10."
Chagigah 2b:3,"«Der aber sprechen und nicht hören oder hören und nicht sprechen kann, ist verpflichtet.» Es wird ja aber gelehrt, der sprechen und nicht hören oder hören und nicht sprechen kann, sei frei!? Rabina, nach anderen Raba, erwiderte: [Unsere Mišna] ist lückenhaft und muß wie folgt lauten : Jeder ist zum Erscheinen und zur Festfreude verpflichtet, ausgenommen ein Tauber, der sprechen und nicht hören oder der hören und nicht sprechen kann, der vom Erscheinen frei ist; und obgleich"
Chagigah 3a:1,"er vom Erscheinen frei ist, so ist er dennoch zur Festfreude verpflichtet. Der aber weder hören noch sprechen kann, ein Blöder und ein Minderjähriger sind auch von der Festfreude frei, da sie von allen in der Tora genannten Geboten frei sind. Ebenso wird auch gelehrt: Jeder ist zum Erscheinen und zur Festfreude verpflichtet, ausgenommen ein Tauber, der sprechen und nicht hören, oder der hören und nicht sprechen kann, der vom Erscheinen frei ist; und obgleich er vom Erscheinen frei ist, so ist er dennoch zur Festfreude verpflichtet. Der aber weder hören noch sprechen kann, ein Blöder und ein Minderjähriger sind auch von der Festfreude frei, da sie von allen in der Tora genannten Geboten frei sind. – Weshalb sind sie vom Erscheinen frei und zur Festfreude verpflichtet? – Hinsichtlich des Erscheinens ist es durch [das Wort] <i>erscheinen</i> von der Versammlung zu entnehmen, denn es heißt :$fn11<i>versammle das Volk, Männer, Frauen und Kinder,</i> und [vorangehend] heißt es:$fn12<i>wenn ganz Jisraél erscheint.</i> – Woher dies von der Versammlung selbst? – Es heißt :$fn11<i>damit sie es hören und damit sie es lernen,</i> und hierzu wird gelehrt: <i>damit sie es hören,</i> ausgenommen, der sprechen und nicht hören kann; <i>damit sie es lernen,</i> ausgenommen, der hören und nicht sprechen kann. – Demnach kann, wer nicht sprechen kann, auch nicht lernen; einst waren ja aber in der Nachbarschaft Rabbis zwei Stumme, Tochterssöhne des R. Joḥanan b. Gudgada, und wie manche sagen, Schwesterssöhne R. Joḥanans, die, sobald Rabbi ins Lehrhaus kam, sich vor ihn setzten und mit den Köpfen nickten und die Lippen bewegten, und als Rabbi für sie um Erbarmen flehte und sie geheilt wurden, stellte es sich heraus, daß sie Halakha, Siphra, Siphre und den ganzen Talmud gelernt hatten!? Mar Zuṭra erwiderte: Lies: damit sie es lehren$fn13. R. Aši sagte : ohnehin lese$fn14man : damit sie es lehren. Wolltest du sagen, er folgere es aus [der Lesart] : damit sie es lernen, so könnte man es ja auch aus [den Worten]: damit sie es hören folgern, denn wer nicht spricht, lernt nicht, und wer nicht hört, lernt nicht; vielmehr folgert er aus [der Lesart] : damit sie es lehren."
