Index Title,Nedarim
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Nedarim 2a:1,"<sup>i,1</sup><b>A</b>LLE U<small>MSCHREIBUNGEN VON</small> G<small>ELÜBDEFORMELN</small>$fn1 <small>GLEICHEN DEN</small> G<small>ELÜBDEFORMELN</small>, <small>VON</small> B<small>ANNFORMELN</small>$fn2 <small>DEN</small> B<small>ANNFORMELN</small>, <small>VON</small> E<small>IDFORMELN DEN</small> E<small>IDFORMELN UND VON</small> N<small>AZIRFORMELN</small>$fn3 <small>DEN</small> N<small>AZIRFORMELN</small>. S<small>PRICHT JEMAND ZU SEINEM</small> N<small>ÄCHSTEN</small>: <small>ICH SEI DIR ABGELOBT</small>$fn4, <small>ICH SEI DIR ABGESONDERT</small>, <small>ICH SEI DIR ENTFERNT</small>, <small>DAS</small>$fn5 <small>ICH DEINES ESSE</small>, <small>DAS ICH DEINES KOSTE</small>, <small>SO IST ES IHM VERBOTEN</small>. [S<small>AGT JEMAND</small>:] <small>ICH WILL FÜR DICH AUSGESTOSSEN</small>$fn6 <small>SEIN</small>, <small>SO MEINT</small>$fn7 R. A͑<small>QIBA HIERBEI ERSCHWEREND ZU ENTSCHEIDEN</small>."
Nedarim 2a:2,GEMARA. A<small>LLE</small> U<small>MSCHREIBUNGEN VON</small> G<small>ELÜBDEFORMELN GLEICHEN DEN</small>
Nedarim 2b:1,"G<small>ELÜBDEFORMELN</small>. Weshalb werden bei [der Lehre vom] Nazirat nicht alle$fn8 aufgezählt und bei [der Lehre von den] Gelübden alle aufgezählt? – Gelübde und Eid werden in der Schrift nebeneinander behandelt$fn9, daher nennt er beide, und da er diese beiden nennt, nennt er auch alle übrigen. – Sollte er doch die Umschreibungen der Eidesformeln nach denen der Gelübde$fn10nennen!? – Da er Gelübde nennt, wodurch die Sache [der Person] verboten wird, nennt er [anschließend] Bannformeln, wodurch ebenfalls die Sache [der Person] verboten wird, während durch den Eid die Person der Sache verboten$fn11wird. – Er beginnt mit den Umschreibungen: alle Umschreibungen von Gelübdeformeln, und zählt die Ansätze$fn12auf: spricht jemand zu seinem Nächsten: ich sei dir abgelobt!? Und ferner: vergaß er denn die Ansätze$fn13!? – Er handelt von diesen, nur ist [unsere Mišna] lückenhaft und muß wie folgt lauten: alle Umschreibungen von Gelübdeformeln gleichen den Gelübdeformeln und Ansätze von Gelübdeformeln den Gelübdeformeln. – Sollte er doch die Umschreibungen$fn14zuerst aufzählen!? – Womit er schließt, zählt er zuerst auf. So wird auch gelehrt: Was man als Brennstoff$fn15verwenden darf und was man als Brennstoff nicht verwenden darf. Man darf kein &amp;c. brennen. Worin man warmstellen$fn16darf und worin man nicht warmstellen darf. Man darf nicht warmstellen &amp;c. Womit eine Frau ausgehen darf$fn17und womit sie nicht ausgehen darf. Eine Frau darf nicht ausgehen &amp;c. – Zählt er denn immer später auf, womit er beginnt, es wird ja gelehrt: manche [Verwandte] erben und vererben, [manche] erben und vererben nicht; folgende erben und vererben. Manche [Frauen] sind ihren Männern erlaubt und ihren Schwägern verboten$fn18, manche ihren Schwägern erlaubt und ihren Männern verboten; folgende sind ihren Männern erlaubt und ihren Schwägern verboten. Manche [Speisopfer] benötigen des Öls$fn19und des Weihrauchs, [manche] des Öls und nicht des Weihrauchs; folgende benötigen des Öls und des Weihrauchs. Manche [Opfer] benötigen des Heranbringens$fn20und nicht des Schwingens, [manche] des Schwingens und nicht des Heranbringens; folgende benötigen des Heranbringens. Mancher ist Erstgeborener hinsichtlich der Erbschaft$fn21und nicht Erstgeborener hinsichtlich des [Lösegeldes$fn22an den] Priester, [mancher] ist Erstgeborener hinsichtlich des [Lösegeldes an den] Priester und nicht Erstgeborener hinsichtlich der Erbschaft; folgender ist Erstgeborener hinsichtlich der Erbschaft und nicht Erstgeborener hinsichtlich des [Lösegeldes an den] Priester. – Diese zählt er deshalb zuerst auf, weil sie mehr sind. – Bei [der Lehre], womit man ein Vieh austreiben$fn23darf und womit man es nicht austreiben darf, sind ja die [zuerst genannten Fälle] nicht mehr, dennoch"
Nedarim 3a:1,"lehrt er [zuerst:] man darf ein Kamel austreiben!? – Vielmehr, er nimmt es nicht genau; zuweilen zählt er zuerst auf, womit er beginnt, und zuweilen zählt er zuerst auf, womit er schließt. Wenn du aber willst, sage ich: die Ansätze zählt er deshalb zuerst auf, weil sie durch eine Schriftauslegung gefolgert$fn24werden. Sollte er mit diesen auch beginnen!? – Er beginnt mit den Umschreibungen, weil sie aus der Tora sind, nachher aber zählt er die Ansätze [zuerst] auf, weil sie aus einer Schriftauslegung gefolgert werden. – Allerdings nach demjenigen, welcher sagt, die Umschreibungen seien fremdsprachliche$fn25Ausdrücke, wie ist es aber nach demjenigen zu erklären, welcher sagt, es seien von den Weisen ersonnene$fn26Ausdrücke, deren man sich beim Geloben bediene!? – Er nennt ja die Ansätze überhaupt nicht, vielmehr mußt du [unsere Mišna] als lückenhaft [erklären], somit setze ‘Ansätze’ vor und lehre wie folgt: alle Ansätze von Gelübdeformeln gleichen den Gelübdeformeln und alle Umschreibungen von Gelübdeformeln gleichen den Gelübdeformeln. Folgende sind Ansätze: spricht jemand zu seinem Nächsten &amp;c. Folgende sind Umschreibungen: Qonam, Qonaḥ, Qonas$fn27. – Wo sind die Ansätze in der Schrift angedeutet? – [Es heißt:]$fn28<i>wenn jemand ein Nazirgelübde ausspricht, dem Herrn gesondert zu sein</i>, und hierzu wird gelehrt: <i>ein Nazirgelübde, gesondert zu sein</i>, dies$fn29zur Gleichstellung der Umschreibungen von ‘Nazir’ mit ‘Nazir’ und der Ansätze des Nazirgelübdes mit dem Nazirgelübde. Ich weiß dies nur von den Nazirformeln, woher dies von den Gelübdeformeln? Es heißt: <i>wenn jemand ein Nazirgelübde ausspricht, dem Herrn gesondert zu sein</i>; er vergleicht das Nazirat mit dem Gelübde und das Gelübde mit dem Nazirat: wie beim Nazirat die Ansätze der Nazirformel der Naziratformel gleichen, ebenso gleichen beim Gelübde die Ansätze von Gelübdeformeln den Gelübdeformeln; und wie ferner beim Gelübde ein Verbot des Entweihens$fn30 und des Versäumens$fn31besteht, ebenso besteht beim Nazirat ein Verbot des Entweihens und des Versäumens; und wie ferner beim Gelübde der Vater das Gelübde seiner Tochter und der Ehemann das Gelübde seiner Frau aufheben$fn32kann, ebenso kann beim Nazirat der Vater das Nazirat seiner Tochter und der Ehemann das Nazirat seiner Frau aufheben. – Beim Nazirat wohl deshalb$fn33, weil es heißt: <i>ein Nazirgelübde, gesondert</i>$fn29 <i>zu sein</i>, und auch beim Gelübde heißt es ja:$fn28<i>ein Gelübde gelobt</i>$fn34; wozu die [Folgerung durch] Vergleichung!? – Hieße es: <i>ein Gelübde zu geloben</i>, wie es auch heißt: <i>ein Nazirgelübde, abgesondert zu sein</i>, so würdest du recht haben, und die Vergleichung wäre nicht nötig, da es aber heißt: <i>ein Gelübde gelobt</i>, so gebraucht die Tora nur eine landläufige Redewendung$fn35. – Allerdings nach demjenigen, welcher sagt, die Tora gebrauche eine landläufige Redewendung, wofür aber sind nach demjenigen, welcher sagt, die Tora gebrauche keine landläufige$fn36Redewendung, [die Worte] <i>ein Gelübde gelobt</i> zu verwenden!? – Hieraus entnimmt er, daß die Ansätze von Gelübdeformeln den Gelübdeformeln gleichen; er vergleicht diesbezüglich das Nazirat mit dem Gelübde, und aus [den"
Nedarim 3b:1,"Worten] <i>ein Nazirgelübde, gesondert zu sein</i> entnimmt er, daß das Nazirat das Nazirat erfasse$fn37. – Woher entnimmt derjenige, welcher sagt, die Tora gebrauche eine landläufige Redewendung, und [die Worte] <i>ein Nazirgelübde, gesondert zu sein</i> deuten darauf, daß die Ansätze von Gelübdeformeln den Gelübdeformeln gleichen, daß das Nazirat das Nazirat erfasse!? Einleuchtend ist es, wenn er der Ansicht desjenigen ist, welcher sagt, das Nazirat erfasse nicht das Nazirat, woher aber entnimmt er dies, wenn er der Ansicht desjenigen ist, welcher sagt, das Nazirat erfasse das Nazirat!? Die Schrift könnte ja <i>lizor</i> sagen, wenn es aber <i>lehazir</i>$fn38 heißt, so ist beides zu entnehmen. Im Westen erklärten sie: Mancher folgert hinsichtlich der Ansätze aus [den Worten] <i>ein Gelübde gelobt</i>, und mancher folgert es aus [den Worten]$fn39<i>alles, was aus seinem Munde kam, soll er tun</i>."
Nedarim 3b:2,"Der Meister sagte: Und wie ferner beim Gelübde ein Verbot des Entweihens und des Versäumens besteht. Allerdings kann beim Gelübde das Verbot des Entweihens vorkommen, wenn er nämlich [gelobt] hat: er werde diesen Leib essen, und ihn nicht gegessen hat, so übertrat er das Verbot, sein Wort zu entweihen; wieso aber kann beim Nazirat das Verbot des Entweihens vorkommen: sobald er sagt, er wolle Nazir sein, ist er Nazir, und verstößt, wenn er ißt$fn40, gegen das Verbot des Essens, und wenn er trinkt$fn40, gegen das Verbot des Trinkens$fn41!? Raba erwiderte: Er übertritt beides$fn42. – Wieso kann beim Nazirat das Verbot des Versäumens vorkommen; sobald er sagt, er wolle Nazir sein, ist er Nazir, und verstößt, wenn er ißt, gegen das Verbot des Essens$fn43!? – Wenn er gesagt hat, er wolle Nazir sein, sobald er es wünschen wird. – Wenn er ‘sobald er es wünschen wird’ gesagt hat, kann ja das Verbot des Versäumens nicht erfolgen!? Raba erwiderte: Wenn er gesagt hat, er wolle aus der Welt nicht scheiden, ohne Nazir gewesen zu sein; er ist von dieser Stunde an Nazir [zu sein verpflichtet]. Wie in folgendem Falle. Wenn [ein Priester] zu seiner Frau sagt: da hast du deinen Scheidebrief, auf daß er eine Stunde vor meinem Tode [Gültigkeit erlange], so darf sie fortan keine Hebe mehr essen. Wir sagen also, er kann jede Stunde sterben, ebenso ist er hierbei sofort Nazir, denn wir sagen, er kann jetzt sterben. R. Aḥa b."
