Index Title,Makkot
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Makkot 2a:1,"<b>I</b>N <small>WELCHEN</small> F<small>ÄLLEN WERDEN DIE</small> Z<small>EUGEN ÜBERFÜHRTE</small> F<small>ALSCHZEUGEN</small>$fn1? [S<small>AGTEN SIE</small>:] W<small>IR BEKUNDEN, DASS JENER</small> [P<small>RIESTER</small>] <small>DER</small> S<small>OHN EINER</small> G<small>ESCHIEDENEN ODER DER</small> S<small>OHN EINER</small> Ḥ<small>ALUÇA IST</small>$fn2, <small>SO SAGE MAN NICHT, DASS</small> [<small>DER</small> Z<small>EUGE</small>$fn3] <small>AN SEINER</small> S<small>TELLE ALS</small> S<small>OHN EINER</small> G<small>ESCHIEDENEN ODER EINER</small> Ḥ<small>ALUÇA ERKLÄRT WERDE, VIELMEHR ERHÄLT ER DIE VIERZIG</small> S<small>TREICHE</small>. <sup>i,1</sup> [S<small>AGTEN SIE</small> :] W<small>IR BEKUNDEN, DASS JENER</small> M<small>ANN SICH DER</small> V<small>ERBANNUNG SCHULDIG GEMACHT HAT</small>$fn4, <small>SO SAGE MAN NICHT, DASS</small> [<small>DER</small> Z<small>EUGE</small>] <small>AN SEINER</small> S<small>TELLE IN DIE</small> V<small>ERBANNUNG GEHE, VIELMEHR ERHÄLT ER DIE VIERZIG</small> S<small>TREICHE</small>."
Makkot 2a:2,"GEMARA. Es sollte ja heißen: in welchen Fällen werden die Zeugen keine überführten Falschzeugen!? Ferner, weiter$fn5 wird gelehrt: Wenn sie aber zu ihnen sagen: wieso könnt ihr dies bekunden, an jenem Tage wart ihr ja mit uns zusammen an jenem Orte, so sind jene überführte Falschzeugen. Demnach sind ja die anderen$fn6 keine überführten Falschzeugen!? – Unser Autor bezieht sich auf jene$fn7 Lehre: Alle überführten Falschzeugen verfallen zuerst demselben Tode, ausgenommen die überführten Falschzeugen wider eine Priesterstochter und ihren Buhlen; diese verfallen nämlich nicht diesem Tode, sondern einem anderen Tode$fn8. Es gibt aber überführte Falschzeugen, die der für solche bestimmten Strafe überhaupt nicht verfallen, sondern die vierzig Streiche erhalten. In welchem Falle? [Sagten sie:] Wir bekunden, daß jener [Priester] der Sohn einer Geschiedenen oder der Sohn einer Ḥaluça ist, so sage man nicht, daß [der Zeuge] an seiner Stelle als Sohn einer Geschiedenen oder einer Ḥaluça erklärt werde, vielmehr erhält er die vierzig Streiche. – Woher dies? R. Jehošua͑ b. Levi erwiderte im Namen des R. Šimo͑n b. Laqiš: Die Schrift sagt: $fn9<i>so sollt ihr über ihn das verhängen, was er gedacht hat &amp;c</i>., über ihn, nicht aber über seine Kinder$fn10. – Sollte man doch nur ihn selbst als [für die Priesterschaft] untauglich erklären und nicht seine Kinder!? – Es heißt: was er gedacht hat, was dann nicht der Fall wäre. Bar Pada erklärte: es ist [ein Schluß] vom Schwereren auf das Leichtere zu folgern: wenn der Entweihende$fn11nicht entweiht wird, um wieviel weniger wird der entweiht, der einen anderen nur entweihen wollte, dies aber nicht vollbracht hat. Rabina wandte ein: Demnach hast du ja das Gesetz von den überführten Falschzeugen aufgehoben:"
Makkot 2b:1,"wenn derjenige, der die Steinigung veranlaßt$fn12hat, nicht gesteinigt wird, um wieviel weniger ist der zu steinigen, der die Steinigung nur veranlassen wollte, dies aber nicht vollbracht$fn12hat!? – Am richtigsten ist vielmehr unsere erste Erklärung."
Makkot 2b:2,"W<small>IR BEKUNDEN, DASS JENER</small> M<small>ANN SICH DER</small> V<small>ERBANNUNG SCHULDIG GEMACHT HAT</small> &amp;<small>C</small>. Woher dies? Reš Laqiš erwiderte: Die Schrift sagt:$fn13<i>er flüchte sich in eine dieser Städte</i>, er, nicht aber die überführten Falschzeugen. R. Joḥanan erklärte: Dies ist [durch einen Schluß] vom Schwereren auf das Leichtere zu folgern: wenn [der Totschläger] nicht verbannt wird, obgleich er eine vorsätzliche Handlung begangen$fn14hat, um wie viel weniger sind diese zu verbannen, die keine vorsätzliche Handlung begangen haben. – Eben deshalb: er, der eine vorsätzliche Handlung begangen hat, wird nicht verbannt, damit er keine Sühnie erlange, sie aber, die keine vorsätzliche Handlung begangen haben, sind zu verbannen, damit sie Sühne erlangen!? – Am richtigsten ist vielmehr die Erklärung des Reš Laqiš."
Makkot 2b:3,"U͑la sagte: Wo finden wir in der Tora eine Andeutung für [das Gesetz über die] Falschzeugen? – Es heißt ja ausdrücklich: <i>so sollt ihr über ihn das verhängen, was er gedacht hat &amp;c</i>.!? – Vielmehr, wo finden wir in der Tora eine Andeutung dafür, daß die überführten Falschzeugen zu geißeln sind? Es heißt :$fn15<i>sie sollen den Unschuldigen freisprechen und den Schuldigen schuldig sprechen: und wenn der Schuldige zu geißeln ist</i>. Sollte man den Schuldigen etwa deshalb schuldigsprechen und ihn geißeln, weil sie den Unschuldigen freisprechen? Vielmehr: wenn Zeugen einen Unschuldigen beschuldigen und darauf andere Zeugen kommen und ihn entlasten und jene Zeugen beschuldigen, so sind die Schuldigen zu geißeln. – Dies$fn16liegt ja schon im Verbote :$fn17<i>du sollst nicht falsches Zeugnis ablegen</i>!? – Dies ist ein Verbot, durch das keine Tätigkeit ausgeübt wird, und wegen eines Verbotes, durch das keine Tätigkeit ausgeübt wird, ist nicht zu geißeln."
Makkot 2b:4,"Die Rabbanan lehrten: Viererlei Dinge wurden von den überführten Falschzeugen gelehrt: sie werden nicht als Söhne einer Geschiedenen oder Ḥaluça erklärt, sie werden nicht in die Zufluchtsstädte verbannt, sie zahlen kein Lösegeld$fn18und sie werden nicht als hebräische Sklaven$fn19verkauft. Im Namen R. A͑qibas sagten sie: sie zahlen auch keine [Geldbuße] bei einem Geständnisse$fn20. Sie werden nicht als Söhne einer Geschiedenen oder einer Ḥaluça erklärt, wie wir bereits erklärt haben. Sie werden nicht in die Zufluchtsstädte verbannt, wie wir bereits gesagt haben. Sie zahlen kein Lösegeld, nach der Ansicht, das Lösegeld sei eine Sühne$fn21, und diese brauchen ja nicht der Sühne. – Wer lehrte, das Lösegeld sei eine Sühne? R. Ḥisda erwiderte: Es ist R. Jišma͑él, Sohn des R. Joḥanan b. Beroqa. Es wird nämlich gelehrt :$fn22<i>So soll er das Lösegeld seines Lebens geben</i>, den Wert des Beschädigten; R. Jišma͑él, Sohn des R. Joḥanan b. Beroqa, sagt, den Wert des Schädigers. Ihr Streit besteht wahrscheinlich in folgendem: einer ist der Ansicht, das Lösegeld sei eine Geld[entschädigung], und einer ist der Ansicht, das Lösegeld sei eine Sühne. R. Papa entgegnete: Nein, alle sind der Ansicht, das Lösegeld sei eine Sühne, und ihr Streit besteht in folgendem: einer ist der Ansicht, man schätze den Wert des Beschädigten, und einer ist der Ansicht, man schätze den Wert des Schädigers. – Was ist der Grund der Rabbanan$fn23? – Unten$fn24heißt es ‘auferlegen’ und oben$fn25heißt es ‘auferlegen’, wie dort [den Wert] des Beschädigten, ebenso auch hier [den Wert] des Beschädigten. – Und R. Jišma͑él!? – Es heißt: <i>so soll er das Lösegeld seines Lebens geben</i>. – Und die Rabbanan!? – Allerdings heißt es, daß er das Lösegeld seines Lebens gebe, jedoch richtet man sich bei der Schätzung nach dem Werte des Beschädigten."
