masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text,problem,prev found match,next found match,index
Eruvin,פני משה,1,1,2b,"ולמה אמרו מחצה על מחצה פסולה מפני מראית העין. שלפעמים יטעה ויסבור ששחט רוב ולפיכך אמרו חכמים ברוב. וה""נ שאם תימר שיתן בתוך עשרים וכלומר שלא ידקדק בהמיעוט ויתן מקצתו בתוך עשרים אף הוא נותן למעלה מעשרים שיסבור שתיקנו ובאמת לא תיקן כלום. הלכך אמרו שידקדק שיהא כל הכשר קורה בתוך עשרים. אבל אם מתחלה לא נתן הקורה למעלה מעשרים אלא בסוף עשרים כשר:",ולמה אמרו מחצה על מחצה פסולה מפני,,,no ref,JTmock Eruvin 1:1:4,JTmock Eruvin 1:1:5,35
Eruvin,פני משה,1,1,3a,הרחב וכו' נותן מלתרא. קורה או פס אחד בפתח המבוי למעט רוחב הפתח ומתיר בזה כל המבוי:,הרחב וכו' נותן מלתרא,,,no ref,JTmock Eruvin 1:1:7,JTmock Eruvin 1:1:8,55
Eruvin,פני משה,1,1,3a,"אכסדרה וכו'. כלומר ואשכחן פלוגתא בנפרצה למילואה לר""ה:",אכסדרה וכו',,,no ref,JTmock Eruvin 1:1:8,JTmock Eruvin 1:1:9,64
Eruvin,פני משה,1,3,7a,"רחבה לקבל וכו'. שתהא ג""כ חזקה ובריאה שתסבול משא האריח:",רחבה לקבל וכו',,,no ref,JTmock Eruvin 1:3:1,,182
Eruvin,פני משה,1,3,7a,ר' יהודה אומר וכו'. ואין הלכה כרבי יהודה:,ר' יהודה אומר וכו',,,no ref,,,183
Eruvin,פני משה,1,3,7a,"*היתה של קש. דברי ר' יהודה הן שאפילו היא של קש או של קנים רואין אותה כאלו היא של מתכות וקמ""ל בזה שאע""פ שהיא ממין שאין בריאה אפ""ה אמרינן רואין ואינה הלכה:",היתה של קש,,,no ref,,,184
Eruvin,פני משה,1,3,7a,"עקומה. ועקמימותה נוטה חוץ למבוי אפ""ה כשרה שרואין אותה כאלו היא פשוטה:",עקומה,,,no ref,,,185
Eruvin,פני משה,1,3,7a,"עגולה וכו'. כלומר זה הוא הכלל אם יש בהקיפה שלשה טפחים שצריך חוט של שלשה טפחים להקיפה סביב מסתמא יש בו רוחב טפח שכן מצינו בים של שלמה דכתיב עשר באמה משפתו עד שפתו עגול סביב וכתיב וקו שלשים באמה יסוב אותו סביב ש""מ שלכל רוחב באמה בעגול יש שלש אמות בהיקף:",עגולה וכו',,,no ref,,JTmock Eruvin 1:3:2,186
Eruvin,פני משה,1,3,7a,יבוא. הדין הזה כהאי דאמר ר' יוחנן לעיל בשבת פ' הזורק גבי חוליות הבור והסלע שהן גבוהין עשרה ורחבן ארבע. שהעומד והחלל מצטרפין הן לרוחב ארבעה ובלבד שיהא העומד רבה על החלל כדפרישית שם. והכא נמי הואיל והעומדין רבו על החלל שביניהן מצטרפין לטפח ומחצה כדי רוחב האריח:,יבוא,,,no ref,JTmock Eruvin 1:3:3,JTmock Eruvin 1:3:4,196
Eruvin,פני משה,1,3,8a,עגולה וכו' עוד היא דרבי יודה. האי בבא נמי דרבי יהודה וכהאי לישנא קמא אליבא דרבי זעירא לעיל:,עגולה וכו' עוד היא דרבי יודה,,,no ref,JTmock Eruvin 1:5:3,JTmock Eruvin 1:5:4,219
