Index Title,Numbers
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Numbers 1:1,"I oświadczył Wiekuisty Mojżeszowi na pustyni Synai, w przybytku zboru, pierwszego dnia miesiąca wtórego, roku wtórego po wyjściu ich z ziemi Micraim, i rzekł: "
Numbers 1:2,"""Zbierzcie poczet całego zboru synów Israela podług rodzin ich, podług domów ich rodowych - wykaz imienny wszelkiego pogłowia ich męzkiego. "
Numbers 1:3,"Od wieku lat dwudziestu i wyżej, wszystkich stawających do broni w Israelu; tych uczynicie przegląd podług zastępów ich, ty i Ahron. "
Numbers 1:4,Przy was zaś niechaj będzie po jednym mężu z każdego pokolenia; mąż na czele domu swego rodowego będący. 
Numbers 1:5,"A oto imiona mężów, którzy staną przy was: od Reubena - Elicur, syn Szedeura; "
Numbers 1:6,"Od Szymeona - Szelumiel, syn Curyszaddaja; "
Numbers 1:7,"Od Jehudy - Nachszon, syn Amminadaba; "
Numbers 1:8,"Od Issachara - Nethaneel, syn Cuara; "
Numbers 1:9,"Od Zebuluna - Eliab, syn Chelona; "
Numbers 1:10,"Od synów Josefa: od Efraima - Eliszama, syn Amihuda; od Menaszy - Gamliel, syn Pedacura; "
Numbers 1:11,"Od Binjamina - Abidan, syn Gideoni; "
Numbers 1:12,"Od Dana - Achiezer, syn Ammiszadaja; "
Numbers 1:13,"Od Aszera - Pagiel, syn Ochrona; "
Numbers 1:14,"Od Gada - Eljasaf, syn Deuela; "
Numbers 1:15,"Od Naftali - Achira, syn Enana; "
Numbers 1:16,"Oto ci powinni być powołani od zboru jako naczelnicy pokoleń ojców swoich; wodzowie to tysięcy Israela."" "
Numbers 1:17,"I przyjęli Mojżesz i Ahron mężów tych, wyłuszczonych po imieniu; "
Numbers 1:18,"Cały téż zbór zgromadzili pierwszego dnia miesiąca wtórego, i zaczęli się wykazywać podług rodzin swych, podług domów rodowych swoich, podług wykazów imiennych, od wieku lat dwudziestu i wyżej, podług głów swoich; "
Numbers 1:19,"Jako rozkazał Wiekuisty Mojżeszowi, - odbył on przegląd ich na pustyni Synai. "
Numbers 1:20,"I okazało się synów Reubena, pierworodnego Israela, podług powinowactwa rodzinnego, podług domów ich rodowych, podług wykazów imiennych, wszystkiego pogłowia męzkiego od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:21,Spisowych tych w pokoleniu Reubena: czterdzieści sześć tysięcy pięćset. 
Numbers 1:22,"Synów Szymeona, podług powinowactwa rodzinnego, podług domów ich rodowych, popisowych jego podług wykazów imiennych, wszystkiego pogłowia męzkiego od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:23,Spisowych tych w pokoleniu Szymeona: pięćdziesiąt dziewięć tysięcy trzysta. 
Numbers 1:24,"Synów Gada, podług powinowactwa rodzinnego, podług domów ich rodowych, podług wykazów imiennych, od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:25,Spisowych tych w pokoleniu Gada: czterdzieści pięć tysięcy sześćset pięćdziesiąt. 
Numbers 1:26,"Synów Jehudy, podług powinowactwa rodzinnego, podług domów ich rodowych, podług wykazów imiennych, od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:27,Spisowych tych w pokoleniu Jehudy: siedmdziesiąt cztery tysiące sześćset. 
Numbers 1:28,"Synów Isachara, podług powinowactwa rodzinnego, podług domów ich rodowych, podług wykazów imiennych, od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:29,Spisowych tych w pokoleniu Isachara: pięćdziesiąt cztery tysiące czterysta. 
Numbers 1:30,"Synów Zebuluna, podług powinowactwa rodzinnego, podług domów ich rodowych, podług wykazów imiennych, od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:31,Spisowych tych w pokoleniu Zebuluna: pięćdziesiąt siedm tysięcy czterysta. 
Numbers 1:32,"Synów Josefa: synów Efraima, podług powinowactwa rodzinnego, podług domów ich rodowych, podług wykazów imiennych, od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:33,Spisowych tych w pokoleniu Efraima: czterdzieści tysięcy pięćset. 
Numbers 1:34,"Synów Menaszy, podług powinowactwa rodzinnego, podług domów ich rodowych, podług wykazów imiennych, od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:35,Spisowych tych w pokoleniu Menaszy: trzydzieści dwa tysiące dwieście. 
Numbers 1:36,"Synów Binjamina, podług powinowactwa rodzinnego, podług domów ich rodowych, podług wykazów imiennych, od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:37,Spisowych tych w pokoleniu Binjamina: trzydzieści pięć tysięcy czterysta. 
Numbers 1:38,"Synów Dana, podług powinowactwa rodzinnego, podług domów ich rodowych, podług wykazów imiennych, od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:39,Spisowych tych w pokoleniu Dana: sześdziesiąt dwa tysiące siedmset. 
Numbers 1:40,"Synów Aszera, podług powinowactwa rodzinnego, podług domów ich rodowych, podług wykazów imiennych, od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:41,Spisowych tych w pokoleniu Aszera: czterdzieści jeden tysięcy pięćset. 
Numbers 1:42,"Synów Naftali, podług powinowactwa rodzinnego, podług domów ich rodowych, podług wykazów imiennych, od wieku lat dwudziestu i wyżej, wszystkich stawających do broni, -  "
Numbers 1:43,Spisowych tych w pokoleniu Naftali: pięćdziesiąt trzy tysiące czterysta. 
Numbers 1:44,"Oto spisowi, których przegląd odbył Mojżesz i Ahron i książęta Israela, dwunastu mężów, po jednemu z każdego domu swego rodowego było ich. "
Numbers 1:45,"I tak było wszystkich spisowych synów Israela podług domów ich rodowych, od wieku lat dwudziestu i wyżej, wszystkich stawających do broni w Israelu, -  "
Numbers 1:46,Wszystkich spisowych tych: sześćkroć trzy tysiące trzysta pięćdziesiąt. 
Numbers 1:47,Lewici zaś podług szczepu rodowego nie stawili się do przeglądu między nimi. 
Numbers 1:48,Albowiem oświadczył był Wiekuisty Mojżeszowi tak: 
Numbers 1:49,"""Tylko pokolenia Lewi nie obejmiesz spisem, a pocztu ich nie zbierzesz wraz z synami Israela; "
Numbers 1:50,"A ustanowisz ty Lewitów nad przybytkiem świadectwa i całym przyborem jego i nad wszystkiem, co doń należy; oni nosić będą przybytek i wszystkie przybory jego; oni też usługiwać przy nim będą, a wokoło przybytku rozłożą obóz swój. "
Numbers 1:51,"Ile razy wyruszy przybytek, złożą go Lewici, a ile razy stanie przybytek, ustawią go Lewici; postronny zaś, któryby przystąpił, śmierć poniesie. "
Numbers 1:52,I stawać będą synowie Israela każdy w obozie swoim i każdy przy chorągwi swojej podług zastępów swych. 
Numbers 1:53,"Lewici zaś rozłożą się obozem wokoło przybytku świadectwa, aby nie przyszedł gniew na zbór synów Israela; i stawać będą Lewici na straży u przybytku świadectwa."" "
Numbers 1:54,"I uczynili to synowie Israela; stosownie do wszystkiego, co rozkazał Wiekuisty Mojżeszowi, tak uczynili. "
Numbers 2:1,"I oświadczył Wiekuisty Mojżeszowi i Ahronowi, i rzekł: "
