Index Title,Lamentations
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Lamentations 1:1,"O, jakże osiadła samotna, stolica niegdyś mnogiej ludności, osierocona niby wdowa. Pani między narodami, księżna wpośród krain, zamieniła się w hołdownicę! "
Lamentations 1:2,"Płacze rzewnie w nocy, łzy płyną po jej licu. Niemasz ktoby ją cieszył ze wszystkich jej zalotników; wszyscy jej przyjaciele sprzeniewierzyli się jej, stali się jej wrogami. "
Lamentations 1:3,"Tuła się Judea z nędzy i służby twardej; osiadła wśród pogan, nie znajduje wypoczynku. Wszyscy jej prześladowcy doścignęli ją w pośród cieśni. "
Lamentations 1:4,"Drogi do stolicy cyońskiej sposępniały, bo niemasz ktoby pielgrzymował na obchód uroczysty. Wszystkie bramy jej opustoszały, kapłani jej wzdychają; dziewice jej znękane, a jej samej - gorzko jej. "
Lamentations 1:5,"Ciemięzcy jej stanęli na czele, wrogowie jej bezpieczni. Bo Wiekuisty przepełnił ją żałobą dla mnóstwa jej grzechów; dziatwa jej poszła w niewolę przed obliczem ciemięzcy. "
Lamentations 1:6,"I tak odstąpiła od córy Cyonu wszystka jej wspaniałość. Książęta jej podobni do jeleni, które nie znalazły paszy, a szli bezsilni przed poganiaczem. "
Lamentations 1:7,"Pomni Jerozolima w dniach nędzy i tułactwa swego, na wszystko co jej cennem było od dni starodawnych. Gdy popadł lud jej w moc ciemięzcy, nikt jej nie wspomógł; ciemięzcy przyglądali się, naśmiewali się z jej klęsk. "
Lamentations 1:8,"Ciężko zgrzeszyła Jerozolima, przeto w ohydę się obróciła. Wszyscy, którzy ją czcili wzgardzili nią, bo ujrzeli srom jej; ona sama zaś jęczy i odwraca się. "
Lamentations 1:9,"Brud jej u podołu jej szat, nie pomniała na przyszłość swoję. I tak spadła dziwnie głęboko, niemasz nikogo, któryby ją pocieszył. Wejrz Wiekuisty na nędzę moję, bo tryumfuje wróg! "
Lamentations 1:10,"Wyciągnął ciemięzca rękę swą na wszystkie jej skarby. Tak, widziała jak wtargnęli poganie do świątyni jej, oni, o których rozkazałeś: nie wchodzić im do zboru twojego! "
Lamentations 1:11,"Wszyscy jej mieszkańcy jęczą, poszukują chleba; oddają kosztowności swe za strawę, aby duszę posilić. Wejrz Wiekuisty, a zobacz jakom poniżona! "
Lamentations 1:12,"Oby to was nie spotkało, wy wszyscy, którzy przeciągacie drogą; spójrzcie i zobaczcie jeśli jest boleść jako boleść moja, jaką mi uczyniono, mnie, którą Wiekuisty żałobą napełnił w dzień płonącego gniewu swojego. "
Lamentations 1:13,"Z wysoka zesłał ogień w kości moje i opanował je. Zastawił sidła na nogi moje, odtrącił mnie wstecz; uczynił mnie pustkowiem, na zawsze zbolałą. "
Lamentations 1:14,"Naciśnięte jest jarzmo grzechów moich ręką Jego; splotły się i złożyły na karku moim; złamał siłę moję. Wydał mnie Pan w ręce, z których powstać nie mogę. "
Lamentations 1:15,"Podeptał wszystkich bohaterów moich Pan w pośrodku moim, ogłosił uroczystość przeciw mnie, aby skrószyć młodzieńców moich. Prasę tłoczył Pan dziewiczej córze judzkiej. "
Lamentations 1:16,"Nad tem ja płaczę; rozpływa się oko moje we łzach. Bo dalekim odemnie pocieszyciel, któryby krzepił duszę moję: Dzieci moje osowiały, bo przemógł wróg. "
Lamentations 1:17,"Wyciąga Cyon ręce swoje, niemasz ktoby je cieszył. Powołał Wiekuisty przeciw Jakóbowi ciemięzców jego dokoła; obróciła się Jerozolima w ohydę wpośród nich. "
Lamentations 1:18,"Sprawiedliwy Wiekuisty, bom słowu jego się opierał. Słuchajcież tego narody wszystkie, a spójrzcie na boleść moję. Dziewice i młodzieńcy moi poszli w niewolę. "
Lamentations 1:19,"Wzywałem zalotników moich, ale zdradzili mnie. Kapłani i starsi moi zamierali w mieście, gdy szukali strawy, aby posilić duszę swoję. "
Lamentations 1:20,"Spójrz, Wiekuisty, jak ciasno mi, wnętrze moje wre! Serce przewraca się w łonie mojem, bom krnąbrny, krnąbrny był. Zewnątrz osierocał miecz, wewnątrz mór. "
Lamentations 1:21,"Słyszeli jakom jęczał, ale nie było ktoby mnie pocieszył; wszyscy przyjaciele moi usłyszeli o nieszczęściu mojem, uradowali się, żeś to Sam uczynił. Sprowadzisz dzień, któryś zapowiedział, a wtedy do mnie będą podobni. "
Lamentations 1:22,"Niechaj przyjdzie przed Ciebie wszystka niecność ich, a uczyń im, jakoś mnie uczynił, gwoli wszystkim grzechom moim! Bo niezliczone jęki moje, a serce moje boleje. "
Lamentations 2:1,"O, jakże zamroczył w gniewie swoim Pan córę Cyonu! Z nieba strącił na ziemię wspaniałość Izraela, a nie pamiętał na podnóże stóp Swoich w dzień gniewu swojego. "
Lamentations 2:2,"Zniszczył Pan bez litości wszystkie siedziby Jakóba, zburzył w uniesieniu Swojem warownie córy judzkiej, powalił na ziemię, znieważył państwo i książęta jego. "
Lamentations 2:3,"Strącił w płonącym gniewie każdy róg Izraela, cofnął prawicę Swoję wobec wroga, i wzniecił w Jakóbie jakby łunę ognistą, która chłonęła dokoła. "
Lamentations 2:4,"Napiął łuk Swój niby wróg, naprężyła się prawica Jego niby ciemięzcy, a niweczył wszelką rozkosz oczu w namiocie córy cyońskiej, roztoczył jako ogień płomienny gniew Swój. "
Lamentations 2:5,"Okazał się Pan jako wróg, spustoszył Izraela, spustoszył wszystkie zamki jego, zburzył jego warownie, i namnożył u córy Cyonu jęku i rozpaczy. "
Lamentations 2:6,"Podrył jako ogród namiot Swój, zburzył miejsce zboru Swego, podał zapomnieniu Wiekuisty w Cyonie uroczystość i sobotę, i porzucił w srogim gniewie Swoim króla i kapłana. "
Lamentations 2:7,"Wzgardził Pan ołtarzem Swoim, przeklął świątynię Swoję, podał w moc wroga mury jej zamków, okrzyki wydali w przybytku Wiekuistego jako w dzień świąteczny. "
Lamentations 2:8,"Postanowił Wiekuisty zburzyć mur córy Cyonu. Rozciągnął sznur mierniczy, nie odwrócił ręki Swojej od niszczenia, i otoczył smutkiem wał i przedmurze, społem bezsilnie zanikły. "
Lamentations 2:9,Zapadły w ziemię bramy jej; zniszczył i połamał jej zawory. Król i książęta jej wpośród ludów są pozbawieni zakonu; a proroków jej nie dochodzi już objawienie od Wiekuistego. 
Lamentations 2:10,"Na ziemi zasiedli i umilkli starsi córy Cyońskiej, posypali prochem głowy swe, worem się przepasali; zwiesiły ku ziemi głowy swe dziewice Jerozolimy. "
Lamentations 2:11,"Zanikają od łez oczy moje, wnętrze moje wre, wylała się na ziemię zgęszczona krew moja, wobec pogromu córki ludu mojego, gdy dziecię i niemowlę omdlewa po ulicach miasta. "
Lamentations 2:12,"Do matek swych wołały: gdzie zboże i moszcz? gdy mdlały niby ranni po ulicach miasta, a wyzionęły ducha swego na łonie swych matek. "
Lamentations 2:13,"Jakiż ci przykład mam postawić, do kogóż cię porównam, córo Jerozolimy, komuż przypodobam, abym cię pocieszył, córo Cyonu? bo wielką jak morze rana twoja, któż cię wyleczy? "
Lamentations 2:14,"Prorocy twoi zwiastowali ci kłamstwo i pozór, a nie odsłaniali ci winy twojej, aby dolę twą odmienić, lecz zwiastowali ci mowy fałszu i obłudy. "
