Index Title,II Kings
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
II Kings 1:1,Po śmierci Ahaba zbuntował się Moab przeciw Izraelitom. 
II Kings 1:2,"Gdy tedy spadł Achazja przez kraty górnej komnaty swojej w Samaryi i zaniemógł, wyprawił posłów i polecił im: Idźcie, a radźcie się Baal Zebuba, bożka Ekronu czy wyzdrowieję z choroby tej. "
II Kings 1:3,"Anioł Boży zaś rzekł był do Eljasza, Tysbity: Wstań, wyrusz naprzeciw posłów króla Samaryi, a powiedz im: Alboż niema Boga w Izraelu, że idziecie radzić się Baal Zebuba, bożka Ekronu? "
II Kings 1:4,"Przeto rzecze tak Wiekuisty: Z łoża, na które wstąpiłeś, nie zejdziesz już, lecz umrzeć musisz! I poszedł Eljasz. "
II Kings 1:5,"Gdy tedy wrócili doń posłowie, zapytał się ich: Czemuście to wrócili? "
II Kings 1:6,"I odpowiedzieli mu: Wystąpił nam naprzeciw jakiś mąż, i rzekł do nas: Idźcie, wróćcie do króla, który was wysłał, i powiedźcie mu: Tak rzecze Wiekuisty: Alboż niema Boga w Izraelu, że posyłasz radzić się Baal Zebuba, bożka Ekronu? Przeto nie zejdziesz już z łoża, na które wstąpiłeś, lecz umrzeć musisz! "
II Kings 1:7,"Zapytał się ich tedy: Jak wyglądał ów mąż, który wystąpił wam naprzeciw, a wyrzekł do was słowa te? "
II Kings 1:8,"I odpowiedzieli mu: Był to mąż kosmaty, a przepasany pasem skórzanym na biodrach swoich. Rzekł tedy: Był to Eljasz, Tysbita. "
II Kings 1:9,"Poczem wyprawił po niego pięćdziesiątnika wraz z pięćdziesiątkiem jego. Gdy wstąpił doń - siedział mianowicie na wierzchołku góry - rzekł do niego: Mężu Boży, król rozkazał, abyś zeszedł! "
II Kings 1:10,"Eljasz jednak odpowiedział i rzekł do pięćdziesiątnika: Jeżelim tedy mąż Boży, niechaj spadnie ogień z nieba, a niechaj pochłonie ciebie i twoich pięćdziesięciu! I spadł ogień z nieba i pochłonął jego wraz z pięćdziesiątkiem jego. "
II Kings 1:11,"Poczem wyprawił znów innego pięćdziesiątnika wraz z pięćdziesiątkiem jego. Ten odezwał się, i rzekł: Mężu Boży, tak rozkazał król: Czemprędzej zejdź! "
II Kings 1:12,"Eljasz jednak odpowiedział i rzekł do nich: Jeżelim tedy mąż Boży, niechaj spadnie ogień, a pochłonie ciebie i twoich pięćdziesięciu! I spadł ogień Boży z nieba i pochłonął jego wraz z pięćdziesiątkiem jego. "
II Kings 1:13,"Wyprawił tedy znowu pięćdziesiątnika trzeciego wraz z pięćdziesiątkiem jego. I wstąpił i przybył pięćdziesiątnik ten trzeci, i padł na kolana przed Eljaszem, i błagał go i rzekł: Mężu Boży, niechaj też znaczy coś życie moje i życie tych pięćdziesięciu sług twych w oczach twoich! "
II Kings 1:14,Oto spadł ogień z nieba i pochłonął dwóch pierwszych pięćdziesiątników wraz z pięćdziesiątkami ich; teraz jednak niechaj znaczy coś życie moje w oczach twoich! 
II Kings 1:15,"Rzekł tedy anioł Wiekuistego do Eljasza: Zejdź z nim, nie obawiaj się go! I tak wstał i zeszedł z nim do króla. "
II Kings 1:16,"I rzekł do niego: Tak rzecze Wiekuisty: Ponieważ wyprawiłeś posłów, by poradzić się Baal Zebuba, bożyszcza Ekronu, jak gdyby nie było Boga w Izraelu, aby radzić się słowa Jego - przeto nie zejdziesz już z łoża, na które wstąpiłeś, lecz umrzeć musisz! "
II Kings 1:17,"I tak umarł wedle słowa Wiekuistego, które wyrzekł Eljasz i objął rządy Joram miasto niego, drugiego roku Jorama, syna Jozafata, króla judzkiego; nie miał bowiem syna. "
II Kings 1:18,"A co do innych spraw Achazjasza, spisano to wszak w księdze dziejów królów izraelskich. "
II Kings 2:1,"Około czasu jednak, gdy chciał unieść Wiekuisty Eljasza w burzy ku niebu, wyszedł Eljasz wraz z Eliszą z Gilgalu. "
II Kings 2:2,"I rzekł Eljasz do Eliszy: Pozostań że tu, albowiem wysłał mnie Wiekuisty aż do Bethel. Elisza jednak odpowiedział: Żyw Wiekuisty i żywa dusza twoja, że cię nie opuszczę! I tak zstąpili do Bethel. "
II Kings 2:3,"I wyszli wychowańcy proroccy, znajdujący się w Bethel do Eliszy, i rzekli doń: Czy wiadomo ci, że zabierze ci dziś Wiekuisty pana twego z ponad głowy twojej? I odpowiedział: I mnie to wiadomo; zachowujcie tylko milczenie! "
II Kings 2:4,"Rzekł tedy Eljasz do niego: Eliszo, pozostań że tu, albowiem wysłał mnie Wiekuisty do Jerycho. Ten wszakże odpowiedział: Żyw Wiekuisty i żywa dusza twoja, że cię nie opuszczę! I tak przybyli do Jerycho. "
II Kings 2:5,"I przystąpili wychowańcy proroccy, znajdujący się w Jerycho, do Eliszy, i rzekli doń: Czy wiadomo ci, że zabierze dziś Wiekuisty pana twego z ponad głowy twojej? I odpowiedział: I mnie to wiadomo; zachowujcie tylko milczenie! "
II Kings 2:6,"Rzekł tedy Eljasz do niego: Pozostań że tu, albowiem wysłał mnie Wiekuisty nad Jordan. Ten wszakże odpowiedział: Żyw Wiekuisty, i żywa dusza twoja, że cię nie opuszczę! I tak poszli obydwaj. "
II Kings 2:7,Pięćdziesięciu zaś ludzi z wychowańców prorockich poszło i stanęło na uboczu w pewnej odległości; owi dwaj zaś zatrzymali się nad Jordanem. 
II Kings 2:8,"Wziął tedy Eljasz płaszcz swój, i zwinął go i uderzył wodę; rozstąpiła się tedy w tę i ową stronę, tak że przeszli obaj po suszy. "
II Kings 2:9,"Gdy zaś przeszli, rzekł Eljasz do Eliszy: Zażądaj co ci mam uczynić, zanim zabrany będę od ciebie. I odpowiedział Elisza: Gdyby mi się też podwójny udział z ducha twego dostał! "
II Kings 2:10,"Odpowiedział tedy: Trudnej rzeczy zażądałeś. Jeśli mnie zobaczysz, gdy zabiorą mnie od ciebie, tedy się to ziści tobie, a jeśli nie, nie ziści się tobie. "
II Kings 2:11,"A podczas gdy szli tak dalej wciąż rozmawiając, a oto nagle wóz ognisty i rumaki ogniste; te rozłączyły obu od siebie, i tak uniósł się Eljasz w burzy ku niebu. "
II Kings 2:12,"Elisza zaś widząc to, krzyknął: Ojcze mój, wozie wojenny Izraela i konnico jego! Następnie jednak nie widział go już więcej, pochwyciwszy tedy szaty swe rozdarł je na dwie części. "
II Kings 2:13,"Poczem podniósł płaszcz Eljasza, który spadł z niego, i powrócił i stanął nad brzegiem Jordanu. "
II Kings 2:14,"A wziąwszy płaszcz Eljasza, który był spadł z niego, uderzył wodę, i rzekł: Gdzież Wiekuisty, Bóg Eljasza? Sam też uderzył wodę, i rozstąpiła się w tę i ową stronę, tak że przeszedł Elisza. "
II Kings 2:15,"Gdy to wychowańcy proroccy, znajdujący się w Jerycho, zdala ujrzeli, rzekli: Duch Eljasza spoczął na Eliszy! I poszli mu naprzeciw, i ukorzyli się przed nim aż ku ziemi, "
II Kings 2:16,"I rzekli do niego: Oto znajduje się tu przy sługach twoich pięćdziesięciu ludzi dzielnych; niechajby poszli i poszukali pana twojego, może uniósł go orkan Wiekuistego, a rzucił na jakąbądź górę, albo jakąbądź dolinę. On wszakże rzekł: Nie wysyłajcie! "
