Index Title,Jonah
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Jonah 1:1,"I doszło słowo Wiekuistego Jonasza, syna Amittaja, głosząc: "
Jonah 1:2,"Wstań, wyrusz do Niniwy, onego miasta wielkiego, i zwiastuj przeciw niemu; bo wzniosła się złość ich przed oblicze Moje! "
Jonah 1:3,"Jonasz wszakże powstał, aby schronić się do Tarszyszu od oblicza Wiekuistego, a gdy zstąpił do Jafo i znalazł tam okręt, który wyprawiał się do Tarszyszu, opłacił przewoźne i wstąpił nań, aby popłynąć z nimi do Tarszyszu od oblicza Wiekuistego. "
Jonah 1:4,"Wiekuisty jednak rzucił gwałtowny wicher na morze i zerwała się silna burza morska, tak że okręt chylił się ku rozbiciu. "
Jonah 1:5,"I ulękli się żeglarze i wołali każdy do boga swojego, i wyrzucali statki co na okręcie do morza, aby ulżyć sobie; Jonasz zaś zstąpił był na spodnią przestrzeń okrętu, i położył się i zasnął twardo. "
Jonah 1:6,"Wtedy przystąpił doń naczelny sternik i rzekł mu: Cóż z tobą, ospalcze? Wstań, wołaj do Boga twojego! Może rozmyśli się ten Bóg względem nas, abyśmy nie zginęli. "
Jonah 1:7,"I rzekli jeden do drugiego: Zabierzcie się, a rzućmy losy, abyśmy się przekonali, z czyjej przyczyny spotyka nas to nieszczęście. Rzucili tedy losy: i padł los na Jonasza. "
Jonah 1:8,"Poczem rzekli do niego: Powiedzże nam, ty, z czyjej przyczyny spotyka nas to nieszczęście: jakie zatrudnienie twoje, i zkąd przybywasz; jaka ziemia twoja, i z jakiego narodu pochodzisz? "
Jonah 1:9,"I rzekł do nich: Hebrajczyk jestem, a Wiekuistego, Boga nieba się obawiam, który stworzył morze i ląd. "
Jonah 1:10,"Ulękli się wtedy owi ludzie strachem wielkim, i rzekli do niego: Cóżeś uczynił! Dowiedzieli się bowiem owi ludzie, że od oblicza Wiekuistego ucieka; gdyż był im to powiedział. "
Jonah 1:11,"I rzekli do niego: Cóż nam począć z tobą, aby się uciszyło morze wokoło nas? - morze bowiem burzyło się coraz silniej. "
Jonah 1:12,"Tedy odpowiedział im: Zabierzcie mnie a wrzućcie do morza, a uciszy się morze wokoło was; wiadomo mi bowiem, że z mojej przyczyny ta burza wielka na was przypadła! "
Jonah 1:13,"I usiłowali wiosłować owi ludzie, aby dostać się na ląd: ale nie zdołali; morze bowiem burzyło się coraz silniej przeciw nim. "
Jonah 1:14,"I wołali do Wiekuistego, i rzekli: O Wiekuisty! nie daj nam zginąć za życie człowieka tego, a nie składaj na nas krwi niewinnej, boś Ty Wiekuisty jako Ci się podobało takeś uczynił! "
Jonah 1:15,I tak zabrali Jonasza i wrzucili go do morza; i odstąpiło morze od srożenia się swojego. 
Jonah 1:16,"Bali się zaś owi ludzie obawą wielką Wiekuistego, i złożyli rzeźne ofiary Wiekuistemu, i ślubowali śluby. "
Jonah 1:17,"Wyznaczył zaś Wiekuisty rybę wielką, aby pochłonęła Jonasza: i przebył Jonasz w łonie onej ryby trzy dni i trzy noce. "
Jonah 2:1,I modlił się Jonasz Wiekuistemu Bogu swojemu z łona ryby. 
Jonah 2:2,"I rzekł: Z niedoli mojej wołałem do Wiekuistego, a ozwał się mi; z wnętrza przepaści błagałem, a usłyszałeś głos mój. "
Jonah 2:3,"Boś mnie strącił w głębię, w pośrodek mórz, że prąd ogarnął mnie; wszystkie bałwany i fale Twoje przeszły nademną. "
Jonah 2:4,Jużem mniemał: Odrzucony jestem z przed oblicza Twojego! Czyż kiedykolwiek jeszcze ujrzę przybytek Twój święty? 
Jonah 2:5,"Ogarnęły mnie wody aż do duszy; przepaść mnie otoczyła, sitowie obwijało głowę moję. "
Jonah 2:6,"Aż do posad gór zstąpiłem; ziemia - zawory jej zamknęły się za mną na wieki: Aleś wywiódł z otchłani mój żywot, Wiekuisty, Boże mój! "
Jonah 2:7,"Gdy zwątpiła we mnie dusza moja, wspomniałem na Wiekuistego; i doszła Cię modlitwa moja, do przybytku Twego świętego. "
Jonah 2:8,"Ci, co trzymają się marności próżnych, opuszczają łaskę, którejby doświadczyć mogli. "
Jonah 2:9,Ja wszakże przy głośnem dziękczynieniu ofiarować Ci będę; com ślubował spełnię: Od Wiekuistego nadchodzi pomoc! 
Jonah 2:10,"Wiekuisty zaś polecił onej rybie, aby wyrzuciła Jonasza na brzeg. "
Jonah 3:1,"Poczem doszło słowo Wiekuistego Jonasza poraz wtóry, głosząc: "
Jonah 3:2,"Wstań, wyrusz do Niniwy, onego miasta wielkiego, a zwróć doń zwiastowanie, które polecę tobie. "
Jonah 3:3,"Powstał tedy Jonasz i udał się do Niniwy, stosownie do słowa Wiekuistego. Niniwa zaś było to miasto wielkie przed Bogiem - na trzy dni drogi. "
Jonah 3:4,"I począł Jonasz wchodzić do miasta na dzień jeden drogi, i wołał i rzekł: Czterdzieści dni jeszcze a Niniwa będzie zburzona! "
Jonah 3:5,"I uwierzyli Ninwejczycy Bogu, i ogłosili post, i przyoblekli się w wory od największego do najmniejszego: "
Jonah 3:6,"A gdy doszła wieść o tem do króla Niniwy, powstał ze stolicy swojej, i złożył płaszcz swój, i okrył się worem, i usiadł w popiele. "
Jonah 3:7,"I kazał ogłosić i polecić w Niniwie z rozporządzenia króla i wielkich jego w tych słowach: Niechaj zarówno ludzie jak bydło, rogacizna jak trzody niczem się nie posilą; niechaj się nie pasą ani wody nie napiją. "
Jonah 3:8,"Lecz niechaj przyobloką się w wory - zarówno ludzie jak bydło - a niechaj wołają do Boga usilnie, a niechaj odwróci się każdy od drogi swej niecnej, i od grabieży, która w ręku jego. "
Jonah 3:9,"Któż to wie, może cofnie i użali się Bóg, i odwróci się od płonącego gniewu Swojego, abyśmy nie zginęli! "
Jonah 3:10,"Gdy tedy widział Bóg postępki ich, że odwrócili się od drogi swej niecnej, użalił się Wiekuisty nad złem, o którem zagroził, że sprowadzi je na nich, a nie uczynił tego. "
Jonah 4:1,"I zmartwiło to Jonasza umartwieniem wielkiem, i wspłonął gniew jego: "
Jonah 4:2,"I modlił się do Wiekuistego, i rzekł: O Wiekuisty! czyżem tego właśnie nie mówił, bawiąc jeszcze na ziemi mojej. Temu to wszak chciałem zapobiedz chroniąc się do Tarszyszu; Wiedziałem bowiem, żeś Ty Bóg litościwy i miłosierny, nieskory do gniewu i bogaty w łaskę, a żałujący złego! "
Jonah 4:3,"A teraz o Wiekuisty, zabierzże życie moje odemnie, bo lepszą mi śmierć, niż życie moje! "
Jonah 4:4,"I rzekł Wiekuisty: A czyż słuszna to, że się tak gniewasz? "
Jonah 4:5,"Poczem wyszedł Jonasz z miasta i osiadł po wschodniej stronie miasta. Tam wystawił sobie szałas, i usiadł pod nim w cieniu, aby zobaczyć co się stanie w mieście. "
Jonah 4:6,"Wtedy wyznaczył Wiekuisty Bóg krzew rycynowy; ten rozrósł się nad Jonaszem, aby miał cień nad głową swoją, i aby mu ulgę sprawiał w zmartwieniu jego; i cieszył się Jonasz bardzo z onego krzewu rycynowego. "
Jonah 4:7,"Nazajutrz jednak, na świtaniu, wyznaczył Bóg robaka, który podgryzł ów krzew rycynowy, tak że usechł. "
