Index Title,Esther
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Esther 1:1,"I stało się za dni Ahaswera, - tego samego Ahaswera, który od Indyi aż do Etjopii nad stu dwudziestu siedmiu dzielnicami panował. "
Esther 1:2,"Za onych dni, gdy zasiadał król Ahasweros na królewskiej stolicy swojej na zamku w Suzie, "
Esther 1:3,"Trzeciego roku jego panowania wyprawił on ucztę na cześć wszystkich swych książąt i sług, tak że cała potęga Persyi i Medyi, najwyżsi naczelnicy i starostowie onych dzielnic znajdowali się przed obliczem jego, "
Esther 1:4,"Przyczem pokazywał przepych królewskiej chwały swojej i świetny blask swej wielkości przez liczne dni, mianowicie przez sto ośmdziesiąt dni. "
Esther 1:5,"Gdy zaś dni te upłynęły, wyprawił król dla całego ludu, obecnego na zamku w Suzie, zarówno wysokich jak nizkich, ucztę trwającą siedm dni, na dziedzińcu, w ogrodzie przy pałacu królewskim. "
Esther 1:6,"Były tam opony białe, lniane i hyacyntowe, zawieszone na sznurach z bisioru i szkarłatu na walcach srebrnych i na kolumnach marmurowych; łoża złote i srebrne na posadzce z alabastru i marmuru, z perłowej macicy i kamienia nakrapianego. "
Esther 1:7,"A napój podawano w naczyniu złotem, a to w naczyniu coraz innego kształtu, a wina królewskiego podostatkiem jak na szczodrobliwość królewską przystało. "
Esther 1:8,"Picie zaś odbywało się podług ustanowionego porządku nie było przymusu. Albowiem tak był polecił król wszystkim przełożonym pałacu swojego, aby się stosowano do woli każdego. "
Esther 1:9,"Królowa też Waszti wyprawiła ucztę na cześć niewiast, w pałacu królewskim króla Ahaswera. "
Esther 1:10,"Dnia tedy siódmego, gdy się serce króla podochociło winem, rzekł on do Mehumana, Bizty, Charbony, Bigty i Abagty, Zethara i Charkasa, siedmiu podkomorzych, pełniących służbę przed obliczem króla Ahaswera, "
Esther 1:11,"Aby przywiedli Waszti królowę przed oblicze króla, w dyademie królewskim, aby pokazać narodom i książętom piękność jej; bo pięknej urody była. "
Esther 1:12,"Wzbraniała się jednak królowa Waszti przybyć na rozkaz króla, dany jej za pośrednictwem podkomorzych, tak że rozgniewał się król bardzo, a zapalczywość jego wspłonęła w nim. "
Esther 1:13,"Rzekł tedy król do mędrców, odgadujących przeznaczenia - bo tak zwykł był król przekładać każdą sprawę swoję wszystkim biegłym w zakonie i prawie. "
Esther 1:14,"Wówczas zaś byli mu najbliższymi Karszena, Szethar, Admatha, Tharszysz, Meres, Marsena i Memuchan, siedmiu książąt Persyi i Medyi, którzy oglądali oblicze króla, a zasiadali jako przewodniczący w państwie -  "
Esther 1:15,"Co podług prawa czynić z królową Waszti za to, że podanego jej przez podkomorzych zlecenia króla nie spełniła. "
Esther 1:16,"Rzekł tedy Memuchan przed obliczem króla i książąt: Nie przeciw królowi samemu zawiniła królowa Waszti, lecz przeciw wszystkim książętom i przeciw wszystkim narodom zamieszkałym we wszystkich dzielnicach króla Ahaswera. "
Esther 1:17,"Albowiem gdy dojdzie ta sprawa królowej do wszystkich niewiast, lekceważyć sobie zaczną mężów swoich, mówiąc: Król Ahasweros rozkazał przywieść królową Waszti przed oblicze swoje a nie przyszła! "
Esther 1:18,"A już dnia dzisiejszego opowiedzą to księżne Medyi i Persyi, które o sprawie królowej słyszały, wszystkim książętom królewskim, a będzie dosyć hańby i rozdrażnienia. "
Esther 1:19,"Jeżeli tedy król to za dobre uważa, niechaj wyjdzie rozkaz królewski od oblicza jego, a niechaj wpisany zostanie w poczet praw Persów i Medów tak, aby zniesionym być nie mógł: że nie wolno już Waszti ukazać się przed obliczem króla Ahaswera, i że królestwo jej oddaje król innej, lepszej niż ona. "
Esther 1:20,"A gdy rozgłosi się to rozporządzenie królewskie, które wyda, w całem państwie jego - które wszak wielkie jest - wtedy okazywać będą wszystkie żony cześć mężom swoim, zarówno wysokim jak nizkim. "
Esther 1:21,"I podobała się ta rada królowi i książętom, i uczynił podług rady Memuchana. "
Esther 1:22,"I rozesłał list do wszystkich dzielnic królewskich, do każdej dzielnicy pismem jej właściwem, i do każdego narodu stosownie do języka jego, aby każdy mąż był panem w domu swoim; a ogłoszono to językiem każdego narodu. "
Esther 2:1,"Po zdarzeniach tych, gdy się gniew króla Ahaswera uśmierzył, wspomniał on na Waszti, i na to co uczyniła, i co postanowione zostało względem niej. "
Esther 2:2,"I rzekli dworzanie królewscy, słudzy jego: Niechaj poszukają dla króla młodych dziewic, pięknej urody. "
Esther 2:3,"A niechaj ustanowi król urzędników po wszystkich dzielnicach państwa swojego, którzyby zebrali wszystkie młode dziewice pięknej urody do zamku w Suzie, do gmachu niewiast, pod dozór Hegaja trzebieńca królewskiego, nadzorcy niewiast, gdzieby im stosowne namaszczenia podano. "
Esther 2:4,"Dziewica zaś, któraby znalazła upodobanie w oczach królewskich niechaj zostanie królową miasto Waszti. I podobało się to królowi, i uczynił tak. "
Esther 2:5,"Był zaś na zamku w Suzie mąż judzki imieniem Mardechai, syn Jaira, syna Szymei, syna Kisza, Benjaminita. "
Esther 2:6,"Został on uprowadzony z Jerozolimy wespół z brańcami, którzy uprowadzeni zostali wraz z Jechonjaszem, królem judzkim, którego zawiódł w niewolę Nebukadnecar, król babiloński. "
Esther 2:7,"A był opiekunem Hadasy, czyli Estery, córki stryja swojego, ponieważ ani ojca ani matki nie miała. Była to zaś dziewica ślicznej postawy i pięknej urody, którą Mardechai po śmierci jej ojca i matki za córkę sobie przybrał. "
Esther 2:8,"Gdy tedy rozgłosiło się rozporządzenie królewskie i prawo jego, i gdy zgromadzono dziewice liczne do zamku w Suzie pod nadzór Hegaja, sprowadzono i Esterę do pałacu królewskiego pod nadzór Hegaja, nadzorcy niewiast. "
Esther 2:9,"A spodobała mu się ona dziewica i znalazła łaskę w oczach jego, tak że przyśpieszył właściwe dla niej namaszczenia i dary, siedm też należnych jej pokojowych z pałacu królewskiego przydał jej; nadto przemieścił ją wraz z jej pokojowemi do najprzedniejszej części gmachu niewiast. "
Esther 2:10,"Nie wyjawiła zaś Estera narodu i pochodzenia swego; przykazał jej bowiem Mardechai, aby tego nie wyjawiała. "
Esther 2:11,"Ale przechadzał się Mardechai codzień przed dworcem gmachu niewiast, aby się wywiadywać o powodzeniu Estery i co się z nią dzieje. "
Esther 2:12,"A ile razy na którą dziewicę kolej nadchodziła, aby weszła do króla Ahaswera, po upływie ustanowionych dla każdej, wedle obowiązującego niewiasty przepisu, dwunastu miesięcy - bo tyle zajmują dni ich namaszczeń: sześć miesięcy olejkiem myrrowym, a sześć miesięcy balsamami i innemi pachnidłami dla kobiet. "
Esther 2:13,"Ile razy tedy która dziewica tak przygotowana do króla wchodziła, musiano jej dać wszystko czego zażądała, aby towarzyszyło jej od gmachu niewiast do pałacu królewskiego. "
Esther 2:14,"Wieczorem wchodziła, a rano wracała, już do drugiego gmachu niewiast, pod nadzór Szaasgaza trzebieńca królewskiego nadzorcy nałożnic; nie wolno jej było więcej do króla wchodzić, chyba jeśli król ją sobie upodobał a wtedy wzywano ją z imienia. "
Esther 2:15,"Gdy tedy nadeszła kolej na Esterę, córkę Abichaila, stryja Mardechaja, który ją był za córkę przybrał, aby do króla weszła, nie zażądała niczego nad to, co zalecił Hegaj oblubieniec królewski, nadzorca niewiast. I znalazła Estera upodobanie u wszystkich, którzy ją widzieli. "
