Index Title,Amos
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Amos 1:1,"Mowy Amosa, który należał do hodowców trzód z Tekoa zwiastowane o Israelu za czasów Uzjasza, króla Judy, i za czasów Jerobeama, syna Joasza, króla israelskiego, na dwa lata przed trzęsieniem ziemi. I rzekł: "
Amos 1:2,"Wiekuisty huczy z Cyonu, a z Jerozolimy odzywa się gromem swoim; przeto więdną niwy pasterzy a usycha szczyt Karmelu. "
Amos 1:3,Tak rzecze Wiekuisty: Dla trzech występków Damaszku i dla czterech nie cofnę tego - dlatego że młócili cierlicami żelaznemi Gilead. 
Amos 1:4,"Przeto zeszlę ogień na dom Chazaela, aby pochłonął zamki Ben-Hadada. "
Amos 1:5,"I skruszę zawory Damaszku i wytępię mieszkańców z doliny Awen i dzierżącego berło z Beth-Eden; a lud aramejski pójdzie na wygnanie do Kir, rzecze Wiekuisty. "
Amos 1:6,"Tak rzecze Wiekuisty: Dla trzech występków Gazy i dla czterech nie cofnę tego - dla tego że uprowadzili całe osady brańców, aby je wydać Edomowi. "
Amos 1:7,"Przeto zeszlę ogień na mury Gazy, aby pochłonął zamki jej. "
Amos 1:8,"I wytępię mieszkańca z Aszdodu a dzierżącego berło z Aszkelonu, i zwrócę rękę Moję na Ekron, i zaginie szczątek Pelisztów, rzecze Pan, Wiekuisty. "
Amos 1:9,"Tak rzecze Wiekuisty: Dla trzech występków Coru dla czterech nie cofnę tego: dla tego że wydali całe osady brańców Edomowi, a nie pamiętali na przymierze bratnie. "
Amos 1:10,"Przeto zeszlę ogień na mury Coru, aby pochłonął zamki jego. "
Amos 1:11,"Tak rzecze Wiekuisty: Dla trzech występków Edomu i dla czterech nie cofnę tego: Dla tego, że ścigał mieczem brata swego, tłumiąc współczucie swoje, że gniew jego szarpał bezustannie, a zapalczywość swoją chował wiecznie. "
Amos 1:12,"Przeto zeszlę ogień na Theman, aby pochłonął zamki Bocry. "
Amos 1:13,"Tak rzecze Wiekuisty: Dla trzech występków synów Ammonu i dla czterech nie cofnę tego: Dla tego, że rozcinali brzemienne kobiety Gileadu celem rozszerzenia granicy swojej. "
Amos 1:14,"Przeto rozniecę ogień w murach Rabby, aby pochłonął zamki jej przy dźwięku surmy, w dzień walki, podczas nawałnicy, w dzień zawieruchy. "
Amos 1:15,"I pójdzie król ich na wygnanie, on i książęta jego społem, rzecze Wiekuisty. "
Amos 2:1,"Tak rzecze Wiekuisty: Dla trzech występków Moabu i dla czterech nie cofnę tego: Dla tego, że spalił kości króla Edomu na proch wapienny. "
Amos 2:2,"Przeto zeszlę ogień na Moab, aby pochłonął zamki Keryjotu, i zginie w tumulcie Moab przy dźwięku surmy, przy odgłosie trąb. "
Amos 2:3,"I zgładzę władykę z pośród niego, a wszystkich panów jego uśmiercę wraz z nim, rzecze Wiekuisty. "
Amos 2:4,"Tak rzecze Wiekuisty: Dla trzech występków Judy i dla czterech nie cofnę tego: Dla tego, że wzgardzili zakonem Wiekuistego, a ustaw Jego nie przestrzegali; a otumaniły ich mamidła, za któremi szli ojcowie ich. "
Amos 2:5,"Przeto zeszlę ogień na Judę, aby pochłonął zamki jego. "
Amos 2:6,"Tak rzecze Wiekuisty: Dla trzech występków Israela i dla czterech nie cofnę tego: Dla tego, że sprzedali za pieniądze niewinnego, a biednego za parę sandałów. "
Amos 2:7,"Pożądają prochu ziemi na głowie biednych, a drogę uciśnionych skrzywiają; syn zaś i ojciec zdążają do jednej dziewczyny, aby znieważyć imię Moje święte. "
Amos 2:8,"A na szatach zastawionych rozkładają się przy każdym ołtarzu, a wino grzywnami wyduszone zapijają w domu bogów swoich. "
Amos 2:9,"A Ja wytępiłem Emorejczyka przed obliczem ich, którego wysokość była jako wysokość cedrów a stał silnie niby dęby, i ściąłem owoc jego z wierzchu wraz z korzeniami jego u dołu. "
Amos 2:10,"Ja wszak wywiodłem was z ziemi Micraim i prowadziłem was po pustyni czterdzieści lat, abyście zajęli ziemię Emorejczyka. "
Amos 2:11,"I wzbudzałem z synów waszych proroków, a z młodzieńców waszych nazyreów - czyż nie tak, synowie Israela? rzecze Wiekuisty. "
Amos 2:12,"Ale wyście poili nazyreów winem, a prorokom nakazywaliście, mówiąc: nie prorokujcie! "
Amos 2:13,"Otóż Ja ścisnę ziemię pod wami, tak jako ciśnie wóz natłoczony snopami. "
Amos 2:14,"I udaremniona będzie ucieczka dla chyżego, i nie zdoła silny natężyć mocy swojej, ani ocali bohater własnego życia swego. "
Amos 2:15,"A dzierżący łuk nie ostoi się, a szybkonogi nie uciecze, ani ocali mknący na rumaku życia swego. "
Amos 2:16,"A kto najodważniejszego serca jest między rycerstwem, bezbronnie on zbiegnie dnia onego, rzecze Wiekuisty. "
Amos 3:1,"Słuchajcie słowa tego, które wyrzekł Wiekuisty o was, synowie Israela, o całym rodzie, który wywiodłem z ziemi Micraim, mówiąc: "
Amos 3:2,"Tylko was poznałem z pośród wszystkich rodów ziemi, przeto i was nawiedzę za wszystkie winy wasze. "
Amos 3:3,"Czyż pójdzie dwóch razem, gdyby się ze sobą nie zmówili? "
Amos 3:4,"Czyż wyda lwiątko głos swój z legowiska, gdyby czegoś nie pochwyciło? "
Amos 3:5,"Czyż spadnie ptak usidlony na ziemię, gdyby sideł dlań nie było? Czyż podniesie się połapka sama z ziemi, jeżeliby w niej nic nie uwięzło? "
Amos 3:6,"Czyż zagrzmi surma w mieście, a lud się nie zatrwoży? - tak i niema klęski w mieście, gdy tego Wiekuisty nie sprawia. "
Amos 3:7,"Albowiem nie uczyni Pan, Wiekuisty, nic, zanim nie objawi postanowienia swego sługom swoim, prorokom. "
Amos 3:8,"Gdy lew ryczy - któżby się nie uląkł? Gdy Pan, Wiekuisty, przemawia - któżby nie zwiastował? "
Amos 3:9,"Obwołajcie po zamkach w Aszdodzie, i po zamkach w ziemi Micraim, a powiedźcie: Zbierzcie się na góry Szomronu, a zobaczcie wielkie zamieszki w niem i grabieże w pośrodku jego! "
Amos 3:10,"Nie umieją wszak uczciwie postępować, rzecze Wiekuisty, oni którzy gromadzą zdzierstwa i łupiestwa w zamkach swoich. "
Amos 3:11,"Przeto rzecze tak Pan, Wiekuisty: Oto wróg wokoło tej ziemi, a strąci on z ciebie potęgę twoję, a ograbione zostaną zamki twoje. "
Amos 3:12,"Tak rzecze Wiekuisty: Jako wyrywa pasterz z paszczęki lwiej dwa udźce, albo odkrawek ucha, tak wyrwani będą synowie Israela rozpierający się w Szomronie na wezgłowiach dywanów albo na adamaszkach łożnic. "
Amos 3:13,"Słuchajcie i oświadczcie to domowi Jakóba, rzecze Pan, Wiekuisty, Bóg zastępów. "
Amos 3:14,"Zaprawdę, dnia, którego nawiedzę występki Israela na nim, nawiedzę też ofiarnice Bethela, że odcięte zostaną narożniki ofiarnicy i runą na ziemię. "
Amos 3:15,"I roztrącę pałac zimowy wraz z pałacem letnim, że znikną te pałace z kości słoniowej, a nadejdzie koniec na domy liczne, rzecze Wiekuisty. "
Amos 4:1,"Słuchajcie słowa tego wy, krowy baszańskie, któreście na górze Szomronu, co to ograbiacie biednych a uciskacie ubogich, co to wołacie do panów swoich: dostarczcie, abyśmy piły! "
