Index Title,Obadiah
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Obadiah 1:1,"Widzenie Obadjasza. Tak rzecze Pan, Wiekuisty o Edomie - wieść tę słyszeliśmy od Wiekuistego, a już poseł wysłan między narody: ""Wstańcie! bo wyruszym przeciw niemu do boju. "
Obadiah 1:2,"Oto małym cię uczyniłem między narodami, wzgardzonym będziesz bardzo. "
Obadiah 1:3,"Zuchwałość serca twojego odurzyła cię, - mieszkałeś w rozpadlinach skał, na sterczącej siedzibie swojej, i mniemałeś w sercu swojem: Któż strąci mnie na ziemię? "
Obadiah 1:4,"Ale choćbyś wysoko wzniósł jako orzeł i choćbyś między gwiazdy usłał gniazdo twoje - i ztamtąd strącę cię, rzecze Wiekuisty. "
Obadiah 1:5,"Jeśliby złodzieje przyszli na cię, jeśli zbójcy nocni - o jakżeś wyniszczony! - czyżby nie kradli dowoli? Albo jeśli winobrańcy cię napadli - czyżby nie zostawili pobierek? "
Obadiah 1:6,"Jakże przetrząśnięty Ezaw, przeszukane skarby jego! "
Obadiah 1:7,"Aż na granicę wypędzili cię wszyscy sprzymierzeńcy twoi, zdradzili cię, zmogli właśni przyjaciele twoi, stołownicy twoi nastawili sidła pod tobą, nie było rozwagi w nim! "
Obadiah 1:8,"Zaprawdę, dnia onego, rzecze Wiekuisty, zatracę mędrców z Edomu, a roztropność z góry Ezawa. "
Obadiah 1:9,"Struchleją i bohaterowie twoi Themanie, tak że zgładzony będzie każdy z góry Ezawa wskutek rzezi. "
Obadiah 1:10,Dla krzywdy wyrządzonej bratu twemu Jakóbowi pokryje cię hańba i zgładzony będziesz na wieki. 
Obadiah 1:11,"W dniu onym, gdyś stał zdaleka, gdy uprowadzali barbarzyńcy siłę jego wojenną, gdy wtargnęli poganie w bramy jego, a o Jerozolimę los miotali - byłeś wtedy i ty jako jeden z nich! "
Obadiah 1:12,"Nie należało ci patrzeć na dzień brata twego, na dzień niedoli jego, ani cieszyć się nad synami Judy w dzień upadku ich, ani rozwierać ust swoich w dzień nieszczęścia. "
Obadiah 1:13,"Nie należało ci wtargnąć do bramy ludu Mojego w dzień klęski ich, patrzeć na utrapienie jego w dzień klęski jego, wyciągać rąk swoich po jego mienie w dzień klęski jego. "
Obadiah 1:14,"Nie należało ci stanąć na rozdrożu, aby tępić uchodzących jego, a wydawać niedobitków jego w dzień niedoli. "
Obadiah 1:15,"Gdy zbliży się dzień Wiekuistego na wszystkie te ludy, wtedy uczynię i tobie jakoś sam czynił, zapłata twoja wróci na głowę twoją. "
Obadiah 1:16,"Bo jakoście pili na górze Mej świętej, tak pić będą wszystkie te narody wciąż, i będą piły i łykały, aż staną się jakoby ich nigdy nie było. "
Obadiah 1:17,"Na górze zaś Cyonu będzie ocalenie, a pozostanie ona świętą, i obejmie znowu dom Jakóba posiadłości swoje. "
Obadiah 1:18,"I będzie dom Jakóba ogniem, a dom Józefa płomieniem, a dom Ezawa ścierniskiem, i zapalą je i strawią, że nie zostanie szczątku z domu Ezawa, gdyż Wiekuisty to wyrzekł. "
Obadiah 1:19,"I zajmą mieszkańcy południa górę Ezawa, a mieszkańcy niziny Pelisztów, i zajmą też pola Efraima i pola Szomronu, a Binjamin - Gilead. "
Obadiah 1:20,"A owo w niewolę uprowadzone wojsko z synów Israela, które między Kanaanejczykami aż do Carfat się rozproszyło, a również wysiedleńcy Jerozolimy, którzy w Sefarad, zajmą miasta południa. "
Obadiah 1:21,"I pociągną zwycięzcy na górę Cyon, by sądzić górę Ezawa, i będzie Wiekuistego królestwo. "
