Index Title,Jeremiah
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Jeremiah 1:1,"Mowy Jeremjasza, syna Chilkjasza z kapłanów, co w Anatoth, w ziemi Binjamin. "
Jeremiah 1:2,"Którego doszło słowo Wiekuistego za czasów Jozjasza, syna Amona, króla judzkiego, trzynastego roku panowania jego. "
Jeremiah 1:3,"A następnie za czasów Jehojakima, syna Jozjasza, króla judzkiego, aż po koniec jedenastego roku Cydkjasza, syna Jozjasza, króla judzkiego - aż do uprowadzenia mieszkańców Jerozolimy..., miesiąca piątego. "
Jeremiah 1:4,"Doszło mnie wtedy słowo Wiekuistego, głosząc: "
Jeremiah 1:5,"Zanim cię utworzyłem w żywocie, wybrałem cię, a zanim wyszedłeś z łona, poświęciłem cię; na proroka narodom cię postanowiłem! "
Jeremiah 1:6,"I rzekłem: O Panie, Wiekuisty! Otom niezdolny mówić, bom młodzieńcem jeszcze. "
Jeremiah 1:7,"I rzekł Wiekuisty do mnie: Nie powiadaj: młodzieńcem ja; lecz dokądkolwiek cię poszlę pójdziesz, a cokolwiek ci rozkażę, mówić będziesz. "
Jeremiah 1:8,"Nie obawiaj się ich, bom Ja z tobą, abym cię wybawił, rzecze Wiekuisty. "
Jeremiah 1:9,"I wyciągnął Wiekuisty rękę Swoję i dotknął się ust moich, i rzekł Wiekuisty do mnie: Oto kładę słowa Moje w usta twe. "
Jeremiah 1:10,"Patrz, ustanawiam cię dzisiaj nad narody i królestwy, abyś wypleniał i druzgotał, i niweczył i burzył, budował i zasadzał! "
Jeremiah 1:11,"I doszło mnie słowo Wiekuistego, głosząc: Co widzisz Jeremjaszu? I rzekłem rószczkę migdałową widzę. "
Jeremiah 1:12,"I rzekł Wiekuisty do mnie: Dobrześ widział, gdyż czuwam Ja nad słowem Mojém, abym je spełnił. "
Jeremiah 1:13,"I doszło mnie słowo Wiekuistego po raz wtóry, głosząc: Co widzisz? I rzekłem: Kocioł kipiący widzę, a przednia strona jego od północy. "
Jeremiah 1:14,I rzekł Wiekuisty do mnie: Od północy wypadnie zło na wszystkich mieszkańców tej ziemi. 
Jeremiah 1:15,"Bo oto zwołam wszystkie rody królestw Północy, rzecze Wiekuisty, i przyjdą i ustawią każdy stolicę swoją u wejścia do bram Jerozolimy, i przy wszystkich murach jej dokoła, i przy wszystkich miastach Judy. "
Jeremiah 1:16,"I rozprawię się z nimi z powodu wszystkiej niegodziwości ich, że opuścili Mnie, a kadzili bóztwom cudzym, i korzyli się dziełu rąk swoich. "
Jeremiah 1:17,"Ty przeto przepasz biodra swoje, a wstań i mów do nich co Ja ci polecam! Nie uginaj się przed nimi, abym cię nie zgiął w obliczu ich. "
Jeremiah 1:18,"Ja zaś oto ustanawiam cię dzisiaj miastem warowném i kolumną żelazną i murem spiżowym przeciw tej ziemi całej, przeciw królom Judy, przeciw książętom i kapłanom jej, i przeciw ludowi tej ziemi. "
Jeremiah 1:19,"A gdy walczyć będą przeciw tobie, nie zmogą cię, gdyż Ja z tobą, rzecze Wiekuisty, abym cię wybawił. "
Jeremiah 2:1,"I doszło mnie słowo Wiekuistego, głosząc: "
Jeremiah 2:2,"Idź a wołaj w uszy Jerozolimy w te słowa: Tak rzecze Wiekuisty: Pamiętam ci wdzięk młodości twojej, miłość narzeczeństwa twojego, gdyś chodziła za Mną na puszczy, po ziemi bezpłodnej. "
Jeremiah 2:3,"Poświęcony był Izrael Wiekuistemu, pierwiastkiem plonów Jego, wszyscy którzy go pożreć chcieli odpokutowali, klęska spadła na nich, rzecze Wiekuisty. "
Jeremiah 2:4,"Słuchajcie słowa Wiekuistego, wy z domu Jakóba, i wszystkie rodziny domu Israela! "
Jeremiah 2:5,"Tak rzecze Wiekuisty: Jakąż znaleźli ojcowie wasi niesprawiedliwość we Mnie, że się odemnie oddalili, a szli za marnością - i zmarnieli? "
Jeremiah 2:6,"A nie mówili: Gdzież Wiekuisty, który wywiódł nas z ziemi Micraim, który prowadził nas po pustyni, po ziemi stepów i rozpadlin, po ziemi posuchy i pomroki śmiertelnej, po ziemi, której nikt nie przebył, a na której żaden człowiek nie zamieszkał. "
Jeremiah 2:7,"A zaprowadziłem was do ziemi żyznej, abyście pożywali owoce i dobra jej; aleście weszli i splugawili ziemię Moję, a dziedzictwo Moje przemieniliście w ohydę! "
Jeremiah 2:8,"Kapłani nie myśleli gdzie Wiekuisty, a dzierżący Zakon nie znali Mnie, a pasterze odstąpili odemnie, a prorocy prorokowali w imieniu Baala, i za rzeczami płonnemi dążyli. "
Jeremiah 2:9,"Przeto i nadal rozprawiać się z wami będę, rzecze Wiekuisty, i z synami synów waszych rozprawiać się nie przestanę. "
Jeremiah 2:10,"Bo przejdźcie do wysp kittyjskich i rozejrzcie się, i do Kedaru poszlijcie i rozważcie dobrze i zobaczcie, czy stało się tam co podobnego! "
Jeremiah 2:11,Czy zamienił kiedy lud bogi swoje - które wszak bogami nie są - a naród Mój zamienił Wspaniałego swojego na istoty płonne. 
Jeremiah 2:12,"Zdumiejcie się niebiosa nad tem, a przejmijcie się dreszczem i strętwieniem wielkiém! - rzecze Wiekuisty. "
Jeremiah 2:13,"Bo dwojakie zło popełnił lud Mój: Mnie opuścili - źródło wód żywych, aby wyżłobić sobie zbiorniki, zbiorniki popękane, które nie mogą zatrzymać wody. "
Jeremiah 2:14,"Czyż niewolnikiem Izrael, albo parobkiem domowym? Czemu stał się łupem? "
Jeremiah 2:15,"Nad nim ryczały lwięta, huczały głosem swoim, i obróciły kraj jego w pustynię, że miasta jego zapadły dla braku mieszkańca. "
Jeremiah 2:16,Nawet synowie Nof i Tachpanches miażdżyli ci ciemię. 
Jeremiah 2:17,"Oto sama to sobie przyczyniłaś, opuszczając Wiekuistego, Boga twojego, w chwili gdy cię prowadził po (właściwej) drodze. "
Jeremiah 2:18,A teraz jakiż tobie pożytek z drogi do Micraim - abyś tam piła wodę z Szychoru? Albo jakiż tobie pożytek z drogi do Aszuru - abyś tam piła wodę ze strumienia? 
Jeremiah 2:19,"Skarze cię własna niegodziwość twoja, a przeniewierstwo twoje cię skarci, a poznasz i zobaczysz, jak złém to było i gorzkiém, żeś opuściła Wiekuistego, Boga twojego, a bojaźń przedemną cię nie opadła, rzecze Wiekuisty, Bóg zastępów. "
Jeremiah 2:20,"Tak, od wieków kruszyłem jarzmo twoje, zrywałem pęta twoje, a wtedy zapewniałaś: Nie wykroczę więcej. A jednak na każdym pagórku wysokim, i pod każdém drzewem rozłożystém ścielesz sobie nierządnico! "
Jeremiah 2:21,"A Jam cię był zasadził jako winorośl szlachetną, całą z nasienia prawdziwego, ale jakżeś się Mi odmieniła w wyrośle winogradu dzikiego! "
Jeremiah 2:22,"Bo choćbyś się myła mydłem, a jak najwięcej do tego brała ługu, jednak wyrytą wina twoja przedemną, rzecze Pan Wiekuisty. "
Jeremiah 2:23,"Jakże twierdzić możesz: Nie zbrukałam się, za Baalami nie chodziłam... Spójrz na sprawki twoje w dolinie (Benhinnom), uprzytomnij sobie coś uczyniła, wielbłądzico chyża, zbaczająca z drogi swojej. "
Jeremiah 2:24,"Niby oślica dzika nawykła do puszczy, która w pożądliwej chuci swojej chłonie powietrze - od zbestwienia się jej któż ją odwiedzie? Kto ją odszukać chce nie potrzebuje się trudzić, w miesiącu jej znajdzie ją. "
