Index Title,Exodus
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Exodus 1:1,"Oto imiona synów Israela, przybyłych do Micraim: z Jakóbem, każdy z domem swoim, weszli: "
Exodus 1:2,"Reuben, Szymon, Lewi i Jehuda; "
Exodus 1:3,"Isachar, Zebulun i Binjamin, "
Exodus 1:4,"Dan i Naftali, Gad i Aszer. "
Exodus 1:5,"A było wszystkich dusz, wyszłych z biodra Jakóba, siedmdziesiąt dusz; a Josef był już w Micraim. "
Exodus 1:6,"I umarł Josef i wszyscy bracia jego, i całe pokolenie owo. "
Exodus 1:7,"A synowie Israela rozplenili się, i rozrodzili, i rozmnożyli, i wzmogli się wielce, i napełniła się ziemia nimi. "
Exodus 1:8,"I powstał król nowy nad Micraim, który nie znał Josefa. "
Exodus 1:9,"I rzekł do ludu swego: ""Oto lud synów Israela zbyt liczny i silny dla nas. "
Exodus 1:10,"Otóż pocznijmy sobie mądrze z nim, aby się nie rozmnożył; bo gdy przypadnie wojna, przyłączy się i on do nieprzyjaciół naszych, i będzie walczył przeciw nam, i - ujdzie z tej ziemi."" "
Exodus 1:11,"I ustanowili nad nim nadzorców robocizny, aby go dręczyli ciężkiemi robotami, i zbudował on miasta na zapasy dla Faraona: Pithom i Raamses. "
Exodus 1:12,"Ale im bardziej go udręczali, tém bardziej się rozmnażał, i tém bardziej się rozrastał: i zatrwożyli się wobec synów Israela. "
Exodus 1:13,I ujarzmili Micrejczycy synów Israela srogo. 
Exodus 1:14,"I czynili gorzkiém życie ich, robotą ciężką około gliny i cegieł, i wszelką robotą na polu, i wszelaką robotą, do której ujarzmiali ich srogo. "
Exodus 1:15,"I powiedział król Micraimu do położniczek Ibrejskich, z której imię jednej: Szyfra, a imię drugiej: Pua, "
Exodus 1:16,"I rzekł: ""Gdy będziecie położniczyć Ibrejkom, baczcie na krzesło porodowe: jeżeli to syn, zabijcie go, a jeżeli córka, niechaj żyje."" "
Exodus 1:17,"Ale obawiały się położniczki Boga, i nie czyniły tak, jak mówił im król Micraimu; i zostawiały dzieci przy życiu. "
Exodus 1:18,"I wezwał król Micraimu położniczki i rzekł do nich: ""Czemuście to uczyniły, a zostawiały dzieci przy życiu?"" "
Exodus 1:19,"I rzekły położniczki do Faraona: ""Dlatego, że nie jako niewiasty Micrejskie są Ibrejki, bo zdrowe one: zanim przyjdzie do nich położniczka, już urodziły."" "
Exodus 1:20,I dał Bóg powodzenie położniczkom; a lud mnożył się i wzmacniał wielce. 
Exodus 1:21,"A ponieważ obawiały się położniczki Boga, pobudował im domy. "
Exodus 1:22,"I rozkazał Faraon całemu ludowi swojemu tak: ""Każdego nowonarodzonego syna wrzućcie do rzeki, każdą zaś córkę zostawcie przy życiu."" "
Exodus 2:1,I poszedł był pewien mąż z domu Lewi i pojął córkę Lewiego. 
Exodus 2:2,"I poczęła owa niewiasta i urodziła syna; a widząc jak był pięknym, ukrywała go przez trzy miesiące. "
Exodus 2:3,"Ale nie mogła go dłużej ukrywać, i wzięła dlań czółenko z trzciny, i wylepiła je asfaltem i smołą, a włożywszy w nie dziecię, postawiła w sitowiu nad brzegiem rzeki. "
Exodus 2:4,"Stanęła zaś siostra jego opodal, aby wiedzieć co się stanie z nim. "
Exodus 2:5,"I zeszła córka Faraona, aby się kąpać, ku rzece, a służebne jej przechadzały się nad brzegiem rzeki. I spostrzegła czółenko wśród sitowia, i posłała służebnicę swą, a ta wzięła je. "
Exodus 2:6,"I otworzyła, i obaczyła dziecię, a oto był to chłopiec płaczący! I ulitowała się nad nim; lecz rzekła: ""Z dzieci Ibrejskich jest ten!"" "
Exodus 2:7,"I rzekła siostra jego do córki Faraona: ""Mamże pójść i zawołać ci kobietę, karmiącą z Ibrejek, aby karmiła ci to dziecię?"" "
Exodus 2:8,"I rzekła do niej córka Faraona: ""Idź."" I poszła dziewczynka, i zawołała matkę dziecięcia. "
Exodus 2:9,"I rzekła do niej córka Faraona: ""Zabierz oto to dziecię, i wykarm mi je, a ja dam ci wynagrodzenie twoje."" I zabrała kobieta dziecię, i karmiła je. "
Exodus 2:10,"I wyrosło dziecię, i przywiodła je do córki Faraona i stał się jej synem, i nazwała imię jego Mosze, mówiąc: ""Bo z wody wydobyłam go."" "
Exodus 2:11,"I stało się za onych dni, gdy urósł Mojżesz, że wyszedł do braci swoich i widział ciężkie roboty ich; i widział Micrejczyka, bijącego jednego z Ibrejczyków, braci jego. "
Exodus 2:12,"I obejrzał się tu i tam, a widząc, że niema nikogo, zabił Micrejczyka i zagrzebał go w piasku. "
Exodus 2:13,"I wyszedł dnia drugiego, a oto dwaj Ibrejczycy kłócili się. I rzekł do krzywdziciela: ""Czemu bijesz bliźniego swego?"" "
Exodus 2:14,"I rzekł: ""Któż ustanowił cię przełożonym i sędzią nad nami? Alboż zabić mnie myślisz, jakoś zabił Micrejczyka?"" I uląkł się Mojżesz, i rzekł: ""Tak tedy wyjawiła się ta sprawa!"" "
Exodus 2:15,"I usłyszał Faraon o sprawie tej, i zamierzał uśmiercić Mojżesza; i uszedł Mojżesz przed Faraonem i zatrzymał się w ziemi Midjan; i bywało siadał przy studni. "
Exodus 2:16,"A kapłan Midjanu miał siedm córek. I przyszły one i naczerpały wody i napełniły koryta, aby napoić trzodę ojca swojego. "
Exodus 2:17,"Ale nadeszli pasterze i odpędzili je. Wtedy powstał Mojżesz i obronił je, i napoił trzodę ich. "
Exodus 2:18,"A gdy wróciły do Reguela, ojca swego, rzekł: ""Czemuście tak prędko wróciły dzisiaj?"" "
Exodus 2:19,"I odpowiedziały: ""Jakiś Micrejczyk oswobodził nas z ręki pasterzy, i téż naczerpał nam i napoił trzodę."" "
Exodus 2:20,"I rzekł on do córek swoich: ""A gdzież jest? Czemuście opuściły tego człowieka? Zawołajcie go, aby się posilił chlebem."" "
Exodus 2:21,"I postanowił Mojżesz pozostać u tego człowieka i dał on córkę swą, Cypporę, Mojżeszowi. "
Exodus 2:22,"I urodziła syna; i nazwał imię jego: Gerszom, rzekł bowiem: ""Przychodniem byłem w ziemi cudzej."" "
Exodus 2:23,"I stało się w przebiegu długich tych czasów, że umarł król Micraimu. I jęczeli synowie Israela z powodu roboty, i narzekali, i doszło wołanie ich do Boga z powodu roboty. "
Exodus 2:24,"I usłyszał Bóg jęk ich, i wspomniał Bóg na przymierze Swoje z Abrahamem, Ic'hakiem i Jakóbem. "
Exodus 2:25,"I spojrzał Bóg na synów Israela, i poznał Bóg... "
Exodus 3:1,"A Mojżesz pasał trzodę Ithry, teścia swojego, kapłana Midjańskiego. I poprowadził trzodę na drugą stronę pustyni, i doszedł do góry Bożej, do Chorebu. "
Exodus 3:2,"I ukazał mu się anioł Wiekuistego w płomieniu ognistym, z pośród ciernia. I spojrzał, a oto cierń gorzał ogniem, a cierń nie zgorzał. "
Exodus 3:3,"I rzekł Mojżesz: ""Zajdę téż i zobaczę to zjawisko wielkie: czemu nie zgoreje ten cierń?"" "
Exodus 3:4,"A widział Wiekuisty, iż szedł patrzeć i zawołał doń Bóg z pośród cierniska i rzekł: ""Mojżeszu, Mojżeszu!"" I odpowiedział: ""Oto jestem!"" "
Exodus 3:5,"I rzekł: ""Nie przystępuj tutaj; zzuj obówie twe z nóg twoich, gdyż miejsce, na którém stoisz, ziemią jest świętą."" "
