Index Title,Malachi
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Malachi 1:1,Wyrocznia. Słowo Wiekuistego do Israela przez Malachjasza. 
Malachi 1:2,"Miłowałem was, rzecze Wiekuisty, a zapytacie się zapewne: Czemże okazywałeś nam tę miłość? Alboż nie jest Ezaw bratem Jakóba, rzecze Wiekuisty; a jednak miłowałem tylko Jakóba, "
Malachi 1:3,"A Ezawa znienawidziłem, i podałem góry jego na spustoszenie, a dziedzictwo jego szakalom stepu. "
Malachi 1:4,"Może Edom powiedzieć: zniszczeni jesteśmy, ale znów ruiny odbudujem - wszakże tak rzecze Wiekuisty zastępów: Niechaj oni budują, ale Ja rozwalę, i nazywać ich będą dziedziną niegodziwości, ludem, któremu złorzeczył Wiekuisty na wieki. "
Malachi 1:5,"A ujrzą to własne oczy wasze, i sami zawołacie, wstawił się Wiekuisty i po za dziedziną Israela. "
Malachi 1:6,"Syn czci wszak ojca, a sługa pana swojego: Jeżelim tedy ojcem, gdzie cześć Moja, a jeżeli panem, gdzie bojaźń przedemną, rzecze Wiekuisty zastępów do was, kapłani, którzy poniżacie imię Moje! Wy wszakże pytacie się zapewne: Czemże poniżamy imię Twoje? "
Malachi 1:7,"Składacie na ołtarzu Moim chleb nieczysty? a pytacie się: Czemżeśmy znieważyli Cię? Tem, że wygłaszacie to jak stół Wiekuistego wstrętny wam jest. "
Malachi 1:8,"Gdy sprowadzacie ślepe na ofiarę, czyż to nic złego? A gdy sprowadzacie chrome i chore, czyż to nic złego? Chciej to ofiarować namiestnikowi twojemu, czy łaskawie to przyjmie, albo czy uwzględni osobę twoję? - rzecze Wiekuisty zastępów. "
Malachi 1:9,"A przytem błagajcie jeszcze oblicze Boże, aby zmiłował się nad nami! Z przyczyny waszej to się stało - czyżby miał uwzględnić osoby wasze? rzecze Wiekuisty zastępów. "
Malachi 1:10,"Gdyby choć jeden był wpośród was, któryby zamknął podwoje, abyście nie wzniecali ognia na ołtarzu Moim daremnie! Nie mam upodobania w was, rzecze Wiekuisty zastępów, a ofiary nie przyjmę z ręki waszej! "
Malachi 1:11,"Oto od wschodu słońca do zachodu jego wielkiem jest imię Moje między narodami, a na każdem miejscu kadzidło się przynosi imieniu Mojemu, ale tylko ofiara czysta, albowiem wielkie imię Moje między narodami, rzecze Wiekuisty zastępów. "
Malachi 1:12,"Wy zaś znieważacie je, mówiąc: stół Wiekuistego zanieczyszczony jest, a ofiara na nim - wstrętny to pokarm. "
Malachi 1:13,"Powiadacie też: O, co za zmuda! i gardzicie tem, rzecze Wiekuisty zastępów; przywlekacie zagrabione i chrome i schorzałe - a składacie to na ofiarę: czyż to przyjąć mam z upodobaniem z ręki waszej, rzecze Wiekuisty. "
Malachi 1:14,"Przeklęty szalbierz, który w trzodzie swojej (zdrowego) samca ma i ślubuje, a ofiaruje samicę ułomną Wiekuistemu; gdyż królem Ja wielkim, rzecze Wiekuisty zastępów, a imię Moje groźne między narodami. "
Malachi 2:1,"Otóż teraz do was to zlecenie, kapłani! "
Malachi 2:2,"Jeżeli nie usłuchacie, i jeżeli nie przyjmiecie do serca, abyście składali (należną) cześć imieniu Mojemu, rzecze Wiekuisty zastępów, tedy poszlę wpośród was przekleństwo, i przeistoczę w przekleństwo błogosławieństwa wasze; tak, jużem je przeklął, bo nie bierzecie nic do serca. "
Malachi 2:3,"Oto wyniszczę wam siewy, a rzucę mierzwę w oblicze wasze, mierzwę świątecznych ofiar waszych, i wyprowadzą was do niej. "
Malachi 2:4,"A poznać wam, że posłałem do was to zlecenie, aby ostało się przymierze Moje z Lewim, rzecze Wiekuisty zastępów. "
Malachi 2:5,"Tak, przymierze Moje życia i pokoju było z nim - dałem mu je dla bojaźni, a też obawiał się Mnie, a przed imieniem Mojem ugiął się. "
Malachi 2:6,"Nauka prawdy była w ustach jego, a krzywda nie była znaleziona na wargach jego; w pokoju i prostocie postępował zemną a wielu odwrócił od winy. "
Malachi 2:7,"Tak powinny zawsze wargi kapłańskie strzedz wiedzy, a wtedy szukać będą nauki z ust jego, gdyż wysłannikiem Wiekuistego zastępów on. "
Malachi 2:8,"Wyście wszakże zstąpili z drogi, byliście dla wielu zgorszeniem nauką (waszą), zerwaliście przymierze z Lewim, rzecze Wiekuisty zastępów. "
Malachi 2:9,"Przetom i Ja was uczynił wzgardzonymi i poniżonymi u całego ludu, ponieważ nie przestrzegacie dróg Moich, a uwzględniacie osobę w nauce. "
Malachi 2:10,"Izali nie mamy wszyscy jednego ojca? Izali nie jeden Bóg nas stworzył? Czemuż mamy sprzeniewierzać się, brat bratu, znieważając przymierze przodków naszych? "
Malachi 2:11,"Sprzeniewierzył się Juda, a ohydy spełniły się w Israelu i w Jerozolimie; albowiem znieważył Juda co święte było Wiekuistemu, miłując i kojarząc się z córkami cudzego bóstwa. "
Malachi 2:12,"Zgładzi Wiekuisty mężowi, który to czyni dziecię i wnuka z namiotów Jakóba, i składającego dar Wiekuistemu zastępów. "
Malachi 2:13,"A oto co następnie czynicie: okrywacie łzami ofiarnicę Wiekuistego, płaczem i jękiem, tak że nie zwraca się już do daru, aby go przyjąć z upodobaniem z ręki waszej. "
Malachi 2:14,"A pytacie się zapewne: Dla czego? Dla tego, że Wiekuisty świadkiem był między tobą a żoną młodości twojej, którejś się teraz sprzeniewierzył, choć była ona towarzyszką twoją i żoną przymierza twojego. "
Malachi 2:15,"Izali nie jeden Bóg (was) stworzył cząstką ducha swojego? A czegoż ten Jeden żąda? potomstwa bogobojnego! To też strzeżcie się w duchu waszym, a żonie młodości swojej niechaj nikt się nie sprzeniewierzy! "
Malachi 2:16,"Albowiem nienawidzę rozwodu, rzecze Wiekuisty Bóg Israela i tego, który okrywa szatę swoję krzywdą, rzecze Wiekuisty zastępów; przeto strzeżcie się w duchu waszym, a nie sprzeniewierzajcie się! "
Malachi 2:17,"Znużyliście Wiekuistego mowami waszemi, a pytacie się zapewne: Czem znużyliśmy Go? Tem, że powiadacie: Każdy, który źle czyni jest dobrym w oczach Wiekuistego, a w takim znajduje On upodobanie, albo gdzież by był ów Bóg sądu? "
Malachi 3:1,"Oto wysyłam posła Mojego, aby utorował drogę przedemną; niespodzianie przybędzie do przybytku swego pan, którego pragniecie, a poseł przymierza, którego pożądacie oto nadchodzi! rzecze Wiekuisty zastępów. "
Malachi 3:2,"Ale któż wytrzyma dzień jego nadejścia, a któż zdoła się ostać, gdy się ukaże? Bo będzie on jako ogień wypławiacza i jako ług piorących. "
Malachi 3:3,"I zasiądzie jakby miał przetapiać i oczyszczać srebro, i oczyści on lewitów i wypławi ich jako srebro i złoto, aby miał znowu Wiekuisty składających Mu dary w sprawiedliwości. "
Malachi 3:4,I przyjemną będzie Wiekuistemu ofiara Judy i Jerozolimy jako za dni przeszłych i za lat starodawnych. 
Malachi 3:5,"Gdy wystąpię przeciw wam do sądu i będę świadkiem żwawym przeciw czarodziejom i cudzołożnikom i krzywoprzysięzcom i tym, którzy zagrabiają płacę najemnikom, którzy wdowę i sierotę krzywdzą i prawo cudzoziemca przekręcają, a nie obawiają się Mnie, rzecze Wiekuisty. "
Malachi 3:6,"Gdyż jak Ja Wiekuisty się nie zmienię, tak i wy, synowie Jakóba nie zginiecie. "
