Index Title,Hosea
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Hosea 1:1,"Słowo Wiekuistego, które doszło Hozeasza, syna Beeri za dni Uzyi, Jothama, Achaza i Jechiskji, królów Judy, i za dni Jerobeama syna Joasza, króla israelskiego. "
Hosea 1:2,"Gdy począł Wiekuisty przemawiać do Hozeasza, rzekł tedy Wiekuisty do Hozeasza: Pójdziesz i pojmiesz sobie kobietę nierządną i dzieci nierządu, gdyż nierząd prowadzi lud, odstępując od Wiekuistego! "
Hosea 1:3,"I poszedł i pojął Gomerę, córkę Dyblataim; ta zaś poczęła i urodziła mu syna. "
Hosea 1:4,I rzekł doń Wiekuisty: Nazwij imię jego Izreel! gdyż niezadługo a poszukiwać będę krwi Izreela na domu Jehy i położę koniec królestwu domu Israela. 
Hosea 1:5,"I stanie się dnia onego, że skruszę łuk Israela w dolinie Izreel! "
Hosea 1:6,"I poczęła znowu i urodziła córkę; i rzekł do niego: Nazwij imię jej: Lo-ruchama, nieułaskawiona! gdyż nie ułaskawię więcej domu Israela, abym im wciąż miał przebaczać. "
Hosea 1:7,"Wszakże dom Judy ułaskawię i wybawię ich przez Wiekuistego Boga ich, ale nie wybawię ich przez łuk i miecz i wojnę, przez rumaki i jeźdźców! "
Hosea 1:8,"A gdy odstawiła Lo-ruchamę, poczęła znowu i urodziła syna. "
Hosea 1:9,"I rzekł: Nazwij imię jego Lo-ammi! boście wy nie lud Mój, a Ja nie będę waszym. "
Hosea 1:10,"I będzie kiedyś liczba synów Israela jako piasek morski, który ani zmierzyć ani zliczyć się nie daje; i będzie, że zamiast co im mówiono: nie ludem Moim jesteście, nazywać ich będą synami Boga żywego! "
Hosea 1:11,"I zgromadzą się synowie Judy i synowie Israela społem, i postanowią nad sobą głowę jedną, i wynijdą z tej ziemi; bo wielkim będzie dzień Izreela. "
Hosea 2:1,"Nazywajcie braci waszych: Ammi, lud Mój, a siostry wasze Ruchamah, ułaskawioną! "
Hosea 2:2,"Rozprawiajcie się z matką waszą, rozprawiajcie - bo ona nie żoną Moją, a Jam nie mąż jej - póki nie usunie wszeteczeństwa swego z oblicza swojego a lubieżności swej z piersi swoich! "
Hosea 2:3,"Bym jej nie rozebrał do naga, a nie postawił jako w dzień jej narodzenia, a nie obrócił jej w pustynię, a nie zostawił jej jako ziemię spiekłą, a nie zamorzył jej pragnieniem. "
Hosea 2:4,"A nad dziećmi jej też nie ulituję się, gdyż dziećmi są nierządu. "
Hosea 2:5,"Albowiem rozpustną była matka ich, sprosną rodzicielka ich; bo mówiła: Pójdę za zalotnikami moimi, którzy mi dostarczają mego chleba i mej wody, mej wełny i mego lnu, mej oliwy i mych napojów. "
Hosea 2:6,"Dla tego oto zagrodzę drogę twą cierniem, i obmuruję ją murem, aby ścieżek swoich nie znalazła. "
Hosea 2:7,"Gdy będzie biegała za zalotnikami swoimi, a nie dogoni ich, gdy będzie ich szukała a nie znajdzie; wtedy powie: Gdybym też pójść a wrócić mogła do męża mego pierwszego, bo mi lepiej było przedtem niż teraz! "
Hosea 2:8,"Ponieważ nie poznała, żem Ja jej dawał zboże i moszcz i oliwę i żem Ja jej namnożył srebra i złota, które obrócili na Baala. "
Hosea 2:9,"Przeto zwrócę się i zabiorę zboże Moje w czasie swoim, a moszcz Mój w porze swojej, i cofnę wełnę Moją i len Mój dany dla pokrycia sromu jej. "
Hosea 2:10,"A tak odkryję hańbę jej przed oczyma zalotników jej, a nikt jej nie wybawi z rąk Moich! "
Hosea 2:11,"I położę koniec wszystkiemu weselu jej, jej świętom, nowiom i sabbatom, i wszystkim uroczystościom jej. "
Hosea 2:12,"I spustoszę winograd i figowe drzewo jej, o których mówiła: zapłata to moja, dana mi od zalotników moich, i zapuszczę je lasem, a niechaj pożera je zwierz dziki. "
Hosea 2:13,"I tak nawiedzę ją za dni Baalów, którym paliła kadzidła, gdy strojąc się w zausznice i klejnoty swoje, chodziła za zalotnikami swoimi, ale o Mnie zapomniała, rzecze Wiekuisty. "
Hosea 2:14,"Ale gdy uczynię ją pojętną, wyprowadziwszy ją na pustynię, będę przemawiał do serca jej. "
Hosea 2:15,"I zwrócę jej winnice ztamtąd, a z doliny smutku utworzę jej przededrzwie nadziei, i ozwie się tam pieśnią jako za dni młodości swojej, jako w dzień wyjścia jej z ziemi Micraim. "
Hosea 2:16,"Dnia onego, rzecze Wiekuisty, nazywać Mnie będziesz: Mężu mój, a nie nazwiesz Mnie więcej: Baali, panie mój. "
Hosea 2:17,"Bo usunę imiona Baalów z ust jej, że nie będą więcej wspominani imieniem swojém. "
Hosea 2:18,"I zawrę dla nich przymierze dnia onego ze zwierzem dzikim, i z ptactwem nieba, i z robactwem ziemi; a łuk i miecz i wojnę zniosę z ziemi, i pozwolę im mieszkać bezpiecznie. "
Hosea 2:19,"I poślubię cię sobie na wieki, i poślubię cię sobie cnotą i sprawiedliwością, miłością i miłosierdziem. "
Hosea 2:20,"I poślubię cię sobie wiernością, a poznasz Wiekuistego. "
Hosea 2:21,"Onego zaś czasu dogodzę, rzecze Wiekuisty, dogodzę niebiosom, a one dogodzą ziemi. "
Hosea 2:22,"A ziemia dogodzi pszenicy i moszczowi i oliwie, te zaś dogodzą Izreelowi. "
Hosea 2:23,"I zasieję ich sobie w kraju, i ułaskawię ""nieułaskawioną"", i zawołam do ""Lo-ammi"": tyś lud mój! on zaś zawoła: tyś Bóg mój! "
Hosea 3:1,"I rzekł do mnie Wiekuisty: Raz jeszcze pójdziesz i umiłujesz niewiastę umiłowaną od innego a wszeteczną, tak jak umiłował Wiekuisty synów Israela, jakkolwiek ku bóstwom cudzym się skłaniają a miłują powidła z jagód winnych. "
Hosea 3:2,"I nabyłem ją sobie za piętnaście szekli, i za chomer i letech jęczmienia. "
Hosea 3:3,"I rzekłem do niej przez długi czas będziesz mi tak przesiadywała, nie zalecając się i nie oddając się nikomu a tak zachowam się i ja wobec ciebie; "
Hosea 3:4,"Albowiem przez długi czas przesiadywać będą synowie Israela bez króla i bez książęcia, bez ofiary rzeźnej i bez posągu, bez naramiennika i bez bożków domowych. "
Hosea 3:5,"Poczem nawrócą się synowie Israela, by szukać Wiekuistego, Boga swego, i Dawida swego króla; i zatrzęsą się do Wiekuistego i do dobrotliwości Jego u kresu onych dni. "
Hosea 4:1,"Słuchajcie słowa Wiekuistego, synowie Israela, albowiem sprawę ma Wiekuisty z mieszkańcami tej ziemi, z powodu braku prawdy i miłosierdzia i poznania Bożego w kraju. "
Hosea 4:2,"Klną i kłamią i mordują i kradną i cudzołożą; włamują się, a krew z krwią się styka. "
Hosea 4:3,"Przeto usycha ziemia i więdnie wszystko co ją zamieszkuje wraz z zwierzem dzikim i ptactwem nieba; tak, nawet ryby w morzu giną. "
Hosea 4:4,Aby tylko nikt nie strofował i nie karcił! Ale wszak sam lud twój niejako kapłanów strofuje. 
Hosea 4:5,"Przeto potkniesz się za dnia, a potknie się też i prorok wraz z tobą onej nocy a zgładzę macierz twoją. "
Hosea 4:6,"Zagładzie ulega lud Mój dla braku poznania. Ponieważ wzgardziłeś poznaniem, przeto wzgardzę i tobą, abyś kapłaństwa nie piastował; ponieważ zapomniałeś zakonu Boga twojego, przeto zapomnę i Ja o synach twoich. "
