Index Title,Ezekiel
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Ezekiel 1:1,"I stało się trzydziestego roku, miesiąca czwartego, piątego tegoż miesiąca, gdym znajdował się wpośród wygnańców nad rzeką Kebar, że się roztworzyły niebiosa, a ujrzałem zjawiska Boże. "
Ezekiel 1:2,"Piątego tegoż miesiąca, mianowicie roku piątego po uprowadzeniu króla Jojachina. "
Ezekiel 1:3,"Doszło rzeczywiście słowo Wiekuistego Jechezkiela, syna Buzy, kapłana, na ziemi kasdejskiej, nad rzeką Kebar, a objawiła się tam nad nim moc Wiekuistego. "
Ezekiel 1:4,"Widziałem tedy, a oto wicher gwałtowny nadciągał od północy, obłok potężny i ogień skłębiony, a jasność otaczała go dokoła; zaś z pośród niego wyzierało coś, niby widmo błyszczącego złota, - niby z pośród onego ognia. "
Ezekiel 1:5,"Ze środka mianowicie jego, postać czterech istot żywych, a oto wejrzenie ich: postać ludzką miały. "
Ezekiel 1:6,"Cztery oblicza miała każda, cztery też skrzydła każda z nich. "
Ezekiel 1:7,"A nogi ich tworzyły udo proste, stopa zaś nóg ich, niby stopa nogi cielęcej; a lśniły się niby widmo miedzi polerowanej. "
Ezekiel 1:8,"A ręce ludzkie były poniżej skrzydeł ich, po czterech stronach ich. Co do oblicza ich i skrzydeł po czterech onych stronach, -  "
Ezekiel 1:9,Stykały się każde z sąsiedniém skrzydła ich; nie odwracały się gdy się posuwały; każda w kierunku oblicza swego się posuwały. 
Ezekiel 1:10,"Takim zaś kształt oblicza ich: oblicze człowieka, a oblicze lwa po prawej, a oblicze wołu po lewej onych czterech, a oblicze orła (z tyłu) onych czterech. "
Ezekiel 1:11,"A oblicza i skrzydła ich rozchodziły się ku górze, każda miała po dwa stykające się z sąsiedniem, gdy dwa zakrywały ich ciała. "
Ezekiel 1:12,"A każda w kierunku oblicza swego się posuwały; dokąd duch dążyć zamierzał, tam się posuwały, nie odwracały się gdy się posuwały. "
Ezekiel 1:13,"A kształt onych istot - wejrzenie ich niby zarzewia ogniste, gorejące, niby wejrzenie pochodni. Ten to (ogień) przebiegał między istotami, a otaczała jasność on ogień z ognia zaś szły błyskawice. "
Ezekiel 1:14,A istoty one przebiegały tam i napowrót na kształt błyskawic. 
Ezekiel 1:15,"I przypatrywałem się onym istotom, a oto po jedném kole u spodu przy onych istotach, po czterech stronach ich przednich. "
Ezekiel 1:16,"Wejrzenie kół i wykończenie ich niby widmo chryzolitu, kształtu zaś jednego były wszystkie cztery, a wejrzenie ich i wykończenie jak gdyby było jedno koło w pośrodku drugiego. "
Ezekiel 1:17,W kierunku czterech stron swoich w biegu swoim się posuwały; nie odwracały się gdy się posuwały. 
Ezekiel 1:18,A obwody ich - nadana im była wzniosłość i wspaniałość; te bowiem obwody ich pełne były oczu dokoła u wszystkich czterech. 
Ezekiel 1:19,"A gdy posuwały się one istoty, posuwały się i koła obok nich, a gdy się unosiły one istoty ponad powierzchnię, unosiły się i koła. "
Ezekiel 1:20,"Dokądkolwiek duch posunąć się zamierzał, posuwały się - dokądkolwiek mianowicie duch ów zmierzał - koła też unosiły się zgodnie z niemi; albowiem duch samych istot w onych kołach. "
Ezekiel 1:21,"Gdy te się posuwały, posuwały się i one, a gdy tamte stanęły, stanęły i te, a gdy ponad powierzchnię się unosiły, unosiły się i koła zgodnie z niemi; albowiem duch samych istot w onych kołach. "
Ezekiel 1:22,"Obraz zaś nad głowami onych istot niby sklepienie, niby widmo kryształu wspaniałego, rozpostartego nad głowami ich z wierzchu. "
Ezekiel 1:23,"A pod sklepieniem rozpościerały się skrzydła ich prosto, jedno ku drugiemu; nadto miała każda z nich po dwa, które je zakrywały - mianowicie po dwa, które zakrywały im ich ciała. "
Ezekiel 1:24,"I usłyszałem szum skrzydeł ich, niby szum wód potężnych, niby odgłos Wszechmogącego, gdy się posuwały - odgłos to był zgiełku, niby wrzawa obozowiska; gdy jednak stanęły, opuszczały one skrzydła swoje. "
Ezekiel 1:25,"Wtem rozległ się głos ponad sklepieniem, które nad głowami ich. Gdy stanęły opuściły one skrzydła swoje. "
Ezekiel 1:26,"A ponad sklepieniem, które nad głowami ich, ukazało się coś, niby wejrzenie kamienia szafirowego, niby wizerunek tronu - na wizerunku zaś tronu postać, niby wejrzenie człowieka ponad nim u góry. "
Ezekiel 1:27,"I ujrzałem niby widmo błyszczącego złota, które niby zjawiskiem ognistem otoczone było wewnątrz dokoła. Począwszy od widma bioder jego ku górze, i od widma bioder jego ku dołowi, ujrzałem niby zjawisko ogniste - blask zaś bił dokoła niego. "
Ezekiel 1:28,"Niby widok tęczy, występującej w obłoku w dniu dżdżystym, takim widok onego blasku dokoła. Oto widok obrazu chwały Wiekuistego - a gdym ujrzał, padłem na oblicze swoje i usłyszałem głos, który przemawiał. "
Ezekiel 2:1,"I rzekł do mnie: Synu człowieczy, stań na nogi twoje, bo będę mówił z tobą! "
Ezekiel 2:2,"I wstąpił we mnie duch gdy przemówił do mnie, i postawił mnie na nogi moje, i słuchałem Przemawiającego do mnie. "
Ezekiel 2:3,"I rzekł do mnie: Synu człowieczy! posyłam Ja cię do synów Israela, do tych hord buntowniczych, które zbuntowały się przeciw Mnie - tak oni jak ojcowie ich sprzeniewierzyli się Mnie, aż po ten dzień dzisiejszy. "
Ezekiel 2:4,"A synowie to nieugiętego oblicza i krnąbrnego serca - posyłam cię Ja do nich, a oświadczysz im: Tak rzecze Pan, Wiekuisty! "
Ezekiel 2:5,"Oni zaś czyby usłuchali czy poniechali - bo dom to przekory - to jednak uświadomią sobie, że był prorok w pośród nich. "
Ezekiel 2:6,"Ty wszakże, synu człowieczy, nie obawiaj się ich, a mów ich się nie lękaj, jakkolwiek osty i ciernie w pobliżu twojém, a przy niedźwiadkach osiadłeś! Mów ich nie obawiaj się, a przed obliczem ich się nie uginaj, bo dom to przekory. "
Ezekiel 2:7,I oświadczysz im słowa Moje - czyby usłuchali czy poniechali - bo przekorni są. 
Ezekiel 2:8,"Ty tedy, synu człowieczy, słuchaj co mówię do ciebie! Nie bądź przekornym jak ów dom przekory! Otwórz usta twoje a spożyj to, co ci podaję! "
Ezekiel 2:9,"I spojrzałem, a oto ręka wyciągnięta ku mnie - a oto w niej zwój księgi. "
Ezekiel 2:10,"I rozwinął ją przedemną, a była zapisana ze strony przedniej i odwrotnej, pisane zaś były na niej skargi i utyskiwania i biadania. "
Ezekiel 3:1,"I rzekł do mnie: Cokolwiek masz przed sobą pochłaniaj! Spożyj ten zwój, a idź i przemawiaj do domu Israela. "
Ezekiel 3:2,"I tak otworzyłem usta moje, a dał mi ów zwój do spożycia. "
Ezekiel 3:3,"I rzekł do mnie: Synu człowieczy, żywot twój nasyć, a łono twoje napełnij zwojem tym, który ci wręczam. I spożyłem go, a stał się on w ustach moich niby miód tak słodkim. "
Ezekiel 3:4,"I rzekł do mnie: Synu człowieczy, pójdziesz a przyjdziesz do domu Israela, a przemówisz słowami Mojemi do nich. "
Ezekiel 3:5,Albowiem nie do ludu ciemnej mowy i zajękliwego języka tyś wysłan - lecz do domu Israela. 
Ezekiel 3:6,"Nie do ludów licznych ciemnej mowy i zajękliwego języka, których słów byś nie rozumiał; lecz do nich cię wysłałem, oni rozumieć cię mogą! "
