Index Title,Zephaniah
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Zephaniah 1:1,"Słowo Wiekuistego, które doszło Cefanjasza, syna Kusza, syna Gedalji, syna Amarji, syna Chizkji, za czasów Jozjasza, syna Amona, króla Judy. "
Zephaniah 1:2,"Sprzątnę, sprzątnę wszystko z oblicza tej ziemi, rzecze Wiekuisty. "
Zephaniah 1:3,"Sprzątnę ludzi i bydło, sprzątnę ptactwo nieba i ryby morza i zgorszenia wraz z niegodziwcami. Zgładzę ludność z powierzchni tej ziemi! rzecze Wiekuisty. "
Zephaniah 1:4,"I wyciągnę rękę Moję na Judę i na wszystkich mieszkańców Jerozolimy i zgładzę z miejsca tego szczątki Baala, imię mnichów wraz z kapłanami. "
Zephaniah 1:5,"Zarówno tych, którzy korzą się na dachach przed zastępem nieba, jak tych, którzy się korzą i przysięgają Wiekuistemu, przysięgając zarazem Malkomowi. "
Zephaniah 1:6,"Zarówno tych, którzy odstępują od Wiekuistego, jak tych, którzy Wiekuistego nigdy nie szukali i nie pytali o Niego! "
Zephaniah 1:7,"Cicho wobec Pana, Wiekuistego! Albowiem bliski dzień Wiekuistego, albowiem przygotował Wiekuisty ofiarę rzeźną, poświęcił już zaproszonych Swoich! "
Zephaniah 1:8,W dzień zaś ofiary rzeźnej Wiekuistego nawiedzę książęta i królewiczów i wszystkich strojnych w cudzoziemskie szaty. 
Zephaniah 1:9,"I nawiedzę wszystkich przeskakujących próg dnia onego, napełniających przybytki panów swoich grabieżą i szalbierstwem. "
Zephaniah 1:10,"I rozlegać się będzie dnia onego, rzecze Wiekuisty, głos biadania od bramy rybackiej i płacz z dzielnicy nowej, i krzyk wielki od pagórków. "
Zephaniah 1:11,"Biadajcie, mieszkańcy kotliny, albowiem zniszczony będzie cały lud kramarzy, wytępieni wszyscy objuczeni srebrem. "
Zephaniah 1:12,"Onego dnia zaś przeszukam Jerozolimę pochodniami, i nawiedzę owych ludzi osiadłych na drożdżach swoich, którzy mniemają w swem sercu: ""nie czyni Wiekuisty ani dobrego ani złego"". "
Zephaniah 1:13,"I pójdzie mienie ich na łup, a będą domy ich pustkowiem; zbudowali domy, ale nie zamieszkać im w nich; zasadzili winnice, ale nie pić im wina z nich. "
Zephaniah 1:14,Bliski wielki dzień Wiekuistego - bliski a nader on szybki. Odgłos dnia Wiekuistego! gorzko wołać wtedy będą mocarze. 
Zephaniah 1:15,"Dniem gniewu będzie dzień ów, dniem niedoli i ucisku, dniem grozy i spustoszenia, dniem ciemności i mroku, dniem obłoku i mgły. "
Zephaniah 1:16,Dniem trąb i trwogi wojennej przeciw miastom warownym i przeciw blankom wysokim. 
Zephaniah 1:17,"I ucisnę ludzi a błąkać się będą jako niewidomi, gdyż przeciw wiekuistemu zgrzeszyli; rozbryzganą będzie krew ich jako proch, a ciało ich jako pomiot. "
Zephaniah 1:18,"Srebro też ich i złoto nie zdoła ich ocalić w dzień uniesienia Wiekuistego, bo ogniem żarliwości Jego pochłonięta będzie ziemia cała, bo kres, tak nagłą zagubę zgotuje On wszystkim mieszkańcom ziemi. "
Zephaniah 2:1,"Zbierzcie się z myślami a rozmyślcie się, narodzie nieukrócony! "
Zephaniah 2:2,"Zanim objawi się skutek postanowienia - niby plewa przemknie dzień - zanim spadnie na was płonący gniew Wiekuistego, zanim przyjdzie na was dzień gniewu Wiekuistego. "
Zephaniah 2:3,"Szukajcie Wiekuistego wszyscy pokorni ziemi, którzy spełniacie prawo Jego, szukajcie sprawiedliwości, szukajcie pokory! może zdołacie się uchronić w dzień gniewu Wiekuistego. "
Zephaniah 2:4,"Bo Gaza odbieżana będzie, a Aszkalon w pustkowie się obróci; Aszdod - w jasne południe je wypędzą, a Ekron wykorzenione zostanie. "
Zephaniah 2:5,"Biada wam osiadłym w pasie nadmorskim, ludu Kretejczyków! Groźba Wiekuistego przeciw wam Kenaan, ziemio Pelisztów, bo zniweczę cię, wyludnię! "
Zephaniah 2:6,"I obróci się pas nadmorski na pastewnik, na wygon dla pasterzy i hurty dla stad. "
Zephaniah 2:7,"I przypadnie ten pas szczątkowi domu Judy: Na nim paść będą, w domach Aszkelonu wylegiwać się im wieczorem. Albowiem Wiekuisty Bóg ich wspomni o nich, i przywróci brańców ich. "
Zephaniah 2:8,"Słyszałem obelgi Moabu i zniewagi synów Ammonu, jakiemi lżyli lud Mój, rozwielmożniając się nad granicami ich. "
Zephaniah 2:9,"Przeto żyw Ja, rzecze Wiekuisty zastępów, Bóg Israela, że będzie Moab jako Sedom, a synowie Ammonu jako Amora - gniazdem pokrzywy i żupą solną i pustkowiem na wieki. Szczątek ludu Mojego złupi je, a ostanki Mojego narodu obejmą je w posiadanie. "
Zephaniah 2:10,"To ich spotka za ich pychę, ponieważ lżyli a rozwielmożnili się nad Iudem Wiekuistego zastępów. "
Zephaniah 2:11,"Strasznym się im okaże Wiekuisty; bo zniszczy On wszystkie bożyszcza ziemi, aby Mu się wszystkie wyspy ludów ukorzyły, każda z miejsca swojego. "
Zephaniah 2:12,I wy Kuszyci - przebici mieczem Moim będą! 
Zephaniah 2:13,"I wyciągnie rękę Swoją ku północy i zgładzi Aszur i obróci Niniwę w pustkowie, w ziemię spiekłą jako step. "
Zephaniah 2:14,"A wylegiwać się będą w obrębie jej stada, wszelakich zwierząt gromady: zarówno pelikan jak jeż na kapitelach jej zanocują. Głos zaświszczy w otworach okien, a rumowiska zalegną podwoje, bo cedrowe taflowania jej zdarte. "
Zephaniah 2:15,"Oto stolica huczna, która bezpiecznie panowała, która mniemała w sercu swojem: Ja i żadna więcej! Jakże obróciła się w pustkowie, w legowisko dla dziczy, że każdy który mimo niej przejdzie syknie, potrząśnie ręką! "
Zephaniah 3:1,"Biada przekornej i zbrukanej, stolicy ciemięztwa! "
Zephaniah 3:2,"Nie słucha żadnego głosu, nie przyjmuje napomnienia. Na Wiekuistym nie polega, do Boga swego się nie zbliża. "
Zephaniah 3:3,"Książęta jej wewnątrz są jako lwy ryczące, sędziowie jej niby wilcy nad wieczorem, nieobgryzujące już i kości nazajutrz. "
Zephaniah 3:4,"Prorocy jej to lekkoduchy, obłudnicy; kapłani jej znieważają świętości, gwałcą zakon. "
Zephaniah 3:5,"Ale Wiekuisty sprawiedliwy w niej, nie spełnia nieprawości: z każdym porankiem wyprowadza prawo Swoje na światło, nie chybia - złoczyńca jednak nie zna wstydu! "
Zephaniah 3:6,"Zgładziłem narody, że osamotnione zostały blanki ich: opustoszyłem drogi ich, że nikt nie przechodzi: zburzone zostały ich miasta bezludne, odbieżane. "
Zephaniah 3:7,"Mówiłem: Gdybyś się tylko obawiała Mnie, przyjęła napomnienie, a wtedy nie przyszłaby zagłada na siedzibę jej, to wszystko, com postanowił o niej. Ale zaprawdę, tem gorliwiej kazili wszystkie postępki swoje! "
Zephaniah 3:8,"Przeto wyczekujcie Mnie, rzecze Wiekuisty, na dzień gdy powstanę jako świadek! Gdyż postanowiłem zebrać narody, zgromadzić królestwa, wylać na nie gniew Mój, całą zapalczywość Moję. Albowiem ogniem żarliwości Mojej pochłoniętą będzie ziemia cała. "
Zephaniah 3:9,"A wtedy nadam ludom mowę jasną, aby wzywały wszystkie imienia Wiekuistego, a służyły Mu jednomyślnie. "
