Index Title,Deuteronomy
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Deuteronomy 1:1,"Oto słowa, które wygłosił Mojżesz przed całym Israelem, po tej stronie Jardenu, na puszczy, w Arabie, naprzeciw Suf, między Paran i Tofel, i Laban, i Chacerot, i Dy-Zahab; "
Deuteronomy 1:2,"Na jedenaście dni od Chorebu, drogą przez górę Seir, do Kadesz-Barnea. "
Deuteronomy 1:3,"I stało się czterdziestego roku, jedenastego miesiąca, pierwszego dnia tegoż miesiąca, przemówił wtedy Mojżesz do synów Israela o wszystkiém, co mu poruczył Wiekuisty względem nich; "
Deuteronomy 1:4,"Gdy był poraził Sychona, króla Emorei, który zasiadał w Cheszbonie, i Oga, króla Baszanu, który zasiadał w Asztaroth, pod Edrei; "
Deuteronomy 1:5,"Po tej stronie Jardenu, na ziemi Moab, począł Mojżesz wykładać naukę tę, i rzekł: "
Deuteronomy 1:6,"""Wiekuisty, Bóg nasz, oświadczył nam na Chorebie, mówiąc: ""Dość wam pozostawać przy tej górze; "
Deuteronomy 1:7,"Zabierzcie się, i wyruszcie, a pójdźcie do góry Emorejczyka, i do wszystkich sąsiadów jego na stepie, na górze, i w nizinie, i na południu, i nad brzegiem morza, do ziemi Kanaanejczyka i Libanu, do rzeki wielkiej, rzeki Frath. "
Deuteronomy 1:8,"Oto oddaję wam ziemię tę; idźcie a zdobądźcie ziemię, o której zaprzysiągł Wiekuisty ojcom waszym, Abrahamowi, Ic'hakowi, i Jakóbowi, iż ją odda im, i potomstwu ich po nich."" "
Deuteronomy 1:9,"I powiedziałem wam podówczas, i rzekłem: Nie mogę ja sam jeden udźwignąć was; "
Deuteronomy 1:10,"Wiekuisty, Bóg wasz, rozmnożył was, a otoście dziś jako gwiazdy nieba w mnóstwie! "
Deuteronomy 1:11,"Wiekuisty, Bóg ojców waszych, niechaj rozmnoży was, ilu was jest, tysiąckrotnie, i niech błogosławi was, jako przyobiecał wam; "
Deuteronomy 1:12,"Jakże mi unieść samemu troskę o was, i brzemię wasze, i spory wasze? "
Deuteronomy 1:13,"Dostarczcie z pośród siebie mężów mądrych i roztropnych i znanych według pokoleń waszych, - a postanowię ich na czele waszém! "
Deuteronomy 1:14,"Tedyście odpowiedzieli mi, i rzekli: ""Dobra to rzecz, którąś polecił, aby ją uczynić!"" "
Deuteronomy 1:15,"I wziąłem ja przedniejszych z pokoleń waszych, mężów mądrych i znanych, i ustanowiłem ich naczelnikami waszymi, - tysiącznikami, i setnikami, i pięćdziesiętnikami, i dziesiętnikami, i nadzorcami podług pokoleń waszych. "
Deuteronomy 1:16,"I rozkazałem sędziom waszym podówczas, mówiąc: Wysłuchajcie między bracią waszą, i rozsądzajcie sprawiedliwie między człowiekiem a powinowatym jego, a cudzoziemcem przy nim. "
Deuteronomy 1:17,"Nie uwzględniajcie osób na sądzie; tak małego jako wielkiego wysłuchajcie; nie obawiajcie się nikogo, albowiem sąd od Boga jest; sprawę zaś, któraby za trudną była dla was, odnieście do mnie, a przesłucham ją. "
Deuteronomy 1:18,"I tak nakazałem wam podówczas wszystko, co wam czynić należy. "
Deuteronomy 1:19,"I wyruszyliśmy od Chorebu, i przeszliśmy całą ową pustynię wielką i straszną, którąście widzieli, po drodze ku górze Emorejskiej, - jako rozkazał nam Wiekuisty, Bóg nasz, - i doszliśmy do Kadesz-Barnea; "
Deuteronomy 1:20,"I rzekłem do was: Doszliście do góry Emorejskiej, którą Wiekuisty, Bóg nasz, oddaje nam; "
Deuteronomy 1:21,"Patrz, podaje Wiekuisty, Bóg twój przed tobą tę ziemię: wnijdźże, a zdobądź, jako zapowiedział ci Wiekuisty, Bóg ojców twoich; nie obawiaj się, ani się lękaj! "
Deuteronomy 1:22,"Tedyście przystąpili do mnie wszyscy, a rzekli: ""Wyszlijmy ludzi przed sobą, aby zbadali nam tę ziemię, i zdali nam sprawę o drodze, po której wnijść mamy, i o miastach, do których wejdziemy!"" "
Deuteronomy 1:23,"I okazało się to dobrém w oczach moich; i wziąłem z was dwunastu mężów, po mężu jednym z każdego pokolenia; "
Deuteronomy 1:24,"I zabrali się, i wstąpili na górę, i doszli do doliny Eszkol, i wypatrzyli ją. "
Deuteronomy 1:25,"Nabrali téż ze sobą owoców owej ziemi, i zdali nam sprawę, i rzekli: ""Dobrą ziemia, którą Wiekuisty Bóg nasz daje nam."" "
Deuteronomy 1:26,"Wszakże nie chcieliście wnijść, a sprzeciwiliście się słowu Wiekuistego, Boga waszego; "
Deuteronomy 1:27,"I szemraliście w namiotach waszych, mówiąc: ""Z nienawiści ku nam wywiódł nas Wiekuisty z ziemi Micraim, aby nas podać w ręce Emorejczyka, aby nas wytępić. "
Deuteronomy 1:28,"Dokąd nam pójść? Bracia nasi strwożyli serca nasze, mówiąc: Lud to większy i roślejszy od nas, miasta wielkie i warowne aż do nieba, i téż syny Enakitów widzieliśmy tam."" "
Deuteronomy 1:29,"A powiedziałem wam: Nie drżyjcie, a nie lękajcie się ich! "
Deuteronomy 1:30,"Wiekuisty, Bóg wasz, który kroczy przed wami, On walczyć będzie za was, tak jako wam czynił w Micraim, w oczach waszych, -  "
Deuteronomy 1:31,"I na pustyni gdzie widziałeś, że cię nosił Wiekuisty, Bóg twój, jako nosi człowiek syna swojego, - na całej drodze, którąście przeszli, ażeście przybyli na to miejsce; "
Deuteronomy 1:32,"Ale i przy tém nie ufacie Wiekuistemu, Bogu waszemu, -  "
Deuteronomy 1:33,"Który idzie przed wami po drodze, by wypatrzyć wam miejsce obozowania: w ogniu - nocą, aby wskazywać wam drogę, którą iść macie, - a w obłoku dniem! "
Deuteronomy 1:34,"I usłyszał Wiekuisty głos mów waszych, i rozgniewał się, i zaprzysiągł, i rzekł: "
Deuteronomy 1:35,"""Zaprawdę, nie ujrzy nikt z ludzi tych, z tego rodu niegodziwego, ziemi pięknej, którąm zaprzysiągł oddać ojcom waszym, "
Deuteronomy 1:36,"Tylko Kaleb, syn Jefunny: on ją zobaczy, i jemu dam ziemię, po której przechodził, i synom jego, - za to, że szedł zupełnie za Wiekuistym."" "
Deuteronomy 1:37,"I na mnie rozgniewał się Wiekuisty z przyczyny waszej, mówiąc: ""I ty nie wejdziesz tam; "
Deuteronomy 1:38,"Jehoszua, syn Nuna, który stoi przed tobą, on wejdzie tam; jego utwierdzaj, gdyż on ją odda w posiadanie Israelowi; "
Deuteronomy 1:39,"Dzieci zaś wasze, o którycheście mówili, że łupem zostaną, - i synowie wasi, którzy jeszcze nie poznali dzisiaj, co dobre, a co złe, - oni to wnijdą tam, i im ją oddam, i oni ją posiędą; "
Deuteronomy 1:40,"Wy zaś zabierzcie się, i wyruszcie ku pustyni, drogą ku morzu Sitowemu!"" "
Deuteronomy 1:41,"I odpowiedzieliście mi mówiąc: ""Zgrzeszyliśmy Wiekuistemu; pójdziemy i będziemy walczyli jako rozkazał Wiekuisty, Bóg nasz!"" I przypasaliście każdy broń swą wojenną, i porwaliście się, by wstąpić na górę; "
Deuteronomy 1:42,"Lecz Wiekuisty rzekł do mnie: ""Powiedz im: nie wstępujcie i nie walczcie, gdyż niema Mnie wpośród was, abyście nie byli porażeni od wrogów waszych!"" "
