Index Title,Proverbs
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Proverbs 1:1,"Przypowieści Salomona, syna Dawida, króla izraelskiego. "
Proverbs 1:2,"Aby poznawano mądrość i obyczajność, aby pojmowano słowa rozumne. "
Proverbs 1:3,"Aby przyswajano sobie przestrogę, która rozum wpaja, sprawiedliwość i prawo i słuszność. "
Proverbs 1:4,"Aby nadać niedoświadczonym roztropność, młodzieńcowi poznanie i rozwagę. "
Proverbs 1:5,"Posłucha mądry, a pomnoży swą wiedzę, a rozsądny prawidło pozyska. "
Proverbs 1:6,"Aby zrozumiano przypowieść i przenośnię, orzeczenia mędrców i głębokie ich mowy. "
Proverbs 1:7,Bojaźń Boża jest pierwiastkiem wiedzy; mądrością i napomnieniem pogardzają głupcy. 
Proverbs 1:8,"Posłuchaj, synu mój, napomnienia ojca twego, a nie zaniechaj nauki matki twojej! "
Proverbs 1:9,"Bo wieńcem one uroczym dla głowy twojej, a łańcuchem zdobnym na szyi twojej. "
Proverbs 1:10,"Synu mój, jeśliby cię grzesznicy kusili, nie daj się uwieść. "
Proverbs 1:11,"Jeśli powiedzą: Pójdź z nami! Czyhajmy na krew, czatujmy na niewinnego bez przyczyny. "
Proverbs 1:12,"Pochłońmy ich niby otchłań żywcem, ostatecznie, niby zstępujących w grób. "
Proverbs 1:13,"Wszelakie mienie cenne zdobędziem, napełnim domy nasze łupem. "
Proverbs 1:14,"Równy będziesz miał udział między nami, jeden będzie trzos dla nas wszystkich. "
Proverbs 1:15,"Synu mój, nie udawaj się w drogę z nimi, powstrzymuj nogę twą od ścieżki ich! "
Proverbs 1:16,"Bo nogi ich ku złemu zdążęją, a spieszą się, by rozlewać krew. "
Proverbs 1:17,Bo daremnie zastawiane są sidła w oczach wszystkiego co skrzydlate. 
Proverbs 1:18,"Ci zaś czyhają na krew swą własną, czatują na własne swe życie. "
Proverbs 1:19,"Tak to powodzi się wszystkim, którzy nieprawego zysku są żądni, zabiera on własne ich życie. "
Proverbs 1:20,"Głośno woła mądrość na ulicy, po rynkach podnosi głos swój. "
Proverbs 1:21,"Po rogach zgiełkliwych nawołuje, przy wrotach bram, wszędzie w mieście wygłasza mowy swoje. "
Proverbs 1:22,"Dopókiż, bezmyślni, będziecie miłowali bezmyślność, dopókiż upodobają sobie szydercy w szyderstwie, a nienawidzieć będą nierozsądni poznania? "
Proverbs 1:23,"Nawróćcie się na napomnienie moje. Oto rozleję przed wami ducha mojego, zapoznam was ze słowami mojemi. "
Proverbs 1:24,"Ponieważ wołałam, a wyście się wzbraniali, wyciągałam rękę moję a nikt nie zważał. "
Proverbs 1:25,"A odrzucaliście wszelką radę moję, a nie baczyli na przestrogę moję, "
Proverbs 1:26,"Przeto pośmieję się i ja przy nieszczęściu waszem, urągać będę, gdy przypadnie trwoga na was. "
Proverbs 1:27,"Gdy przypadnie jako burza trwoga na was, a nieszczęście wasze jako wicher nadciągnie, gdy przyjdzie na was nędza i utrapienie. "
Proverbs 1:28,"Wtedy wzywać mnie będą, ale nie odpowiem; szukać mnie będą, ale nie znajdą. "
Proverbs 1:29,"Przeto, że w nienawiści mieli poznanie, a nie upodobali sobie bojaźni Wiekuistego, "
Proverbs 1:30,"Nie chcieli wiedzieć o radzie mojej, gardzili każdem napomnieniem mojem, "
Proverbs 1:31,"Pożywać im tedy z owoców postępowania swojego, a nasycić się własnemi knowaniami swojemi. "
Proverbs 1:32,"Albowiem bezmyślnych zabija własny ich upór, a spokój błaznów ich gubi. "
Proverbs 1:33,Ale kto mnie słucha zamieszka bezpiecznie i wolny od trwogi przed złem. 
Proverbs 2:1,"Synu mój, jeśli przyjmiesz mowy moje, a przykazania moje zachowasz u siebie, "
Proverbs 2:2,"Abyś uważnie podał mądrości twe ucho, a nakłonił ku rozsądkowi serce twoje, "
Proverbs 2:3,"Tak, jeśli przywołasz do siebie przezorność, a wystosujesz do rozsądku głos twój, "
Proverbs 2:4,"Jeśli ją szukać będziesz niby srebra, a poszukiwać niby skarbów ukrytych, "
Proverbs 2:5,"Zrozumiesz wtedy bojaźń Wiekuistego, a poznanie Boże zdobędziesz. "
Proverbs 2:6,"Albowiem Wiekuisty tylko użycza mądrości, z Jego ust pochodzą poznanie i roztropność. "
Proverbs 2:7,"Przechowuje dla prawych pomyślność, tarczą On dla postępujących w uczciwości, "
Proverbs 2:8,"Tak, że ochrania ścieżki prawa, a drogi pobożnych swych strzeże. "
Proverbs 2:9,"Wtedy wyrozumiesz sprawiedliwość i prawo i słuszność, każdą kolej dobrego. "
Proverbs 2:10,"Albowiem mądrość wniknie w twe serce, a poznanie przyjemne będzie duszy twojej. "
Proverbs 2:11,"Przezorność cię ochroni, roztropność strzedz cię będzie. "
Proverbs 2:12,"Aby cię ocalić od drogi złego, od człowieka prawiącego przewrotność. "
Proverbs 2:13,"Którzy opuszczają ścieżki prostoty, by postępować drogami ciemności. "
Proverbs 2:14,"Którzy radzi są zło czynić, cieszą się przewrotnościami niecnego. "
Proverbs 2:15,"Których ścieżki skrzywione, a chytrzy są na manowcach swoich. "
Proverbs 2:16,"Aby cię ocaliła również od kobiety cudzej, od obcej, która łagodnie przemawia. "
Proverbs 2:17,"Która opuściła druha młodości swojej, a przymierza Boga swego zapomniała. "
Proverbs 2:18,"Albowiem nachyla się ku śmierci wraz z domem swoim, a do cieni wiodą manowce jej. "
Proverbs 2:19,"Żaden z tych, którzy do niej wchodzą nie wraca, a nie dosięgają już ścieżek życia. "
Proverbs 2:20,"Abyś postępował drogą dobrych, a ścieżek cnotliwych przestrzegał. "
Proverbs 2:21,"Albowiem prawi tylko zamieszkają na ziemi, a uczciwi pozostaną na niej. "
Proverbs 2:22,"Niegodziwi zaś wytępieni będą z kraju, a wiarołomni wykorzenieni będą z niego. "
Proverbs 3:1,"Synu mój, nie zapominaj nauki mojej, a przykazania moje niechaj przechowa serce twoje. "
Proverbs 3:2,"Bo długich dni, i lat życia i zdrowia przysporzą tobie. "
Proverbs 3:3,"Niechaj miłosierdzie i prawda cię nie opuszczają; obwiąż je wokoło szyi twojej, zapisz je na tablicy serca twojego. "
Proverbs 3:4,A znajdziesz upodobanie i dobre względy w oczach Boga i ludzi. 
Proverbs 3:5,Ufaj Wiekuistemu całem sercem twojem; ale nie polegaj na własnej twej mądrości. 
Proverbs 3:6,"Na wszystkich twych drogach pamiętaj o Nim, a wtedy urówna On ścieżki twoje. "
Proverbs 3:7,Nie bądź mądrym w własnych oczach: obawiaj się Wiekuistego a stroń od złego. 
Proverbs 3:8,"Będzie to lekiem dla żył twoich, a orzeźwieniem dla kości twoich. "
Proverbs 3:9,Czcij Wiekuistego częścią mienia twego i pierwiastkiem wszystkich plonów twoich. 
Proverbs 3:10,"Napełnią się wtedy gumna twe obfitością, a przelewać się będą moszczem kadzie twoje. "
Proverbs 3:11,"Napomnieniem Wiekuistego, synu mój, nie pogardzaj, a nie uprzykrzaj sobie kaźni jego. "
Proverbs 3:12,"Bo kogo miłuje Wiekuisty tego karci, a to jako ojciec, który syna swego kocha. "
Proverbs 3:13,"Szczęsny człowiek, który mądrości dostąpił, człowiek, który rozwagę pozyskał. "
Proverbs 3:14,"Bo nabytek jej lepszy, niż nabytek srebra, a ponad złoto szczere uzyskanie jej. "
