Index Title,Isaiah
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Isaiah 1:1,"Proroctwo Jeszaji, syna Amoca, który prorokował o Jehudzie i Jeruszalaim za czasów Uzyji, Jothama, Achaza i Chiskji, królów Jehudy. "
Isaiah 1:2,"Słuchajcie niebiosa, a podaj ucho ziemio, gdyż Wiekuisty przemawia! Synów wychowałem i wyniosłem, a oni sprzeniewierzyli się Mnie. "
Isaiah 1:3,"Zna wół właściciela swojego, i osieł żłób swego pana: Israel nie zna, naród Mój się nie zastanawia. "
Isaiah 1:4,"Biada, narodzie występny, ludu obciążony grzechem, nasienie zbrodnicze, dzieci skażone! Opuścili Wiekuistego, bluźnili Świętemu Israela, odwrócili się wstecz. "
Isaiah 1:5,"Na czém was razić jeszcze, gdy przymnożycie występku? Cała głowa schorzała, całe serce zbolałe. "
Isaiah 1:6,"Od stóp do głów nic w nim zdrowego; rany i sińce i wrzody ropiejące, - nie wyciśnięte, nie przewiązane, nie zmiękczone oliwą. "
Isaiah 1:7,"Kraj wasz pustynią, miasta wasze popalone pożogą, ziemia wasza, - przed wami cudzoziemcy ją pożerają, i spustoszona jako rumowisko po barbarzyńcach. "
Isaiah 1:8,"A pozostała córa Cyonu jako namiot w winnicy, jako strażnica na ogórczaném polu, jako miasto oblężone. "
Isaiah 1:9,"Gdyby Wiekuisty zastępów nie zostawił nam tego szczątku drobnego, jak Sedom byśmy byli, do Amory podobni. "
Isaiah 1:10,"Słuchajcie słowa Wiekuistego, naczelnicy Sedomu, podaj ucho nauce Boga naszego, narodzie Amory! "
Isaiah 1:11,"Cóż Mi po mnóztwie ofiar waszych, rzecze Wiekuisty. Syt jestem całopalenia baranów i tuku karmnych cieląt, a krwi wołów i jagniąt i kozłów nie pożądam. "
Isaiah 1:12,"Gdy przychodzicie, aby ukazać się przed obliczem Mojém, któż żąda tego od was, żebyście deptali Me przedsienia? "
Isaiah 1:13,"Przestańcie składać dary kłamstwa, kadzidło będące obrzydłością Mi. Nów i Sabbat i ogłaszanie świąt - nie cierpię niegodziwości i uroczystości! "
Isaiah 1:14,"Nowiów i świąt waszych nienawidzi dusza Moja, stały Mi się ciężarem, sprzykrzyło Mi się je znosić. "
Isaiah 1:15,"A gdy wyciągniecie dłonie wasze, odwrócę oczy Moje od was; a choćbyście namnożyli modlitw, nie będę słuchał: ręce wasze krwi pełne! "
Isaiah 1:16,"Obmyjcie, oczyśćcie się, oddalcie zło postępków waszych z przed oczu Moich, przestańcie złoczynić. "
Isaiah 1:17,"Nauczcie się dobro spełniać, domagajcie się sprawiedliwości, podźwignijcie uciemiężonego, poszukujcie praw sieroty, brońcie wdowy, "
Isaiah 1:18,"Wystąpcie, a rozprawim się, rzecze Wiekuisty: Choćby były grzechy wasze jako szkarłat, niby śnieg zbieleją, choćby czerwieniły się jak purpura, niby wełna się staną. "
Isaiah 1:19,"Jeżeli powolni będziecie i posłuszni, co najprzedniejszego na ziemi wam spożywać; "
Isaiah 1:20,"Lecz jeżeli wzbraniać się zechcecie i opierać, od miecza będziecie strawieni, bo usta Wiekuistego to wyrzekły. "
Isaiah 1:21,"Jakże się stała wszetecznicą stolica wierna! Pełna prawości, sprawiedliwość przebywała w niej, a teraz rozbójnicy. "
Isaiah 1:22,"Srebro twoje obróciło się w żużle, napój twój zaprawiony wodą. "
Isaiah 1:23,"Naczelnicy twoi - rozpustnicy, spólnicy złodziei. Wszystko polubiło datki i goni za wziątkami; sieroty nie sądzą, a sprawa wdowy nie przychodzi przed nich. "
Isaiah 1:24,"Przeto rzecze Pan, Wiekuisty zastępów, mocarz Israela: O! uczynię Sobie zadość od wrogów Moich, a pomszczę się nad przeciwnikami Moimi. "
Isaiah 1:25,"Poczém obrócę rękę Moję na ciebie i wypławię jak ług żużle twoje, i wydzielę wszystkie twe przymieszki. "
Isaiah 1:26,"I przywrócę sędziów twoich jak przedtém, a radców twoich jak za dawna. Wówczas nazwą cię znowu miastem sprawiedliwości, grodem wiernym. "
Isaiah 1:27,"Cyon sądem wyzwolonym będzie, a pokutujący jego sprawiedliwością. "
Isaiah 1:28,"Ale pogrom zdrajcom i występnym społem, a którzy odstąpili Wiekuistego, zagłada im! "
Isaiah 1:29,"I będą zawstydzeni za dęby, któreście upodobali, - tak, rumienić się będziecie za ogrody, któreście wybrali sobie. "
Isaiah 1:30,"Bo będziecie sami jako dąb, którego liść więdnie, i jako ogród, w którym wody niema. "
Isaiah 1:31,"I stanie się potężny paździerzem, a dzieła jego iskrą, i wspłoną oba razem, a nikt nie zagasi. "
Isaiah 2:1,"Słowo, które prorokował Jeszajahu, syn Amoca o Jehudzie i Jeruszalaim. "
Isaiah 2:2,"I będzie w późne czasy, utwierdzona stanie góra domu Wiekuistego na szczycie gór, wywyższona ponad wzgórza, a spływać do niej będą wszystkie narody. "
Isaiah 2:3,"I wyruszą ludy liczne i powiedzą: Zabierzcie się, a wstąpmy na górę Wiekuistego, do domu Boga Jakóbów, by nas nauczył o drogach Swoich, i abyśmy postępowali ścieżkami Jego, - bo z Cyonu wychodzi nauka, a słowo Wiekuistego z Jeruszalaim. "
Isaiah 2:4,"I rozsądzać będzie między narodami, i rozstrzygać u ludów wielu, i przekują miecze swoje na pługi, a włócznie swoje na sierpy. Nie podniesie naród przeciw narodowi oręża, i nie będą ćwiczyć się nadal do boju. "
Isaiah 2:5,"Domu Jakóba, naprzód, postępujmy w świetle Wiekuistego! "
Isaiah 2:6,"Aleś porzucił lud Twój, dom Jakóba, gdyż pełni są Wschodu, i wróżbitami są jak Filistyni, a w wytwory obcych obfitują. "
Isaiah 2:7,"I pełna ziemia jego srebra i złota, a niemasz końca skarbom jego; i pełna ziemia jego rumaków, a niemasz końca wozom jego. "
Isaiah 2:8,"I pełna ziemia jego bałwanów, - przed dziełem rąk swoich się korzą, przed tém, co utworzyły pierście ich. "
Isaiah 2:9,"To téż upokorzonym będzie człowiek, i poniżonym mąż, a nie wybaczysz im. "
Isaiah 2:10,"Wnijdź w skałę, a skryj się w prochu w trwodze przed Wiekuistym i blaskiem majestatu Jego! "
Isaiah 2:11,"Wyniosłe spojrzenia ludzkie się opuszczą, i zniży się pycha mężów, a wywyższon będzie Wiekuisty Sam w dzień ów. "
Isaiah 2:12,"Bo nadchodzi dzień Wiekuistego zastępów na wszystko, co dumne i wyniosłe, i na wszystko co wysokie, że poniżoném będzie. "
Isaiah 2:13,"I na wszystkie cedry Libanu, wysokie i podniosłe, i na wszystkie dęby Baszanu. "
Isaiah 2:14,"I na wszystkie góry wysokie, i na wszystkie wzgórza wyniosłe. "
Isaiah 2:15,"I na każdą wieżę sterczącą, i na każdy mur obronny. "
Isaiah 2:16,"I na wszystkie okręty Tarszyszu, i na wszystkie wytwory rozkoszy. "
Isaiah 2:17,"I ukorzy się duma człowieka, i zniży pycha mężów, a wywyższon będzie Wiekuisty Sam w dzień ów. "
Isaiah 2:18,A bałwany - doszczętnie to wyginie. 
Isaiah 2:19,"I wnijdą do jaskiń skalnych i do jam podziemnych w trwodze przed Wiekuistym i blaskiem majestatu Jego, gdy powstanie, by wstrząsnąć ziemią. "
Isaiah 2:20,"Dnia onego rzuci człowiek swoje bożki srebrne i swoje bożki ze złota, które zrobiono mu, aby się im korzył - kretom i nietoperzom. "
