Index Title,Joshua
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Joshua 1:1,"I stało się po śmierci Mojżesza, sługi Wiekuistego, że oświadczył Wiekuisty Jozuemu, synowi Nuna, który był usługiwał Mojżeszowi, i rzekł: "
Joshua 1:2,"Mojżesz, sługa mój umarł; teraz przeto wstań a przepraw się przez ten Jordan, ty wraz z całym tym ludem, do ziemi, którą oddać chcę im - synom Israela. "
Joshua 1:3,"Każde miejsce na którem stanie stopa nogi waszej, wam je oddam, jakom przyobiecał Mojżeszowi. "
Joshua 1:4,"Od puszczy tej i tego Libanu, aż do rzeki wielkiej, rzeki Eufrat - cała ziemia chitejska - aż do morza Wielkiego na zachodzie sięgnie dziedzina wasza. "
Joshua 1:5,Nie ostoi się nikt przed tobą po wszystkie dni żywota twego; jakom był z Mojżeszem tak będę z tobą; nie odstąpię cię ani cię opuszczę. 
Joshua 1:6,"Nabierz że siły i mocy, albowiem ty osadzisz lud ten na ziemi, którąm zaprzysiągł ojcom ich, iż ją oddam im. "
Joshua 1:7,"Tylko nabierz siły i mocy wielkiej, abyś ściśle spełniał wedle całego zakonu, który poruczył ci Mojżesz, sługa Mój; nie odstępuj od niego ani w prawo ani w lewo, aby ci się wiodło we wszystkiem dokądkolwiek się zwrócisz. "
Joshua 1:8,"Niechaj nie ustąpi księga zakonu tego z ust twoich, abyś rozpamiętywał o nim dniem i nocą, abyś ściśle spełniał wedle wszystkiego co napisano w nim, bo wtedy tylko poszczęści ci się na drogach twoich, a wtedy ci się powiedzie. "
Joshua 1:9,"Izalim ci nie polecił, nabierz siły i mocy, nie lękaj się a nie trwóż; gdyż z tobą Wiekuisty, Bóg twój, wszędzie dokądkolwiek się zwrócisz. "
Joshua 1:10,"Poczem rozkazał Jozue nadzorcom ludu, i rzekł: "
Joshua 1:11,"Przejdźcie przez obóz i nakażcie ludowi, w tych słowach: Zaopatrzcie się w żywność; albowiem po upływie trzech dni przeprawicie się przez ten Jordan, abyście weszli i odziedziczyli ziemię, którą wam Wiekuisty, Bóg wasz oddaje w posiadanie. "
Joshua 1:12,"Reubenidom zaś Gadydom i połowie pokolenia Menaszy oświadczył Jozue, i rzekł: "
Joshua 1:13,"Pomnijcież na słowo, które polecił wam Mojżesz, sługa Boży, gdy rzekł: Wiekuisty, Bóg wasz użyczył wam pokoju i oddał wam ziemię tę; "
Joshua 1:14,"Żony wasze, dzieci i dobytek wasz niechaj zostaną w ziemi, którą wydzielił wam Mojżesz po drugiej stronie Jordanu; wy wszakże wyruszycie zbrojni przed obliczem braci waszych - wszyscy rycerze dzielni - by im pomocy udzielić, "
Joshua 1:15,"Póki nie użyczy Wiekuisty i braciom waszym pokoju jako i wam, a nie wezmą w posiadanie ziemi, którą im Wiekuisty, Bóg wasz, oddaje. A wtedy wrócicie do ziemi posiadłości waszej i osiądziecie w niej; albowiem wydzielił ją wam Mojżesz, sługa wiekuistego po drugiej stronie Jordanu ku wschodowi słońca. "
Joshua 1:16,"Odpowiedzieli wtedy Jozuemu w tych słowach: Wszystko coś nam rozkazał spełnimy, a dokądkolwiek nas wyprawisz, pójdziemy! "
Joshua 1:17,"Jakośmy posłuszni byli Mojżeszowi, tak będziemy posłuszni i tobie, oby tylko Wiekuisty, Bóg twój był z tobą, jako był z Mojżeszem. "
Joshua 1:18,"Ktokolwiek by rozkazowi twemu się sprzeciwiał, a nie był posłusznym słowu twemu we wszystkiem, co mu polecisz, śmierć poniesie; nabierz tylko siły i mocy! "
Joshua 2:1,"I wysłał był Jozue, syn Nuna z Szyttym dwóch mężów jako wywiadowców, potajemnie, i rzekł: Idźcie, rozejrzcie tę ziemię a w szczególności Jerycho. Poszli tedy i przybyli do domu nierządnicy, imieniem Rachab, i odpoczęli tam. "
Joshua 2:2,"I doniesiono królowi Jerycha, mówiąc: Oto mężowie jacyś przybyli tu tej nocy z synów Israela, by wypatrzeć ziemię. "
Joshua 2:3,"Posłał tedy król Jerycha do Rachaby, rozkazując: Wydaj onych mężów, którzy przybyli do ciebie, a wstąpili do domu twojego, gdyż dla wypatrzenia całej ziemi przybyli. "
Joshua 2:4,"Wzięła zaś była ta kobieta dwóch onych mężów i ukryła ich, i rzekła: Rzeczywiście przybyli do mnie ci mężowie, ale nie wiedziałam zkąd byli. "
Joshua 2:5,"Wszakże gdy miano bramę zamknąć, gdy się zmierzchało, wyszli ci mężowie - nie wiadomo mi zaś dokąd udali się ci mężowie. Puśćcie się za nimi w pogoń jak najrychlej, a dościgniecie ich. "
Joshua 2:6,"Ona zaś zaprowadziła była ich na dach i ukryła ich między kistrami lnu, które rozłożone miała na dachu. "
Joshua 2:7,"Puścili się tedy ci ludzie w pogoń za nimi po drodze do Jordanu aż ku brodom, bramę zaś zamknięto po wyjściu ścigających za nimi. "
Joshua 2:8,"Oni wszakże nie byli się jeszcze położyli, gdy weszła do nich na dach. "
Joshua 2:9,"I rzekła do owych mężów: Wiadomo mi, że oddał wam Wiekuisty tę ziemię, że padł postrach wasz na nas, i że struchleli wszyscy mieszkańcy tego kraju przed wami. "
Joshua 2:10,"Słyszeliśmy bowiem jako wysuszył Wiekuisty wody morza Sitowego przed wami, gdyście wychodzili z Egiptu i coście uczynili dwóm królom emorejskim, którzy po drugiej stronie Jordanu, Sychonowi i Ogowi, których zgładziliście. "
Joshua 2:11,"Gdyśmy to słyszeli, strwożyło się serce nasze i nie stało już ducha w nikim wobec was; albowiem Wiekuisty, Bóg wasz, On to Bóg na niebie wysoko i na ziemi nisko. "
Joshua 2:12,"Przeto teraz przysięgnijcie mi na Wiekuistego, że jako świadczyłam wam miłość, tak i wy wyświadczycie domowi ojca mojego miłość, a dajcie mi rękojmię pewności. "
Joshua 2:13,"Iż pozostawicie przy życiu ojca i matkę moję, i braci i siostry moje i wszystko co do nich należy, a ocalicie osoby nasze od śmierci. "
Joshua 2:14,"I odpowiedzieli jej mężowie: Życie nasze miasto was na śmierć - jeżeli nie wydacie tej sprawy naszej. I będzie, gdy odda nam Wiekuisty ziemię tę, że wyświadczym ci miłość i wierność. "
Joshua 2:15,"Poczem spuściła ich po sznurze z okna; - albowiem dom jej był w obrębie muru miejskiego, tak że niejako w murze miejskim mieszkała. "
Joshua 2:16,"I rzekła do nich: Ku górom się zwróćcie, aby was nie spotkali ścigający, a ukryjcie się tam przez trzy dni, póki nie wrócą ścigający, poczem pójdziecie drogą waszą. "
Joshua 2:17,"I rzekli jeszcze do niej owi mężowie: Wolni będziemy od przysięgi tej, którąś nas zaprzysięgła: "
Joshua 2:18,"Jeżeli, gdy wtargniemy do ziemi, nie uwiążesz sznuru z nici purpurowych u okna przez które nas spuściłaś, a ojca twego i matki twej i braci twoich i całej rodziny ojca twego nie zgromadzisz u siebie w domu. "
Joshua 2:19,"Ktokolwiek by wtedy wyszedł ze drzwi domu twego krew jego spadnie na głowę jego, a my będziemy niewinni, ale każdy, któryby był z tobą w domu - krew jego spadnie na głowę naszą jeżeli się go czyja ręka dotknie. "
Joshua 2:20,"Gdybyś wszakże wydała tę sprawę naszą, wtedy wolni będziemy od przysięgi, którąś nas zaprzysięgła. "
Joshua 2:21,I rzekła: Wedle słów waszych niechaj będzie! I puściła ich i poszli; poczem uwiązała sznur purpurowy w oknie. 
