Index Title,Joel
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Joel 1:1,"Słowo Wiekuistego, które doszło Joela, syna Pethuela. "
Joel 1:2,"Słuchajcie tego starcy, a skłońcie ucho wszyscy mieszkańcy tej ziemi! Izali bywało coś podobnego za dni waszych, albo za dni ojców waszych? "
Joel 1:3,"Opowiadajcie o tem dzieciom waszym, a dzieci wasze dzieciom swoim, a dzieci ich pokoleniu przyszłemu. "
Joel 1:4,"Co oszczędził gryzoń, pochłonęła szarańcza; a co oszczędziła szarańcza, pochłonął żerłacz, a co oszczędził żerłacz, pochłonął niszczyciel. "
Joel 1:5,"Ocućcie się upojeni a płaczcie! Biadajcie wszyscy zapijający wino, nad moszczem, że wydarty z ust waszych! "
Joel 1:6,"Albowiem lud rozpostarł się nad ziemią moją, silny a niezliczony; zęby jego niby zęby lwie, a czeluście jego niby lwicy. "
Joel 1:7,"Podał winograd mój na spustoszenie, a figowe drzewo moje na porąbanie; doszczętnie obnażył je i porzucił - zbielały gałązki jego. "
Joel 1:8,Biadaj jako dziewica przepasana worem nad panem młodości swojej! 
Joel 1:9,"Odjęta śniedna ofiara i zalewka od domu Wiekuistego, smucą się kapłani, słudzy Wiekuistego. "
Joel 1:10,"Spustoszone są pola, smuci się gleba, albowiem poniszczone zboże, wysechł moszcz, zawiędła oliwa. "
Joel 1:11,"Truchlejcie oracze, biadajcie winiarze, dla pszenicy i jęczmienia, bo zginęło żniwo pola. "
Joel 1:12,"Winna macica uschła, a figowe drzewo zawiędło, granat i palma i jabłoń i wszystkie drzewa polne poschły; tak, znikło wesele od synów ludzkich. "
Joel 1:13,"Przepaszcie się a narzekajcie kapłani; biadajcie słudzy ołtarza! Wnijdźcie (do świątyni) by nocować w worach, słudzy Boga mojego! albowiem usunięta z domu Boga waszego śniedna ofiara i zalewka. "
Joel 1:14,"Ogłoście post, zwołajcie zgromadzenie uroczyste, zbierzcie starszyznę, wszystkich mieszkańców kraju do domu Wiekuistego, Boga waszego, a wołajcie do Wiekuistego! "
Joel 1:15,"Biada na ten dzień! bo blizki dzień Wiekuistego, jako pogrom od Wszechmocnego nadchodzi. "
Joel 1:16,"Izali nie w oczach waszych pokarm odjęty, z domu Boga naszego radość i wesele? "
Joel 1:17,"Zgniły ziarna pod skibami swojemi, opustoszały spichrze, zapadły się stodoły, bo poschło zboże. "
Joel 1:18,"Jakże jęczy bydło, błąkają się stada rogacizny, bo niema dla nich paszy; już i trzody owiec cierpią. "
Joel 1:19,"Do Ciebie Wiekuisty wołam; bo ogień pochłonął błonia pastwiska, a płomień popalił wszystkie drzewa polne. "
Joel 1:20,"I zwierzęta dzikie łakną do Ciebie, bo wyschły strumienie wód, a ogień pochłonął błonia pastwiska. "
Joel 2:1,"Uderzcie w surmę na Cyonie, a zagrzmijcie na górze Mojej świętej! Niechaj zadrżą wszyscy mieszkańcy ziemi; gdyż nadchodzi dzień Wiekuistego, gdyż bliski on! "
Joel 2:2,"Dzień ciemności i mroku, dzień chmur i mgły! Jako świt poranny roztacza się po górach lud wielki a mocny, któremu równego nie było od wieku, a po nim nie będzie aż do lat późnych pokoleń. "
Joel 2:3,"Przed obliczem jego chłonie ogień, a za nim pali płomień! Jako ogród rozkoszny ziemia przed nim, a za nim jako step pusty; a nie uchodzi nic przed nim! "
Joel 2:4,"Niby wejrzenie koni wejrzenie jego, a jako rumaki pędzą. "
Joel 2:5,"Skrzypiąc jak wozy, po wierzchołkach gór skaczą, trzeszcząc jako płomienie ogniste, pożerające ściernisko - jako lud potężny, uszykowany do boju. "
Joel 2:6,"Drżą narody przed obliczem jego, a wszystkie lica pobladły. "
Joel 2:7,"Jako rycerze pędzą, jako mężowie waleczni wstępują na mury; każdy drogą swoją idzie, a nie ustępuje ze ścieżek swoich. "
Joel 2:8,"A jeden drugiego nie tłoczy, każdy gościńcem swoim postępuje, nawet przez włócznie rzucają się naprzód, nie łamią się (szyki). "
Joel 2:9,"Po mieście snują się, po murze biegają, do domów wstępują, przez okna wciskają się jako złodzieje! "
Joel 2:10,"Przed obliczem jego drży ziemia, wstrząsają się niebiosa, słońce i księżyc się zaćmiewają, a powściągają gwiazdy blask swój. "
Joel 2:11,"Wiekuisty zaś podnosi głos Swój przed wojskiem Swojem; albowiem potężny wielce obóz Jego, potężny wykonawca Jego rozkazu. Tak, wielkim dzień Wiekuistego i straszny bardzo, a któż go zniesie! "
Joel 2:12,"Ale i teraz jeszcze, rzecze Wiekuisty, nawróćcie się do Mnie całem sercem swojem i postem i płaczem i biadaniem! "
Joel 2:13,"A rozdzierajcie serce a nie szaty wasze, a nawróćcie się do Wiekuistego, Boga waszego; bo litościwy i miłosierny On, nieskory do gniewu, i bogaty w łaskę a żałuje złego. "
Joel 2:14,"Kto wie czyby się znowu nie zżalił, a zostawił jeszcze błogosławieństwo za sobą: ofiarę śniedną i zalewkę Wiekuistemu, Bogu waszemu. "
Joel 2:15,"Uderzcie w surmę na Cyonie, ogłoście post, zwołajcie zgromadzenie uroczyste! "
Joel 2:16,"Zgromadźcie lud, ogłoście zbór, wezwijcie starców, zbierzcie dzieci i niemowlęta; niechaj wyjdzie oblubieniec z pokoju swego, a oblubienica z komnaty swojej. "
Joel 2:17,"Między przysionkiem a ołtarzem niechaj płaczą kapłani, słudzy Wiekuistego, niechaj wołają: Zmiłuj się Wiekuisty nad ludem Twoim, a nie podawaj dziedzictwa Twego na hańbę, aby panowali nad nimi poganie; czemuż mają mówić między narody: Gdzież Bóg ich? "
Joel 2:18,"I zapłonie Wiekuisty miłością ku ziemi Swojej, a umiłuje się nad ludem Swoim. "
Joel 2:19,I ozwie się Wiekuisty i powie do ludu swego: Oto Ja poszlę wam znowu zboże i moszcz i oliwę a nasycicie się niemi; a nie podam was więcej na urągowisko między ludami. 
Joel 2:20,"A tego z północy oddalę od was, a zapędzę go do ziemi spiekłej i pustej, przednią straż jego ku morzu wschodniemu, a straż tylną jego ku morzu krańcowemu, i rozejdzie się zła woń jego, a rozniesie się odór jego - ponieważ tak strasznie sobie poczynał. "
Joel 2:21,"Nie bój się ziemio, ciesz się a raduj, gdyż dzieł wielkich dokona Wiekuisty. "
Joel 2:22,"Nie bójcie się zwierzęta polne, albowiem zazielenią się rozłogi pustyni, albowiem drzewo przyniesie owoc swój, figowiec i winograd wydadzą siłę swą. "
Joel 2:23,"I wy, synowie Cyonu, cieszcie się i radujcie w Wiekuistym, Bogu waszym, bo zeszle wam dżdże zbawienne spuści wam deszcz wczesny i późny w właściwej porze. "
Joel 2:24,I zapełnią się gumna zbożem i przelewać się będą kadzie moszczem i oliwą. 
Joel 2:25,"I tak nagrodzę wam lata w których pożerała szarańcza, żerłacz, niszczyciel i gryzoń, - ono wojsko Moje wielkie, którem posłał na was. "
Joel 2:26,"I będziecie jedli, posilając się i nasycając, i chwalić imię Wiekuistego, Boga waszego, który cudów dla was dokonał; i nie będzie już pohańbiony lud Mój na wieki. "
Joel 2:27,"I poznacie, że w pośród Israela przebywam, i żem Ja Wiekuisty, Bóg wasz, a niema innego; albowiem pohańbiony już nie będzie lud Mój na wieki. "
