Index Title,The Minor Tractates of the Talmud V2
Version Title,"The Minor Tractates of the Talmud, trans. A. Cohen, London: Soncino Press, 1965"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002035163/NLI
Version Notes,
"Tractate Tzitzit, Introduction.1","<small>BASIS OF THE ORDINANCE</small><br/>The commandment of <i>ẓiẓith</i>, ‘fringes’ or ‘tassels’, is derived from the following two verses of Scripture: <i>Speak unto the children of Israel … that they make them … fringes in the corners of their garments</i> (Num. XV, 38), and <i>Thou shalt make thee twisted cords upon the four corners of thy covering</i> (Deut. XXII, 12)."
"Tractate Tzitzit, Introduction.2",<small>THE <i>ṬALLITH</i></small>
"Tractate Tzitzit, Introduction.3","<i>Ẓiẓith</i> must be inserted in each of the four corners of the garment. As modern clothes have no four corners, the <i>ẓiẓith</i> are inserted in the <i>ṭallith</i>, a shawl of wool or silk worn during morning and certain other prayers. The <i>ẓiẓith</i> are suspended from the four corners of the <i>ṭallith</i> as described below."
"Tractate Tzitzit, Introduction.4",<small>THE SMALL <i>ṬALLITH</i></small>
"Tractate Tzitzit, Introduction.5","In addition, a small <i>ṭallith</i> called <i>ṭallith ḳaṭan</i> or <i>’arba‘ kanefoth</i> with <i>ẓiẓith</i> in its four corners is worn all day as an undergarment. It is rectangular in shape with an opening in the middle through which the head is passed, and it hangs down from the shoulders covering the chest and back. It is made of wool, but other soft materials are also used, particularly in those worn by children."
"Tractate Tzitzit, Introduction.6",<small>HOW <i>ẒIẒITH</i> ARE MADE</small>
"Tractate Tzitzit, Introduction.7","Four threads, one of them longer than the others, prepared especially for the religious precept, are inserted in each hole which is made near each of the four corners of the big or small <i>ṭallith</i>. The threads are then folded in two equal halves, the long thread projecting from one of these, and a double knot is made. The halves being held together, the long thread is wound round the others seven times. They are then separated and a double knot is made. Eight coils followed by a double knot in a similar manner is the next stage, and this is followed by eleven coils and a double knot, concluding with thirteen coils and a final double knot—a total of thirty-nine coils and five double knots. Originally a thread, or two threads, of blue wool formed part of the four threads, but this practice has been discontinued because the <i>ḥillazon</i> blue prescribed (cf. §10 of the tractate) became unobtainable."
"Tractate Tzitzit, Introduction.8",<small>SYMBOLISM OF THE COMMANDMENT</small>
