Index Title,The Minor Tractates of the Talmud V2
Version Title,"The Minor Tractates of the Talmud, trans. A. Cohen, London: Soncino Press, 1965"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002035163/NLI
Version Notes,
"SEFER TORAH, Introduction.1","<small>THE TRACTATE</small><br/><i>Masseketh Sefer Torah</i>, 'the Tractate on the Torah Scroll', deals with the preparation, correct writing and proper handling of sacred scrolls, particularly the Pentateuch which is used for the reading of the lections in the statutory religious services in the Synagogue."
"SEFER TORAH, Introduction.2","Forming part of the collection known as <i>Massektoth Ḳeṭannoth</i>, it belongs also to the smaller collection, <i>Sheba' Massektoth Ḳeṭannoth</i>, 'The Seven Minor Tractates', which is the earliest collection of its kind in the Talmudic literature. All the seven are of great antiquity in their main contents and have their origin in the early period of oral traditions, when the writing down of such traditions was generally forbidden. Their author was a Palestinian who lived before the redaction of the Mishnah (beginning of the third century <small>C.E.</small>)."
"SEFER TORAH, Introduction.3","In the history of Rabbinic literature these tractates are of considerable importance because they represent the earliest digests dealing with a particular subject in a compact, comprehensive and detailed set of rules. Such regulations are scattered throughout the numerous pages of the Talmud, embedded in long and intricate discussions, together with material which has no direct bearing on the subject under treatment."
"SEFER TORAH, Introduction.4","Although most of the rules in this tractate are to be found in the Tannaitic teaching in the Talmudic literature—Mishnah, Baraitha, and the Palestinian and Babylonian Gemara—twelve rules occur in it which cannot be traced in those sources. These are contained in II, 9f., III, 5-9, and V, 1-3, 6, 8."
"SEFER TORAH, Introduction.5","There is a very close relationship between <i>Masseketh Sefer Torah</i> and the first five chapters of <i>Soferim</i>, the tractate on 'Scribes', and both probably assumed their present form in the Geonic period. It is also clear that the compiler of <i>Soferim</i> was acquainted with this tractate and drew largely upon it,<sup>★</sup><i class=""footnote"">★ [I. H. Weiss, <i>Dor</i> (1904), II, pp. 224f., maintains that <i>Sefer Torah</i> is an abstract from <i>Soferim</i>.]</i> but whereas <i>Sefer Torah</i> is characterized by a simple and direct style and a clear cut system of rules, <i>Soferim</i> has numerous interpolations, amplifications and much irrelevant matter. The numbering of the chapters corresponds in the two tractates so far as they overlap, but there is a difference in the length of the respective chapters, their contents, and the numeration and extent of the rules."
"SEFER TORAH, Introduction.6",<small>ANALYSIS</small>
