Index Title,The Minor Tractates of the Talmud V2
Version Title,"The Minor Tractates of the Talmud, trans. A. Cohen, London: Soncino Press, 1965"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002035163/NLI
Version Notes,
"PERE&#x1E32; HASHSHALOM, Introduction.1","In the edition of the Wilna Talmud, <i>Derek ’Ereẓ Zuṭa</i> consists of eleven chapters, the last being entitled <i>Pereḳ Hashshalom</i>. It is, however, not part of that tractate but a separate collection of dicta on the theme of Peace."
"PERE&#x1E32; HASHSHALOM, Introduction.2","The probability is that it was appended to the tractate because it concludes with a description of the state of degeneracy which will precede the coming of the Messiah, whose advent will bring abiding peace to the world. Or it was attached to chap. IX, originally the end of the tractate, which touches on the blessings of peace."
"PERE&#x1E32; HASHSHALOM, Introduction.3",No information is available on the authorship and date of this chapter.
"PERE&#x1E32; HASHSHALOM, Introduction.4",M. GINSBERG.
"PERE&#x1E32; HASHSHALOM, Pereḳ Hashshalom.1","R. Joshua b. Levi said: Great is peace, for peace is to the world as leaven is to dough. Had not the Holy One, blessed be He, given peace to the earth, the sword and the beast would have robbed the world<sup>1</sup><i class=""footnote"">(1) So H; V reads ‘man’.</i> of its children. Whence<sup>2</sup><i class=""footnote"">(2) So GRA; V reads ‘why is it written?’</i> [do we know this]? From what is written, <i>And I will give peace in the land … and I will cause evil beasts to cease out of the land, neither shall the sword go through your land;</i><sup>3</sup><i class=""footnote"">(3) Lev. 26, 6. The Heb. for <i>earth</i> and <i>land</i> is the same.</i> and <i>land</i> means nothing else than Israel, as it is stated, <i>And all nations shall call you happy; for ye shall be a delightsome land</i>.<sup>4</sup><i class=""footnote"">(4) Mal. 3, 12. The identification of <i>land</i> with Israel is here evident. V and H add: ‘And it states, <i>And, behold, all the earth sitteth still, and is at rest</i>’.</i> [And so Solomon declared,] <i>One generation passeth away, and another generation cometh; and the earth abideth for ever</i>:<sup>5</sup><i class=""footnote"">(5) Eccl. 1, 4.</i> Solomon said:<sup>6</sup><i class=""footnote"">(6) So GRA. V reads: ‘A kingdom comes and a kingdom goes, but Israel endures for ever. But Solomon, although’.</i> Although a generation passes away and another generation comes, one kingdom goes and another kingdom comes, one decree passes away and a new decree is imposed upon Israel,<sup>7</sup><i class=""footnote"">(7) lit. ‘upon the enemies of Israel’, a euphemism.</i> <i>the earth abideth for ever</i>, i.e. Israel will abide for ever,<sup>8</sup><i class=""footnote"">(8) <i>Earth</i> refers to Israel. [Cf. Midrash <i>ad loc.</i>, Sonc. ed., p. 15.]</i> they are not forsaken nor will they be forsaken, they are not destroyed nor will they be destroyed, as it is stated, <i>For I the Lord change not; and ye, O sons of Jacob are not consumed</i><sup>9</sup><i class=""footnote"">(9) Mal. 3, 6.</i>—as I have not changed nor will I change, so you, the House of Jacob, are not destroyed and will not be destroyed, but [as it is stated], <i>But ye that did cleave unto the Lord your God are alive every one of you this day</i>.<sup>10</sup><i class=""footnote"">(10) Deut. 4, 4.</i>"
"PERE&#x1E32; HASHSHALOM, Pereḳ Hashshalom.2","There<sup>11</sup><i class=""footnote"">(11) In Babylon.</i> they taught: Rabban Simeon b. Gamaliel used to say: By three things does the world endure: justice, truth and peace.<sup>12</sup><i class=""footnote"">(12) Cf. Aboth I, 18 (Sonc. ed., p. 10).</i> R. Muna said: The three are one, because if justice is done, truth has been effected and peace brought about; and all three are mentioned in one verse, as it is stated, <i>Execute the judgment of truth and peace in your gates</i>,<sup>13</sup><i class=""footnote"">(13) Zech. 8, 16.</i> [indicating that] wherever justice is done peace is to be found."
