Index Title,The Minor Tractates of the Talmud V2
Version Title,"The Minor Tractates of the Talmud, trans. A. Cohen, London: Soncino Press, 1965"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002035163/NLI
Version Notes,
"Tractate Mezuzah, Introduction.1","<small>THE NAME</small><br/><i>Mezuzah</i> means literally ‘a doorpost’, but it is the technical term given to the small scroll which is placed on the right-hand doorpost of a dwelling-house as described below."
"Tractate Mezuzah, Introduction.2",<small>ORIGIN AND ANTIQUITY</small>
"Tractate Mezuzah, Introduction.3","Deut. 6, 9, <i>And thou shalt write them upon the door-posts of thy house, and upon thy gates</i>, with its repetition in XI, 20, is the Scriptural origin of the commandment in general terms. Tradition supplies the practical interpretation in detail. As the tractate deals specifically with many, if not most of these details, it was given its title. Josephus (38-95 <small>C.E.</small>), in his <i>Antiquities</i> IV, viii, 13, speaks of the <i>mezuzah</i> as an old and firmly established institution."
"Tractate Mezuzah, Introduction.4",<small>THE SCROLL AND-ITS CASE</small>
"Tractate Mezuzah, Introduction.5","Two passages of Scripture are written on the <i>mezuzah</i> scroll: Deut. 6, 4-9 and <i>ibid.</i> XI, 13-21. The scroll is a rectangular piece of parchment made of skin from a ritually clean animal and the script is Hebrew."
"Tractate Mezuzah, Introduction.6","On the upper third of the rolled-up scroll the divine name <i>Shaddai</i> (Almighty) is inscribed; and in accordance with a cabbalistic direction three words, representing ‘the Lord, our God, the Lord’, are written at the bottom of the back of the scroll. It is enclosed in a tube or oblong case of wood, metal or any other suitable material. An opening is usually made in it to allow the name <i>Shaddai</i> to be seen, and to protect the writing without concealing the divine name the opening is covered with a transparent material. Some <i>mezuzah</i> cases are artistically carved and beautifully ornamented (see the illustrations in J.E. VIII, pp. 531ff.). It is customary to touch and kiss the <i>mezuzah</i> on entering and leaving the room."
"Tractate Mezuzah, Introduction.7",<small>ROOMS LIABLE TO THE <i>MEZUZAH</i></small>
"Tractate Mezuzah, Introduction.8","Maimonides, summarizing the traditional rules on the conditions required to make a room or building liable to the obligation of a <i>mezuzah</i>, lays down the following requirements: It must have an area of four cubits square; two doorposts; a lintel; a ceiling and doors. The doorway must be a minimum of ten handbreadths in height; the room must be for ordinary and not sacred purposes; it must be used for human habitation; it must not be used as a privy or bath-room; and it must be a permanent and not temporary structure."
"Tractate Mezuzah, Introduction.9",<small>SIGNIFICANCE OF THE PRECEPT</small>
