Index Title,The Minor Tractates of the Talmud V2
Version Title,"The Minor Tractates of the Talmud, trans. A. Cohen, London: Soncino Press, 1965"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002035163/NLI
Version Notes,
"Tractate Avadim, Introduction.1","<small>JUDAISM AND SLAVERY</small><br/>[Although civilized man today thinks of the institution of slavery with horror, it seems to have originated in a humanitarian motive based on utilitarianism. It was a moral advance on the practice of the victor putting the vanquished to death. Indeed the Latin word <i>servus</i> has been derived from <i>servare</i>, 'to preserve', as denoting a person who was not given over to general slaughter (cf. W. E. H. Lecky, <i>History of European Morals</i>, 1911, I, p. 102 n.)."
"Tractate Avadim, Introduction.2","In the economy of the ancient world slavery was indispensable, and Israel was no exception to the peoples who adopted it. But in this connection Israel was exceptional at least in one respect. Among the Romans and Greeks, e.g., the treatment of slaves varied in different periods. Not always was the master allowed to exercise power of life and death over them. Moralists arose who protested vehemently against the cruelties from which they suffered; but generally the lot of the slave was degraded in the extreme and his existence embittered."
"Tractate Avadim, Introduction.3","With the people of Israel, on the other hand, the slave was never a mere chattel at the mercy of his master's whims, and the legislation which affected him uniformly treated him as a human being. It is true that the Hebrew who sold himself for a term of servitude from straitened circumstances or was sold to earn the money wherewith to refund a theft, bore a stigma. The heathen slave, likewise, belonged to an inferior class. Nevertheless the Hebrew term which described them both, <i>'ebed</i>, was far from being derogatory. On the contrary, it was a dignified term since the Patriarchs, Moses, kings and prophets were designated ' <i>'ebed</i> of God' and the phrase was applied to the whole community of Israel. It must be remembered that all the essential services of social life were regarded by the Israelites as honourable, and they who performed them were invested with a degree of dignity."
"Tractate Avadim, Introduction.4","A consequence of this was that the slave in an Israelite household was not the exact counterpart of the slave in a heathen household. On the subject in general, cf. J.E. XI, pp. 403-408, G. F. Moore, <i>Judaism</i>, II, pp. 135-138, A. Cohen, <i>Everyman's Talmud</i>, 1949, pp. 198-203, L. Baeck, <i>The Essence of Judaism</i>, 1936, pp. 203-207."
"Tractate Avadim, Introduction.5","The last-mentioned authority remarks: 'In the Greek and Roman world, to say nothing of the old eastern states ruled by despots, the slave was considered to be a <i>thing</i>; he was not a subject of the law, but merely an object of the law. In the <i>corpus juris</i> he belonged to the chapter devoted to the law of things. To the Israelite law the slave is a person entitled to rights, one who stands before his master with definite legal claims. The master is therefore not considered to be the owner of the slave, but only his possessor. He has not a full and unlimited freedom of dealing with him, but merely a restricted and conditional power of disposal over him. It is thus established that serfdom is not a relationship which has its foundations in the general order of law, incorporating acknowledged rights, but that it is merely a temporary form of domestic service. Thus the principle of slavery is thereby destroyed' (<i>op. cit.</i>, p. 205). He concludes his discussion of the subject with the statement: 'Slavery, in the real sense of the word, did not exist among the Jews. Israel was the only community to possess a civilization which did not rest upon the shoulders of slaves, and thus created for the first time a truly ethical civilization' (<i>op. cit.</i>, p. 207).]"
"Tractate Avadim, Introduction.6",<small>TRACTATE <i>'ABADIM</i></small>
