$(mwmyt) N	$(mwmy N
$+ywt) N	$+yw N
$bq) N	$bq#3 N
)p@(l@py c	)p@(l@py p
b(ydn p	b(dn c
bt@tyh) N	bt@tyh) N
dyq A	dwq V
hgrn)h A	hgrwny A
bqmyyt) X	bqdmyth X
x$yd A	x$d V
kl@)ymt c	kl@)ymt X
rswq) N	rswq N
xwq@qbly N	xyq@qbl N
br@)yncwyy N	ncy V
lmpr( a	lmpr( a
kynwy) N	knwy N
b$t) N	bw$h N
tlt)#2 N	tl#2 N
x$kt) N	x$kh N
)lp)@byt) N	)lp@byt N
ytb) N	ytb#3 N
$ydk) N	$dk#3 N
)rnwn) N	)rnwnyn N
gwly) N	gwlh) N
lwqbl p	lwqbl p
(l@$wm@d_ p	(l@$m p
qyrt) N	qyrh N
rkwbt) N	kbw N
zqypt) N	zqyph#2 N
xmr)@dym) N	xmr)@dmy) N
cry) N	cry#4 N
mr+q) N	mwrdq N
xyb) N	xyb A
xydw) N	xdwh N
br@)tr) N	br@)tr N
xyzw)n) N	xzwn N
xsmh N	xsmw N
kmr) N	kwmr N
)_ p	)_ p
)b N	)b#2 N
)b) N	)b N
)b)#2 N	)b#5 N
)b)#3 N	)b#4 N
)b)r N	)b)r N
)bd#2 V	)bd#2 V
)bd V	)bd V
)bdlt) N	)bdlh N
)bdt) N	)bydh N
)bydt) N	)bydh N
)bhdy p	bhdy p
)bwb N	)bwb N
)bwb) N	)bwb N
)bwl) N	)bwl N
)bwl)#2 N	bwl)#2 N
)bwl)h N	)bwly#2 N
)bwrgn) >	)bwrgn) >
)bwrnq) >	)bwrnq) >
)bzyyn) N	)bzyyn) N
)bzngr) N	)bzngr) N
)bzqt N	)bzqt >
)bzr) N	)bzr N
)b+) N	)b+ N
)bydn N	)bydn N
)byz)r N	)byz)r >
)byz)ryh N	)byz)ryh N
)byzr A	)byzr A
)byzr) N	)byzr) N
)byzryh N	)byzryh N
)byl) N	)byl N
)bylwt) N	)bylw N
)bysn) N	)bysn) N
)by$wn) N	)by$wn) N
)by$yn) N	)by$yn) N
)bl V	)bl V
)bl c	)bl c
)bl) N	)bl N
)blw$y N	)blw$y N
)bn) N	)bn N
)b( V	(bq V
)bq V	)bq V
)bq) N	)bq N
)bqt) N	)bqh N
)br p	)br p
)br) N	)br#2 N
)br)y X	)br)y X
)br)y@m_ p	)br)y@m_ p
)br)t) N	)br)t) N
)brwwr) N	)brw)r) N
)brwm) N	)brwm N
