@99א,@44א,"אמרו רז״ל. אבות פ״ד מי״ג, ועי׳ חזית פ׳ טוב שם משמן טוב,"
,@44ב,"ונתתי להם. בכ״י כתוב ונתתי לכם, אולם בכ״י פלארענץ מובא כמו שלפנינו בקרא להם, ועי׳ סנהדרין צ״ג ע״ב.<br>ב. שנויי שבחו. מדרש חזית שם."
,@44ג,לפי שהצדיקים. ברכות י״ח ע״א.
,@44ד,"דאמר ר׳ אבהו בשם ריב״ז. ב״ר פי״ב ופ״ל, ותנחומא שמות וריש משפטים, ושמ״ר שמות ומשפטים, ובכל המקומות מובא דאמר ר׳ אבהו לבד. אולם בתנחומא משפטים כתוב כמו שהביא רבינו בשם ר׳ יוסי בן זמרא, ובכ״י פלארענץ חסרים המלות ״דאמר ר׳ אבהו בשם ריב״ז״."
,@44ה,"כמו שנתפרש בפרשת בראשית. בראשית ב׳ ד׳ וע״ש בהערה שלי, וגם שם הביא רבינו בשם ר׳ אבהו לבד."
,@44ו,"כשם שהקב״ה קרא שמות לכוכבים. עיין ילקוט ריש שמות, מונה מספר לכוכבים, ונרשם בצדו תנחומא, ולפנינו בתנחומא ליתא, ועיין שמ״ר פ״א שקולים הם ישראל כצבא השמים כו׳. ועיין רש״י עה״ת שמות א׳ א׳ ולקוחים דבריו ג״כ מהתנחומא."
,@44ז,"והלא כבר היו להם הרבה ימים שם. תנחומא, וילקוט ריש שמות בשם התנחומא, ושמ״ר פ״א."
,@44ח,"שנים עשר שבטים כנגד י״ב מזלות. עיין במ״ר פי״ד א״ר פנחס בן יאיר קערת כסף י״ב כו׳ כנגד י״ב מזלות כו׳. וכנגד י״ב שבטים כו׳, והוא ממדרש תדשא (ביה״מ ח״ג צד קע״ד)."
,@44ט,"דע כי כל השבטים. תנחומא שמות, וילקוט רמז קס״ב בשם התנחומא."
,@44י,"אר״י דסכנין, תנחומא, וילקוט שם, ושמ״ר פ״א."
,@44יא,"ד״א. תנחומא, שמ״ר. וילקוט שם."
,@44יב,"נפשות לא נאמר כו׳ אבל בעשו כתיב נפשות ביתו. כל המאמר הזה עד וימת יוסף נשמט בכ״י פלארענץ ע״י שגגת המעתיק. ובילקוט רמז קס״ב הביא ויהי כל נפש ובעשו כתיב כל נפשות ביתו ע״כ קצר בלשונו, והוא ג״כ מתנחומא כמו שרשם במאמר שלפניו ולפנינו ליתא בתנחומא. ועיין וי״ר פ״ד וילקוט בראשית רמז קל״ז."
,@44יג,"למה מת כו׳ לפי שהתנהג ברבנות. ברכות נ״ה ע״א, סוטה י״ג ע״ב."
,@44יד,היינו דאמרי אינשי. סנהדרין י״ד ע״א ושם צ״ב ע״א.
,@44טו,"ר׳ חייא אמר. וכ״ה גם בכ״י פלארענץ, ובתנחומא הגי׳ ר׳ ינאי, ובעל הילקוט הביא גירסת התנחומא ר׳ חייא, ובשמ״ר פ״א הוא בלי שם האומר. וכן נשנה במכילתא בא פי״ב. וברש״י עה״ת וישרצו שהיו יולדות ששה בכרס אחד."
,@44טז,"כחושים של קנים. וכ״ה בשמ״ר, אולם בתנחומא לפנינו הגי׳ כחרשים של קנים, וכגי׳ רבינו הוא מלשון חז״ל ב״ב קמ״ג ע״ב ובני דן חושים שהיו מרובין כחושים של קנה, ע״ש ברשב״ם."
,@44יז,כיון שראו מצרים. בכ״י פלארענץ חסר מן ויקם מלך חדש הראשון עד ויקם מלך חדש השני.
,@44יח,"לא אמר וימת כו׳ שנתחדשו גזירותיו. סוטה י״א ע״א, תנחומא, שמ״ר, ילקוט שמות, ורש״י עה״ת."
,@44יט,"הוא התחיל בעצה תחלה. סוטה שם, ותוספתא סוטה פ״ד, ושמ״ר פ״א."
