Rereading the Rabbis; A Woman's Voice.1,Abbreviations and Acronyms
"Rereading the Rabbis; A Woman's Voice, Acknowledgments.1","I am deeply thankful to have had the opportunity to write this book while living in Jerusalem for a year. Spending time in Israel was spiritually satisfying and intellectually stimulating. Unfortunately, many catastrophic events took place during that year, including the assassination of a peace-seeking prime minister and a series of bus bombings that killed innocent people. As far away as the ultimate resolution of the conflict seems, I would like to believe that day by day, however imperceptibly, it grows closer."
"Rereading the Rabbis; A Woman's Voice, Acknowledgments.2","Many people generously gave of their time to read and critique this manuscript. The following brief statements hardly reflect the intensity of my gratitude to them. Robert Brody, associate professor of Talmud at the Hebrew University, read and commented on the entire manuscript; Rabbi Shmuel Sandberg, formerly a professor of English at the City University of New York, did the same, while also paying attention to felicitous expression; Susan E. Shapiro, assistant professor of Jewish Thought and Philosophy of Religion at Columbia University, read the greater part of the manuscript, discussed it with me at length, and made many important suggestions for its improvement; Noam Gavriely, a physician and head of the Pulmonary Physiology Unit at Rambam Hospital/Technion, read much of the manuscript and commented on it from a medical and humanist perspective; Lippman Bodoff, an attorney, brought to a number of chapters his legal sensibility and training; Shaye J. D. Cohen, professor of Judaic Studies at Brown University, made many helpful comments on the chapter on <i>Niddah</i>; Shamma Friedman, distinguished service professor of Talmud at the Bet Midrash in Jerusalem and the Jewish Theological Seminary in New York, and Athalya Brenner, professor of Bible at the University of Amsterdam, spent time discussing various issues with me."
"Rereading the Rabbis; A Woman's Voice, Acknowledgments.3","The manuscript also benefited from the editorial advice of Ellen Frankel of the Jewish Publication Society, from extensive editorial attention by Beth Berkowitz, and from the research assistance of Naomi Lubarr, Avigayl Young, and Orit Kent."
"Rereading the Rabbis; A Woman's Voice, Acknowledgments.4","I am also indebted to Marian Safran at Westview Press for her excellent comments. She brought this entire manuscript to a higher level of clarity, consistency, and pleasing expression. I wish to thank Fern Zekbakh for the fine indices."
"Rereading the Rabbis; A Woman's Voice, Acknowledgments.5",I would also like to thank the Stroock Foundation for its fellowship assistance.
"Rereading the Rabbis; A Woman's Voice, Acknowledgments.6","My husband, Milton Adesnik, and my three teenage sons, Ariel, Moshe, and Hillel, not only supported my project in general, but also expressed interest in every detail, often debating subtle points of Talmudic logic with me and stopping me from drawing unwarranted, although highly appealing, conclusions."
"Rereading the Rabbis; A Woman's Voice, Acknowledgments.7","While in Israel, I spent Sunday nights teaching a women’s Talmud class and discussing different parts of the manuscript with the class. Their collective insight has woven itself into much of the textual analysis. I thank all of these women."
"Rereading the Rabbis; A Woman's Voice, Acknowledgments.8","I am dedicating this book to Judy Hurwich, of blessed memory, a legendary Jerusalemite, in whose home, or more accurately, salon, these Talmud sessions took place. It was she who initiated the study group and energetically and enthusiastically kept it going. Her death on the road in August 1996 saddened us all. Like the rabbis of the Talmud who appear in this book, she tirelessly sought and even fought to improve women’s status in ritual and law. Also like them, she was torn between her loyalty to the texts and practices of the past and her unwavering commitment to the ethical stances of the present. May we be inspired by her life."
"Rereading the Rabbis; A Woman's Voice, Acknowledgments.9","The practice of Judaism in the United States today, and also around the world, differs greatly from what it was as little as twenty years ago. Much of this change was spurred on by the emergence in the early 1970s of a feminist critique of Judaism. Whereas at that time female rabbis, cantors, and Talmud teachers and students were unheard of or scarce, today they abound. As more and more talented individuals—men and women alike—devote themselves to the spread of Jewish ideas and practice, they contribute to the continuing appeal and viability of the Jewish heritage. This book attempts to present the Talmudic basis for welcoming women into the full-fledged membership ranks of the Jewish people."
"Rereading the Rabbis; A Woman's Voice, Acknowledgments.10",<i>Judith Hauptman</i>
"Rereading the Rabbis; A Woman's Voice, Acknowledgments.11","New York, New York"
"Rereading the Rabbis; A Woman's Voice, Note to the Reader.1",The translations of rabbinic texts are my own. The bracketed words are explanatory insertions.
"Rereading the Rabbis; A Woman's Voice, Note to the Reader.2","The term rabbis refers, in most instances, to the rabbis of the Talmud, the majority of whom flourished from about 1 to 500 <small>C.E.</small>"
"Rereading the Rabbis; A Woman's Voice, Note to the Reader.3",The expression “Said Rabbi X said Rabbi Y” means that Rabbi X transmitted what he had heard from Rabbi Y.
"Rereading the Rabbis; A Woman's Voice, Note to the Reader.4","When a reference is to the Mishnah as an entire work, the “M” is uppercase. When a reference is to one paragraph within the larger work (<i>mishnah</i>), the “m” is lowercase and the word is italicized."
"Rereading the Rabbis; A Woman's Voice, Note to the Reader.5","The collective name for the rabbis of the first 200 years of the rabbinic period is Tannaim, and for the rabbis of the next 300 years, Amoraim. A citation introduced by two single dashes (– –) is a statement attributed to an Amora; a citation introduced by two double dashes (= =) is a statement attributed to the anonymous, post-amoraic editors of the Talmud. Statements without special designation are tannaitic."
"Rereading the Rabbis; A Woman's Voice, Note to the Reader.6",God is occasionally referred to in the masculine for reasons of style only.
"Rereading the Rabbis; A Woman's Voice, Note to the Reader.7","Unless stated otherwise, the volume of the Mishnah that I refer to when citing the work of Hanokh Albeck is Nashim, the Division of Women."
"Rereading the Rabbis; A Woman's Voice, Note to the Reader.8","The Tosefta is cited, where possible, from the Lieberman edition."
"Rereading the Rabbis; A Woman's Voice, Note to the Reader.9",The references to the Talmud Yerushalmi (Palestinian Talmud) are presented in two ways. The first is by chapter and paragraph (<i>halakhah</i> or <i>mishnah</i>) and the second by page and folio. The second reference is keyed to the standard one-volume Venice edition of this Talmud.
"Rereading the Rabbis; A Woman's Voice, Note to the Reader.10",Talmudic references are to the Bavli (Babylonian Talmud) unless they are identified as to the Yerushalmi.
"Rereading the Rabbis; A Woman's Voice, Introduction.1","L<small>IKE THE</small> B<small>IBLE, THE</small> T<small>ALMUD IS A</small> compendium of Jewish law, ethics, and culture. Even more than the Bible, the Talmud shapes the contours of Jewish life today. In a formal sense, it is an expansion of the legal portions of the Pentateuch, the first five books of the Bible. In an informal sense, it is a wide-ranging series of inquiries into how a Jew should live his or her life. For hundreds of years Jews have devoted long hours to studying the Talmud. Its terse but dense style, mixture of Aramaic and Hebrew, intricate logical arguments, and hard-to-unravel textual history have given it a mystique of its own."
"Rereading the Rabbis; A Woman's Voice, Introduction.2","Until recently, it was almost exclusively men who pored over the Talmud and wrote commentaries on it. Women neither studied it nor played any role in interpreting it. This difference is not surprising: Judaism, like most ancient religions, placed key religious tasks in the hands of men only. Today, with women’s growing interest in their past and desire to use the past to reshape the present, these texts need to be looked at afresh."
"Rereading the Rabbis; A Woman's Voice, Introduction.3","This book will read Talmudic texts from a woman’s perspective. Therefore, the choice of texts and the questions asked of them derive from a wish to determine how the Talmud sees and treats women. The core of each chapter is composed of the texts themselves, which I will cite in translation and interpret according to standard techniques of Talmudic analysis. Unlike other books that present texts shorn of context, this book will locate and then read the key texts in a sustained fashion, in their own context, and in a rich context of closely associated materials. The point of doing so is to arrive at as accurate an interpretation as possible, not reading meaning into the text, but eliciting meaning from it."
"Rereading the Rabbis; A Woman's Voice, Introduction.4",Let me begin with an illustration drawn from the aggadic (nonlegal) material in the Talmud.
"Rereading the Rabbis; A Woman's Voice, Introduction.5","On one level, this anecdote shows, like the many others with which it is grouped in context, that the claims of scoffers can be rather easily refuted; that no matter what their argument, it can be rebutted. But on another level, this story is about women and rabbinic attitudes toward them. Had a man, let’s say a son of Rabban Gamliel, responded to the apostate, the sense of the story, in addition to repudiating the claim, would be that the rabbinic view of women is that they were created to serve men. However, since it is a woman who makes this point about women, we must think further."
"Rereading the Rabbis; A Woman's Voice, Introduction.6","The question is, how are we to read the parable posed by the daughter of Rabban Gamliel? Is she saying that women’s role in life is to be subservient? Or is she saying that women are beings of independent value and substance, and that it is only for the sake of her didactic analogy that she first downgrades them, which gives her the opportunity to upgrade further the value of God’s replacement object? For of what benefit to Adam would be the gift of a woman in place of a rib unless the woman were there to serve him?<sup>3</sup><i class=""footnote"">In the two parallel versions of this story, in <i>Bereshit Rabbah</i> 17 (Theodor and Albeck ed., 158) and <i>Aboth de Rabbi Nathan B</i>, chap. 8 (Schechter ed., 23), no mention is made of woman as a handmaiden to serve man. The main point is that a woman is gold in comparison to a man’s rib, which is clay <i>(Aboth de Rabbi Nathan)</i> or that a woman is a pound of silver in comparison to a man’s rib, which is an ounce of silver <i>(Bereshit Rabbah)</i>. In these two stories it is a <i>matrona</i>, a Roman woman, who claims that God is a thief. A rabbi (R. Yossi or R. Joshua) answers her. See previous notes and Tal Ilan’s comments on the <i>matrona</i> in <i>Jewish Women in Greco-Roman Palestine: An Inquiry into Image and Status</i> (Tübingen: J.C.B. Mohr, 1995).</i> Note that her metaphor arouses no objection from the men present."
"Rereading the Rabbis; A Woman's Voice, Introduction.7","The irony here is that the daughter of Rabban Gamliel<sup>4</sup><i class=""footnote"">Since most of the women who appear in Talmudic anecdotes are close relatives of rabbis, they are identified as the daughter of Rabbi X, the sister of Rabbi X, the wife of Rabbi X, and sometimes even the mother of Rabbi X. Only on rare occasions are they identified by their own name.</i> is not a selfeffacing maidservant but a self-confident, intelligent, and aristocratic woman. What she is and what she stands for are diametrically opposed to what she says women are meant to be. It is even possible that she has in mind the now-famous contradiction about the nature of woman found in the first two chapters of Genesis: In chapter 1, woman is portrayed as equal to man; in chapter 2, she is created from his rib, as secondary."
