Index,Daf,Siman,Siman Ref,Wiki Snippet
1,Sanhedrin 2a,א,Sanhedrin 2a:1,דיני ממונות <א> בשלשה
2,Sanhedrin 2a,ב,Sanhedrin 2a:1,בשלשה <ב> גזילות וחבלות בשלשה נזק וחצי
3,Sanhedrin 2a,ג,Sanhedrin 2a:2,נזק תשלומי כפל ותשלומי ארבעה וחמשה בשלשה <ג> האונס והמפתה והמוציא שם רע
4,Sanhedrin 2a,ד,Sanhedrin 2a:3,"בשלשה דברי ר""מ וחכמים אומרים <ד> מוציא שם רע בעשרים ושלשה"
5,Sanhedrin 2a,ה,Sanhedrin 2a:4,מפני שיש בו דיני נפשות <ה> מכות בשלשה משום רבי ישמעאל
6,Sanhedrin 2a,ו,Sanhedrin 2a:5,אמרו בעשרים ושלשה <ו> עיבור החדש בשלשה עיבור השנה
7,Sanhedrin 2a,ז,Sanhedrin 2a:5,"בשלשה דברי ר""מ רבן שמעון בן גמליאל אומר <ז> בשלשה מתחילין ובחמשה נושאין ונותנין"
8,Sanhedrin 2a,ח,Sanhedrin 2a:6,וגומרין בשבעה ואם גמרו בג' מעוברת: <ח> סמיכת זקנים ועריפת עגלה בשלשה
9,Sanhedrin 2a,ט,Sanhedrin 2a:6,דברי ר' שמעון ר' יהודה אומר <ט> בחמשה
10,Sanhedrin 2a,י,Sanhedrin 2a:6,בחמשה <י> החליצה והמיאונין בשלשה
11,Sanhedrin 2a,כ,Sanhedrin 2a:7,החליצה והמיאונין בשלשה <כ> נטע רבעי
12,Sanhedrin 2a,ל,Sanhedrin 2a:7,נטע רבעי <ל> ומעשר שני שאין דמיו ידועין
13,Sanhedrin 2a,מ,Sanhedrin 2a:7,בשלשה <מ> ההקדשות בשלשה
14,Sanhedrin 2a,נ,Sanhedrin 2a:7,ההקדשות בשלשה <נ> הערכין המטלטלים בשלשה ר' יהודה
15,Sanhedrin 2a,ס,Sanhedrin 2a:8,אומר אחד מהן כהן <ס> והקרקעות תשעה וכהן
