rashei_tevot,expanded,context_before,context_after
דא,ד' אמות,זקופה ולא ילך,בגלוי הראש
גפ,ג' פעמים,לערות עליהם מים,להעביר רוח
גפ,ג' פעמים,לערות מים עליהן,ויטלם בלא
לקש,לקריאת שמע,עלתה לו נטילה,ולתפלה אבל
לקש,לקריאת שמע,נטילת ידים אלא,ולתפלה אבל
בכהג,בכהאי גונא,בבית הכנסת ואפלו,יש נוהגין
ויא,ויש אומרים,בציצית אלא מדרבנן,דכלהו חיבים
ויא,ויש אומרים,שהם כלאים הגה,שלא לעשות
אעפ,אף על פי,ואין לה כנפות,כן
אעפ,אף על פי,ואם נתכון להוסיף,שחתך
אעפ,אף על פי,וקפטאניש ופיריגיש שבתוגרמה,שיש
ולרת,ולרבנו תם,יותר מכדי עניבה,לא מכשירים
בכע,בכדי עניבה,ב' ראשים מכשרינן,והלכה כסברא
לרה,לרשות הרבים,כהלכתה והיוצא בה,בשבת חיב
לרה,לרשות הרבים,מתר לצאת בה,בין טלית
גא,ג' אצבעות,נקרע הטלית תוך,סמוך לשפת
ויא,ויש אומרים,כל שהוא כשר,דלרב עמרם
דלרע,דלרב עמרם,כשר ויש אומרים,לא נפסל
גכ,גם כן,ביום והוא מיחד,ליום ואחר
יוכ,יום כפור,לברך עליו ובליל,יתעטף בעוד
לבהק,לבית הקברות,קבר דינו כנכנס,במקום שנוהגים
קש,קריאת שמע,תפלין עליו בשעת,ותפלה יכון
שר,של ראש,יד לא שנא,הגה ודוקא
סת,ספר תורה,תפלין או לשם,אבל אם
והאש,והיה אם שמוע,והדק ממנו לפרשת,שהיא
אוק,אות קטנה,פוסקים מצריכין כמלא,והכי הלכתא
אוק,אות קטנה,נשתיר ממנו מלא,כשר ואם
ואצ,ואין צריך,ואם לאו פסול,לכסות לו
ואצ,ואין צריך,הרגל ויחזר ויכתבנו,לגרר כל
ואצ,ואין צורתה,כתובה שלא כתקנה,עליה כגון
ואצ,וסופן אין צריך,ונו"ן פשוטה ובתחלתן,להניח
ואחכ,ואחר כך,דוקא כשנכתב בכשרות,נפסק אבל
ואחכ,ואחר כך,כצורת נו"ן כפופה,יכתב מה
ואחכ,ואחר כך,שער על הפרשה,כורכין עליו
ואחכ,ואחר כך,שעשה השי"ן בתפלין,יעשה הדלי"ת
ואחכ,ואחר כך,כך יעשה הדלי"ת,היו"ד כסדר
נכ,נו"ן כפופה,החרטום ותשאר כצורת,ואחר כך
