Phrase,Freq,,Alternate #1,Alternate #2,Alternate #3,Alternate #4,Alternate #5,Alternate #6,Alternate #7,Alternate #8,Alternate #9,Alternate #10,Alternate #11,Alternate #12,Alternate #13,Alternate #14,Alternate #15,Alternate #16,Alternate #17,Alternate #18,Alternate #19,Alternate #20,Alternate #21,Alternate #22,Alternate #23,,,,,,,,,,,,,,,,,,,,,,,,
"ז""ל",347384,|,זכרונו_לברכה (8),זכרו_לברכה (87),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"גב""ע",135,|,גביות_עדות (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ומע""ש",136,|,ומעשר_שני (0),ומעשר (1),ומעשר_שיני (2),והתרומת_מעשר (49),וכסף_מעשר (134),ומעשרותיו (610),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סי',289456,|,סימן (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"קק""ק",150,|,קדוש_קדוש_קדוש (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ה',236218,|,האלקים (43),האזינו (324),הצור (354),הזורק (762),החמשה (977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לדשלב""ל",44,|,לו_דבר_שלא_בא_לעולם (59),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר',173613,|,רבי (0),רבן (27),רביב (933),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שלבל""ע",134,|,שלא_בא_לעולם (1),שלא_בא_לעולם_עם (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ערוכ',21,|,ערוכה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
האלי',138,|,האליה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נתי',58,|,נתיב (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והגר""ז",152,|,והגאון_רבי_זלמן (42),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הרמב""ם",139351,|,הרב_רבינו_משה_בר_מיימוני (198),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לקנוני',43,|,לקנוניא (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מ""מ",134247,|,מכל_מקום (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בחבצה""ש",9,|,בחבצלת_השרון (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ב',135975,|,בסופו (283),בשניהם (392),בסתם (565),בהיפך (743),בסוף (822),בעצמו (959),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"א""כ",131285,|,אם_כן (48),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
משומ',13,|,משומד (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שמני',22,|,שמנים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"באאע""ה",9,|,באברהם_אבינו_עליו_השלום (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וא""כ",134109,|,ואם_כן (11),ואך (203),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מדפה""ס",13,|,מדפי_הספר (225),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מאה""כ",9,|,מאמר_הכתוב (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
להתענו',133,|,להתענות (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ה""לל",6,|,הוה_ליה_למתלי (41),הוי_ליה_לסתום (199),היה_להם_לפוסקים (677),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפי',113216,|,אפילו (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שעבו',41,|,שעבוד (0),שעבודי (120),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ע""ש",172111,|,עיין_שם (59),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"היו""ט",137,|,היום_טוב (0),הוא_יום_טוב (135),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ג""כ",108996,|,גם_כן (0),גם_כאן (8),גם_כעת (550),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דעש',9,|,דעשה (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"נפ""א",144,|,נפילת_אפים (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ודע""ת",22,|,ובשפתי_דעת (63),ובספר_דעת_תורה (127),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ולע""ע",47,|,ולעת_עתה (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ע""י",98586,|,על_ידי (0),על_ידו (876),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מ""אל",9,|,מיוחסת_אליו (625),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דג""פ",42,|,דגט_פשוט (174),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"סכ""נ",135,|,סכנה (1),סכנות_נפשות (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וגו',106648,|,וגומר (10),וגו (233),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לש""צ",134,|,לשליח_ציבור (1),לשליח_צבור (2),להיות_שליח_ציבור (16),להיות_שליח_צבור (20),ליעשות_שליח_צבור (830),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ומי""נ",61,|,ומתורתו_יראינו_נפלאות (4),ומתורתו_יראנו_נפלאות (121),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ד""ה",103417,|,דבור_המתחיל (17),דיבור_המתחיל (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כתו""ז",12,|,כתלויה_וזבין (305),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ונמצ',132,|,ונמצא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"עכ""ל",120289,|,עד_כאן_לשונו (12),עד_כאן_לשון (114),עד_כאן_לשונם (170),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כש""ח",137,|,כשומר_חנם (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דברהמ""ז",41,|,דברכת_המזון (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כמ""ש",95036,|,כמו_שכתב (5),כמו_שפסק (47),כמו_שהסביר (67),כמו_שהעלה (104),כמבואר_שם (115),כמו_שהביא (118),כמו_שהקשה (119),כמו_שכתבו (134),כמו_שהאריך (273),כמו_שפירש (373),כמו_שהכריע (442),כמו_שמחלק (509),כמו_שאבאר (537),כמו_שהובא (547),כמו_שנתבאר (580),כמו_שמסיק (583),כמו_שהאריכו (720),כמו_שהבאתי (858),כמו_שהגיה (868),כמפורש_שם (898),כמו_שהבין (948),כמו_שפירשו (975),,,,,,,,,,,,,,,,,,,,,,,,,
"הע""י",137,|,העיטור (114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לבחי',13,|,לבחינה (1),לבחינות (41),לבחינתו (392),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואפש',135,|,ואפשר (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ע""א",88381,|,עו_א (178),עד_א (192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארזי',13,|,ארזים (31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דמג""ש",41,|,דמגזירה_שוה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ע""כ",119709,|,עד_כאן (3),על_כן (148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דעד""ר",42,|,דעל_דעת_רבים (0),דנדר_על_דעת_רבים (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פסוקי',138,|,פסוקים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ד""מכה",13,|,דיליף_מכה (936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
המט',41,|,המטה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
התוס',83975,|,התוספות (19),התוס (107),התוסי (188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"המנ""י",135,|,המנחת_יעקב (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שכ""נ",42,|,שמדייק_כן (24),שמשמע_כן (95),שמוכרח_כן (101),שסתם_כן (107),שכך_נתפשט (108),שהעתיק_כן (150),שהבין_כן (396),שמביא_כן (671),שראה_כן (778),שנפסק_כן (868),שמפרש_כן (925),שתירצו_כן (971),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הרא""ש",80217,|,הרב_רבינו_אשר (264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כדר""ז",9,|,כדרבי_זירא (451),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דהק',133,|,דהקשה (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
