Index Title,The Minor Tractates of the Talmud V2
Version Title,"The Minor Tractates of the Talmud, trans. A. Cohen, London: Soncino Press, 1965"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002035163/NLI
Version Notes,
"Tractate Kutim, Introduction.1","<small>THE SAMARITANS</small><br/>The people named in the Bible <i>Kuthim</i> are the descendants—actual or supposed—of the immigrants who were settled by Shalmaneser, king of Assyria, in the region of Samaria when he drove the Northern Kingdom into exile and who adopted the way of life of the Israelites (cf. 2 Kings XVII, 24ff.). After the Jews returned from Babylon, the question arose in an acute form whether the <i>Kuthim</i> should be regarded as members of the community in view of their claim to share in rebuilding the Temple. [For a critical inquiry into the origins of this people, cf. J. A. Montgomery, <i>The Samaritans</i>, 1907, and for an account of them cf. J.E. X, pp. 669-681.]"
"Tractate Kutim, Introduction.2",<small>TRACTATE <i>KUTHIM</i></small>
"Tractate Kutim, Introduction.3","Not until the third century <small>C.E.</small> was the decision finally taken to treat the Samaritans as Gentiles although they had adopted many Jewish rites. Inasmuch as this tractate evidently presupposes that the question was still open, it must have been compiled in its original form before then. This view seems to be confirmed by the favourable attitude which the tractate generally adopts towards them; but there are traces of later additions in accordance with the change in the relationship between the two communities."
"Tractate Kutim, Introduction.4","[Much of the material contained in the tractate is culled from Talmudic sources. The conclusion of Montgomery is: 'Most of the independent <i>halakoth</i> are favourable to them, and so may be presumed to be discarded Baraithoth. On the other hand, the <i>halakoth</i> which have been bodily applied to the Samaritans from the law concerning the Gentiles, testify to the later practical identification of the two classes' (<i>op. cit.</i>, pp. 196f.).]"
"Tractate Kutim, Introduction.5",<small>CONTENTS OF THE TRACTATE</small>
"Tractate Kutim, Introduction.6","It begins by laying down the principle that while in most respects Samaritans are on the same footing as Jews, in some they are on the same footing as heathens; and it proceeds to give a number of rules for regulating Jewish intercourse with them. These rules relate to the Temple Service, to the right to gleanings, etc., to the observance of tithe and <i>'erub</i>, to social and business relationship with them and to their reliability as witnesses."
"Tractate Kutim, Introduction.7","Chapter II deals chiefly with the permissibility of various Samaritan foods, such as meat and cheese, and with the status of Samaritan priests; also with the position of Samaritans in the matter of legal penalties and damages. It concludes with explaining why they have been forbidden to intermarry with the Israelites and how they may one day obtain acceptance into the fold."
"Tractate Kutim, Introduction.8",[In the Talmud editions the text of the chapters is continuous. It has here been divided into paragraphs and numbered in agreement with Higger's edition.]
"Tractate Kutim, Introduction.9",M. SIMON.
