Ref,Headword,Location Name (Hebrew)
תלמוד ירושלמי בבא קמא ו ד,בערב,ערבה
משנה שבת טז ז,ערב,ערבה
משנה שבת כב ג,ערב,ערבה
תוספתא בבא קמא ו כב,ערב,ערבה
תוספתא גיטין ב י,ערב,ערבה
בראשית רבה י ח,ערב,ערבה
עירובין מג ב,מפלרדסין,ברינדיזיום
עירובין מג א,מפלרדסין,ברינדיזיום
משנה עירובין ד א,ברינדיזי,ברינדיזיום
בבא בתרא עה א,פמיא,אפמיאה
תלמוד ירושלמי שביעית ו ו,מאיספמיא,אפמיאה
משנה חלה ד יא,אפמיא,אפמיאה
מכות יג א,לבצרה,בצרה
ויקרא רבה ה ד,לבוצרה,בצרה
בראשית רבה פג ג,בוצרה,בצרה
בראשית רבה פג ג,בוצרה,בצרה
"יומא י ע""א",פרת דמישון,בצרה
עבודה זרה כג ב,באשקלון,אשקלון
עבודה זרה יא ב,שבאשקלון,אשקלון
קידושין לא א,באשקלון,אשקלון
קידושין לא א,שבאשקלון,אשקלון
כתובות כז א,באשקלון,אשקלון
כתובות כו ב,באשקל',אשקלון
כתובות כו ב,באשקלון,אשקלון
תלמוד ירושלמי סנהדרין ו ד,באשקלון,אשקלון
תלמוד ירושלמי כתובות ב ט,באשקלון,אשקלון
תלמוד ירושלמי יבמות ז ג,שלאשקלון,אשקלון
תלמוד ירושלמי יבמות ז ג,אשקלון,אשקלון
תלמוד ירושלמי חגיגה ב ב,באשקלון,אשקלון
תלמוד ירושלמי שביעית ו א,אשקלון,אשקלון
תלמוד ירושלמי שביעית ו א,אשקלון,אשקלון
תלמוד ירושלמי שביעית ו א,אשקלון,אשקלון
תלמוד ירושלמי שביעית ו א,אשקלון,אשקלון
תלמוד ירושלמי שביעית ו א,אשקלון,אשקלון
תלמוד ירושלמי שביעית ו א,דאשקלון,אשקלון
תלמוד ירושלמי שביעית ו א,אשקלון,אשקלון
תלמוד ירושלמי שביעית ו א,דאשקלון,אשקלון
תלמוד ירושלמי שביעית ו א,דאשקלון,אשקלון
תלמוד ירושלמי שביעית ו א,אשקלון,אשקלון
משנה עדויות ח ב,אשקלון,אשקלון
משנה סנהדרין ו ד,אשקלון,אשקלון
משנה גיטין א ב,אשקלון,אשקלון
משנה גיטין א ב,אשקלון,אשקלון
משנה תענית ג ו,אשקלון,אשקלון
תוספתא מקוואות ו ג,אשקלון,אשקלון
תוספתא אהלות יח יח,אשקלון,אשקלון
תוספתא אהלות יח טו,אשקלון,אשקלון
תוספתא אהלות יח ד,אשקלון,אשקלון
תוספתא שביעית ד יא,אשקלון,אשקלון
תוספתא שביעית ד יא,אשקלון,אשקלון
