Category	Desc - english	Desc - Hebrew
Tanakh,Torah	The Torah includes the first five of the twenty four books of the Tanakh. According to rabbinic tradition, the written laws together with the oral laws, which make up the halakhah were given through prophecy to Moses. Jewish tradition divides the book into parashiyot (sections). Each section corresponds to the weekly reading. The entire book is read over the course of one year. Christians divided the book into chapters and verses. This division has been used by Jews since the Middle Ages.	התורה כוללת את חמשת הספרים הראשונים של התנ"ך. לפי המסורת הרבנית, התורה שבכתב, יחד עם התורה שבעל פה, המרכיבים יחד את ההלכה היהודית, ניתנו בנבואה למשה. המסורת היהודית מחלקת את התורה לפרשיות, כאשר כל שבוע נקראת פרשה אחת, וקריאת כל חמשת החומשים מסתיימת במהלך כל שנה ושנה. הנוצרים חילקו את התורה לפרקים ופסוקים, וחלוקה זאת נמצאת בשימוש גם אצל יהודים מאז ימי הביניים.
Mishnah	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot.	המשנה היא הקובץ הערוך המשמעותי הראשון של מסורות התורה שבעל פה. המשנה נערכה על ידי רבי יהודה הנשיא לפני מותו, סביב השנה 217 לספירה, בתקופה בה, לפי התלמוד, רדיפות היהודים ומעבר הזמן העלו חשש לשכחת פרטים מהמסורת הפרושית, שנמסרה בעל פה מאז תקופת הבית השני (536 לפני הספירה – 70 לספירה). רוב המשנה כתוב בעברית משנאית, למעט מספר קטעים המופיעים בארמית. המשנה כוללת ששה סדרים, כאשר כל סדר מכיל 12-7 מסכתות, המגיעות למספר כולל של 63 מסכתות. המסכתות נחלקות לפרקים ולמשניות (פסקאות). המילה "משנה" יכולה גם להתייחס לפסקה אחת כזו, כלומר ליחידה הקטנה ביותר במערך המשנה. מסיבה זו יש הקוראים למשנה כולה בלשון רבים, "משניות".
Talmud,Bavli	The Babylonian Talmud ("instruction, learning") is a central text of Rabbinic Judaism. Babylon refers to the geographical location of its composition and not to the empire. The Talmud has two components: the Mishnah (c. 200 CE) and the Gemara (c. 500 CE). The latter is a discussion of the Mishnah. The entire Talmud consists of 63 tractates, further subdivided into chapters and folios. Each folio is double sided and starts on page 2a. It is written in Tannaitic Hebrew and Aramaic, and contains the teachings and opinions of rabbis on a variety of subjects, including Halakha (law), Jewish ethics, philosophy, customs, history, lore and many other topics. The Talmud is the basis for all codes of Jewish law, and is widely quoted in rabbinic literature. It is also traditionally referred to as Shas, a Hebrew abbreviation of shisha sedarim, (six orders).	התלמוד הבבלי הוא טקסט מרכזי ביהדות הרבנית. המילה 'בבל' המופיעה בכותרת מתייחסת למיקום הגיאוגרפי בו גובש הטקסט, ולא ליחידה הפוליטית של האימפריה הבבלית. התלמוד כולל שני מרכיבים: המשנה (אשר נחתמה סביב השנה 200 לספירה) והגמרא (אשר נחתמה סביב השנה 500 לספירה). הגמרא היא דיון על המשנה, ובנויה לפי הסדרים והמסכתות אליו היא מחולקת. התלמוד כולו מכיל 63 מסכתות, המחולקות לפרקים ולדפים. כל דף הוא דו-צדדי והמספור מתחיל בדף ב, עמוד א. התלמוד כתוב בעברית תנאית ובארמית, וכולל את המימרות וההוראות של החכמים על מגוון נושאים: על הלכה, מוסר, פילוסופיה, מנהגים, היסטוריה, פולקלור ונושאים רבים אחרים. התלמוד הוא הבסיס לכל קבצי ההלכה היהודיים, ומצוטט באופן נרחב בספרות הרבנית. הוא מכונה גם 'הש"ס', ראשי תיבות של "ששה סדרים," ששת הסדרים אליו מחולקים המשנה והגמרא.
Talmud,Yerushalmi	The Jerusalem Talmud ("instruction, learning") (4th-5th CE) is a collection of rabbinic notes on the Mishnah (2nd CE). It is also known as the Palestinian Talmud or Talmuda de-Eretz Yisrael (Talmud of the Land of Israel). These latter names are considered more accurate by some as the work was probably composed in the Galilee area rather than Jerusalem. The language used is a Western Aramaic dialect. It is often fragmentary and difficult to read because of its rushed redaction due to persecution. Its arrangement has two structures; either numbering each folios starting from 2a or numbering each chapter and halakha (Mishnah).	התלמוד הירושלמי (מאה 5-4 לספירה) היא אוסף הערות רבניות על המשנה (מאה 2 לספירה). הוא ידוע גם כתלמוד הפלסטיני או כ'תלמודא דארץ ישראל' (התלמוד של ארץ ישראל). שמות אלו נחשבים יותר מדויקים על ידי חוקרים מסוימים, היות והחיבור נכתב ככל הנראה נכתב, ולא בירושלים. לשון התלמוד הירושלמי הוא ניב ארמי מערבי. הטקסט של הירושלמי מקוטע וקשה לקריאה במקרים רבים, בשל העריכה החפוזה לה זכה בעקבות רדיפות יהודי ארץ ישראל בתקופה זו. התלמוד הירושלמי מסודר בשני אופנים שונים: מספור דפים, המחל בדף 2 עמוד א (בדומה לתלמוד הבבלי), או מספור לפי פרקים והלכות, לפי סדר המשנה.
Tanaitic,Tosefta	The Tosefta (Supplement, addition") is a compilation of the Jewish oral law. Opinions differ widely as to when the Tosefta was redacted and how it relates to the Mishnah. However it closely corresponds to the Mishnah in structure and style, with the same divisions for sedarim ("orders") and masekhot ("tractates"). In many ways, the Tosefta acts as a supplement to the Mishnah. It is mainly written in Mishnaic Hebrew, with some Aramaic.	התוספתא (תוספת, השלמה) היא אוסף הלכתי שהועבר כחלק מהתורה שבעל פה. הדעות חלוקות מאוד בשאלה מתי נערכה התוספתא ובדבר יחסה למשנה. בכל מקרה, מבנה וסגנון התוספתא דומה מאוד למשנה, עם אותה חלוקה לסדרים ומסכתות. התוספתא משמשת, במידה רבה, כהשלמה למשנה. היא כתובה כל פי רוב בעברית משנאית, אך מכילה גם קטעים קצרים הכתובים בארמית.
Halakhah,Mishneh Torah	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law.	"משנה תורה", אשר כותרתו המשנית היא "ספר היד החזקה", הוא חיבור הלכתי שנכתב על ידי רבי משה בן מיימון, הרמב"ם. ה"משנה תורה" נכתב בין 1170 ו-1180 במצרים, ונחשב לגולת הכותרת של יצירתו הספרותית של הרמב"ם. החיבור מורכב מארבעה-עשר ספרים, המחולקים ל"הלכות", פרקים ופסקאות ("הלכות קטנות"). זוהי היצירה הימי-ביניימית היחידה המקיפה את כל תחומי ההלכה היהודים, כולל ההלכות אשר קיומם תלוי בקיום בית המקדש. הרמב"ם שאף לספק, ב"משנה תורה", סיכום מקיף של התורה שבעל פה, באופן שמי שלמד את כל התורה שבכתב ואת כל ה"משנה תורה" לא ייזקק לאף ספר נוסף. התגובות לחיבור בעת פרסומו היו מעורבות, וכללו התנגדות מיידית וחריפה לפרסומו, אשר התמקדה בהעדר הפנייה למקורות ובאמונה כי הספר נועד, כביכול, להחליף את לימוד התלמוד. הרמב"ם הגיב לביקורות אלו, וה"משנה תורה" שרד כיצירה בעלת השפעה רבה במחשבת ההלכה היהודית. לדעת סמכויות הלכתיות מסוימות, אין לפסוק הלכה בניגוד לדברי הרמב"ם ב"משנה תורה", אפילו במקרים בו נראה שהוא פוסק בניגוד להבנה הפשוטה של סוגיה תלמודית כלשהי, היות ובמקרים כאלו מניחים פוסקים אלו שדברי התלמוד התפרשו שלא כהוגן, והרמב"ם העמיד אותם על דיוקם, או במקרים בו הוא חולק על מוריו בהלכה.
Halakhah,Shulchan Arukh	The Shulhan Arukh ("Set Table") is the most widely consulted code of Jewish law. It was authored in Safed, Israel, by Josef Karo in 1563 and published in Venice two years later. The Shulhan Arukh and its forerunner, the Beit Yosef follows the same structure as Arba'ah Turim by Rabbi Jacob ben Asher. There are four sections, each subdivided into many chapters and paragraphs. The rulings in generally follow Sephardi practice whereas Ashkenazi Jews will generally follow the rulings of Moses Isserles whose glosses note the differences in customs. These glosses are widely referred to as the Mappah ("tablecloth"). Almost all published editions of the Shulhan Arukh include this gloss, and the term Shulhan Arukh has come to identified as a single work.	ה"שולחן ערוך" הוא היצירה ההלכתית המרכזית ביותר בפסיקת ההלכה מאז פרסומו. הספר נכתב בצפת על ידי רבי יוסף קארו, בשנת 1563, ופורסם שנתיים מאוחר יותר בוונציה. ה"שולחן ערוך" והיצירה שקדמה לה מפרי עטו של קארו, ה"בית יוסף", מסודרים לפי סדר ה"ארבעה טורים" של רבי יעקב בן אשר. ישנם ארבעה "טורים" – 'אורח חיים', 'יורה דעה', 'אבן העזר' ו'חושן משפט', המחולקים לסימנים ולהלכות רבות. ההכרעות ההלכתיות בספר בדרך כלל נפסקות לפי המנהג הספרדי, בעוד אשכנזים ילכו בדרך כלל בעקבות פסיקתו של רבי משה איסרליש (הרמ"א), אשר הוסיף הגהות לספר, המציינות את ההבדל בין מנהגי שתי העדות. הגהות אלו מכונים בדרך כלל ה"מפה" על ה"שולחן ערוך". כמעט כל הגרסאות של ה"שולחן הערוך" שהגיעו לדפוס כוללים את הגהות הרמ"א, והכינוי "שולחן ערוך" יוחס, עם הזמן, למכלול כתיבתו של רבי יוסף קארו, יחד עם הערות הרמ"א.
Tanakh	The Hebrew Bible. Contains 24 books in 3 sections:Torah (Five Books of Moses),Nevi’im (Prophets),Ketuvim (Writings). Tanakh is an acronym for the 3 sections.	התנ"ך היהודי כולל 24 ספרים, המחולקים ל-3 חלקים: תורה (חמשת החומשים המיוחסים למשה), נביאים (ספרי נבואה של נביאים שונים) וכתובים, כאשר ראשי התיבות של החלקים השונים מרכיבים את השם 'תנ"ך'.
Mishnah	The Mishnah is the first redaction of the Oral Law, edited by Rabbi Yehudah HaNasi at the end of the 2nd Century CE. The Mishnah is divided into 6 orders which are further divided into 63 tractates.	המשנה היא הקובץ הערוך הראשון של התורה שבעל פה. היא נערכה על ידי רבי יהודה הנשיא בסוף המאה השנייה לספירה. המשנה מחולקת לששה סדרים, המחולקים ל-63 מסכתות.
Talmud	The Talmud, composed of the Mishnah and Gemara (elucidation of the Mishnah), is the basis of all Jewish law. The Talmud Yerushalmi and Talmud Bavli are two versions, compiled by the rabbis of Eretz Yisrael and Babylonia, respectively.	התלמוד, המורכב מהמשנה ומהגמרא (פירוש על המשנה), מהווה את הבסיס לכל פסיקת ההלכה היהודית. התלמוד הירושלמי והתלמוד הבבלי הם שני גרסאות של התלמוד, אשר נערכו בידי רבני ארץ ישראל ובבל, בהתאמה.
