primary,heb alt,eng alt
Editors' Introduction,הקדמת העורכים,Editors' Introduction
A Commemorative Introduction,דברי פתיחה וזיכרון,A Commemorative Introduction
1,א; את פניך ה' אבקש,I
2,ב; אתם נצבים היום – כֻּלכם,II
3,ג; קדושה וטהרה,III
4,ד; קדושת אברהם וקדושת יעקב,IV
5,ה; אברהם אבינו – זקן ויושב בישיבה,V
6,ו; אמת ליעקב,VI
7,ז; מלכות שלישית ורביעית,VII
8,ח; לא אתם שלחתם אותי הֵנה כי האלוקים,VIII
9,ט; כי סר לראות,IX
10,"י; משה, אהרן ומרים – אמת, חסד ומלכות",X
11,יא; תשורי מראש אמנה,XI
12,יב; דינין לפניה ודינין לאחריה,XII
13,"יג; מקריות, גורל והשגחה",XIII
14,יד; לוחות אבנים כראשונים,XIV
15,טו; בדמייך חיי – דם פסח ודם מילה,XV
16,טז; ימות המשיח – לדרכה של הציונות הדתית,XVI
17,יז; ספירת העומר,XVII
18,יח; ציון וירושלים,XVIII
19,יט; שמירת הדיבור,XIX
20,כ; אפך כמגדל הלבנון,XX
21,כא; טוב מאוד – טוב מוות,XXI
22,כב; האמת והשלום אהבו,XXII
