French Word,Talmud Ref,French Rashi Matches,Hebrew Rashi Matches (if different),Loazei Rashi Info
"שליא/וישטידור""א",Berakhot 4a,Rashi on Berakhot 4a:9:3,,"1 ברכות ד. <b>שליא</b><br>וישטידור""א westedure <b>לבוש, ובהשאלה – [vestedure] שליה</b><br><small>המלה הצרפתית מגלמת בעצמה את ההסבר של רש""י.$
</small>","(4a:9:3) ובשליא – דתנן (שם כו) אין שליא בלא ולד והוא כמין לבוש שהולד שוכב בתוכה וקורין ושטי""דור  בלע""ז ותניא (שם) אין שליא פחותה מטפח ותחלתה כחוט של ערב וסופה כתורמוס והיו מביאין אותה לפניו לראות אם יש בה כשיעור ואם עשויה כדת שליא שנחזיקנה שהיה ולד בתוכה ונמוח ותשב עליו ימי טומאה וטהרה אם לאו:"
"חופיא/פריי""ר",Berakhot 6a,Rashi on Berakhot 6a:5:4,,"2 ברכות ו. <b>חופיא</b><br>פריי""ר freier <b>חיכוך</b><br><small>ר' מילונו של לוי (מס' 479).$
</small>","(6a:5:4) מחופיא דידהו – באין המזיקים ויושבין אצלם ומתחככים בהם. חופיא לשון חופף ומפספס (שבת דף נ) פריי""ר בלע""ז:"
"צוות/שול""ץ",Berakhot 6b,,Rashi on Berakhot 6b:36:1,"3 ברכות ו: <b>צוות</b><br>שול""ץ solaz <b>שעשוע</b><br><small>כלומר חֶברה. המונעת את האדם החי בתוכה מלהשתעמם.$
</small>","(6b:36:1) לצוות – של""ווץ בלע""ז:"
"שורייקי/טיי""ש",Berakhot 7a,Rashi on Berakhot 7a:18:1,,"4 ברכות ז. <b>שורייקי</b><br>טיי""ש tajes <b>כתמים</b><br><small>$
</small>","(7a:18:1) שורייקי – טיי""ש בלעז:"
"אסכרא/בו""ן מלנ""ט",Berakhot 8a,Rashi on Berakhot 8a:13:1,,"5 ברכות ח. <b>אסכרא</b><br>בו""ן מלנ""ט bon malant <b>פצע חמור</b><br><small>מלה במלה: פצע טוב, ביטוי מפתיע, המופיע 9 פעמים בלעזים של פירוש רש""י על התלמוד, אך אין לו עדות במקום אחר; אולי יש להבין את המלה ""בון"" לא במשמעות של ""טוב"", אלא במשמעות ""אבעבועה"" מלשון ""בובון"" ביוונית. ברם, לפי ד""ר יוליוס פרויס Bon malan bei raschi. In: Festschrift zum 70. Geburtstage A.Berliner's. Berlin. 1903. ע' 300-296. ""טוב"" הוא כאן לשון סגי נהור. דפוס סונצינו גורס איישטראנגלמאנ""ס (קרי: אישטרנגלימינ""ט) estranglement (אסכרה), שוודאי אינו מאת רש""י. ר' מילונו של לוי (מס' 433). ור' להלן מס' 1219.$
</small>","(8a:13:1) אסכרא – אישטר""אנגולמנט בלע""ז שבתוך הגוף:"
"זיבולא/פיליד""א",Berakhot 8a,Rashi on Berakhot 8a:14:2,,"6 ברכות ח. <b>זיבולא</b><br>פיליד""א pelede <b>מלוא את-חפירה</b><br><small> ""עד מלוא את-חפירה אחרון"", דהיינו עד שפיכת העפר האחרון על הקבר.$
</small>","(8a:14:2) זיבולא – פלא""דא בלע""ז :"
"כרתי/פוריל""ש",Berakhot 9b,Rashi on Berakhot 9b:9:1,,"7 ברכות ט: <b>כרתי</b><br>פוריל""ש porels <b>כרשים (ירק מאכל)</b><br><small>$
</small>","(9b:9:1) מתני' תכלת – ירוק הוא וקרוב לצבע כרתי שקורין פור""ייש:"
"גירר/טראינ""ה",Berakhot 10b,,Rashi on Berakhot 10b:7:1,"8 ברכות י: <b>גירר</b><br>טראינ""ה traina <b>[הוא] גרר</b><br><small>לעז הנמצא רק בכתב-יד אחד, וגם אינו מודפס בדפוסי התלמוד שלנו, ויש לפקפק במקוריותו.$
</small>",(10b:7:1) גירר עצמות אביו – לפי שהיה רשע בזהו ולא נהג בו כבוד בקבורתו להוציאו כהוגן במטות זהב וכסף:
"קבורת הזרוע/ברדו""ן",Berakhot 13b,Rashi on Berakhot 13b:8:1,,"9 ברכות יג: <b>קבורת הזרוע</b><br>ברדו""ן bardon <b>חלק (של הזרוע) שהוא מלא בשר</b><br><small>אין קשר עם המלה הצרפתית bras ""זרוע"", אלא עם המלה הגרמנית Braten ""צלי בשר"". ר' בלונדהיים ב' (ע' 131-130).$
</small>","(13b:8:1) שתהא שימה כנגד הלב – דהא ושמתם דכתיב לאו בקריאה וכוונה איירי אלא בשימת תפילין של יד שיהא שם אותה על גובה של יד כנגד הלב על קבורת הזרוע ברדו""ן:"
"ברדא/גלצ""א",Berakhot 18b,,Rashi on Berakhot 18b:2:1,"10 ברכות יח: <b>ברדא</b><br>גלצ""א glace <b>קֶרח</b><br><small>$
</small>","(18b:2:1) גזיזי דברדא – חתיכות של ברד והקרח שקורין גלאנצ""א בלע""ז והיינו ביום השלג:"
"קילעא/פורק""א",Berakhot 22b,,Rashi on Berakhot 22b:1:1,"11 ברכות כב: <b>קילעא</b><br>פורק""א porche <b>פרוזדור</b><br><small>מבנה הבולט החוצה, שבו פתח הבית.$
</small>","(22b:1:1) בקילעא – כניסת הבית חדר שלפני הטרקלין שקורין פורטיג""ו בלעז:"
"טוחות/אפלשטרידי""ש",Berakhot 24a,,Rashi on Berakhot 24a:11:1,"12 ברכות כד. <b>טוחות</b><br>אפלשטרידי""ש aplastredes <b>מכוסות טיח</b><br><small>לשון נופל על לשון ""טוחות"", לומר שהגוף התחתון חָלָק אצל הנשים כמו קיר, שכיסוהו טיח. מלה זו לא פוענחה בבלונדהיים א' אלא ב' (ע' 101-100). ור' מילונו של לוי (מס' 94).$
</small>","(24a:11:1) כגון שהיו פניה טוחות – דבוקות ומכוסות בקרקע טוחות משמע לשון שעיעות טיח חלק שאינה בולטת אפלטיירש""א בלע""ז:"
"גיהק/רוטי""ר",Berakhot 24a,Rashi on Berakhot 24a:23:3,,"13 ברכות כד. <b>גיהק</b><br>רוטי""ר roter <b>לגהק</b><br><small>$
</small>","(24a:23:3) ונתעטש – שטרנוד""ר בלע""ז ויש שדורשים גיהק נוטריקון גו הקים שטריליי""ר פיהק פיו הקים:"
"פיהק/בדייליי""ר",Berakhot 24a,Rashi on Berakhot 24a:23:2,,"14 ברכות כד. <b>פיהק</b><br>בדייליי""ר badeilier [badaillier] <b>לפהק</b><br><small>$
</small>","(24a:23:2) פיהק – באליי""ר בלע""ז חיך מלקוחיו פותח להוציא רוח הפה מלא כאדם שרוצה לישן או שעמד משינה:"
