Rashi Matches,Data
Rashi on Berakhot 4a:9:3,"1 ברכות ד. <b>שליא</b><br>וישטידור""א westedure <b>לבוש, ובהשאלה – [vestedure] שליה</b><br><small>המלה הצרפתית מגלמת בעצמה את ההסבר של רש""י.$</small>"
Rashi on Berakhot 6a:5:4,"2 ברכות ו. <b>חופיא</b><br>פריי""ר freier <b>חיכוך</b><br><small>ר' מילונו של לוי (מס' 479).$</small>"
Rashi on Berakhot 6b:36:1,"3 ברכות ו: <b>צוות</b><br>שול""ץ solaz <b>שעשוע</b><br><small>כלומר חֶברה. המונעת את האדם החי בתוכה מלהשתעמם.$</small>"
Rashi on Berakhot 7a:18:1,"4 ברכות ז. <b>שורייקי</b><br>טיי""ש tajes <b>כתמים</b><br><small>$</small>"
Rashi on Berakhot 8a:13:1,"5 ברכות ח. <b>אסכרא</b><br>בו""ן מלנ""ט bon malant <b>פצע חמור</b><br><small>מלה במלה: פצע טוב, ביטוי מפתיע, המופיע 9 פעמים בלעזים של פירוש רש""י על התלמוד, אך אין לו עדות במקום אחר; אולי יש להבין את המלה ""בון"" לא במשמעות של ""טוב"", אלא במשמעות ""אבעבועה"" מלשון ""בובון"" ביוונית. ברם, לפי ד""ר יוליוס פרויס Bon malan bei raschi. In: Festschrift zum 70. Geburtstage A.Berliner's. Berlin. 1903. ע' 300-296. ""טוב"" הוא כאן לשון סגי נהור. דפוס סונצינו גורס איישטראנגלמאנ""ס (קרי: אישטרנגלימינ""ט) estranglement (אסכרה), שוודאי אינו מאת רש""י. ר' מילונו של לוי (מס' 433). ור' להלן מס' 1219.$</small>"
Rashi on Berakhot 8a:14:2,"6 ברכות ח. <b>זיבולא</b><br>פיליד""א pelede <b>מלוא את-חפירה</b><br><small> ""עד מלוא את-חפירה אחרון"", דהיינו עד שפיכת העפר האחרון על הקבר.$</small>"
Rashi on Berakhot 9b:9:1,"7 ברכות ט: <b>כרתי</b><br>פוריל""ש porels <b>כרשים (ירק מאכל)</b><br><small>$</small>"
Rashi on Berakhot 10b:7:1,"8 ברכות י: <b>גירר</b><br>טראינ""ה traina <b>[הוא] גרר</b><br><small>לעז הנמצא רק בכתב-יד אחד, וגם אינו מודפס בדפוסי התלמוד שלנו, ויש לפקפק במקוריותו.$</small>"
Rashi on Berakhot 13b:8:1,"9 ברכות יג: <b>קבורת הזרוע</b><br>ברדו""ן bardon <b>חלק (של הזרוע) שהוא מלא בשר</b><br><small>אין קשר עם המלה הצרפתית bras ""זרוע"", אלא עם המלה הגרמנית Braten ""צלי בשר"". ר' בלונדהיים ב' (ע' 131-130).$</small>"
Rashi on Berakhot 18b:2:1,"10 ברכות יח: <b>ברדא</b><br>גלצ""א glace <b>קֶרח</b><br><small>$</small>"
Rashi on Berakhot 22b:1:1,"11 ברכות כב: <b>קילעא</b><br>פורק""א porche <b>פרוזדור</b><br><small>מבנה הבולט החוצה, שבו פתח הבית.$</small>"
Rashi on Berakhot 24a:11:1,"12 ברכות כד. <b>טוחות</b><br>אפלשטרידי""ש aplastredes <b>מכוסות טיח</b><br><small>לשון נופל על לשון ""טוחות"", לומר שהגוף התחתון חָלָק אצל הנשים כמו קיר, שכיסוהו טיח. מלה זו לא פוענחה בבלונדהיים א' אלא ב' (ע' 101-100). ור' מילונו של לוי (מס' 94).$</small>"
Rashi on Berakhot 24a:23:3,"13 ברכות כד. <b>גיהק</b><br>רוטי""ר roter <b>לגהק</b><br><small>$</small>"
Rashi on Berakhot 24a:23:2,"14 ברכות כד. <b>פיהק</b><br>בדייליי""ר badeilier [badaillier] <b>לפהק</b><br><small>$</small>"
Rashi on Berakhot 24a:23:3,"15 ברכות כד. <b>נתעטש</b><br>אישטירנודי""ר esternuder <b>להתעטש</b><br><small>$</small>"
Rashi on Berakhot 24a:23:1,"16 ברכות כד. <b>גיהק</b><br>אישטינדייליי""ר estendeilier [estendeillier] <b>להתמתח</b><br><small>מצוי רק בדפוס סונצינו (מהדורה ב'. רעא בערך) בצורת אשטריליי""ר (צ""ל אישטריליי""ר estrelier), שהיא ודאי שיבוש.$</small>"
Rashi on Berakhot 24b:1:3,"17 ברכות כד: <b>(סנטרו) [סנטר]</b><br>מינטו""ן menton <b>סנטר</b><br><small>$</small>"
Rashi on Berakhot 25a:2:3,"18 ברכות כה. <b>ירקון</b><br>ילונציא""ה jaloncia <b>צהבת</b><br><small>יש דמיון-צלילים רב בין המלה צהבת"" בצרפתית עתיקה (ילונציא""ה) ובין המלה, ממוצא שונה לגמרי, המציינת ""קנאות"" (jalosie ילושיא""ה); הנחה נועזת למדאי תהיה, שרש""י התכוון לרמוז על הקשר בין מחלת ""הירקון"" ובין הקנאה, הגורמת לאדם, שפניו ""מוריקות"". צורה שונה של הלעז גלניצ""א (=ילניצא""ה jalnice) מופיעה בדפוס סונצינו. חוץ מצורה זו אין בשום מקור (אף לא במס' 741 להלן) האות צד""י המתבקשת, ובמקומה, בכל כתבי-היד, האות סמ""ך, שרש""י נמנע שיטתית מלהשתמש בה! ר' מילונו של לוי (מס' 519).$</small>"
