French Word (en),French Word (he),Tanakh Ref,Rashi Matches
estordison,"אישטורדישו""ן",Genesis 1:2,['Rashi on Genesis 1:2:2']
acoveter,"אקוביטי""ר",Genesis 1:2,['Rashi on Genesis 1:2:5']
erbediz,"אירבידי""ץ",Genesis 1:11,['Rashi on Genesis 1:11:2']
conmovres,"קונמוברי""ש",Genesis 1:24,['Rashi on Genesis 1:24:3']
coin,"קוי""ן",Genesis 1:27,['Rashi on Genesis 1:27:1']
lame,"למ""א",Genesis 3:24,['Rashi on Genesis 3:24:3']
neistre,"ניישטר""א",Genesis 4:18,['Rashi on Genesis 4:18:1']
enjendrer,"איניינדרי""ר",Genesis 4:18,['Rashi on Genesis 4:18:1']
navredure,"נברידור""א",Genesis 4:23,['Rashi on Genesis 4:23:3']
apareilier,"אפרייליי""ר",Genesis 11:3,['Rashi on Genesis 11:3:2']
tiules,"טיולי""ש",Genesis 11:3,['Rashi on Genesis 11:3:4']
armer,"ארמי""ר",Genesis 14:14,[]
inicier,"איניציי""ר",Genesis 14:14,['Rashi on Genesis 14:14:2']
desanfantez,"דישאנפנטי""ץ",Genesis 15:2,['Rashi on Genesis 15:2:1']
esmucier,"אישמוציי""ר",Genesis 19:17,['Rashi on Genesis 19:17:5']
torche,"טורק""א",Genesis 19:28,['Rashi on Genesis 19:28:1']
esprover,"אישפרובי""ר",Genesis 20:16,['Rashi on Genesis 20:16:4']
fendre,"פינדר""א",Genesis 22:3,['Rashi on Genesis 22:3:4']
donai,"דונא""י",Genesis 23:14,[]
centeniers,"צינטינייר""ש",Genesis 23:16,['Rashi on Genesis 23:16:1']
aprover,"אפרובי""ר",Genesis 24:14,['Rashi on Genesis 24:14:1']
humer,"הומי""ר",Genesis 24:17,['Rashi on Genesis 24:17:2']
encreisement,"אינקריישמיני""ט",Genesis 25:21,['Rashi on Genesis 25:21:2']
flocheide,"פלוקייד""א",Genesis 25:25,['Rashi on Genesis 25:25:2']
ovreine,"אובריינ""א",Genesis 26:14,['Rashi on Genesis 26:14:1']
nuisement,"נוישימינ""ט",Genesis 26:21,['Rashi on Genesis 26:21:1']
"אירוח, לינה","הירבירייריא""ה",Genesis 30:20,['Rashi on Genesis 30:20:2']
pointure,"פוינטור""א",Genesis 30:32,['Rashi on Genesis 30:32:1']
ros,"רו""ש",Genesis 30:32,['Rashi on Genesis 30:32:3']
trenble,"טרינבל""א",Genesis 30:37,['Rashi on Genesis 30:37:1']
coldre,"קולדר""א",Genesis 30:37,['Rashi on Genesis 30:37:3']
chastenier,"קשטיניי""ר",Genesis 30:37,['Rashi on Genesis 30:37:4']
peised,"פיישי""ד",Genesis 31:10,['Rashi on Genesis 31:10:2']
bastel,"בשטי""ל",Genesis 31:34,['Rashi on Genesis 31:34:1']
aprover,"אפרובי""ר",Genesis 31:37,['Rashi on Genesis 31:37:1']
apeiement,"אפיימינ""ט",Genesis 33:10,['Rashi on Genesis 33:10:3']
saluder,"שלודי""ר",Genesis 33:11,['Rashi on Genesis 33:11:1']
mon salud,"מו""ן שלו""ד",Genesis 33:11,['Rashi on Genesis 33:11:1']
enfanteis,"אינפנטיי""ש",Genesis 33:13,['Rashi on Genesis 33:13:2']
parlediz,"פרלידי""ץ",Genesis 37:2,['Rashi on Genesis 37:2:5']
destolir,"דישטולי""ר",Genesis 38:16,['Rashi on Genesis 38:16:1']
pestor,"פישטו""ר",Genesis 40:1,['Rashi on Genesis 40:1:3']
wediz,"וידי""ץ",Genesis 40:10,['Rashi on Genesis 40:10:1']
espanir,"אישפני""ר",Genesis 40:10,['Rashi on Genesis 40:10:2']
obledes,"אובלידי""ש",Genesis 40:16,['Rashi on Genesis 40:16:1']
maresc,"מריש""ק",Genesis 41:2,['Rashi on Genesis 41:2:2']
tenves,"טינבי""ש",Genesis 41:3,['Rashi on Genesis 41:3:1']
tudel,"טודי""ל",Genesis 41:5,['Rashi on Genesis 41:5:1']
seines,"שייני""ש",Genesis 41:5,['Rashi on Genesis 41:5:2']
hasledes,"השלידי""ש",Genesis 41:6,['Rashi on Genesis 41:6:1']
bise,"ביש""א",Genesis 41:6,['Rashi on Genesis 41:6:2']
seines,"שייני""ש",Genesis 41:7,['Rashi on Genesis 41:7:1']
fose,"פוש""א",Genesis 41:14,['Rashi on Genesis 41:14:1']
entendre,"אינטינדר""א",Genesis 41:15,['Rashi on Genesis 41:15:2']
bloses,"בלושי""ש",Genesis 41:19,['Rashi on Genesis 41:19:2']
garnison,"גרנישו""ן",Genesis 41:40,['Rashi on Genesis 41:40:1']
disner,"דישני""ר",Genesis 43:16,['Rashi on Genesis 43:16:2']
maderne,"מדירנ""א",Genesis 44:2,['Rashi on Genesis 44:2:1']
meisnede,"מיישניד""א",Genesis 45:2,['Rashi on Genesis 45:2:1']
saluder,"שלודי""ר",Genesis 47:7,['Rashi on Genesis 47:7:1']
charuede,"קרואיד""א",Genesis 48:7,['Rashi on Genesis 48:7:3']
esjareter,"אישיריטי""ר",Genesis 49:6,['Rashi on Genesis 49:6:6']
corjede,"קורייד""א",Genesis 49:11,['Rashi on Genesis 49:11:2']
marche,"מרק""א",Genesis 49:13,['Rashi on Genesis 49:13:1']
traces,"טרצי""ש",Genesis 49:19,['Rashi on Genesis 49:19:3']
asomeil,"אשומיי""ל",Genesis 49:26,['Rashi on Genesis 49:26:3']
jonc,"יונ""ק",Exodus 2:3,['Rashi on Exodus 2:3:2']
rosel,רושיל,Exodus 2:3,['Rashi on Exodus 2:3:4']
balbe,"בלב""א",Exodus 4:10,['Rashi on Exodus 4:10:2']
estoble,"אישטובל""א",Exodus 5:7,['Rashi on Exodus 5:7:1']
tiules,"טיולי""ש",Exodus 5:7,['Rashi on Exodus 5:7:2']
retreit,"ריטריי""ט",Exodus 5:8,['Rashi on Exodus 5:8:4']
preideor,"פריידוי""ר",Exodus 7:1,['Rashi on Exodus 7:1:2']
estanc,"אישטנ""ק",Exodus 7:19,['Rashi on Exodus 7:19:4']
pedoliere,"פידולייר""א",Exodus 8:2,['Rashi on Exodus 8:2:1']
greinoiliere,"גרינוילייר""א",Exodus 8:2,['Rashi on Exodus 8:2:1']
wanter,"ונטי""ר",Exodus 8:5,['Rashi on Exodus 8:5:1']
pedoliere,"פידולייר""א",Exodus 8:13,['Rashi on Exodus 8:13:1']
enticier,"אינטיציי""ר",Exodus 8:17,[]
jelones,"יילוני""ש",Exodus 9:8,['Rashi on Exodus 9:8:1']
olves,"אולבי""ש",Exodus 9:8,['Rashi on Exodus 9:8:2']
chalchier,"קלקיי""ר",Exodus 9:17,['Rashi on Exodus 9:17:1']
werdure,"וירדור""א",Exodus 10:15,['Rashi on Exodus 10:15:1']
terceine,"טירציינ""א",Exodus 10:22,['Rashi on Exodus 10:22:1']
seiteine,"שייטיינ""א",Exodus 10:22,['Rashi on Exodus 10:22:2']
plante,"פלנט""א",Exodus 10:26,['Rashi on Exodus 10:26:1']
lintier,"לינטיי""ר",Exodus 12:7,[]
paske,"פשק""א",Exodus 12:11,['Rashi on Exodus 12:11:3']
seiteine,"שייטיינ""א",Exodus 12:15,['Rashi on Exodus 12:15:1']
serez,"שירי""ץ",Exodus 14:3,['Rashi on Exodus 14:3:3']
se por feilance de non foses,"ש""י פו""ר פיילנצ""א ד""י נו""ן פןשי""ש",Exodus 14:11,['Rashi on Exodus 14:11:1']
estordison,"אישטורדישו""ן",Exodus 14:24,['Rashi on Exodus 14:24:4']
plom,"פלו""ם",Exodus 15:10,['Rashi on Exodus 15:10:3']
