Index Title,Bader-Jewishspritualheroes-Vol3.
Version Title,"Commentary on the Torah by Ramban (Nachmanides). Translated and annotated by Charles B. Chavel. New York, Shilo Pub. House, 1971-1976"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002108945/NLI
Version Notes,
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.1","W<small>HEN</small> R<small>ABAH BAR</small> R<small>AV</small> H<small>UNA</small> was at the head of the academy in Sura the Pumbedithans could not unite on a candidate for the position of head of the academy to take the place of Rav Joseph bar Chiya. There were four men who were considered for the position: Abayei bar Chyailil, Rava (Rav Aba bar Chama, the priest) Rav Zeira the second and Raba bar Matana. These four agreed to resolve some difficulty about a law and the one whose answer would be the best, clearest and unanswerable, would be crowned as the head of the academy of Pumbeditha. Abayei won this contest, because his remarks were not subject to criticism. Thus he was chosen as the head of the academy. <sup>1)</sup><i class=""footnote""><span dir=""rtl"">1) הוריות י""ד א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.2","Abayei was born in the year 280 C. E. and died about 338 C. E. He is often called Nachmani after his grandfather Nachmani, the father of Rabah, at whose home he was brought up. His father died before he was born and his mother died in giving birth, and his uncle Rabah took the orphaned child to bring him up. He acquired his great legal learning from this uncle of his. He also inherited his depth and keenness from him. Besides this he was characterized by nobility of character and a pure-mindedness which was best expressed in the following saying: ""A man should always be open-hearted in his dealings with God, friendly and careful, never to anger anyone. Particularly must he be at peace with his relations as well as with every other person, even a pagan in the street, so that he may be loved by all who are superior to him and welcome to all who are inferior."" <sup>2)</sup><i class=""footnote""><span dir=""rtl"">2) ברכות י""ז א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.3","With a childlike respect Abayei mentions his nurse who took the place of his mother and gave him various bits of counsel in life, and concerning human nature and the nature of the world. He quotes a score of her remarks with the greatest esteem as though they had been the sayings of some prominent Rabbi. He would usually preface these sayings with the words ""my foster-mother said to me,"" and all these quotations show that this nurse of Abayei must have been an extraordinary woman with a great deal of experience and broad understanding. <sup>3)</sup><i class=""footnote""><span dir=""rtl"">3) שבת קל""ד א׳, ערובין כ""ט ב׳, יומא ע""ח ב׳, מועד קטן י""ב א׳, כתובות י׳ ב׳.</span></i> It is probable also that this woman deserved the honor which Abayei paid her, for she cared for him like the apple of her eye, and saw that he lacked nothing, and was not disturbed in his studies. He said in one place that if his foster-mother had asked him to do the smallest thing, he would be disturbed in his studies. <sup>4)</sup><i class=""footnote""><span dir=""rtl"">4) ערובין ס""ה א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.4","Abayei owned gardens and vineyards which he ordinarily rented out to tenants for cultivation. Yet it is uncertain whether he was wealthy, because he led a modest life, as we see by the fact that when Abayei's widow asked the court to grant her food and wine, they answered that as far as they knew there was never any wine on Abayei's table. <sup>5)</sup><i class=""footnote""><span dir=""rtl"">5) כתובות ס""ה א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.5","We may see how widespread was Abayei's fame from the fact that even the Samaritans, who normally lived on bad terms with the Jews, were admirers of Abayei. Once they found a lost ass of his and they returned it on his saying that it was his, without asking for any signs of identification. <sup>6)</sup><i class=""footnote""><span dir=""rtl"">6) גטין מ""ה א׳.</span></i> It is therefore a puzzle why the number of students in Pumbeditha decreased to two hundred from the previous mass of thousands during the time that Abayei was head of the academy in Pumbeditha. We may assume that this decline in the number of students in Pumbeditha was not because the desire for learning grew suddenly weaker among the Jews of Babylon, but because all the students at that time tried to go to Mechoza, drawn by the personality of the head of the academy there, Rava, who, although he had the same system of study as Abayei, was nevertheless always found to be in conflicts with him, in which the students tended more to Rava's side."
"Bader-Jewishspritualheroes-Vol3., Abayei Bar Chyailil.6","Almost all the scholars at that time had ceased to feel the need to make new interpretations of the commandments of the Torah. As everybody thought then, the laws of the Jewish religion had already been interpreted in every possible way. It was at this time that Abayei and Rava began to turn up new problems which had not yet been covered by others. These were problems which developed out of the daily life of the people and had not previously been noticed. Their attempts to solve these problems as best they could are known in the Talmud as <span dir=""rtl"">„הוויות דאביי ורבא""</span> (discussions of hypothetical cases which may sometimes arise.)"
