Index Title,Negaim
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Negaim 1:1,"<b>E</b>S <small>GIBT ZWEI</small> S<small>CHATTIERUNGEN DES</small> A<small>USSATZMALES</small><sup>1</sup><i class=""footnote"">fn1210,Die biblische <span dir=""rtl"">צרעת</span> wird in der <i>LXX</i> mit <i>λέπϱα</i> wiedergegeben u. allgemein mit Aussatz übersetzt, jed. medizinisch ungenau; nach den in der Schrift angegebenen Merkmalen ist es mit der heute unter diesem Namen bekannten Hautkrankheit <i>(elephantiasis graecorum)</i> nicht identisch. Vgl. Münch, <i>Die Zaraath der hebr. Bibel,</i> Dermatologische Studien, Heft XVI.</i>, <small>DIE IN VIER ZERFALLEN: DER</small> G<small>LANZFLECK</small><sup>2</sup><i class=""footnote"">fn1211,Die Wiedergabe der in diesem Traktate genannten Hautschäden erfolgt möglichst etymologisch u. nicht mit den medizinisch sich vielleicht deckenden gebräuchlichen Benennungen, da es sich großenteils um Erkrankungen handelt, die heute, wenigstens in unseren Breiten, garnicht bekannt sind.</i>, <small>INTENSIV</small> [<small>WEISS</small>] <small>WIE</small> S<small>CHNEE, UND SEINE</small> U<small>NTERART, WIE DER</small> K<small>ALK DES</small> T<small>EMPELS; DER</small> H<small>OCHFLECK, WIE DAS</small> H<small>ÄUTCHEN EINES</small> E<small>IES, UND SEINE</small> U<small>NTERART, WIE WEISSE</small> W<small>OLLE</small><sup>3</sup><i class=""footnote"">fn1212,Über die Grade u. Intensität der hier genannten Bezeichnungen für die weiße Farbe, cf. Seb. Fol. 5b.</i> – <small>SO</small> R. M<small>EÍR</small>. D<small>IE</small> W<small>EISEN SAGEN, DER</small> H<small>OCHFLECK, WIE WEISSE</small> W<small>OLLE, UND SEINE</small> U<small>NTERART, WIE DAS</small> H<small>ÄUTCHEN EINES</small> E<small>IES</small>."
Negaim 1:2,"II. D<small>IE</small> M<small>ISCHUNG</small><sup>4</sup><i class=""footnote"">fn1213,Mit Rot; cf. Lev. 13,19.</i> <small>BEIM</small> S<small>CHNEE</small>[<small>WEISSEN</small>] <small>IST WIE</small> W<small>EIN MIT</small> S<small>CHNEE GEMISCHT; DIE</small> M<small>ISCHUNG BEIM</small> K<small>ALK</small>[<small>WEISSEN</small>] <small>IST WIE</small> B<small>LUT MIT</small> M<small>ILCH GEMISCHT – SO</small> R. J<small>IŠMA͑ÉL</small>. R. A͑<small>QIBA SAGT, DAS</small> R<small>ÖTLICHE</small><sup>5</sup><i class=""footnote"">fn1214,Wovon die Schrift an der genannten Stelle spricht.</i> <small>BEI DIESEM UND JENEM SEI WIE</small> W<small>EIN MIT</small> W<small>ASSER GEMISCHT; NUR SEI SIE BEIM</small> S<small>CHNEE</small>[<small>WEISSEN</small>] <small>INTENSIV</small> [<small>WEISS</small>] <small>UND BEIM</small> K<small>ALK</small>[<small>WEISSEN</small>] <small>MATTER ALS JENE</small>."
Negaim 1:3,"III. D<small>IESE VIER</small> S<small>CHATTIERUNGEN WERDEN MITEINANDER VEREINIGT</small><sup>05</sup><i class=""footnote"">fn1215,Zur erforderlichen Größe; weit. IV,5.</i><small>HINSICHTLICH DER</small> N<small>EGATIVITÄT</small><sup>6</sup><i class=""footnote"">fn1216,Der Feststellung des Nichtvorhandenseins, bezw. des Vorhandenseins des Aussatzes.</i>, <small>DER</small> P<small>OSITIVITÄT</small><sup>6</sup><i class=""footnote"">fn1216,Der Feststellung des Nichtvorhandenseins, bezw. des Vorhandenseins des Aussatzes.</i> <small>UND DER</small> A<small>BSCHLIESSUNG</small><sup>7</sup><i class=""footnote"">fn1217,Falls dies nicht festgestellt worden ist; cf. Lev. 13,5.</i>. D<small>ER</small> A<small>BSCHLIESSUNG, WENN</small> [<small>DER</small> F<small>LECK</small>] <small>AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE IN SEINEM</small> Z<small>USTANDE GEBLIEBEN IST; DER</small> N<small>EGATIVITÄT, WENN ER AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE IN SEINEM</small> Z<small>USTANDE GEBLIEBEN IST; DER</small> P<small>OSITIVITÄT, WENN DARAN ANFÄNGLICH, AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE ODER NACH DER</small> N<small>EGATIVITÄT HEILES</small> F<small>LEISCH</small><sup>8</sup><i class=""footnote"">fn1218,Empfindliches, in der Mitte des Aussatzfleckes. Die Übersetzung rohes Fleisch, dh. wund, eitrig, od. gar die Ableitung dos W.es <span dir=""rtl"">מחיה</span> vom aram. <span dir=""rtl"">מחי</span> <i>schlagen,</i> also krankes Fleisch (Rabbinowicz, <i>La médicine du Talmud</i> p. 37) beruht auf Unkenntnis des Wesens der <span dir=""rtl"">צרעח</span>, worunter man sich in der Regel eine Art Hautausschlag vorstellt, in don gesundes Fleisch nicht hincinpaßt u. noch weniger als Krankheitssymptom gelten kann. Sie ist vielmehr eine Art Pigmenterkrankung u. gehört nicht zur Klasse der vielen übrigen häufig in der Schrift genannten Hautkrankheiten, u. anscheinend nur von religiöser u. nicht pathologischer Bedeutung.</i> <small>ODER</small> H<small>AAR</small><sup>9</sup><i class=""footnote"">fn1219,Das Kollektivum <span dir=""rtl"">שער</span> bedeutet hier stets 2 Haare.</i> <small>ENTSTANDEN IST</small>. F<small>ERNER HINSICHTLICH DER</small> P<small>OSITIVITÄT, WENN AM</small> E<small>NDE DER ERSTEN</small> W<small>OCHE, AM</small> E<small>NDE DER ZWEITEN</small> W<small>OCHE ODER NACH DER</small> N<small>EGATIVITÄT DARAN EINE</small> Z<small>UNAHME ENTSTANDEN IST</small>. F<small>ERNER HINSICHTLICH DER</small> P<small>OSITIVITÄT, WENN NACH DER</small> N<small>EGATIVITÄT DIE GANZE</small> [H<small>AUT</small>] <small>WEISS GEWORDEN IST</small>. F<small>ERNER HINSICHTLICH DER</small> N<small>EGATIVITÄT, WENN NACH DER</small> P<small>OSITIVITÄT ODER NACH DER</small> A<small>BSCHLIESSUNG DIE GANZE</small> [H<small>AUT</small>] <small>WEISS GEWORDEN IST</small>. D<small>IES SIND DIE</small> S<small>CHATTIERUNGEN DES</small> A<small>USSATZMALES, VON DENEN</small> [<small>DIE</small> E<small>NTSCHEIDUNG ÜBER</small>] <small>ALLE</small> A<small>USSATZARTEN ABHÄNGIG IST</small>."
Negaim 1:4,"IV. R. D<small>OSA B</small>. A<small>RCHINOS SAGT, ES GEBE SECHSUNDDREISSIG</small><sup>10</sup><i class=""footnote"">fn1220,Von den genannten weißen Malen gibt es Mischungen von rot u. weiß, das sind also 8, die alle beim Hautaussatze (Lev. 13,3), beim Geschwüre (ib. V. 18), beim Haaraussatze (ib. V. 30) u. bei der Glatze (ib. V. 40) vorkommen, zu denen noch je 2 (grünlich u. rötlich) beim Kleideraussatze (ib. V. 49) u. beim Häuseraussatze (ib. 14,37) hinzukommen.</i>S<small>CHATTIE-RUNGEN DES</small> A<small>USSATZMALES</small>. A͑<small>QABJA B</small>. M<small>AHALALÉL SAGT, ZWEIUNDSIEBZIG</small><sup>11</sup><i class=""footnote"">fn1221,Die genannte Anzahl ist zu verdoppeln, wenn nach der Abschließung das Aussehen sich ändert.</i>. R. <small>ḤANINA DER</small> P<small>RIESTERVORSTEHER SAGTE</small> : M<small>AN BESICHTIGE DEN</small> A<small>USSATZ ERSTMALIG NICHT</small> [<small>UNMITTELBAR</small>] <small>NACH DEM</small> Š<small>ABBATH, WEIL DAS</small> E<small>NDE SEINER</small> W<small>OCHE</small><sup>12</sup><i class=""footnote"">fn1222,An dem der Aussätzige zu besichtigen ist; vgl. S. 698 Anm. 10.</i><small>AUF DEN</small> Š<small>ABBATH FALLEN WÜRDE; AUCH NICHT AM</small> M<small>ONTAG, WEIL DAS</small> E<small>NDE SEINER ZWEITEN</small> W<small>OCHE</small><sup>12</sup><i class=""footnote"">fn1222,An dem der Aussätzige zu besichtigen ist; vgl. S. 698 Anm. 10.</i><small>AUF DEN</small> Š<small>ABBATH FALLEN WÜRDE; DEN DER</small> H<small>ÄUSER</small><sup>13</sup><i class=""footnote"">fn1223,Der event, dreimal zu besichtigen ist.</i><small>NICHT AM</small> D<small>IENSTAG, WEIL DAS</small> E<small>NDE SEINER DRITTEN</small> W<small>OCHE AUF DEN</small> Š<small>ABBATH FALLEN WÜRDE</small>. R. A͑<small>QIBA SAGT, MAN BESICHTIGE JEDERZEIT, UND WENN</small> [<small>DIE</small> E<small>NTSCHEIDUNG</small>] <small>AUF DEN</small> Š<small>ABBATH FÄLLT, VERSCHIEBE MAN SIE BIS NACH DEM</small> Š<small>ABBATH; DIES ERFOLGT ZUWEILEN ERLEICHTERND UND ZUWEILEN ERSCHWEREND</small>."
Negaim 1:5,"V. W<small>IESO ERLEICHTERND?</small> W<small>ENN DARAN</small><sup>14</sup><i class=""footnote"">fn1224,Am Šabbath, an dem die Besichtigung fällig war.</i> <small>WEISSES</small> H<small>AAR WAR UND DAS WEISSE</small> H<small>AAR VERSCHWUNDEN</small><sup>15</sup><i class=""footnote"">fn1225,Am Tage der titsächlichen Besichtigung.</i><small>IST, WENN ES WEISS WAR UND SCHWARZ GEWORDEN IST, NÄMLICH EINES WEISS UND EINES SCHWARZ ODER BEIDE SCHWARZ, WENN ES LANG</small><sup>16</sup><i class=""footnote"">fn1226,Die als Symptom der Unreinheit geltenden weißen Haare müssen eine bestimmte Länge haben; cf. Nid. Fol. 44b et. infra IV,4.</i><small>WAR</small><sup>14</sup><i class=""footnote"">fn1224,Am Šabbath, an dem die Besichtigung fällig war.</i><small>UND KURZ GEWORDEN IST, NÄMLICH EINES LANG UND EINES KURZ ODER BEIDE KURZ, WENN</small><sup>15</sup><i class=""footnote"">fn1225,Am Tage der titsächlichen Besichtigung.</i><small>EIN</small> G<small>ESCHWÜR SICH BEIDEN</small> [H<small>AAREN</small>] <small>ODER EINEM VON IHNEN ANGESETZT</small><sup>17</sup><i class=""footnote"">fn1227,Die 2 Haare sind dann kein Symptom des Aussatzes, weit. VIII,7.</i><small>HAT, WENN</small><sup>15</sup><i class=""footnote"">fn1225,Am Tage der titsächlichen Besichtigung.</i><small>EIN</small> G<small>ESCHWÜR, DAS HEILE</small> F<small>LEISCH EINES</small> G<small>ESCHWÜRS, EINE</small> B<small>RANDWUNDE, DAS HEILE</small> F<small>LEISCH EINER</small> B<small>RANDWUNDE ODER EIN</small> B<small>OHAQ</small><sup>18</sup><i class=""footnote"">fn1228,Ein weißer Fleck, nicht bösartig (vgl. Lev. 13,39), jed. dunkler als die 4 genannten Schattierungen, der heute noch im Orient unter dem Namen ßahak bekannt ist.</i><small>SIE GETEILT</small><sup>17</sup><i class=""footnote"">fn1227,Die 2 Haare sind dann kein Symptom des Aussatzes, weit. VIII,7.</i><small>HAT, WENN HEILES</small> F<small>LEISCH</small><sup>19</sup><i class=""footnote"">fn1229,Ein Symptom des Aussatzes.</i><small>DARAN WAR</small><sup>14</sup><i class=""footnote"">fn1224,Am Šabbath, an dem die Besichtigung fällig war.</i><small>UND DAS HEILE</small> F<small>LEISCH GESCHWUNDEN</small><sup>15</sup><i class=""footnote"">fn1225,Am Tage der titsächlichen Besichtigung.</i><small>IST, WENN ES VIERECKIG</small><sup>20</sup><i class=""footnote"">fn1230,Nur in dieser Form ist das heile Fleisch ein Symptom der Unreinheit; ebenso weiter.</i><small>WAR UND RUND ODER LÄNGLICH GEWORDEN IST, WENN ES EINGEKREIST</small><sup>21</sup><i class=""footnote"">fn1231,Vom Aussatzflecke.</i><small>WAR UND NACH DER</small> S<small>EITE GERÜCKT IST, GESAMMELT WAR UND ZERTEILT WORDEN IST, WENN EIN</small> G<small>ESCHWÜR IN DIE</small> M<small>ITTE</small><sup>22</sup><i class=""footnote"">fn1232,Des heilen Fleisches.</i><small>GEDRUNGEN IST, WENN EIN</small> G<small>ESCHWÜR, DAS HEILE</small> F<small>LEISCH EINES</small> G<small>ESCHWÜRS, EINE</small> B<small>RANDWUNDE, DAS HEILE</small> F<small>LEISCH EINER</small> B<small>RANDWUNDE ODER EIN</small> B<small>OHAQ ES</small><sup>23</sup><i class=""footnote"">fn1233,Das heile Fleisch.</i><small>UMGEBEN, GETEILT ODER VERRINGERT HAT, WENN DARAN EINE</small> Z<small>UNAHME WAR UND DIE</small> Z<small>UNAHME GESCHWUNDEN IST, WENN DAS</small> Z<small>ENTRUM GESCHWUNDEN IST ODER SICH VERRINGERT HAT, SODASS BEIDE ZUSAMMEN</small><sup>24</sup><i class=""footnote"">fn1234,Das Zentrum u. die Zunahme.</i><small>KEINE</small> G<small>RAUPENGRÖSSE HABEN, ODER WENN EIN</small> G<small>ESCHWÜR, DAS HEILE</small> F<small>LEISCH EINES</small> G<small>ESCHWÜRS, EINE</small> B<small>RANDWUNDE, DAS HEILE</small> F<small>LEISCH EINER</small> B<small>RANDWUNDE ODER EIN</small> B<small>OHAQ ZWISCHEN DEM</small> Z<small>ENTRUM UND DER</small> Z<small>UNAHME TEILEN, SO ERFOLGT DIES ALLES ERLEICHTERND</small>."
Negaim 1:6,"VI. W<small>IESO ERSCHWEREND?</small> W<small>ENN DARAN KEIN WEISSES</small> H<small>AAR WAR UND WEISSES</small> H<small>AAR ENTSTANDEN IST, WENN ES SCHWARZ WAR UND WEISS GEWORDEN IST, NÄMLICH EINES SCHWARZ UND EINES WEISS ODER BEIDE WEISS, WENN ES KURZ WAR UND LANG GEWORDEN IST, NÄMLICH EINES KURZ UND EINES LANG ODER BEIDE LANG, WENN EIN</small> G<small>ESCHWÜR SICH BEIDEN</small> [H<small>AAREN</small>] <small>ODER EINEM VON IHNEN ANGESETZT HATTE</small><sup>25</sup><i class=""footnote"">fn1235,Am für die Besichtigung fälligen Tage u. bei der Untersuchung am folgenden Tage verschwunden war; ebenso weiter.</i>, <small>WENN EIN</small> G<small>ESCHWÜR, DAS HEILE</small> F<small>LEISCH EINES</small> G<small>ESCHWÜRES, EINE</small> B<small>RANDWUNDE, DAS HEILE</small> F<small>LEISCH EINER</small> B<small>RANDWUNDE ODER EIN</small> B<small>OHAQ SIE GETEILT HATTE UND GESCHWUNDEN IST, WENN KEIN HEILES</small> F<small>LEISCH DARAN WAR UND HEILES</small> F<small>LEISCH ENTSTANDEN IST, WENN ES RUND ODER LÄNGLICH WAR UND VIERECKIG GEWORDEN IST, WENN ES AN DER</small> S<small>EITE WAR UND EINGEKREIST</small><sup>21</sup><i class=""footnote"">fn1231,Vom Aussatzflecke.</i><small>WORDEN IST, WENN ES ZERTEILT WAR UND GESAMMELT WORDEN IST, WENN EIN</small> G<small>ESCHWÜR, IN DIE</small> M<small>ITTE GEDRUNGEN WAR, WENN EIN</small> G<small>ESCHWÜR, DAS HEILE</small> F<small>LEISCH EINES</small> G<small>ESCHWÜRES, EINE</small> B<small>RANDWUNDE, DAS HEILE</small> F<small>LEISCH EINER</small> B<small>RANDWUNDE ODER EIN</small> B<small>OHAQ ES UMGEBEN, GETEILT ODER VERRINGERT HATTE UND GESCHWUNDEN IST, WENN KEINE</small> Z<small>UNAHME DARAN WAR UND EINE</small> Z<small>UNAHME ENTSTANDEN IST, WENN EIN</small> G<small>ESCHWÜR, DAS HEILE</small> F<small>LEISCH EINES</small> G<small>ESCHWÜRES, EINE</small> B<small>RANDWUNDE, DAS HEILE</small> F<small>LEISCH EINER</small> B<small>RANDWUNDE ODER EIN</small> B<small>OHAQ ZWISCHEN DEM</small> Z<small>ENTRUM UND DER</small> Z<small>UNAHME GETEILT HATTE UND GESCHWUNDEN IST, SO ERFOLGT DIES ALLES ERSCHWEREND</small>."
