Index Title,Tevul Yom
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 [de]"""
Language,en
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Mishnah Tevul Yom 1:1,"<b>W</b><small>ENN JEMAND</small> T<small>EIGHEBEN<sup>1</sup><i class=""footnote"">fn2152,Cf. Num. 15,20.</i> SAMMELT IN DER</small> A<small>BSICHT, SIE WIEDER</small> W<small>ZU TRENNEN, UND SIE ANEINANDER KLEBEN, SO GILT DIES, WIE DIE</small> S<small>CHULE ŠAMMAJS SAGT, ALS</small> V<small>ERBINDUNG BEIM AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN</small><sup>2</sup><i class=""footnote"">fn2153,Wenn ein solcher eines der Stücke berührt, sind alle untauglich.</i>, <small>UND WIE DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, NICHT ALS</small> V<small>ERBINDUNG</small>. W<small>ENN</small> T<small>EIGSTÜCKE</small><sup>3</sup><i class=""footnote"">fn2154,Von Hebe, ebenso die weiter genannten Dinge.</i> <small>ANEINANDER KLEBEN</small>, B<small>ROTE ANEINANDER KLEBEN, JEMAND</small> P<small>LÄTZCHEN AN</small> P<small>LÄTZCHEN IM</small> O<small>FEN BACKT UND SIE NOCH KEINE</small> K<small>RUSTE HABEN, DER</small> G<small>ISCHT AUF DEM</small> W<small>ASSER</small> B<small>LASEN</small><sup>4</sup><i class=""footnote"">fn2155,Sodaß der Gischt durch den Schaum vom Wasser getrennt ist.</i> <small>SCHLÄGT</small>, B<small>OHNENGRAUPEN ERSTMALIG ZU SIEDEN</small><sup>5</sup><i class=""footnote"">fn2156,Das Wasser ist noch klar u. die einzelnen Bohnen haben noch nicht gekocht; beim 2. Aufkochen beginnen sie breiig zu werden.</i> <small>BEGINNEN, NEUER</small> W<small>EIN AUFSCHÄUMT</small>, R. J<small>EHUDA SAGT, DIES GELTE AUCH VOM</small> R<small>EISE, SO GILT DIES, WIE DIE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, ALS</small> V<small>ERBINDUNG BEIM AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN, UND WIE DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, NICHT ALS</small> V<small>ERBINDUNG</small>. S<small>IE PFLICHTET JEDOCH BEI ALLEN ANDEREN</small> U<small>NREINHEITEN</small><sup>6</sup><i class=""footnote"">fn2157,Daß dies als Verbindung gilt; berührt beispielsweise ein Unreiner den Schaum, so ist der ganze Inhalt des Gefäßes unrein.</i> <small>BEI, OB LEICHTE ODER SCHWERE</small>."
Mishnah Tevul Yom 1:2,"II. W<small>ENN JEMAND</small> T<small>EIGHEBEN SAMMELT IN DER</small> A<small>BSICHT, SIE NICHT ZU TRENNEN</small>, P<small>LÄTZCHEN AN</small> P<small>LÄTZCHEN IM</small> O<small>FEN BACKT UND SIE EINE</small> K<small>RUSTE HABEN, DER GISCHT AUF DEM</small> W<small>ASSER KEINE</small> B<small>LASEN SCHLÄGT</small>, B<small>OHNENGRAUPEN ZWEITMALIG SIEDEN, ALTER</small> W<small>EIN</small>, Ö<small>L IMMER, ODER</small> L<small>INSEN</small> [<small>BEIM</small> K<small>OCHEN</small>] <small>AUFSCHÄUMEN</small>, R. J<small>EHUDA SAGT, DIES GELTE AUCH VON</small> P<small>LATTERERBSEN, SO WERDEN SIE</small><sup>7</sup><i class=""footnote"">fn2158,Der ganze Inhalt des Gefäßes; sie gelten als verbunden.</i> <small>DURCH EINEN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN UNREIN, UND SELBSTVERSTÄNDLICH DURCH ANDERE</small> U<small>NREINHEITEN</small>."
Mishnah Tevul Yom 1:3,"III. E<small>INE</small> Z<small>ACKE HINTEN AM</small> L<small>AIBE, EIN KLEINES</small> S<small>ALZKRÜMCHEN ODER EINE ANGEBRANNTE STELLE UNTER FINGERBREITE, R</small>. J<small>OSE SAGT, ALLES, WAS MITGEGESSEN WIRD, MACHEN UNREIN</small><sup>8</sup><i class=""footnote"">fn2159,Den ganzen Laib, wenn er diese berührt.</i> <small>DURCH EINEN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN, UND SELBSTVERSTÄNDLICH AUCH DURCH JEDE ANDERE</small> U<small>NREINHEIT</small>."
Mishnah Tevul Yom 1:4,"IV. E<small>IN</small> S<small>TEINCHEN IM</small> B<small>ROTLAIBE, EINE GROSSE</small> S<small>ALZKRUME, EINE</small> L<small>UPINE</small><sup>9</sup><i class=""footnote"">fn2160,Solche werden oft als Kennzeichen an das Brot geklebt, zur Vermeidung von Verwechslungen.</i> <small>ODER EINE ANGEBRANNTE</small> S<small>TELLE ÜBER</small> F<small>INGERBREITE</small>, R. J<small>OSE SAGT, ALLES, WAS DAMIT NICHT MITGEGESSEN WIRD, BLEIBEN REIN</small><sup>10</sup><i class=""footnote"">fn2161,Bei Berührung dieser bleibt das Brot rein.</i><small>BEI EINER</small> H<small>AUPTUNREINHEIT, UND SELBSTVERSTÄNDLICH BEI EINEM AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN</small>."
Mishnah Tevul Yom 1:5,"V. G<small>ERSTE UND</small> D<small>INKEL, WENN SIE UNGESCHÄLT SIND</small>, A<small>SANTWURZEL</small>, A<small>SANT UND</small> A<small>LUM</small><sup>11</sup><i class=""footnote"">fn2162,Vieil, <i>ἂλίμος,</i> strauchartiger Spinat.</i>, R. J<small>EHUDA SAGT, AUCH SCHWARZE</small> B<small>OHNEN, BLEIBEN BEI EINER</small> H<small>AUPTUNREINHEIT REIN</small><sup>12</sup><i class=""footnote"">fn2163,Sie sind keine Speisen u. für die Unreinheit nicht empfänglich.</i>, <small>UND SELBSTVERSTÄNDLICH BEI EINEM AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN</small> – <small>SO</small> R. M<small>EÍR; DIE</small> W<small>EISEN SAGEN, SIE SEIEN BEI EINEM AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN REIN UND DURCH JEDE ANDERE</small> U<small>NREINHEIT UNREIN</small>. G<small>ERSTE UND</small> D<small>INKEL, WENN SIE GESCHÄLT SIND</small>, W<small>EIZEN OB GESCHÄLT ODER UNGESCHÄLT</small>, K<small>ÜMMEL</small>, S<small>ESAM UND</small> P<small>FEFFER</small>, R. J<small>EHUDA SAGT, AUCH WEISSE</small> B<small>OHNEN, WERDEN DURCH EINEN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN UNREIN, UND SELBSTVERSTÄNDLICH DURCH JEDE ANDERE</small> U<small>NREINHEIT</small>."
Mishnah Tevul Yom 2:1,"<b>D</b><small>IE</small> F<small>LÜSSIGKEIT</small><sup>1</sup><i class=""footnote"">fn2164,Ausscheidungeh aus dem Körper.</i> <small>EINES AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN GLEICHT DEN VON IHM BERÜHRTEN</small> F<small>LÜSSIGKEITEN, DIESE UND JENE MACHEN NICHT UNREIN; BEI ALLEN ANDEREN</small> U<small>NREINEN, OB SCHWER ODER LEICHT [UNREIN], GLEICHT DIE AUS IHNEN KOMMENDE</small> F<small>LÜSSIGKEIT DEN VON IHNEN BERÜHRTEN</small> F<small>LÜSSIGKEITEN</small>. D<small>IESE UND JENE SIND ERSTGRADIG [UNREIN</small>]<sup>2</sup><i class=""footnote"">fn2165,Cf. Par. VIII,7.</i>, <small>AUSGENOMMEN DIE</small> F<small>LÜSSIGKEIT, DIE</small> H<small>AUPTUNREINHEIT</small><sup>3</sup><i class=""footnote"">fn2166,Die Ausscheidungen des Flußbehafteten; cf. Zab. V,7.</i> <small>IST</small>."
Mishnah Tevul Yom 2:2,"II. W<small>ENN EIN AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTER EINEN TOPF</small> (<small>VOLL</small>) <small>MIT</small> F<small>LÜSSIGKEIT BERÜHRT HAT, SO IST, WENN ES</small> H<small>EBE IST, DIE</small> F<small>LÜSSIGKEIT UNTAUGLICH UND DER</small> T<small>OPF REIN, UND WENN ES EINE PROFANE</small> F<small>LÜSSIGKEIT IST, ALLES REIN; SIND SEINE</small> H<small>ÄNDE NICHT REIN, SO IST ALLES UNREIN</small>. H<small>IERIN IST ES BEI DEN</small> H<small>ÄNDEN STRENGER ALS BEIM AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN</small>. U<small>ND STRENGER IST ES BEIM AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTEN ALS BEI DEN</small> H<small>ÄNDEN, DENN BEI EINEM</small> Z<small>WEIFEL MACHT DER AM SELBEN</small> T<small>AGE</small> U<small>NTERGETAUCHTE DIE</small> H<small>EBE UNTAUGLICH, WÄHREND ES BEI DEN</small> H<small>ÄNDEN IN EINEM</small> Z<small>WEIFEL REIN IST</small>."
