Index Title,"Shulchan Arukh, Yoreh De'ah"
Version Title,With Peleti 
Language,he
Version Source,http://sefaria.org
Version Notes,
"Shulchan Arukh, Yoreh De'ah 1:1","~[א] הכל שוחטין לכתחלה ~[ב] אפילו נשים. הגה: יש אומרים שאין להניח נשים לשחוט שכבר נהגו שלא לשחוט וכן המנהג שאין הנשים שוחטות (ב""י בשם האגור). ~[ג] ועבדים וכל אדם אפילו אין מכירין אותו שמוחזק לשחוט שלא יתעלף וגם אין יודעין בו שהוא מומחה ויודע הלכות שחיטה מותר ליתן לו לכתחלה לשחוט ומותר לאכול משחיטתו שרוב הרגילין לשחוט הם בחזקת מומחין ומוחזקין. במה דברים אמורים כשאינו לפנינו אז מותר לאכול משחיטתו וסומכים על החזקה. ~[ד] אבל אם הוא ~[ה] לפנינו צריך לבדקו אם הוא מומחה ויודע הלכות שחיטה אבל אין צריך לשאלו אם נתעלף. הגה: וי""א שאין לסמוך על החזקה אלא בדיעבד אבל לכתחלה אין לסמוך על החזקה במקום דיכולין לבררו (מרדכי והגהות אשירי ואגור בשם א""ז ושאלתות פרשת בהעלותך). וכל זה מיירי באחרים שאינן בקיאין ויודעין אם זה השוחט בקי או לא אבל השוחט עצמו לא ישחוט אע""פ שיודע הלכות שחיטה ומומחה עד ששחט ג' פעמים בפני חכם ומומחה בהלכות שחיטה שיודע שהוא רגיל וזריז שלא יתעלף. (טור בשם הרמב""ם) ולכן נוהגין שאין אדם שוחט אלא א""כ נטל קבלה לפני חכם (אגור בשם הלכות א""י). ואין החכם נותן לו קבלה עד שידע בו שהוא יודע הלכות שחיטה ובקי ביד. ולכן נוהגין שכל הבאין לשחוט סומכין עליהם לכתחלה. ולא בדקינן אותם לא בתחלה ולא בסוף דכל המצויין אצל שחיטה כבר נטלו קבלה לפני חכם (ד""ע). ובקצת מקומות נוהגין להחמיר עוד דהמקבל נוטל כתב מן החכם לראייה שנתן לו קבלה. וכל שוחט אע""פ שנטל קבלה יראה שיחזור לפרקים הלכות שחיטה שיהיו שגורים בפיו ובלבו שלא ישכחם (מהר""ר יעקב הלוי בשם מהר""ש). וכמו שהדין בהלכות שחיטה ובמי שבא לשחוט כך הוא הדין בהלכות בדיקות הריאה ובמי שבא לבדוק ודינם ומנהגם שוה בכל זה (ד""ע). ויש לב""ד לחקור ולדרוש אחר הבודקים והשוחטים ולראות שיהיו בקיאים ומומחים וכשרים (מהרי""ו סי' . כי גדול איסור המכשלה בשחיטות ובדיקות המסורים לכל. ואם בדקו איזה שוחט ובודק ונמצא שאינו יודע אם נטל פעם אחת קבלה אין מטריפין למפרע מה ששחט ~[ו] דאמרינן השתא הוא דאתרע (חדושי אגודה). אבל ~[ז] אם לא נטל קבלה מעולם כל מה ששחט טריפה ~[ח] גם כל הכלים שבשלו בהן מה ששחט צריכין הכשר (רשב""א סימן רי""ח)."
"Shulchan Arukh, Yoreh De'ah 1:2","אין צריך שידע כל חלוקי הדינים אלא אם אומר על דבר זה הייתי מסתפק ושואל קרינן ביה שפיר יודע עד שאומר על האסור מותר. הגה: ובודקין אותו בדיני הלכות שחיטה שיתבארו לקמן ריש סימן כ""ג ובדין בדיקת הסכין ובדין בדיקת הסימנים לאחר שחיטה כמו שיתבאר לקמן סימן כ""ה (הגהות אשירי והגהות מיימוני פ""ד). ואם שחט וליתיה קמן למבדקיה מכל מקום יבדקו בסימנים אם נשחטו רובן דכל מה דאפשר למבדק בדקינן (הר""ן בשם בעל הלכות וד""ע לדעת הרא""ש ע""ל סכ""ה סי""ג). וכל זה במקומות שלא נהגו ליטול קבלה אבל במקומות שנוהגין ליטול קבלה כגון בני אשכנז והנמשכים אחריהם אין נוהגין לבדוק אחריו כלל וכמו שנתבאר (ד""ע)."
"Shulchan Arukh, Yoreh De'ah 1:3","~[ט] מי שיודעין בו שאינו יודע הלכות שחיטה אפילו שחט לפנינו ד' או חמשה פעמים שחיטה הגונה וראויה ושחט אח""כ בינו לבין עצמו שחיטתו פסולה. אפילו שאלו לו: עשית כך וכך ומתוך תשובתו נראה ששחט כראוי אין לסמוך עליו ואפילו אמר: ברי לי ששחטתי יפה. הגה: ומי שדרכו להתעלף ואנו יודעים שאינו מוחזק ושחט ואמר: ברי לי שלא נתעלפתי נאמן מאחר שיודע הלכות שחיטה (ב""י לדעת הרמב""ם). מי שיודעים בו שאינו יודע הלכות שחיטה יכולים ליתן לו לשחוט אם אחר עומד על גביו ובלבד שיראה אותו יד מתחלת שחיטה עד סופה. הגה: ~[י] ויש מחמירין ואוסרין ליתן לו לכתחלה לשחוט מאחר שאינו יודע הלכות שחיטה (ב""י בשם הגהות אשירי בשם א""ז ובמרדכי) והכי נהוג."
"Shulchan Arukh, Yoreh De'ah 1:4",אם אבדו גדייו ותרנגוליו או שנגנבו ומצאם שחוטים כראוי ~[יא] במקום ~[יב] שרוב ישראל מצויים וגם רוב ~[יג] גנבי העיר ישראלים) מותרים ~[יד] בין שמצאם בשוק בין שמצאם באשפה שבבית אבל אם מצאם באשפה שבשוק אסורים.
"Shulchan Arukh, Yoreh De'ah 1:5","חרש שאינו שומע ואינו מדבר ושוטה דהיינו שהוא יוצא יחידי בלילה או מקרע כסותו או לן בבית הקברות או מאבד מה שנותנים לו אפילו באחת מאלו אם עושה אותם דרך שטות כה וקטן שאינו יודע לאמן ידיו לשחוט אין מוסרין להם לשחוט לכתחלה אפילו אחרים עומדים על גביהם. ואם שחטו שחיטתן כשרה אם אחרים עומדים על גביהם. ואין מוסרין להם לכתחלה לשחוט כשאין אחרים עומדים על גביהם אפילו אם רוצים להאכיל לכלבים. ואם הקטן יודע לאמן ידיו אם אחרים עומדים על גביו שוחט לכתחלה ומותר לאכול משחיטתו. הגה: אבל אם שחט בינו לבין עצמו שחיטתו פסולה ~[טו] אף על פי שיודע הלכות שחיטה (הגהות אשירי רפ""ק ורשב""א ות""ה וא""ז). ומקרי קטן לענין זה עד שנעשה בר מצוה דהיינו בן י""ג שנים ויום אחד (ב""י בשם עיטור וא""ז בשם ר' יואל). כח ויש מחמירין שלא ליתן קבלה למי שהוא פחות מבן י""ח שנה (מרדכי בשם הלכות א""י והגהות אלפסי החדשים) דאז גברא בר דעת הוא ויודע ליזהר."
"Shulchan Arukh, Yoreh De'ah 1:6",~[טז] חרש המדבר ואינו שומע לא ישחוט מפני שאינו שומע הברכה. ואם שחט אפילו בינו לבין עצמו שחיטתו כשרה.
"Shulchan Arukh, Yoreh De'ah 1:7",השומע ואינו מדבר אם הוא לא מומחה שוחט אפי' לכתחלה לב אם אחר מברך.
"Shulchan Arukh, Yoreh De'ah 1:8","שכור שהגיע לשכרותו של לוט דינו כשוטה. ואם לא הגיע לשכרותו של לוט שוחט לכתחלה. הגה: לד ויש אומרים ששכור לא ישחוט שרגיל לבא לידי דרסה (הגהות מיימוני בשם סמ""ג פ""ג מהלכות שחיטה ובה""ג וכל בו בשם סה""ת וס' יראים סימן קל""ז)."
"Shulchan Arukh, Yoreh De'ah 1:9","סומא לא ישחוט לכתחלה אלא א""כ אחרים רואין אותו. ואם שחט שחיטתו כשרה."
"Shulchan Arukh, Yoreh De'ah 1:10",ערום לא ישחוט לכתחלה מפני שאינו יכול לברך.
"Shulchan Arukh, Yoreh De'ah 1:11","אם הטילו הקהל חרם שלא ישחוט אלא טבח ידוע ושחט אחר י""א ששחיטתו אסורה. הגה: ואם נתבטלה התקנה כל השוחטים בחזקת כשרות כמו בראשונה (פסקי מהרא""י סי' קע""ז)."
"Shulchan Arukh, Yoreh De'ah 1:12","השוחט בפני עדים בהמה לעובד כוכבים וכשבא ישראל לקנות ממנה אמר: לא תקנה ממנה כי לא שחטתיה אינו נאמן. ומיהו לדידיה אסורה דהא שויא אנפשיה חתיכה דאיסורא. (וע""ל סי' קכ""ז מדין עד אחד נאמן באיסורין)."
"Shulchan Arukh, Yoreh De'ah 1:13","טבח שעשה סימן בראש הכבש השחוט שיהא נראה שהוא טרפה וגם היה אומר שהוא טרפה ואח""כ אמר שכשר היה ולא אמר כן אלא כדי שלא יקחו אותו וישאר לו ליקח ממנו בשר כיון שנתן אמתלא לדבריו נאמן."
"Shulchan Arukh, Yoreh De'ah 1:14",שוחט שהעיד עליו עד אחד ששחט שלא כהוגן והוא מכחישו עד אחד בהכחשה לאו כלום והעד עצמו מותר לאכול מכאן ולהבא. ומכל מקום הכל לפי מה שהוא אדם.
"Shulchan Arukh, Yoreh De'ah 2:1",שחיטת עובד כוכבים נבלה אפי' הוא קטן ~[א] ואפי' אינו עובד עבודת כוכבים כגון גר תושב טור) ואפילו אחרים רואין אותו.
"Shulchan Arukh, Yoreh De'ah 2:2","מומר ~[ב] אוכל נבלות לתיאבון ישראל בודק סכין ונותן לו ומותר לאכול משחיטתו אפילו ישחוט בינו לבין עצמו ~[ג] והוא שיודעין בו שיודע הלכות שחיטה. אם לא בדק לו סכין תחלה אסור לאכול משחיטתו עד שיבדקנו בסוף. ואין ליתן לו לכתחלה לשחוט אפילו כשר עומד על גביו בלי שיבדוק לו כשר את הסכין תחלה על סמך שיבדקנו בסוף. הגה: מי ששחט והוציא טריפה פעם אחת מתחת ידו אם לא הוחזק בכך מותר לאכול אחר כך משחיטתו. מ""מ דנין בזה לפי ראות עיני הדיין באדם השוחט אם כבר נכשל ורגלים לדבר מעבירין אותו (מהרי""ק שורש ל""ג)."
"Shulchan Arukh, Yoreh De'ah 2:3",מומר לתיאבון ששחט אפילו נשבע ששחט בסכין יפה אינו נאמן.
"Shulchan Arukh, Yoreh De'ah 2:4",מומר לתיאבון ששחט בינו לבין עצמו ויש עמו סכין יפה ושאינו יפה ~[ד] ואומר שביפה שחט נאמן. יד ואפילו אם נמצא בשר בידו אם יש ~[ה] מומחין בעיר נאמן לומר: מומחה שחט לי.
"Shulchan Arukh, Yoreh De'ah 2:5","מומר להכעיס אפי' לדבר אחד או שהוא מומר לעבודת כוכבים או לחלל שבת בפרהסיא או שהוא מומר לכל התורה אפילו חוץ משתים אלו דינו כעובד כוכבים. (ר' ירוחם). הגה: ומי שאינו חושש בשחיטה ואוכל נבלות בלא תיאבון אף על פי שאינו עושה להכעיס דינו כמומר להכעיס (כך העלה הב""י מדברי הרא""ש)."
