Bava Batra 2a:1	<sup>i</sup><b>W</b>ENN G<small>EMEINSCHAFTEU IM</small> [<small>GEMEINSAMEN</small>] H<small>OFE</small>$fn1 <small>EINE</small> A<small>BTEILUNG MACHEN</small>$fn2 <small>WOLLEN</small>, <small>SO BAUEN SIE DIE</small> W<small>AND IN DER</small> M<small>ITTE</small>$fn3, <small>UND ZWAR WIE ES IM</small> O<small>RTE ZU BAUEN ÜBLICH IST</small>, <small>AUS</small> B<small>RUCHSTEINEN</small>, Q<small>UADERN</small>, H<small>ALBZIEGELN ODER</small> Z<small>IEGELN</small>; <small>ALLES NACH DEM</small> L<small>ANDESBRAUCHE</small>$fn4. 
Bava Batra 2a:2	B<small>EI EINER AUS</small> B<small>RUCHSTEINEN GIBT DER EINE DREI</small> H<small>ANDBREITEN UND DER ANDERE DREI</small> H<small>ANDBREITEN</small>$fn5, <small>BEI EINER AUS</small> Q<small>UADERN GIBT DER EINE ZWEIEINHALB</small> H<small>ANDBREITEN UND DER ANDERE ZWEIEINHALB</small> H<small>ANDBREITEN</small>; <small>BEI EINER AUS</small> H<small>ALBZIEGELN GIBT DER EINE ZWEI</small> H<small>ANDBREITEN UND DER ANDERE ZWEI</small> H<small>ANDBREITEN</small>; <small>UND BEI EINER AUS</small> Z<small>IEGELN GIBT DER EINE ANDERTHALB</small> H<small>ANDBREITEN UND DER ANDERE ANDERTHALB</small> H<small>ANDBREITEN</small>. D<small>AHER GEHÖREN</small>, <small>WENN DIE</small> W<small>AND</small>$fn6 <small>EINSTÜRZT</small>, <small>DER</small> P<small>LATZ UND DIE</small> S<small>TEINE BEIDEN</small>. 
Bava Batra 2a:3	<sup>ii</sup>E<small>BENSO AUCH BEI EINEM</small> G<small>ARTEN</small>: <small>WO ES ÜBLICH IST</small>, <small>EINEN</small> Zaun<small> ZU ERRICHTEN</small>, <small>VERPFLICHTE MAN IHN</small>$fn7 <small>DAZU</small>. B<small>EI EINER</small> E<small>BENE</small>$fn8 <small>ABER KANN MAN IHN</small>, <small>WO ES ÜBLICH IST</small>, <small>KEINEN</small> Z<small>AUN ZU ERRICHTEN</small>, <small>DAZU NICHT VERPFLICHTEN</small>; 
Bava Batra 2a:4	<small>WENN ABER EINER</small>$fn9 <small>ES</small>$fn10<small>WILL</small>, <small>SO RÜCKE ER EIN</small>, <small>BAUE</small> [<small>DIE</small> W<small>AND</small>] <small>AUF SEINEM</small> [G<small>EBIETE</small>] <small>UND MACHE VON AUSSEN EIN</small> K<small>ENNZEICHEN</small>$fn11. D<small>AHER GEHÖREN</small>, <small>WENN DIE</small> W<small>AND EINSTÜRZT</small>, <small>DER</small> P<small>LATZ UND DIE</small> S<small>TEINE IHM ALLEIN</small>. 
Bava Batra 2a:5	E<small>RRICHTEN SIE SIE MIT DER</small> Ü<small>BEREINSTIMMUNG BEIDER</small>, <small>SO BAUEN SIE DIE</small> W<small>AND IN DER</small> M<small>ITTE UND MACHEN</small> K<small>ENNZEICHEN AN DER EINEN UND AN DER ANDEREN</small> S<small>EITE</small>. D<small>AHER GEHÖREN</small>, <small>WENN DIE</small> W<small>AND EINSTÜRZT</small>, <small>DER</small> P<small>LATZ UND DIE</small> S<small>TEINE BEIDEN</small>.
Bava Batra 2a:6	GEMARA. Sie glaubten, unter Abteilung sei eine Wand$fn12zu verstehen, wie gelehrt wird: Wenn die Abteilung$fn13eines Weinberges$fn14durchbrochen wurde, so fordere er ihn$fn15zur Herstellung auf; wurde sie wiederum durchbrochen, so fordere er ihn wiederum zur Herstellung auf; 
Bava Batra 2b:1	hat er sich davon losgesagt und sie nicht hergestellt, so hat er es verboten gemacht$fn16 und ist ersatzpflichtig. 
Bava Batra 2b:2	Nur$fn17wenn beide es wollen, wenn aber nicht beide$fn18es wollen, so verpflichte man ihn dazu nicht; demnach$fn19gilt die Schädigung durch das Hineinsehen$fn20 nicht als Schädigung. – 
Bava Batra 2b:3	Vielleicht ist unter Abteilung eine Teilung$fn21zu verstehen, wie es heißt:$fn22<i>und ein Teil</i>$fn23<i>der Gemeinde war</i>, und sobald sie übereingekommen$fn24sind, müssen sie die Wand auch gegen den Willen des einen bauen; demnach gilt die Schädigung durch das Hineinsehen wohl als Schädigung!? – 
Bava Batra 2b:4	Wieso heißt es demnach: eine Abteilung machen wollen, es sollte ja heißen: teilen wollen. – Wieso heißt es, wenn darunter eine Wand zu verstehen ist: so bauen sie die Wand, es sollte ja heißen: so bauen sie sie!? – Hieße es: so bauen sie sie, so könnte man glauben, nur ein Gitter$fn25, so lehrt er uns.
Bava Batra 2b:5	S<small>O BAUEN SIE DIE</small> W<small>AND IN DER</small> M<small>ITTE</small>. Selbstverständlich!? – 
Bava Batra 2b:6	In dem Falle, wenn einer an den anderen herangetreten ist und ihn dazu geneigt gemacht hat; man könnte glauben, dieser könne zu ihm sagen, er habe ihm seine Einwilligung nur hinsichtlich des Luftraumes gegeben, nicht hinsichtlich des Benutzungsraumes$fn26, so lehrt er uns.
Bava Batra 2b:7	Gilt denn die Schädigung durch das Hineinsehen nicht als Schädigung, 
Bava Batra 2b:8	komm und höre: ebenso auch bei einem Garten$fn27!? – 
Bava Batra 2b:9	Anders verhält es sich bei einem Garten. Dies nach R. Abba, denn R. Abba sagte im Namen R. Honas im Namen Rabhs, man dürfe nicht neben dem Felde seines Nächsten stehen, wenn [das Getreide] in den Halmen steht$fn28. – 
Bava Batra 2b:10	Es heißt ja aber: ebenso$fn29!? – Dies bezieht sich auf Bruchsteine und Quadern$fn30. – 
Bava Batra 2b:11	Komm und höre: Wenn die Zwischenwand eines Hofes eingestürzt ist, so verpflichtet man jeden, sie bis zu vier Ellen aufzubauen$fn31!? – Anders ist es, wenn sie eingestürzt$fn32ist. – 
Bava Batra 2b:12	Was dachte denn der Fragende$fn33!? – [Er glaubte,] dies$fn34sei wegen des Schlußsatzes nötig: über vier Ellen kann man keinen verpflichten. – 
Bava Batra 2b:13	Komm und höre: Man hält ihn$fn35an, zum Bau eines Torhäuschens und einer Tür zum Hofe beizutragen. Hieraus ist also zu entnehmen, daß die Schädigung durch das Hineinsehen als Schädigung gilt!? – Anders verhält es sich bei einer Schädigung durch das Publikum$fn36. – 
Bava Batra 2b:14	Gilt dies etwa nicht auch von einem einzelnen, komm und höre: Man braucht einen Hof nur dann$fn37zu teilen, wenn vier Ellen für den einen und vier Ellen für den anderen zurückbleiben. Wenn aber dies sowohl für den einen als auch für den anderen zurückbleibt, müssen sie teilen; doch wohl durch eine Wand!? – Nein, nur durch ein Gitter. – 
Bava Batra 2b:15	Komm und höre: vor den Fenstern$fn38müssen sowohl nach oben als auch nach unten$fn39als auch gegenüber vier Ellen vorhanden sein. Hierzu wird gelehrt: nach oben, damit er nicht hinabschaue und$fn40hineinsehe, nach unten, damit er sich nicht aufrichte und hineinsehe, gegenüber, da mit er nicht verdunkle$fn41!? – 
Bava Batra 2b:16	Anders verhält es sich bei der Schädigung eines Wohnhauses$fn42. – 
Bava Batra 2b:17	Komm und höre: R. Naḥman sagte im Namen Šemuéls: Ist das Dach des einen nahe dem Hofe des anderen, so muß er$fn43an diesem ein vier Ellen hohes Geländer errichten!? – Anders ist es hierbei; der Eigentümer des Hofes kann zum Eigentümer des Daches sagen: meine Benutzungszeit ist festgesetzt, du aber hast keine festgesetzte Benutzungszeit, um wissen zu können, wann du hinaufsteigst, 
Bava Batra 3a:1	um vor dir geschützt zu sein$fn44.
Bava Batra 3a:2	Eine andere Lesart: Sie glaubten, unter Abteilung sei eine Teilung zu verstehen, wie es heißt: <i>und ein Teil der Gemeinde war</i>, und da sie, wenn sie es$fn45wünschen, eine Wand auch gegen ihren Willen bauen müssen, so gilt die Schädigung durch das Hineinsehen als Schädigung. – 
Bava Batra 3a:3	Vielleicht ist unter Abteilung eine Wand zu verstehen, wie gelehrt wird: Wenn die Abteilung eines Weinberges durchbrochen wurde, so fordere er ihn zur Herstellung auf; wurde sie wiederum durchbrochen, so fordere er ihn wiederum zur Herstellung auf; hat er sich losgesagt und sie nicht hergestellt, so hat er es verboten gemacht und ist ersatzpflichtig. 
