Rosh Hashanah 2a:1	<b>E</b>S <small>GIBT VIER</small> J<small>AHRESANFÄNGE: DER ERSTE</small> N<small>ISAN IST</small> J<small>AHRESANFANG DER</small> K<small>ÖNIGE</small>$fn1 <small>UND DER</small> F<small>ESTE</small>$fn2. 
Rosh Hashanah 2a:2	<sup>i</sup> D<small>ER ERSTE</small> E<small>LUL IST</small> J<small>AHRESANFANG FÜR DEN</small> V<small>IEHZEHNTEN</small>$fn3; R. E<small>LEA͑ZAR UND</small> R. Š<small>IMO͑N SAGEN, DER ERSTE</small> T<small>IŠRI. 
Rosh Hashanah 2a:3	DER ERSTE</small> T<small>IŠRI IST</small> J<small>AHRESANFANG DES</small> K<small>ALENDERJAHRES, DES ERLASSJAHRES</small>$fn4 <small>UND DES</small> J<small>OBELJAHRES</small>$fn5, <small>SOWIE DER</small> P<small>FLANZUNGEN UND</small> K<small>RÄUTER</small>$fn6. 
Rosh Hashanah 2a:4	D<small>ER ERSTE</small> Š<small>EBAṬ IST NACH DER</small> S<small>CHULE</small> Š<small>AMMAJS JAHRESANFANG DER BÄUME</small>$fn7<small>; DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, DER FÜNFZEHNTE DESSELBEN</small>.
Rosh Hashanah 2a:5	GEMARA. D<small>ER</small> K<small>ÖNIGE</small>. Hinsichtlich welcher Halakha? R. Ḥisda erwiderte: Hinsichtlich der Schuldscheine, 
Rosh Hashanah 2a:6	denn wir haben gelernt: Vordatierte Schuldscheine sind ungültig$fn8, nachdatierte sind gültig.
Rosh Hashanah 2a:7	Die Rabbanan lehrten: Wenn ein König am neunundzwanzigsten Adar die Regierung angetreten hat, so wird ihm am ersten Nisan ein Jahr angerechnet; tritt er die Regierung am ersten Nisan an, so wird ihm das Jahr erst am nächsten ersten Nisan angerechnet.
Rosh Hashanah 2a:8	Der Meister sagte: Wenn ein König am neunundzwanzigsten Adar die Regierung angetreten hat, so wird ihm am ersten Nisan ein Jahr angerechnet. 
Rosh Hashanah 2b:1	Er lehrt uns damit, daß der Nisan Jahresanfang der Könige ist, und daß ein Tag des Jahres als Jahr angesehen wurde. – «Trat er die Regierung am ersten Nisan an, so wird ihm das Jahr erst am nächsten ersten Nisan angerechnet.» Selbstverständlich!? – 
Rosh Hashanah 2b:2	Dies ist wegen des Falles nötig, wenn er bereits im Adar gewählt worden ist; man könnte glauben, man zähle dann zwei Jahre, so lehrt er uns.
Rosh Hashanah 2b:3	Die Rabbanan lehrten: Wenn [ein König] im Adar gestorben und ein anderer an seine Stelle im Adar eingesetzt worden ist, so zählt das Jahr sowohl zur Regierung des einen als auch zu der des anderen$fn9. Wenn er im Nisan gestorben und ein anderer im Nisan an seine Stelle eingesetzt worden ist, so zählt das Jahr sowohl zur Regierung des einen als auch zu der des anderen. Wenn er im Adar gestorben ist und ein anderer an seine Stelle im Nisan eingesetzt worden ist, so zählt das erste zur Regierung des einen und das zweite zu der des anderen.
Rosh Hashanah 2b:4	Der Meister sagte: Wenn [ein König] im Adar gestorben und ein anderer an seine Stelle im Adar eingesetzt worden ist, so zählt das Jahr sowohl zur Regierung des einen als auch zu der des anderen. Selbstverständlich!? – Man könnte glauben, man zähle nicht ein Jahr zur Regierungszeit von zweien, so lehrt er uns. – 
Rosh Hashanah 2b:5	«Wenn er im Nisan gestorben und ein anderer im Nisan an seine Stelle eingesetzt worden ist, so zählt das Jahr sowohl zur Regierung des einen als auch zu der des anderen.» Selbstverständlich!? – Man könnte glauben, nur am Ende des Jahres, sagen wir, gelte ein Tag des Jahres als Jahr, am Beginne des Jahres aber sagen wir dies nicht, so lehrt er uns. – 
Rosh Hashanah 2b:6	«Wenn er im Adar gestorben und ein anderer an seine Stelle im Nisan eingesetzt worden ist, so zählt das erste zur Regierung des einen und das zweite zu der des anderen.» Selbstverständlich!? – Dies ist wegen des Falles nötig, wenn er bereits im Adar gewählt worden und auch (König,) der Sohn eines Königs ist; man könnte glauben, man zähle zwei Regierungsjahre, so lehrt er uns.
Rosh Hashanah 2b:7	R. Joḥanan sagte: Woher, daß man das Regierungsjahr nur mit Nisan zu zählen beginne? Es heißt:$fn10<i>es geschah im vierhundertachtzigsten Jahre nach dem Auszuge der Kinder Jisraél aus dem Lande Miçrajim, im vierten Jahre – im Monate Ziv, das ist der zweite Monat</i> – <i>der Regierung Selomos über Jisraél</i>; er vergleicht die Regierung Šelomos mit dem Auszuge aus Miçrajim: wie der Auszug aus Miçrajim mit Nisan, ebenso die Regierung Šelomos mit Nisan. – 
Rosh Hashanah 2b:8	Woher dies vom Auszuge aus Miçrajim selbst, daß man mit Nisan zu zählen beginne, vielleicht auch diesen mit Tišri? – 
Rosh Hashanah 2b:9	Dies ist nicht einleuchtend, denn es heißt:$fn11<i>und Ahron, der Priester, stieg nach dem Befehle des Herrn hinauf auf den Berg Hor und starb daselbst, im vierzigsten Jahre nach dem Auszuge der Kinder Jiisraél aus dem Lande Miçrajim, im fünften Monate, am ersten des Monats</i>, und ferner heißt es:$fn12<i>und es geschah im vierzigsten Jahre, im elften Monate, am ersten des Monats, da sprach Moše &amp;c</i>. Wenn er nun vom Ab spricht und es ‘das vierzigste Jahr’ nennt, und vom Šebaṭ spricht und es ebenfalls ‘das vierzigste Jahr’ nennt, so ist ja zu entnehmen, daß dessen Jahresanfang nicht mit dem Tišri beginnt. – 
Rosh Hashanah 2b:10	Allerdings zählt die eine [Schriftstelle] ausdrücklich nach dem Auszuge aus Miçrajim, woher aber, daß die andere nach dem Auszuge aus Miçrajim zählt, vielleicht nach der Errichtung der Stiftshütte!? – 
Rosh Hashanah 2b:11	Wie R. Papa erklärt$fn13hat, [die Worte] <i>im zwanzigsten Jahre</i> dienen als Wortanalogie, ebenso dienen auch hierbei [die Worte] <i>im vierzigsten Jahre</i> als Wortanalogie: wie da nach dem Auszuge aus Miçrajim, ebenso hierbei nach dem Auszuge aus Miçrajim. – 
Rosh Hashanah 2b:12	Woher aber, daß das Ereignis im Ab zuerst geschah, vielleicht geschah das Ereignis im Šebaṭ zuerst$fn14!? – 
Rosh Hashanah 2b:13	Dies ist nicht anzunehmen; es heißt:$fn15<i>nachdem er Siḥon geschlagen hatte</i>, und als die Seele Ahrons zur Ruhe einkehrte, lebte Siḥon noch, denn es heißt:
Rosh Hashanah 3a:1	$fn16<i>und der Kenaa</i>͑<i>nite, der König von</i> <i>A</i>͑<i>rad, vernahm</i>. Er vernahm nämlich die Kunde, daß Ahron gestorben sei und die Wolken der Herrlichkeit verschwunden seien, da glaubte er, es sei nun die Freiheit gegeben, Jisraél zu bekriegen. Das ist es, was geschrieben steht :$fn17<i>und die ganze Gemeinde sah, daß Ahron verschieden war</i>, 
Rosh Hashanah 3a:2	und R. Abahu sagte, man lese nicht <i>sah</i>, sondern <i>wurde</i>$fn18<i>gesehen</i>. Dies nach Reš Laqiš, denn Reš Laqiš sagte, [das Wort] ‘ki’$fn19habe vier Bedeutungen: wenn, vielleicht, sondern, denn. – 
Rosh Hashanah 3a:3	Ist es denn derselbe, da war es Kenaa͑n, dort aber Siḥon!? – Es wird gelehrt: Siḥon, A͑rad und Kenaa͑n sind identisch; Siḥon [hieß er], weil er einem Fohlen [sejaḥ] in der Wüste glich, Kenaa͑n nach dem Namen seines Reiches, und sein eigentlicher Name war A͑rad. Manche lesen: A͑rad [hieß er], weil er einem Waldesel [a͑rud] in der Wüste glich, Kenaa͑n nach dem Namen seines Reiches, und sein eigentlicher Name war Siḥon. – 
Rosh Hashanah 3a:4	Vielleicht ist Ijar der Jahresanfang$fn20!? – 
Rosh Hashanah 3a:5	Dies ist nicht anzunehmen; es heißt:$fn21<i>und es geschah im ersten Monate des zweiten Jahres, am ersten des</i> Monats,<i> da wurde die Stiflshütte aufgestellt</i>, und ferner heißt es: $fn22<i>und es geschah im zweiten Jahre, im zweiten Monate, da erhob sich die Wolke von der Stiftshütte des Gesetzes</i>. Wenn er es im Nisan ‘das zweite Jahr’ nennt und im Ijar ebenfalls ‘das zweite Jahr’ nennt, so ist demnach der Ijar nicht Jahresanfang. – 
Rosh Hashanah 3a:6	Vielleicht ist Sivan der Jahresanfang$fn20? Dies ist nicht anzunehmen; es heißt:$fn23<i>im dritten Monate nach dem Auszuge der Kinder Jisraél aus dem Lande Miçrajim</i>. Wieso heißt es, wenn dem so wäre, [nur:] im dritten Monate, es sollte ja heißen: im zweiten Jahre nach dem Auszuge &amp;c.$fn24!? –
Rosh Hashanah 3a:7	Vielleicht ist es der Tammuz, vielleicht ist es der Ab, vielleicht der Adar!? 
Rosh Hashanah 3a:8	Vielmehr, erwiderte R. Elea͑zar, ist es hieraus [zu entnehmen]:$fn25<i>und er begann zu bauen im zweiten Monate, am zweiten, im vierten Jahre seiner Regierung</i>. Was heißt im ‘zweiten’? Doch wohl am zweiten des Monats, mit dem sein Regierungsjahr begann. 
Rosh Hashanah 3a:9	Rabina wandte ein: Vielleicht am zweiten des Monats!? – So würde es ausdrücklich$fn26geheißen haben: am zweiten des Monats. – 
