Index Title,Yalkut Shimoni on Nach
Version Title,Yalkut Shimoni on Nach
Language,he
Version Source,http://www.tsel.org/torah/yalkutsh/
Version Notes,
Yalkut Shimoni on Nach 979:1,"הכל כאשר לכל מקרה אחד לצדיק ולרשע. שלמה מביט בכל הדורות ורואה דברים שמגיעים לרשעים מגיעים לצדיקים ואמר הכל כאשר לכל, מקרה אחד לצדיק זה אברהם שנאמר כי ידעתיו למען אשר יצוה וגו', ולרשע זה נמרוד שהמריד כל באי עולם על הקב""ה זה מת וזה מת הוי מקרה אחד לצדיק ולרשע, לטוב ולטהור ולטמא. לטוב זה דוד שנאמר וישלח ויביאהו והוא אדמוני עם יפה עינים וטוב רואי, ולטמא זה נבוכדנאצר זה בנה יסודות בית המקדש ומלך ארבעים שנה וזה החריב בית המקדש ומלך ארבעים שנה, ולזובח זה שלמה שכתוב בו ויזבח שלמה את זבח השלמים, ולאשר איננו זובח זה ירבעם שבטל את ישראל שלא לעלות לירושלים, זה מלך אחר זה."
Yalkut Shimoni on Nach 979:2,"דבר אחר לצדיק זה נח, רבי פנחס בשם רבי יוחנן בשם רבי יוסי הגלילי נח כשהוא יוצא מן התיבה הכישו הארי ושברו. ולרשע זה פרעה נכה בשעה שבקש לישב על כסא שלמה לא היה יודע מנגנון שלו והכישו הארי, זה מת צולע וזה מת צולע, לזובח זה יאשיהו שנאמר וירם יאשיהו לבני העם צאן, ולאשר איננו זובח זה אחאב, זה מת בחצים וזה מת בחצים. לטוב זה משה שנאמר ותרא אותו כי טוב הוא, ולטהור זה אהרן שמטהר עונותיהם של ישראל ולחוטא אלו מרגלים, אותם לא נכנסו לארץ ומשה ואהרן לא נכנסו לארץ. הנשבע זה צדקיהו שנאמר וגם במלך נבוכדנאצר מרד אשר השביעו באלקים, כאשר שבועה ירא זה שמשון דכתיב ויאמר להם שמשון השבעו לי פן תפגעו בי אתם, זה מת בניקור עינים וזה מת בניקור עינים."
Yalkut Shimoni on Nach 979:3,"דבר אחר כטוב אלו בניו של אהרן כחוטא זה קרח ועדתו, אלו מקריבין ונשרפין ואלו מקריבין ונשרפין. אמרו מלאכי השרת לפני הקב""ה למה קנסת מיתה על אדם הראשון א""ל מצוה קלה צויתיו ועבר על צוויי, א""ל רבש""ע והלא משה ואהרן שקיימו כל התורה מאל""ף ועד תי""ו למה קנסת עליהם מיתה, אמר להם מקרה אחד לצדיק ולרשע:"
Yalkut Shimoni on Nach 979:4,"כי מי אשר יחבר אל כל החיים, א""ר יוחנן יבחר כתיב [מי יבחר יצ""ט מיצה""ר אלו צדיקים מי יבחר יצה""ר מיצ""ט אלו הרשעים]. אל כל החיים יש בטחון שכל זמן שאדם חי יש בו בטחון ותקוה לעשות תשובה, וכיון שמת אבדה תקותו, מה טעם במות אדם רשע תאבד תקוה:"
Yalkut Shimoni on Nach 979:5,"כי לכלב חי הוא טוב מן האריה המת, בעולם הזה מי שהוא כלב יכול ליעשות ארי, ומי שהוא ארי אינו יכול ליעשות כלב. אדרינוס שחיק עצמות אמר ליה לרבי יהושע בן חנניה אנא טב ממשה רבך, אמר ליה למה, אמר ליה דנא חי והוא מת דכתיב כי לכלב חי וגו', אמר ליה את גזור דלא ידליק נורא ברומי שלשה ימים, א""ל אין, מיד גזר ואמר דלא ידליק נורא ברומי, ברמשא קדמא סלקון מטיילא על אגר פלטין דידיה ורבי יהושע בן חנניה עמיה, תלא אפוי וחמא תננא סלקא מן זווי רחיקא, אמר ליה למה דין תננא, אמר ליה את אשכח דוכסא באיש ועל אסיא למיבדקיניה ואמר לא אפשר עד דשתי חמימי, תלא אפוי וחמא תננא בזוו אחריתי, אמר ליה תננא למה, א""ל את משכח איפרכיא באיש ועאל אסיא למבדקיניה ואמר לא אפשר עד דמיחם בלגין אמר תפח רוחיה דההוא גברא, עד דהוא גבן בחייה לא קמת גזרתיה אפילו חד יומא, ברם משה רבינו משעה שכתב לנו התורה לא תבערו אש חמיתא יהודאי מדליק נורא בשבתא. א""ל מה קשי לענא דתרעי בין שבעין דובין, אמר ליה חציף ההוא נטורא דהוא נטר ליה מכלהון:"
Yalkut Shimoni on Nach 979:6,"כי החיים יודעים שימותו. רבי חייא ורבי יונתן הוו מסגו ביני קיברי הוה קא גרר אתכלתא דרבי יונתן על קברא, אמר ליה רבי חייא סלקיה דלא לימרו למחר הם באים אצלנו ועכשיו הם מחרפים אותנו, אמר ליה ומי ידעי והכתיב כי החיים יודעים שימותו והמתים אינם יודעים מאומה, א""ל אם קרית לא שנית ואם שנית לא שלשת ואם שלשת לא פרשו לך, כי החיים יודעים שימותו אלו הצדיקים שאפילו במיתתם קרואים חיים שנאמר ובניהו בן יהוידע בן איש חי, וכי בניהו בן איש חי וכולי עלמא בני מיתי נינהו, אלא בן איש חי שאפילו במיתתו קרוי חי, והמתים אינם יודעים מאומה לאו רשעים שאפילו בחייהם נקראים מתים שנאמר ואתה חלל רשע נשיא ישראל. גם אהבתם גם שנאתם, בדור המבול הכתוב מדבר. גם אהבתם שהיו אוהבים לע""א. גם שנאתם שהיו שונאים להקב""ה, גם קנאתם שהיו מקנאים להקב""ה בע""א שלהם כבר אבדה וחלק אין להם לעולם הבא:"
