Index Title,Rashi on Numbers
Version Title,"Rashi Chumash, Metsudah Publications, 2009"
Language,he
Version Source,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH002691623
Version Notes,
Rashi on Numbers 1:1:1,<b>וידבר. במדבר סיני באחד לחדש.</b> °מתוך חיבתן לפניו מונה אותם כל שעה כשיצאו ממצרים מנאן וכשנפלו בעגל מנאן °לידע מנין הנותרים כשבא להשרות שכינתו עליהן מנאן. באחד בניסן הוקם המשכן °ובאחד באייר מנאם:
Rashi on Numbers 1:2:1,<b>למשפחתם.</b> דע °מנין כל שבט ושבט:
Rashi on Numbers 1:2:2,"<b>לבית אבתם.</b> מי שאביו משבט אחד ואמו משבט אחר °יקום על שבט אביו <small>(ב""ב קט, ב)</small>: "
Rashi on Numbers 1:2:3,<b>לגלגלתם.</b> °על ידי שקלים בקע לגלגולת:
Rashi on Numbers 1:3:1,<b>כל יצא צבא.</b> מגיד שאין יוצא בצבא °פחות מבן עשרים:
Rashi on Numbers 1:4:1,"<b>ואתכם יהיו. </b>°כשתפקדו אותם יהיו עמכם נשיא כל שבט ושבט: 
"
Rashi on Numbers 1:16:1,"<b>אלה קרואי העדה.</b> הנקראים °לכל דבר חשיבות שבעדה: 
"
Rashi on Numbers 1:17:1,<b>האנשים האלה. </b>את °שנים עשר נשיאים הללו:
Rashi on Numbers 1:17:2,"<b>אשר נקבו.</b> לו כאן בשמות: 
"
Rashi on Numbers 1:18:1,"<b>ויתילדו על משפחותם.</b> הביאו °ספרי יחוסיהם ועידי °חזקת לידתם כל אחד ואחד להתייחס על השבט: 
"
Rashi on Numbers 1:49:1,"<b>אך את מטה לוי לא תפקד.</b> כדאי הוא לגיון של מלך להיות °נמנה לבדו. °דבר אחר צפה הקב""ה שעתידה לעמוד גזירה על כל הנמנין מבן עשרים שנה ומעלה שימותו במדבר אמר אל יהיו אלו בכלל לפי שהם שלי שלא טעו בעגל: "
Rashi on Numbers 1:50:1,"<b>ואתה הפקד את הלוים.</b> כתרגומו מני לשון מנוי °שררה על דבר שהוא ממונה עליו כמו <small>(אסתר ב, ג)</small> ויפקד המלך פקידים: "
Rashi on Numbers 1:51:1,"<b>יורידו אתו.</b> °כתרגומו יפרקון °כשבאין ליסע במדבר ממסע למסע היו מפרקין אותו מהקמתו ונושאין אותו עד מקום אשר ישכון שם הענן ויחנו שם ומקימין אותו: 
"
Rashi on Numbers 1:51:2,<b>והזר הקרב.</b> °לעבודתם זו:
Rashi on Numbers 1:51:3,"<b>יומת.</b> °בידי שמים <small>(סנהדרין פד, א)</small>: "
Rashi on Numbers 1:52:1,<b>ואיש על דגלו.</b> כמו שהדגלים סדורים בספר זה שלשה שבטים לכל דגל:
Rashi on Numbers 1:53:1,"<b>ולא יהיה קצף.</b> אם תעשה כמצותי לא °יהיה קצף ואם לאו שיכנסו זרים בעבודתם זו יהיה קצף °כמו שמצינו במעשה קרח <small>(במדבר יז, יא)</small> כי יצא הקצף וגו': 
"
Rashi on Numbers 2:2:1,"<b>באתת.</b> כל דגל יהיה לו אות מפה צבועה תלויה בו °צבעו של זה לא כצבעו של זה צבע כל אחד כגוון אבנו הקבועה בחשן ומתוך כך יכיר כל אחד את דגלו <small>(תנחומא במדבר יב)</small>. דבר אחר באותות לבית אבותם באות שמסר להם יעקב אביהם °כשנשאוהו ממצרים שנאמר <small>(בראשית נ, יב)</small> ויעשו בניו לו כן כאשר צום יהודה ויששכר וזבולן ישאוהו מן המזרח וראובן ושמעון וגד מן הדרום וכו' כדאיתא בתנחומא בפרשה זו: 
"
Rashi on Numbers 2:2:2,"<b>מנגד.</b> °מרחוק מיל כמו שנאמר ביהושע <small>(יהושע ג, ד)</small> אך רחוק יהיה ביניכם וביניו כאלפים אמה שיוכלו לבא בשבת משה ואהרן ובניו והלוים חונים בסמוך לו <small>(תנחומא שם ט)</small>: "
Rashi on Numbers 2:3:1,<b>קדמה.</b> לפנים הקרויה קדם ואיזו °זו רוח מזרחית והמערב קרוי אחור:
Rashi on Numbers 2:9:1,<b>ראשונה יסעו.</b> °כשרואין הענן מסתלק תוקעין הכהנים בחצוצרות ונוסע מחנה יהודה תחלה וכשהולכין הולכין °כדרך חנייתן הלוים והעגלות באמצע דגל יהודה במזרח ושל ראובן בדרום ושל אפרים במערב ושל דן בצפון:
Rashi on Numbers 2:17:1,<b>ונסע אהל מועד.</b> °לאחר שני דגלים הללו:
Rashi on Numbers 2:17:2,<b>כאשר יחנו כן יסעו. </b>כמו שפירשתי הליכתן כחנייתן כל דגל מהלך לרוח הקבועה לו <small>(שם יב)</small>:
Rashi on Numbers 2:17:3,"<b>על ידו.</b> על מקומו ואין לשון יד זז ממשמעו רוח של צדו קרוי על ידו הסמוכה לו לכל הושטת ידו. אינשו""ן איש""א בלע""ז: "
Rashi on Numbers 2:20:1,"<b>ועליו.</b> °כתרגומו ודסמיכין עלוהי: 
"
Rashi on Numbers 3:1:1,"<b>ואלה תולדת אהרן ומשה.</b> ואינו מזכיר אלא בני אהרן ונקראו תולדות משה לפי שלמדן תורה מלמד שכל המלמד את בן חבירו תורה מעלה עליו הכתוב כאלו ילדו <small>(סנהדרין יט, ב)</small>: "
Rashi on Numbers 3:1:2,"<b>ביום דבר ה' את משה.</b> נעשו אלו התולדות שלו °שלמדן מה שלמד מפי הגבורה: 
"
Rashi on Numbers 3:4:1,"<b>על פני אהרן.</b> °בחייו <small>(במ""ר ב, כו)</small>: "
