Index Title,Rashi on Numbers
Version Title,"Rashi Chumash, Metsudah Publications, 2009"
Language,en
Version Source,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH002691623
Version Notes,
Rashi on Numbers 1:1:1,"<b>In the Sinai desert . . . on the first [day] of the [second] month, etc.</b> °Because they (the Israelites) are precious before Him (Hashem), He counts them all the time; when they went out of Egypt He counted them [Shemos, 12:37], and when they fell because of [the sin of] the golden calf He counted them °to know the number of those who remained, when He came to cause His Presence to rest upon them He counted them. On the first day of Nisan the <i>Mishkon</i> was set up, °and on the first day of Iyar He counted them. "
Rashi on Numbers 1:2:1,<b>According to their families.</b> To know °the number of each tribe
Rashi on Numbers 1:2:2,<b>To the house of their fathers:</b> Someone whose father is from one tribe and his mother from another tribe shall be °maintained in his father’s tribe.
Rashi on Numbers 1:2:3,<b>Individually</b> °Through the <i>shekolim</i> a half-<i>shekel</i> per head.
Rashi on Numbers 1:3:1,"<b>All those eligible for the army.</b> This teaches us that no one is eligible for the army °below the age of twenty. 
"
Rashi on Numbers 1:4:1,"<b>Along with you, there shall be.</b> °When you count them, there shall be with you the leader of each tribe. 
"
Rashi on Numbers 1:16:1,<b>These are the ones called from the congregation.</b> The ones who were invited °to everything of importance in the congregation.
Rashi on Numbers 1:17:1,"<b>These men.</b> °Those twelve leaders [mentioned above, 5–15]. "
Rashi on Numbers 1:17:2,<b>Who were designated:</b> To him (Moshe) here by [their] names.
Rashi on Numbers 1:18:1,"<b>And they were registered by family ancestry.</b> They brought their °genealogical documents and witnesses who °verified the status of their birth, this applied to each individual, to establish their kinship with the tribe. 
"
Rashi on Numbers 1:49:1,"<b>However, the tribe of Levi you shall not count.</b> The King’s legion is worthy of being °counted separately. °Another interpretation; the Holy One, blessed is He, foresaw that a decree would arise against all those who were counted from the age of twenty and above to die in the desert. He [therefore] said, “Let these [Levites] not be included, for they are mine, since they did not sin with the [golden] calf.” "
