Assumed to be correct references,Siftei Chachamim comment
Exodus 2:1,"[1]Married her a second time. [The proof:] immediately after this marriage, Yocheved conceived and gave birth to Moshe. Yet, Aharon and Miriam were older than Moshe. Therefore, they were born from the first marriage of Amram and Yocheved’s first marriage. She, too, became youthful again. Since Yocheved is described as בת לוי (lit. “girl of Levi”), this implies she was youthful."
Exodus 3:5,"[5]The place. Rashi is answering the question: אדמת (ground) is feminine, but הוּא [the pronoun ostensibly referring to it] is masculine. Therefore Rashi explains that הוּא refers to המקום (the place)."
Exodus 4:2,"[2]As a person who says to his friend... This does not contradict the Midrashic explanation [which preceded]. Rather, it explains why Hashem said: “What is that in your hand?” in the form of a question. For did Moshe not know what was in his hand? He surely saw it was a staff."
Exodus 5:1,"[1]They received their retribution at Sinai: “Moshe, alone, drew near...” Re”m wrote: “It is puzzling that Rashi here explains the verse from Shemos 24:2 as implying that ‘But they did not draw near’ refers only to the elders. This is not true, because the previous verse (24:1) states: ‘Ascend to Adonoy, you and Aharon, Nadav, and Avihu, and seventy of the elders of Israel.’ Then is written, ‘Moshe, alone, drew near...’ Yet if Hashem turned everyone back as a punishment, what was Aharon’s sin? Similarly with Nadav and Avihu, who were not among the seventy elders. [What was their sin?]” Re”m left the matter unresolved. But to me it seems not so problematic. For Rashi explains in Parashas Yisro (Shemos 19:24): “You [Moshe] will have your own designated area [when Hashem descends on Mt. Sinai], and also Aharon will have his own designated area, whereas the people may not break through their position at all.” Thus we see that the elders did not have their own designated area but stood among the people, and this was the punishment. And as for Nadav and Avihu, perhaps they stood in the same designated area as Aharon. (Kitzur Mizrachi)"
Exodus 6:1,"[1]To the kings of the seven nations when I will bring them (Yisrael) to the Land. You might ask: It seems that Hashem is hinting now to Moshe that he will not enter the Land. Yet later, in Parshas Beha’alosecha (Bamidbar 10:29), and it says, “We are traveling to the place,” Rashi himself explained that Moshe thought he would enter the Land. The answer is: He thought he would enter but would die before conquering the seven nations, as B’nei Yisrael fought a long time before conquering them. But a difficulty remains, for earlier, it says, “Please send the one You usually send” (Shemos 4:13), and Rashi explained: “I [Moshe] am not destined to bring them into the Land.” Thus, it clearly implies that Moshe knew he would not enter the Land. The answer is: Moshe thought he would not bring them into the land as their leader, but would still enter as one of the people. But a difficulty still remains: Later on in Parshas Beshalach, it says, “You will bring them and plant them on the mountain of Your inheritance” (Shemos 15:17), and Rashi explains: “Moshe prophesied that he would not enter the Land [at all].” The answer is: Moshe surely prophesied this, but not as a full prophecy, i.e., he prophesied without realizing the content of his prophecy. Due to My strong hand... I.e., we should not explain that Pharaoh will let them go by his strong hand, as in “The Egyptians pressed the people to hurry them” (Shemos 12:33), because this point is stated in the end of our verse (“and by [a] strong hand, he will drive them out from his land”).He will drive them out against their will. This seems to mean: Because of Hashem’s strong hand on Egypt, Pharaoh will drive the people out. But the Re”m explains: Because of Pharaoh’s strong hand on the people, he will drive them out. However, his explanation is not correct. (Nachalas Yaakov)"
Exodus 7:2,"[2]As you heard it from Me... Rashi is explaining why it says, “All that I command you.” You (Moshe) will say each statement before Pharaoh, concisely and only once, just as you heard it from Me. And Aharon your brother will express each statement a few times, eloquently, until it is palatable to the ears of Pharaoh. (Maharshal) "
Exodus 8:5,"[5]By asking something difficult and then saying... In other words, [see] if you can ask me to do something that I cannot do, then you can boast that I [was shown to be inferior because I] could not do it. By when do you wish them destroyed... You might ask: What was Moshe asking him? Surely Pharaoh would like them destroyed immediately! The answer is that Moshe reasoned: if I pray to have them destroyed immediately, Pharaoh will be obligated to release Yisrael immediately, as promised to me (v. 4) — and this is bad for him. Thus Moshe did not know which Pharaoh prefered — [keeping Yisrael, or destroying the frogs]. An alternative answer is what the Ramban says, citing the Naggid.And not אעתר עתרו... [Rashi says as he does] because אעתיר העתירו והעתרתי is in the verbal form of הפעיל, which is transitive. However, our verse should use the [intransitive] form of אפעל, such as אעתר עתרו ועתרתי, since it is describing prayer, which is intransitive. Thus Rashi explains: “Because wherever a form of...” So, too, does it say אעתיר... In other words, it is transitive because the direct object of the verb is “words”. [It is conjugated] as if “words” was actually written in the verse. והעתרתם your words about me, meaning you have increased. Rashi is saying that [here is the main proof] because it is written explicitly, “your words”. "
Exodus 9:8,"[8]Is thrown only with one hand... I do not know Rashi’s proof that Moshe threw [the furnace soot] with force. A possible answer: Here it is written השמימה, rather than על השמים as it is written about the plague of hail (v. 22). Apparently, Scripture changed the wording here to teach that Moshe sent up the soot unusually high, until the heavens. (see Re’m) But it seems to me that [we need not find a proof for this, for] Rashi means to say the following: Anything that is thrown (נזרק), is thrown with force. This is because נזרק implies with all of one’s force, which is with one hand. See Bereishis Rabba ch. 5 and Vayikra Rabba ch. 7. (Nachalas Yaakov) Both his and Aharon’s handfuls. Rashi says this because it is written before, “Both of you take full handfuls.” [which is four handfuls in total]. And another, that the soot spread over the entire land of Egypt. You might ask: Since [it spread so far only because] it was a miracle, why did Rashi explain that Moshe’s one fistful held both his and Aharon’s handfuls, [so that he could throw it with force]? [The miracle would be even greater if Moshe were to throw the soot with two hands and without any force and yet it travelled such a great distance.] Perhaps his fistful did not hold it, and Moshe threw with both hands [and it spread by a miracle]. The answer is: The miracle of its spreading over Egypt was not that it went farther than Moshe could throw, but that this small amount [of soot] covered the entire land of Egypt. [The fact that he was able to throw it with force because his fistful held both his and Aharon’s fistfuls does not pertain to this miracle. Rather, it is a miracle that stands on its own.] And according to what I explained above — that Rashi inferred from השמימה that Moshe threw with force — we may answer this question as well. Since השמימה implies with force, surely he threw with one hand, for he did not to rely on a miracle. "
Exodus 10:1,"[1]And warn him. [Rashi knows this] because it is written, “כי (for) I have hardened his heart.” Every כי that appears in Scripture comes to give a reason for what preceded. And if “Go in to Pharaoh” did not mean “and warn him,” how would כי be giving a reason for what preceded? This is what Hashem was saying to Moshe: [It is true that] warning Pharaoh will surely have no effect, since he did not send out the B’nei Yisrael in spite of his confession, “This time I have sinned” (9:27). Thus our verse explains: “For I have hardened his heart and the hearts of his servants.” In other words, the warning is necessary for his servants, whose hearts had not yet hardened [and they rebelled in the plague of hail only because Hashem hardened their hearts]. The reason Hashem did not harden their hearts sooner [but He waited for the plague of hail to do so] is that the verse states there, “he that feared the word of Hashem ... made his servants and his livestock flee...” (9:20). If Hashem had not hardened the servants’ hearts at that time, they would have insisted that Pharaoh release the B’nei Yisrael. Thus He hardened their hearts, “So that I will be able to set these signs in their midst.” Although [with the coming plague of locusts] Pharaoh’s servants said, “Send the men out” (20:7), their repentance was not wholehearted [and they deserved the ensuing punishment]. For they said to send only the men [and not the entire nation], as Pharaoh himself said, “The [adult] men should go.” (20:11) (Nachalas Yaakov, see further elaboration there) "
Exodus 11:1,"[1]He will send you all away. [Rashi is explaining that כלה is] not from the word כלייה (destruction). Rather it is like כליל תקטר (Vayikra 6:15), which Onkelos translates as גמירא (completely burnt). And there, גמירא cannot mean “destruction,” rather it means “completely.” "
